capaz	incapaz/incompetente/inadequado
são	tolo/esquisito/louco/insano/pateta/doido/excêntrico/maluco/alienado
baixo	alto/desengonçado/esgalgado/esguio/altura/pernilongo/comprido/imponente/escultural/estatura/pernalta/longo/faustoso/pomposo
simples	difícil/desafiante/duro/complicado/exigente/intimidante/árduo/desafiador/complexo/assustador/desencorajador/esgotante
sincero	insincero/lambe-botas/adulador/servil/sycophantic/bajulador/lisonjeiro/untuoso/dissimulado/falso/simulado/dourado/meretrício/enganador/hipócrita/persuasivo/fingido/imitativo/desonesto/desonrado/artificioso/ilusório/camaleão/astucioso/ardiloso/fingidor/sonso/convincente/imitador/fraudulento/desleal/habilidoso
lento	rápido/acelerado/alacrito/escaldante/quente/ardente/expresso/célere/repentino/apressado/imediato/diligente/instantâneo/meteórico/tempestuoso/súbito/despachado/veloz/ao_rubro/fugaz/expedito/pronto/fulgurante
doce	azedo/acerbo/adstringente/acetoso/avinagrado/ácido/acidulante/acidulado/limonado/acídulo/amargo/amargado/picante/apimentado/acre/cítrico/acrimoso
saboroso	insosso/brando/monótono/sem_sabor/insípido/vápido/sem_aroma/sem-sal/sem_tempero/pouco_apetitoso/intragável/aguado/desconsolado/malgostoso/deslavado/insonso/desenxabido/impalatável
apertado	solto/frouxo/largo/folgado/largueirão/à_vontade/livre/generoso/informal/oficioso/pingão
caloroso	frio/fresco/gelado/gélido
branco	preto/sombrio/escuro/negro
largo	estreito/justo/constritivo/limitativo/estreitado/delgado/fino/afunilado/limitado/exíguo/apertado/acanhado/restritivo/esguio/cónico
disposto	reticente/involuntário/não_disposto/adverso/hesitante/pouco_inclinado/avesso/relutante/pouco_desejoso/resistente/não_inclinado/desfavorável/irresoluto/contrário
jovem	velho/idoso/sénior/idade/envelhecimento/senescente/antigo/anil/centenário/carregado/trémulo/decrépito/senil/jubilado/cinzento/cabelo_grisalho/grisalho/encanecido/cabelo_branco/meia_idade/nonagenário/octogenário/velhote/idade_avançada/aposentado/entradote/sexagenário/venerável/experimentado/experiente/maduro/emérito/septuagenário/acabado/bolorento/velhice/xexé/gagá/ancião/reformado
