mochila	mochila_pequena/saco_desportivo
sobremesa	bolo/manjar_branco/charlotte/compota/compota_de_fruta/bolinho_de_massa/pudim/sobremesa_gelada/colhada/forma/mousse/pavlova/pêssego_melba/tiramisu/charlotte_russa/creme_gelado/gelado_macio/pudim_gelado/iogurte_gelado/bolo_de_gelado/cone_de_gelado/gelo/frappé/gelado/gelado_de_gelo/chupa-chupa/gelado_de_gelo/gelado_de_leite/parfait/limonada/bola_de_neve/mousse_de_chocolate/pudim_de_chocolate/bolo_de_ameixa/pudim_nesselrode/pudim_de_ervilhas/pudim_de_ameixa/pudim_de_natal/pudim_de_vapor/pudim_de_sebo/pudim_de_tapioca/pudim_de_baunilha/sorvete/gelado_de_chocolate/gelado_napolitano/gelado_de_pêssego/gelado_de_morango/tutti-frutti/gelado_de_baunilha/ovos_moles/barriga_de_freira/salame_de_chocolote/bolo_de_bolacha/quindim/farófias/filhós/pastel_de_nata/queijada/pão_de_ló
vestido	cafetã/camisa/casaco/vestudo_de_cerimónia/bainha/vestido/bata/bibe/túnica/vestido_matinal/vestido_de_noite/polonesa/sári/vestido_sem_alças/vestido_de_verão
tambor	pandeireta/bombo/bongó/tambor_de_parada/tarola/tambor_tenor/timbalão/adufe/djembé/tom-tom/timbalão_de_chão/tímbalo
emoção	raiva/cólera/ira/ansiedade/resposta_emocional_condicionada/rec/emoção_condicionada/estado_emocional/espírito/medo/timidez/susto/reverência/temor/veneração/ódio/alegria/contentamento/júbilo/amor/aborrecimento/irritação/vexame/mau_feitio/indignação/crispação/fúria/loucura/rancor/indignação/ultraje/enfurecimento/enraivecimento/ressentimento/ofensa/angústia/ansiedade/inquietação/preocupação/cuidado/desconforto/descomposição/desconcerto/nervosismo/mal-estar/inquietude/insegurança/escrúpulo/apreensão/sensação_de_afundamento/problema/êxtase/arrebatamento/exaltação/embaraço/gratificação/satisfação/felicidade/infelicidade/alarme/desânimo/consternação/calafrio/frisson/tremor/estremecer/formigueiro/horror/histeria/intimidação/pânico/terror/ataque_de_pânico/medo_do_palco/aversão/abominação/repulsa/execração/repugnância/desprezo/hostilidade/inimizade/má_vontade/malevolência/malignidade/misantropia/misogamia/misoginia/misoginismo/misologia/misoneísmo/misopédia/impulso_assassino/elação/alto_astral/leveza/regozijo/excitação/exuberância/exultação/júbilo/ágape/amor_ágape/amorosidade/enamoramento/ardor/benevolência/devoção/amor_filial/fundo_do_coração/amorosidade/cuidado/lealdade/amor_juvenil/paixoneta/paixão/adoração/agravamento/exasperação/desagrado/frustração/assédio/tormento/temperamento/ataque_emocional/birra/cena/ataque_de_nervos/irascibilidade/irritabilidade/má_disposição/lividez/fúria/ressentimento_forte/conforto/qualidade_de_vida/bem-aventurança/beatitude/beatificação/radiância/amargura/tristeza/mortalha/premonição/pressentimento/presságio/melancolia/sobriedade/suspense/trepidação/agitação_extrema/desconfiança/agressão/agressividade/antipatia/animus/antagonismo/beligerância/sentimento_de_classe/fel/maleficência/malícia/despeito/veneno/vingança/medo_de_novas_ideias/euforia/estrondo/fim_de_relação_amorosa/mudança/agitação/rubor/entusiasmo/intoxicação/titilação/triunfo/beneficência/cordialidade/nirvana/iluminação/luto/pungência/sombra/hesitação/inassertividade/desordem/inveja/pontuação_emocional/amúo/indignação/cobiça/ciúmes/inferioridade
frasco	termo/âmbula/cantil/balão_de_erlenmeyer/frasco_de_bolso/garrafa_de_bolso/balão_de_fundo_redondo/balão_de_vácuo/garrafa_de_vácuo/frasco_de_dewar/dewar/garrafa_térmica/balão_volumétrico
guitarra	ukulele/baixo/viola_baixo/guitarra_acústica/cítara/guitarra_elétrica/guitarra_havaiana/guitarra_clássica/guitarra_de_12_cordas/guitarra_espanhola/guitarra_portuguesa/guitarra_de_coimbra
arma	espingarda/pressão_de_ar/antiaéreo/artilharia_antiaérea/espingarda_de_retrocarga/canhão/arma_de_fogo/fuzil/arma_de_pequeno_porte/arma_de_gás/pistola_de_minutos/quaker/sistema_de_auto_disparo/canhão_baleeiro/carabina/rifle/pistola
jóia	diamante/rubi/pérola/esmeralda/safira
joalharia	pulseira/conta/miçangas/bling_bling/bracelete/clipe/botões_de_punho/brinco/jóia/gema/pedra_preciosa/colar/alfinete/anel/clipe_para_gravata/conta_de_vidro/tornozeleira/argola_de_tornozelo/armila/brinco_de_pingente/pingente/jóia_da_coroa/diamante/esmeralda/pérola/rubi/safira/anel_solitário/corrente/fio/colarinho/coleira/gargantilha/broche/alfinete_de_peito/afinete_de_lapela/alfinete_de_gravata/afinete_de_cachecol/anel_de_noivado/anel_de_luto/anelzinho/anel_com_sinete/anel_com_selo/aliança/brilhante/conta/terço/rosário/amuleto
misturadora	liquidificadora/batedeira/batedeira_elétrica/batedor/varinha_mágica
mês	janeiro/fevereiro/março/abril/maio/junho/julho/agosto/setembro/outubro/novembro/dezembro/jan/fev/mar/abr/jun/jul/ago/set/out/nov/dez
forno	grelhador/forno_holandês/forno_a_gás/churrasqueira/tandoor
pintura	aquarela/abstrata/paisagem_urbana/pintura_de_reboco/pintura_a_têmpera/pintura_com_dedos/ícone/paisagem/miniatura/iluminura/monocromo/mural/pintura_de_parede/nu/óleo/pentimento/pintura_com_areia/paisagem_marítima/marinha/semi-abstrata/natureza_morta/tanka/fresco/graffitti/retrato/auto-retrato/pintura_de_género/abstração/paisagem_natural
poema	haiku/abecedarius/alcaico/verso_alcaico/balada/lai/verso_branco/elegia/lamento/poema_épico/poema_heroico/épico/epopeia/verso_livre/lírico/poema_lírico/rondé/soneto/tanka/terceira/verso/rima/versículo/sextina/quadra/oitava/terceto
ferrovia	monorail/teleférico/funicular/caminho-de-ferro_de_cremalheira/comboio_elevado/metro/metropolitano/carril/elétrico/bonde/tranvia
época	primavera/colheitas/ceifa/outono/verão/inverno/chuvas/seca/crescimento/sementeiras/tosquia/festas/alta/baixa/pré-época/temporada_de_basebol/temporada_de_basquetebol/exposições/concertos/época_da_pesca/temporada_de_futebol/temporada_de_hóquei/época_da_caça/pentecostes/semana_branca/vindimas/férias/tornados
assento	cadeira/banco/camarote/divã/pufe/genuflexório/sofá/poltrona/tamborete/sanita/retrete/chaise-longue/mocho
prateleira	prateleira_de_livros/placa/cornija/prateleira_de_fogão/berma/estante/guarda_loiça/mão_francesa
camisola	pólo/dashiki/vestido/camisa/cilício/malha/t-shirt/kurta/camisola_desportiva/camisola_de_manga_cava/camisola_de_alças/camisola_de_fato_de_treino/blusa/corpete/camiseta/camisa_interior
sapatos	sapatilhas/polainas_de_caçador/sapatos_de_bebé/blucher/sapatos_de_bowling/bota_de_trabalho/brogue/sapatão/galochas/calceus/chopine/sapatos_de_cunha/chukka/botas/chuteiras/botinas/polainas/chinelos/barbatanas/ghillie/sapatos_de_ginásio/ténis/mocassim/sapatos_clássicos/escarpins/sapatos_de_corrida/socos/tamancos/sandálias/sapatos_abertos/sapatos_para_caminhar/sapatos_de_asa/sapatos_de_ponta/sapatos_de_salto_agulha/sapatos_de_salto/sabrina/sapatos_de_tacão/botins/pantufas/coturnos/basqueteira
sofá	divã/sofá_convertível/sofá-cama/namoradeira/canapé/chaise_longue/poltrona
canção	canção_de_embalar/canção_religiosa/hino/ária/balada/lai/barcarola/cançoneta/canto_lutoso/canto_fúnebre/lamento/réquiem/trenode/música_para_beber/canção_popular/balada_folclórica/lied/canção_de_amor/sucesso_antigo/clássico/protalâmio/rondó/escólio/canção_de_banquete/serenata/canção_de_trabalho/cantiga/canto_lúgrebe/canção_popular/cântico
especiaria	pimenta/pimenta-da-jamaica/ajowan/cominhos/alcaravia/cardamomo/cássia/pimenta-calena/aipo/pimenta_chili/chili/canela/cravinho/coentros/endro/funcho/fenacho/olíbano/galanga/alho/gengibre/rábano/jalapeño/zimbro/alcaçuz/macis/mostarda/noz-moscada/cebolinho/pimentão_doce/pimenta_preta/açafrão/segurelha/sésamo/anis/sumagre/tabasco/tamarindo/curcuma/cinco-perfumes-chineses/gengibre_em_pó/anis_da_china/anis-estrelado/badiana/pimenta-do-reino
camisola	camisola_de_gola_alta/casaco_de_malha/pulôver/pulôver_sem_mangas/camisola_de_lã/suéter
ferramenta	ancinho/pedra_de_lixa/lixa/cintradora/grampo/pente/utensílio_cortante/berbequim/eólito/garfo/ferramenta_de_jardinagem/ferramenta_de_relvado/arpéu/fateixa/gancho_fixante/picareta/ferramenta_portátil/sacho/alavanca/neólito/pilão/mão_de_almofariz/charrua/arado/ferramenta_elétrica/punção/furador/esporão/arredondador/afinador_de_serras/modelador/formão/estilete/compactador/barra_de_compactação/macho_rosca/molde/encalcadeira/martelo/gancho/anzol/enchada/chave_de_parafusos/colher/faca/serrote/soldador
brinquedo	boneca/bola/balão/cavalo_de_madeira/bonequinha/casa_de_bonecas/casa/disco_voador/cavalinho_de_pau/cavalinho_de_baloiço/cavalo/arco/caixa_de_surpresas/barras/ginásio/salto/esfera/caleidoscópio/papagaio/lego/meccano/lançador/pinhata/catavento/casinha/pogobol/taco/pistola_de_borracha/chocalho/caixa_de_areia/balancé/baloiço/arre-burrinho/sobe-e-desce/prancha/slide/parque/fisga/catapulta/pêndulo/ursinho_de_peluche/ursinho/pião/roda_giratória/rapa/comboio/pistola_de_água/pistola/bisnaga/ioió/peluche/jogo/boneco/figurinha/puzzle/ioiô/corda/soldadinho/carrinho/berlinde/kit/blocos
calças	calças_de_ganga/calças_à_boca_de_sino/boca_de_sino/knickerbocker/calças_de_sarja/calças_churidar/calças_de_bombazina/calças_de_flanela/calças_de_gabardina/calças_de_tweed/calças_brancas/calça_de_ganga/calças_de_ganga_azuis/ganga/calças_de_equitação/calças_de_montar/calças_longas/calças_de_pijama/pantalonas/corsários/calças_de_toureiro/salwar/shalwar/calças_curtas/calções/calções_de_banho/calças_compridas/calças_de_elastano/calças_de_fato_de_treino/calças_de_camurça/calças_de_golfe/calções_largos/levi's/levis/bermudas/calções_curtos/calças_de_couro/jeans/jardineiras/calças_de_sarja/calças_de_algodão/calças_de_lycra/moletom/calças_de_pele/calças_de_cetim/calças_skinny/calças_de_jogging
arma	arma_de_fogo/arco/flecha/dardo/soqueira/soco_inglês/lança_chamas/faca/míssil/pique/projétil/cutelo/funda/lança/haste/arma_paralisante/bastão/espada/lâmina/gládio/punhal/machado_de_guerra/machado/fogo/chuço/cassetete/taser/navalha
dia_da_semana	segunda-feira/dia_de_trabalho/segunda/terça-feira/terça/quarta-feira/meio_da_semana/quarta/quinta-feira/quinta/sexta-feira/sexta/sábado
