academia	faculdade/universidade/instituto
escadaria	degrau/pé_do_degrau/patamar/piso/escadaria/cimo_da_escada
espada	lámina/forte/punho/ponta/fraquesa/pomo/DULICATE_pomo/cabo/gume
mesa	tampo/talheres/perna/pernas
bule	bico/pega/tampa/corpo/barriga/base/filtro/filtro_de_chá
telefone	receptor/bocal/marcador/fio/visor/auscultador
tonelada	quilograma/mg/gm/hg/grão/miligrama/quintal/quilo/mcg/dag/quilate/micrograma/grama/ng/dg/g/kg/decigrama/nanograma/miograma/meio_quintal/grão_métrico/myg/decagrama/quintal_métrico/óbulo/hectograma/dkg
tronco	peito/cu/ombro/rabo/barriga/virilha/deltóide/diafragma/peitoral/glúteos/médio/estômago/redondo/tórax/alcatra/esterno/nádegas/gladíolo/anca/costas/serrato/tronco/umbigo/assento/mediastino/axila/acrómio/intestino_posterior/intestino/vesícula_biliar/lombo/bochecha/cintura/ventre/abdominal/traseiro/pequeno/abdómen/escápula/glúteo/manúbrio/lado/secção_média/peitorais/nádega/cauda/anca/processo_xifóide/vértebra_torácica/parede_abdominal/músculo_deltóide/cavidade_abdominal/artéria_circunflexa_da_escápula/artéria_dos_glúteos/artéria_axilar/fossa_axilar/artéria_cólica/articulação_do_úmero/articulação_do_ombro/prega_adiposa/artéria_circumflexa_do_úmero/músculo_do_serrato/músculo_dos_glúteos/grande_dorsal/músculo_peitoral/músculo_abdominal/artéria_humeral_circunflexa/aorta_abdominal/veia_torácica/hipocondrio/área_de_embotamento_cardíaco/cavidade_glenóide/caixa_torácica/aorta_torácica/artéria_escapulária_circunflexa/processo_acromial/músculo_glúteo/corpo_esterno/vértebra_dorsal/músculo_redondo/cavidade_torácica/cavidade_axilar/artéria_glútea/fossa_glenóide/vértebra_lombar
tripé	perna/suporte
máquina_de_escrever	teclado/máquina_de_escrever/transporte/separador/fita/mudança/acção/tecla/tecla_de_retrocesso/mecanismo_de_acção/teclado_de_máquina_de_escrever/telca_shift/barra_de_espaços/tecla_de_tabulação/fita_de_máquina_de_escrever
janela	painel/caixilho/vidraça/janela/fecho/vidro/vitrine/peitoril/montante/batente/bloqueio/fechadura_de_caixilho/vidro_de_janela/fechadura_de_faixa/painel_de_vidro/fechadura_de_janela/caixilho_da_janela/moldura_da_janela
útero	cólo_do_útero/coifa/placenta/oviduto/véu/miométrio/endométrio/artéria_uterina/membrana_embrionária/cavidade_uterina/trompa_de_falópio/tubo_uterino
