ano	década/decênio
traço	cara/rosto/face
feição	personalidade/temperamento/pessoa
s	min/minuto
poço	túnel/mina
sintoma	doenças/doença
piso	quarto/aposento/sala/saguão/salão/edifício/prédio
bar	bar/boteco/taberna/pub/botequim
lição	curso/aula
rosto	cabeça/humano/ser_humano
céu	terra/mundo/globo_terrestre
cela	convento/mosteiro/monastério
anatomia	humano/ser_humano/indivíduo/pessoa/alguém/ser_humano/alma
alfândega	pé
tronco	corpo/tronco/torso/corpo/tronco/torso/estrutura_organica/corpo/corpo_humano
pasto	zona_rural/área_rural/campo
leito	dormitório/quarto
decênio	século/século/centúria/séculos
vidro	copo
coroa	divisa/prata/peça/moeda
parede	quarto/aposento/sala/saguão/salão/edifício/prédio
intestino	ventre/abdome/estômago/barriga/abdómen/tronco/abdômen
colheita	cultivo/pecuária/agricultura
arco	muralha/parede/muro/barril/barril
pátio	edifício/prédio
escada	edifício/prédio
alínea	texto
escadaria	edifício/prédio
cara	divisa/prata/peça/moeda/cabeça/humano/ser_humano
temperamento	indivíduo/pessoa/alguém/ser_humano/alma
peculiaridade	personalidade/temperamento/pessoa
muro	quarto/aposento/sala/saguão/salão/edifício/prédio
punho	braço
mala	auto/veículo/carro/automóvel/viatura
pico	gládio/espada/lápis
peito	corpo/tronco/torso
cérebro	cabeça
cozinha	aposento/habitação/moradia/residência/casa/lar/morada/domicílio
corno	bode/cabrito/bode/cabra
caricatura	publicação/edição
ombro	corpo/tronco/torso
porção	repasto/refeição
meia-noite	fim_de_tarde/noitada/tarde/noite
bico	pássaro/ave
asa	anjo/edifício/prédio/aeroplano/avião/hemípteros/inseto/insetos/insecto/insectos/quirópteros/morcego/pássaro/ave
aposento	edifício/prédio
testa	cara/rosto/face
síndrome	doenças/doença
gaveta	mesa/secretária/escrivaninha/cômoda/cômodas/aparelhador/gaveteiro/cómoda
chão	terra/mundo/globo_terrestre/quarto/aposento/sala/saguão/salão
casca	galho/ramo/galho/raiz/raíz/ovo
televisor	tevê/televisão/sistema_de_televisão
saguão	edifício/prédio
estômago	corpo/tronco/torso
encruzilhada	caminho/rodovia/via/estrada
cama	dormitório/quarto
aquecimento	edifício/prédio
anoitecer	anoitecer/véspera/tarde/fim_de_tarde/noite
ventre	corpo/tronco/torso
dedo	pata/mão/pé
barba	cara/rosto/face
tubo	revólver/arma/revóvel/arma_de_fogo
pavimento	quarto/aposento/sala/saguão/salão/edifício/prédio
orelha	cabeça
nuvem	céu
gramado	arena/estádio
estrato	sociedade
curva	grafo/gráfico/caminho/rodovia/via/estrada
cruzamento	caminho/rodovia/via/estrada
ci	calculadora/computador
chip	calculadora/computador
min	hora
crepúsculo	anoitecer/véspera/tarde/fim_de_tarde/noite
cintura	corpo/tronco/torso
átomo	molécula/elemento_químico/elemento_químico
pescoço	estrutura_organica/corpo/corpo_humano
elevador	edifício/prédio
degrau	escada/escadaria
calcanhar	pé
barriga	ventre/abdome/estômago/barriga/abdómen/tronco/abdômen/corpo/tronco/torso/corpo/tronco/torso
têmpora	cabeça
telhado	edifício/prédio
tampa	garrafa/vasilha/caixa
prato	repasto/refeição
pastagem	zona_rural/área_rural/campo
nariz	cara/rosto/face
muralha	quarto/aposento/sala/saguão/salão/edifício/prédio
missiva	correspondência/correio
mento	cara/rosto/face
melodia	missiva/carta
lâmina	gládio/espada/gládio/espada/faca/faca
garganta	pescoço
crânio	cabeça/cabeça
camarote	aeroplano/aeronave/avião
buzina	auto/veículo/carro/automóvel/viatura
anca	corpo/tronco/torso
abdome	corpo/tronco/torso
traseiro	corpo/tronco/torso
tevê	tevê/televisão/sistema_de_televisão
sílaba	vocábulo/termo/verbo/palavra
sulco	pele/pele
rabo	corpo/tronco/torso
pulso	braço
prateleira	feira/sacolão/supermercado/mercado/mercadinho/mercado/empório/quitanda/cômoda/cômodas/aparelhador/gaveteiro/cómoda/estante/armário
porrada	batalha/pugna/peleja/luta/disputa/combate
fronte	campo_de_batalha/campo_de_guerra
caveira	cabeça
catarata	rio
cascata	rio
bife	vacas/bovinos/gado_bovino/gado
banheiro	aposento/habitação/moradia/residência/casa/lar/morada/domicílio
antecâmara	edifício/prédio
acelerador	auto/veículo/carro/automóvel/viatura/aeroplano/avião
