ser	ser/organismo
representante	representante/negociador/agente/proponente/representante/advogado/defensor/informação/conhecimento/indivíduo/pessoa/alguém/ser_humano/alma
serviço	auxílio/socorro/ajuda/assistência/cerimônia_religiosa/cerimônia_religiosa/obrigação/dever/atividade/ocupação/condição/situação/estado
gestão	controle_social
imprensa	maquinaria/máquina
posição	orientação/atitude/condição/situação/estado
reunir	interagir/receber/obter/comprar/adquirir
professor	educador/educacionista/pedagogo/professor/acadêmico/professor_universitário
comércio	transação/transação/comércio/mercantilismo/comercialismo
economia	organização/sistema
campos	gleba/terreno/região
caso	ocorrente/acontecimento/ocorrência/indivíduo/pessoa/alguém/ser_humano/alma
lado	superfície
vitória	vitória/ocorrente/acontecimento/ocorrência
trabalhar	manusear/manejar/manipular
ir	ganhar_terreno/ir/viajar/andar/viajar/ir/caminhar/andar
meio	região_geográfica/região/área_geográfica/componente/efetuação/execução/realização/implementação/condição/situação/estado
colégio	estabelecimentos_de_ensino/edifício/prédio
condição	afirmação/declaração/condição/situação/estado/condição/situação/estado/condição/situação/estado
plano	pensamento/idéia/conceito/opinião/estrutura/organização/ordem/sistema/fotografia/retrato/imagem/foto/ilustração/figura/desenho/imagem
direção	mensagem/assunto/tópico/conteúdo/tendência
problema	ocorrente/acontecimento/ocorrência/objecto_mental/dificuldade/obstáculo/problema
associação	ligação/relação/organização/memória
executivo	líder/responsável/cabeça/chefe/liderança
liderar	conduzir/dirigir
época	idade/tempo/período/escala_de_tempo_geológico/era/época/século/tempo/etapa/período
civil	cidadão/cidadã
acabar	terminar/finalizar/concluir/encerrar/terminar/finalizar/concluir/encerrar
educação	objecto_mental/pedagogia/atividade/ocupação
representar	igualar/equivaler/apresentar/fazer/desempenhar/exercer/servir
fazenda	imobiliária/imóvel/possessão/propriedade/oficina/laboratório/emprego/locais_de_trabalho/trabalho/chácara/granja/quinta/sítio/fazenda/artefato
diretório	obra_de_referência
maioria	idade
instituição	organização
situação	condição/situação/estado/condição/situação/estado
decidir	resolver/decidir/seleccionar/escolher/selecionar
organizar	organizar/fazer/causar/provocar/criar/arranjar/dispor/planejar
indicar	informar
retornar	viajar/ir/caminhar/andar
seguir	obedecer/perseguir/perseguir/viajar/ir/caminhar/andar
encontrar	interagir/encontrar/achar/reganhar/receber/obter/comprar/adquirir
questão	pergunta/questão/inquérito
companhia	corpo/corpo/organização
trabalhador	indivíduo/pessoa/alguém/ser_humano/alma
região	lugar/locação/ponto/lugar/localização
hora	unidades_de_tempo/unidade_de_tempo/hora/leitura/dado
agricultura	cultivo
carta	papel/texto/documentos/documento
vaga	movimento
tentar	fazer/agir/atuar
revista	jornal/periódico/publicação_periódica/revista/bens/produção/produto
permitir	concordar/aprovar/consentir/aceitar
estrangeiro	turista/viajante
enviar	transferir/transmitir/trazer
tarde	jornada/dia/jornada/dia/tempo/etapa/período
chapa	organização
porto	porto
ordem	organização/sociedade/ordem/união/associação/organização/organização/petição/requisição/apelo/solicitação/requerimento/pedido/atos_da_fala/acto_de_fala
bem	possessão/propriedade/amante/amado/predominância/vantagem/benefício/qualidade
contrário	oposição/oposição
contar	estar/ser/verbalizar/exprimir/proferir/expressar/achar/determinar/informar
liderança	chefe/líder/predominância/vantagem/benefício/liderança/atividade/ocupação
servir	estar/ser/ajudar/assistir/auxiliar/socorrer/solidarizar_se/acorrer/servir/fornecer/prover/provisionar/abastecer/servir/fornecer/prover/provisionar/abastecer
energia	força/violência
artigo	artigo/notícias/notícia/artigo/notícias/notícia/informação/não-ficção/artigo/objecto_posto_à_venda/fazenda/bens/bem/produto/artigo/mercadoria
posto	posição/hierarquia/classe/posto
formação	posição/espaçamento/atividade/ocupação
técnico	chefe/líder
luta	certame/partida/concurso/competição/torneio/jogo/luta/conflito/batalha/combate/empenho/esforço
revolução	ação_em_grupo/ação_em_grupo
renunciar	partir/abandonar/deixar/sair/largar
controle	habilidade/modalidade/disciplina
superior	lado/face
interesse	interesse
centro	lugar/centro/ponto_médio/edifício/prédio
fato	informação/artigo_de_vestuário/roupa/vestuário
propriedade	possessão/propriedade/concepção/idéia/conceito/ideia/qualidade/controle/controlo/propriedade/bem/posse/conexão/relação
construção	edificação/construção
volta	vinda/chegada
procurar	fazer/agir/atuar/ver/examinar/inspecionar
empresário	empresário
monopólio	ascendencia/controle/dominancia/superioridade/domínio
dirigir	viajar/ir/caminhar/andar/fazer/causar/provocar/criar
pedir	transmitir/comunicar
manifestar	mostrar/apresentar
escolher	delegar/resolver/decidir/seleccionar/escolher/selecionar/seleccionar/escolher/selecionar/seleccionar/escolher/selecionar/seleccionar/escolher/selecionar/julgar/avaliar/balizar
morte	alteração/mudança/variação/modificação
responsável	chefe/líder
instalar	colocar/carregar/botar/pôr
aprovação	aplauso/aprovação/apoio/suporte/triunfo/êxito/sucesso
família	família/sangue/descendência/linhagem/grupos_sociais/concepção/idéia/conceito/ideia
sessão	encontro/reunião
visar	escrever/redigir
década	tempo/etapa/período
chamar	classificar/rotular/telecomunicar/impetrar/mandar/intimar/ordenar
iniciativa	começo/início
provocar	fazer/causar/provocar/criar/zoar/rir/pagodear/ridicularizar/sacanear/zombar/mangar
cultura	ontogenia/ontogénese/crescimento/sociedade/atitude
resultado	ocorrente/acontecimento/ocorrência/afirmação/declaração/fenômeno/fenómeno
documento	material_escrito/documentos
departamento	unidade_administrativa/órgão_público/edifício/prédio
número	custo/aceno/emblema/símbolos/símbolo/sinal/simbolo/sinal/concepção/idéia/conceito/ideia/quantidade/número/propriedade/atributo
momento	presente/hoje/actualidade
lugar	gleba/terreno/região/região_de_espaço/lugar/local/posição/atividade/ocupação/objeto/objeto_físico
pai	genitor/mãe/pai/progenitor/genitor/pai/papá/painho/papai
assinar	escrever/redigir
chefiar	gerenciar/gerir/administrar
mato	planta_lenhosa/região_geográfica/região/área_geográfica
ver	observar/mirar/olhar/ver/aperceber/entender/perceber/aperceber-se
produção	bens/produção/produto/bens/produção/produto/produção/ato/ação/feito/acção
carvalho	árvore
operação	atividade_comercial/atividade/ocupação/processos_físicos
classe	posição/hierarquia/classe/posto/jogo/grupo/reunião/pessoal/população/povo/gente/género/classe/tipo/categoria/raça/espécies/concepção/idéia/conceito/ideia/quarto/aposento/sala/condição/situação/estado
ponto	disco/objeto/objeto_físico
interior	região
ensino	pedagogia/atividade/ocupação
convenção	reunião/ortodoxia
exercício	treinamento/preparação/treino
advogado	profissional_liberal/profissional/indivíduo/pessoa/alguém/ser_humano/alma
pasta	condimento
jornalista	comunicador
discurso	atos_da_fala/acto_de_fala/comunicado/comunicação/uma_comunicação/comunicação/mensagem
orientação	curso
ciência	campo/domínio/disciplina
esquema	representação/conceitualização/representação_mental/estrutura/organização/ordem/sistema/afiguração/imagem/ilustração/figura/desenho/representação/ilustração/figura/desenho/imagem
crime	transgressão
irmão	conhecido/amiga/camarada/amizade/amigo
sociedade	ligação/relação/organização/sociedade/ordem/união/associação/organização/grupos_sociais
comandar	conduzir/dirigir/impetrar/mandar/intimar/ordenar
aceitar	deixar/permitir/consentir/suportar/tolerar/aguentar/aturar
cerca	barreira/obstáculo
fundo	moeda/dinheiro/divisa/lado/face
anunciar	enaltecer/louvar/elogiar
delegação	organização
compor	fazer/causar/provocar/criar
realização	acção/ação/atividade/ato/acção/ação/atividade/ato
aranha	aracnídeo/aracnideos/aracnídeos
disputa	controvérsia/discordância/querela/discussão/disputa/discórdia/discrepância/discordo/desacordo/discordância/luta/conflito
fundação	suposição/pressuposição/hipótese/conexão/relação
dizer	falar/contar/dizer/exprimir/expressar/mostrar/verbalizar/exprimir/proferir/expressar/transmitir/comunicar
necessidade	característica_psicológica
pesquisa	investigação
aumento	aumento/acrescentamento/quantidade/número/aumento/processos_físicos
assistência	atividade/ocupação
pessoa	propriedade/característica/atributo/predicado/causa/causador/ser/organismo/ser/organismo
conferência	reunião/reunião
sentido	significância/significação/intenção/significado/faculdade/talento
mudança	transmutação/mudança/transformação/alteração/mudança/variação/modificação/ocorrente/acontecimento/ocorrência/mudança/mudança
linha	fronteira/formação/texto
pessoal	organização/pessoal/população/povo/gente/grupo/agrupação/conjunto
horizonte	fronteira
preço	qualidade/preço/preços/qualidade/preço/preços
povo	pessoal/população/povo/gente/pessoal/população/povo/gente/grupo/agrupação/conjunto/grupo/agrupação/conjunto
indicação	comunicação/mensagem
embaixador	servidor_público/funcionário/serventuário
terra	solo/objeto/objeto_físico
colocar	deslocar/mover/colocar/carregar/botar/pôr/colocar/carregar/botar/pôr/colocar/carregar/botar/pôr
promulgação	afirmação/declaração
tropa	corpo
combate	certame/partida/concurso/competição/torneio/jogo/ação_em_grupo/luta/conflito/luta/conflito/batalha/combate
inquérito	investigação
incluir	incluir/abarcar/conter
adotar	topar/aceitar
pagamento	comércio/mercantilismo/comercialismo
responsabilidade	controle_social
negociação	debate/discussão
missão	organização
acompanhar	viajar/ir/caminhar/andar
exterior	superfície
debate	debate/discussão/conversação/conversa
clube	organização/sociedade/ordem/união/associação
marinha	serviço_militar
tentativa	atividade/ocupação
possibilidade	concepção/idéia/conceito/ideia/alternativa/opção/escolha/intercorrência/eleição
atingir	conseguir/atingir/ser_bem_sucedido/suceder/conseguir/atingir/ser_bem_sucedido/suceder/receber/obter/comprar/adquirir
sindicato	organização
filha	filha
prender	anexar/juntar/unir/segurar/agarrar/capturar/pegar
assessor	autoridade
sair	deslocar/mexer/mover
casa	endereço/estrutura/tecido/edifício/alojamento/abrigo/casa/aposento/habitação/moradia/residência/casa/lar/morada/domicílio/edifício/prédio
encerrar	terminar/finalizar/concluir/encerrar
assunto	mensagem/assunto/tópico/conteúdo/objecto_mental
sede	escritório
imposto	imposto
princípio	momento/instante/lei_da_natureza/lei
transporte	industria/comércio/negócio/empresa
renúncia	documento/documentação
unidade	totalidade
aposentadoria	terminação/termino/conclusão
golpe	ação_em_grupo/golpe
liberdade	liberdades_civis/liberdade/condição/situação/estado
valor	qualidade
conhecido	ligação/relação/indivíduo/pessoa/alguém/ser_humano/alma
virtude	moralidade/moral/virtude/qualidade
concessão	conformidade/aprovação/acordo/consenso/aliança/pacto
opinião	mensagem/assunto/tópico/conteúdo/objecto_mental/objecto_mental
escrever	verbalizar/fazer/causar/provocar/criar/transmitir/comunicar
conflito	incompatibilidade/condição/situação/estado
encontro	convergência/assembléia/reunião
divulgar	informar/contar/enaltecer/louvar/elogiar
história	tempos_passados/passado/mensagem/assunto/tópico/conteúdo
dom	aquisição
título	prenome/nome_próprio/antenome/primeiro_nome/nome/denominação/nome_de_batismo/título
seção	parte/porção
quebra	ocorrente/acontecimento/ocorrência
esquerda	lugar/local/posição
delegado	representante
estudante	estudante/indivíduo/pessoa/alguém/ser_humano/alma/indivíduo/pessoa/alguém/ser_humano/alma
instalação	artefato
tratar	interagir/iniciar/abordar/encetar
livro	publicação/edição/publicação/edição/bens/produção/produto
pena	material_animal/azar/má_sorte/infortúnio
café	bebida/restaurante
funcionário	trabalhador_especializado
transformar	transformar/transmutar/mudar/alterar/mudar
médico	médico
revolta	luta/conflito
homem	esposa/esposo/marido/cônjuge/cónjuge/consorte/macho/varão/homem
declaração	afirmação/declaração/afirmação/declaração
decreto	ato
manifestação	reunião/protesto
comitê	comité/comissão/junta/comitê/unidade_administrativa/órgão_público/organização
convite	petição/requisição/apelo/solicitação/requerimento/pedido/missiva/carta
pretender	especular
entrevista	interrogatório
crescimento	processos_biológicos/processos_físicos
prazo	momento/instante
alcançar	estar/conseguir/atingir/ser_bem_sucedido/suceder
escolha	decisão/tomada_de_decisão
embaixada	organização
servidor	servidor_público/funcionário/serventuário/trabalhador/trabalhador
articulação	anatomia/parte_do_corpo
retirar	tirar/remover/retirar
relatório	documento/documentação
limitação	confinamento/desvantagem
discussão	controvérsia/discordância/querela/discussão/disputa/discórdia/discrepância/discordo/desacordo/discordância/debate/discussão/conversação/conversa/comunicado/comunicação/uma_comunicação
igreja	igreja/casadeoração/lugares_de_prática_religiosa/templo
solução	mistura/solução/misturas_químicas/triunfo/êxito/sucesso
diário	material_escrito/documentos
conta	petição/requisição/apelo/solicitação/requerimento/pedido
crédito	dívidas/dívida/dívida/débito/recompensa/pagamento/aplauso/aprovação/obtenção/realização
papel	papel/papel/materiais/caracterização/atividade/ocupação
engenharia	campo/domínio/disciplina
tecnologia	campo/domínio/disciplina
convocar	impetrar/mandar/intimar/ordenar
corrente	massa_de_água/água/corpo_de_água/acção/ação/atividade/ato
nível	posição/hierarquia/classe/posto
idéia	concepção/idéia/conceito/ideia/pensamento/idéia/conceito/opinião/objecto_mental
espírito	ser_sobrenatural/espirito/emoção/comoção/abalo/sentimento
solicitar	transmitir/comunicar
parecer	resultado/resposta/combinar/corresponder/concordar/estar/ser/estar/ser
proprietário	homemdenegócios/homem_de_negócios/empresário/negociante/comerciante
data	dia
autoridade	especialista/indivíduo/pessoa/alguém/ser_humano/alma
série	jornal/periódico/publicação_periódica/revista
informação	informação/mensagem/assunto/tópico/conteúdo
texto	livro/texto
estabelecimento	organização
licenciar	autorizar/permitir
perder	colocar/carregar/botar/pôr
surgir	tornar_se
caber	estar/ser
idade	idade/tempo/período/escala_de_tempo_geológico/era/época/século/período_da_vida/época/período/tempo/etapa/período/propriedade/atributo
população	pessoal/população/povo/gente/grupo/agrupação/conjunto
manutenção	reparo/reparação/conserto
aumentar	desinformar/enganar/aumentar/crescer/aumentar/crescer/mudar_a_dimensão/aumentar/ampliar/progredir/aumentar/ampliar/progredir
taxa	relação_de_grandeza/imposto
operário	trabalhador
emprego	atividade/ocupação/condição/situação/estado
negar	reter/conter/manter/guardar/segurar/reter
democracia	regimes_políticos
articular	falar/contar/dizer/exprimir/expressar/mostrar
tema	mensagem/assunto/tópico/conteúdo/pensamento/idéia/conceito/opinião
viagem	jornada/viagem
prestar	dar/entregar
recusar	reter/conter
academia	estabelecimento
campo	gleba/terreno/região/gleba/terreno/região/gleba/terreno/região/região_geográfica/região/área_geográfica/base_de_conhecimento/saber/conhecimento
afastamento	apatia/indiferença
produto	consequência/conseqüência/resultado/fim/efeito/soma/número/quantidade/objecto_posto_à_venda/fazenda/bens/bem/produto/artigo/mercadoria
condenar	pronunciar/julgar/rotular
comunicação	idéia_abstrata/entidade_abstrata/abstração
dificuldade	dificuldade/obstáculo/problema/qualidade/empenho/esforço
contrato	documento_oficial/negócio_jurídico
exigir	exigir/demandar/impetrar/mandar/intimar/ordenar
prática	treinamento/preparação/treino
limite	limite/margem_interior/fronteira/borda/limite/fronteira/fronteiras/limite/fronteira/fronteiras
viajar	viajar
conjunto	parafernália
entregar	expulsar/transferir/oferecer/dar_de_presente/dar/regalar/entregar/dar/entregar
conselheiro	autoridade
dirigente	gerente/administrador
bloco	sólido/sólida/área/região/território/ambiente
orçamento	capital/fundo/afirmação/declaração
conseqüência	fenômeno/fenómeno
discutir	discutir/conversar/falar
assegurar	defender/proteger
coordenar	arranjar/dispor
estrutura	propriedade/atributo/artefato
bacharelar	receber
auxiliar	suportar/ajudar/apoiar
presença	existência/ser/existência/forma_de_vida/jeito_pessoal/maneira_pessoal
carneiro	bovídeos
ligação	estado/ligação/união/relação/ligação/interação
edição	obra/trabalho
protesto	resistência/violência/força
suceder	conseguir/atingir/ser_bem_sucedido/suceder
influência	consequência/conseqüência/resultado/fim/efeito/poder
episódio	programa/emissão
conquistar	limitar/controlar/refrear
rede	organização/sistema/proteção/capa/equipamento/ferramenta/aparato/aparelho/mecanismo/dispositivo/instrumento/sistemas_de_comunicações
histórico	tempos_passados/passado
fonte	comunicador/lugar
matéria	informação/mensagem/assunto/tópico/conteúdo
apontar	informar
modo	efetuação/execução/realização/implementação
mudar	alterar/mudar
mostrar	mostrar/apresentar/mostrar/apresentar/informar/informar
reduzir	reduzir/diminuir/mudar/modificar/alterar
garantia	afirmação/declaração
federação	união
divisão	corpo/unidade_administrativa/órgão_público
abandonar	partir/abandonar/deixar/sair/largar/escapar/evadir-se/fugir
motivo	pensamento/idéia/conceito/opinião/ornamento/característica_psicológica
fixar	anexar/juntar/unir
engenheiro	indivíduo/pessoa/alguém/ser_humano/alma
contato	comunicado/comunicação/uma_comunicação/interação
arma	arma/armamento/aparelho/ferramenta/instrumento
revisão	exercício/prática
coluna	array/ordem
compromisso	reunião/encontro/afirmação/declaração
ampliar	aumentar/ampliar/progredir
empréstimo	dívidas/dívida/dívida/débito
dissidência	divisão
ganhar	receber/obter/comprar/adquirir/receber/obter/comprar/adquirir
autor	comunicador
nação	pessoal/população/povo/gente
conclusão	ocorrente/acontecimento/ocorrência/seção/parte
policial	oficial_de_polícia/agente/polícia/guarda/policial
adoção	procedimento_legal/procedimento_legal/procedimento_legal/procedimento_legal
existência	existência/ser/existência/forma_de_vida
preparar	construir/confeccionar/fabricar/leccionar/instruir/ensinar/lecionar
desempenhar	recriar
causa	procedimento_legal/procedimento_legal/procedimento_legal/procedimento_legal/empreendimento_de_risco
leite	bebida/lacticínio/produto_lácteo/laticínio
território	regiões/região/região_geográfica/região/área_geográfica
fase	tempo/etapa/período
nomeação	nomeação/designação
negócio	transação/comércio/mercantilismo/comercialismo
adversário	indivíduo/pessoa/alguém/ser_humano/alma
terminar	terminar/finalizar/concluir/encerrar/terminar/finalizar/concluir/encerrar
venda	shopping/centros_comerciais/shopping_center/venda
confederação	união
autorizar	responsabilizar/nomear/autorizar/permitir
folha	papel/papel/folhagem/folha/órgão_vegetal/órgão/jornal/imprensa/jornalismo
reconhecer	julgar/declarar/lembrar-se/lembrar/recordar/recordar-se
corpo	anatomia/parte_do_corpo/morto/cadáver/defunto/corpo/restos_mortais/estrutura_organica/corpo/corpo_humano/objeto_natural/objeto_natural/objeto_natural/objeto_natural
redução	mudança_de_magnitude
rocha	objeto_natural/objeto_natural
renda	pano/tecido/fazenda/têxteis/tecido_têxtil
encabeçar	conduzir/dirigir
registro	documento/entrada/ingresso
expansão	aumento
emergência	crise
cruz	estrutura/tecido/edifício
conceito	pensamento/idéia/conceito/opinião/objecto_mental
substituto	agente
responder	falar/contar/dizer
falta	deficiência/escassez/carência/falta/ausência/necessidade/carência
mulher	mulher/mulher/mulher/esposa/esposo/marido/cônjuge/cónjuge/consorte/amante/amado/fêmea
futuro	tempo
mesa	mesa/mobiliário/alfaia/movéis/móvel/mobília
atitude	atitude/compreensão/conhecimento/noção/cognição
romper	dividir/separar
âmbito	ambiente
gás	estados_físicos_da_matéria/fases_da_matéria
reação	força
exemplo	chefe/líder/ocorrente/acontecimento/ocorrência/informação/conhecimento
dinheiro	cobre/dinheiro/moeda/divisa/cobre/dinheiro/moeda/divisa/sistema_monetário/possessão/riqueza/bem
junta	comité/comissão/junta/comitê/unidade_administrativa/órgão_público
tendência	direcção/direção/rumo/curso/afeição/atitude
ambiente	região_geográfica/região/área_geográfica
autonomia	independência/liberdade
execução	acção/ação/atividade/ato
praça	gleba/terreno/região
disposição	natureza/índole/peculiaridade/feição
sugerir	exprimir/expressar/mostrar
obrigar	forçar/obrigar/compelir
destaque	elemento/componente
construir	edificar/construir
gerar	fazer/causar/provocar/criar
saída	momento/instante/abertura
rejeitar	reter/conter
ameaçar	avisar/alertar/advertir
julgar	resolver/decidir
oferecer	fazer/agir/atuar
amigo	conhecido/amiga/camarada/amizade/amigo/indivíduo/pessoa/alguém/ser_humano/alma
importação	objecto_posto_à_venda/fazenda/bens/bem/produto/artigo/mercadoria
juiz	servidor_público/funcionário/serventuário/juiz/árbitro/adjudicator
denominar	classificar/rotular
patente	documento/documentação
lutar	disputar/lutar/brigar
abastecimento	atividade/ocupação
usina	planta/fábrica/usina
estender	aumentar/ampliar/progredir/mudar/modificar/alterar
razão	relação_de_grandeza/explicação/explanação
mão	acúmulo/aglomeração/colecção/coleção/auxílio/socorro/ajuda/assistência
luz	lâmpada/luz
intelectual	intelectual/intelecto
queda	desastre/alteração/mudança/variação/modificação
intenção	significância/significação/intenção/significado/mensagem/assunto/tópico/conteúdo/meta/alvo/intenção/objectivo/meta/alvo/intenção/objectivo/pensamento/idéia/conceito/opinião/objecto_mental/característica_psicológica
revelar	mostrar/apresentar/informar/contar
pôr	descer/baixar/cair/deslocar/mover/colocar/carregar/botar/pôr/colocar/carregar/botar/pôr
citar	reiterar/redizer/repetir/reapresentar/referir/mencionar
retorno	resultado/resposta/traslado/movimento/deslocamento/vinda/chegada
lecionar	informar
estrada	fronteira/estrada/caminho/via
aplicação	utilização/uso
produtor	fazedor/criativo/creador/criador
mundo	pessoal/população/povo/gente/experiência/objeto_natural/objeto_natural
jogo	acúmulo/aglomeração/colecção/coleção/certame/partida/concurso/competição/torneio/jogo/recreaçao/diversão/recreaçao/diversão/recreaçao/diversão/atividade/ocupação
correio	mensagem/comunicado/comunicação/uma_comunicação
continuidade	tempo/etapa/período
lista	base_de_dados/banco_de_dados/lista/listagem/lista_numerada
troca	conversação/conversa/ação_em_grupo/mudança
