ano	década/decênio
componente	totalidade
mercadoria	shopping/centros_comerciais/shopping_center
solo	terra/mundo/globo_terrestre
cabeça	estrutura_organica/corpo/corpo_humano/besta/criatura/ser/bicho/animal
anexo	edifício/prédio
sala	edifício/prédio
expedição	comércio/mercantilismo/comercialismo
leis	lei/jurisprudência/ciências_jurídicas
hemisfério	terra/mundo/globo_terrestre
estrela	universo/cosmo/criação/mundo
biblioteca	edifício_residencial/habitação/casa/vivenda
medicamento	tratamento
andar	edifício/prédio
remédio	tratamento
relevo	terra/mundo/globo_terrestre
pé	estrutura/tecido/edifício
traço	cara/rosto/face
feição	personalidade/temperamento/pessoa
s	min/minuto
vegetal	erva
desenho	publicação/edição
célula	ser/organismo
sintoma	doenças/doença
piso	quarto/aposento/sala/edifício/prédio
canto	edifício/prédio
parada	jornada/viagem
subida	elevação
rodada	esporte
índole	personalidade/temperamento/pessoa
janela	auto/veículo/carro/automóvel/viatura/edifício/prédio
boca	cara/rosto/face/boca
rosto	cabeça/humano/ser_humano/besta/criatura/ser/bicho/animal
céu	terra/mundo/globo_terrestre
chapéu	fungos/fungo
anatomia	ser/organismo
tronco	corpo/tronco/torso/estrutura_organica/corpo/corpo_humano
orquestra	teatro/casa
decênio	século/século/centúria/séculos
vidro	copo
perna	estrutura_organica/corpo/corpo_humano
parede	quarto/aposento/sala/edifício/prédio
ilustração	publicação/edição
vão	superfície
arco	ponte/ponte
alicerce	estrutura/tecido/edifício
cara	cabeça/humano/ser_humano/besta/criatura/ser/bicho/animal
temperamento	indivíduo/pessoa/alguém/ser_humano/alma
suposição	teoria
peculiaridade	personalidade/temperamento/pessoa
muro	quarto/aposento/sala/edifício/prédio
meio-dia	dia
tomo	unidade
ladeira	elevação
peito	seio/peito/corpo/tronco/torso/vertebrado
pedaço	unidade
cozinha	aposento/habitação/moradia/residência/casa/lar/morada/domicílio
bolso	artigo_de_vestuário/roupa/vestuário
ombro	corpo/tronco/torso
buraco	agulha
terapia	tratamento
porção	unidade/repasto/refeição/todo/unidade
dígito	vertebrado
asa	anjo/edifício/prédio/hemípteros/inseto/insetos/insecto/insectos/pássaro/ave
aposento	edifício/prédio
testa	cara/rosto/face
chão	terra/mundo/globo_terrestre/quarto/aposento/sala
casca	ovo
ingrediente	prato
estômago	corpo/tronco/torso
aquecimento	edifício/prédio
ventre	corpo/tronco/torso
industria	mercado
dedo	vertebrado
colo	seio/peito
colarinho	colarinho/artigo_de_vestuário/roupa/vestuário
astro	universo/cosmo/criação/mundo
pavimento	quarto/aposento/sala/edifício/prédio
nuvem	céu
louça	mesa
gramado	arena/estádio
estrato	sociedade
curva	caminho/rodovia/via/estrada
costas	corpo/tronco/torso
min	hora
encosta	elevação
átomo	molécula/elemento_químico/elemento_químico
verdura	erva
joelho	perna
colchão	leito/cama
barriga	corpo/tronco/torso
têmpora	cabeça
telhado	edifício/prédio
secção	unidade
recanto	edifício/prédio
prato	repasto/refeição/repasto/refeição
muralha	quarto/aposento/sala/edifício/prédio
missiva	correio
mento	cara/rosto/face
melodia	missiva/carta
fragmento	vegetal/planta/flora
esqueleto	esqueleto/sistema_esquelético
canela	perna
anca	corpo/tronco/torso
alça	brocha/escova_de_dentes/pincel/escova
abdome	corpo/tronco/torso
tórax	seio/peito
traseiro	corpo/tronco/torso/corpo/tronco/torso/vertebrado
sílaba	vocábulo/termo/verbo/palavra
sulco	pele/pele
rincão	edifício/prédio
rabo	corpo/tronco/torso/vertebrado
porrada	batalha/pugna/peleja/luta/disputa/combate
lombo	humano/ser_humano
legume	erva
hortaliça	erva
cauda	vertebrado
casco	ungulados/ungulados
banheiro	aposento/habitação/moradia/residência/casa/lar/morada/domicílio
