ano	década/decênio
anca	perna/corpo/tronco/torso/corpo/tronco/torso/cavalo/égua/pássaro/ave
alça	revólver/arma/revóvel/arma_de_fogo/brocha/escova_de_dentes/pincel/escova
abdome	corpo/tronco/torso
virilha	estrutura_organica/corpo/corpo_humano
vidraça	janela/fenestra
tórax	seio/peito/artrópode/artrópodes/artropode
traseiro	corpo/tronco/torso/corpo/tronco/torso/navios/embarcação/navio/barco/pássaro/ave/vertebrado
tertúlia	clube
sílaba	vocábulo/termo/verbo/palavra
sulco	pele/pele
solstício	estio/verão
segmentação	gravidez/embaraço
saia	artigo_de_vestuário/roupa/vestuário
rótula	joelho
rincão	edifício/prédio
rabo	corpo/tronco/torso/pássaro/ave/vertebrado
pára-choque	camiões/caminhão/camião/camiões/auto/veículo/carro/automóvel/viatura
pára-brisa	veículos_motorizados/aeroplano/avião
presbitério	igreja/templo/igrejas
prateleira	cômoda/cômodas/aparelhador/gaveteiro/cómoda
porrada	batalha/pugna/peleja/luta/disputa/combate
pingo	chuva
pança	corpo/tronco/torso
ovário	flor/floração/florada
migalha	fornada
léxico	linguagem/idioma/discurso/língua
lápide	tumba/túmulo/sepultura/tumba/túmulo/sepultura
lábio	boca
lombo	humano/ser_humano
legume	erva
hortaliça	erva
hangar	aeródromo/aeroporto/aeródromo/aeroporto
gânglio	sistema_nervoso
game	partida
fim-de-semana	semana
farmacopéia	farmácia/farmacia/botica/drograria/drogaria
disquete	calculadora/computador
dentição	boca
dentadura	boca
coxa	perna
coto	perna/membro/dentes/dente
costela	seio/peito/vertebrado
chassi	veículos_motorizados
caveira	cabeça
cauda	vertebrado
catraca	navios/embarcação/navio/barco
catarata	rio
casco	ungulados/ungulados
cascata	rio
cabine	veículos_motorizados
banheiro	teatro/casa/aposento/habitação/moradia/residência/casa/lar/morada/domicílio/aposento/habitação/moradia/residência/casa/lar/morada/domicílio
arquibancada	arena/estádio
antecâmara	edifício/prédio
ancoradouro	cais/porto
acelerador	auto/veículo/carro/automóvel/viatura/aeroplano/avião
