fazer	arte_dramatica/dramaturgia/teatro/comércio/mercantilismo/comercialismo/cultivo/pecuária/agricultura
apelar	lei/jurisprudência/ciências_jurídicas
tramitar	comércio/mercantilismo/comercialismo
diferenciar	ciência_exacta/matematica/matemática/ciências_exactas
atenuar	lei/jurisprudência/ciências_jurídicas
privatizar	industria/comércio/negócio/empresa/indústria/manufatura
caminhar	esporte/esporte
gravar	película/filme/produção/cinema/informática/ciência_da_computação/arte
subir	esporte
delinear	arte
programar	informática/ciência_da_computação
livrar	quimica/química
liquidar	comércio/mercantilismo/comercialismo
calcular	ciência_exacta/matematica/matemática/ciências_exactas
exportar	informática/ciência_da_computação/comércio/mercantilismo/comercialismo
salvar	informática/ciência_da_computação
atestar	lei/jurisprudência/ciências_jurídicas
andar	esporte
instruir	lei/jurisprudência/ciências_jurídicas
polarizar	ciências_físicas/fisica/física/física
intermediar	comércio/mercantilismo/comercialismo
protocolar	lei/jurisprudência/ciências_jurídicas
versar	poema/verso/poesia
congelar	ciências_físicas/fisica/física/física
seqüestrar	crime/ofensa/crime/ofensa
aprisionar	lei/jurisprudência/ciências_jurídicas
saldar	comércio/mercantilismo/comercialismo
induzir	ciências_físicas/fisica/física/física
renegociar	contrato/acordo
aliviar	psicanálise
resgatar	crime/ofensa
endereçar	informática/ciência_da_computação
tocar	música/música
cultivar	cultivo/pecuária/agricultura/cultivo/pecuária/agricultura/vegetal/planta/flora
racionalizar	ciência_exacta/matematica/matemática/ciências_exactas
soltar	quimica/química
roubar	crime/ofensa/crime/ofensa/beisebol/basebol
reconsiderar	legislação
capturar	beisebol/basebol
ilustrar	arte
debilitar	quimica/química
crer	crença_religiosa/fé/religião
protagonizar	arte_dramatica/dramaturgia/teatro
comercializar	comércio/mercantilismo/comercialismo
propagar	vegetal/planta/flora
capacitar	lei/jurisprudência/ciências_jurídicas
sanar	remédio/prática_da_medicina/medicina/incisão/medicina
abastecer	comércio/mercantilismo/comercialismo
naturalizar	vegetal/planta/flora
plantar	cultivo/pecuária/agricultura/cultivo/pecuária/agricultura
extrair	quimica/química
alfabetizar	linguagem/discurso/idioma/língua
retratar	arte
harmonizar	música
subornar	crime/ofensa/crime/ofensa
extrapolar	ciência_exacta/matematica/matemática/ciências_exactas
desenhar	arte
convergir	ciência_exacta/matematica/matemática/ciências_exactas
encarcerar	lei/jurisprudência/ciências_jurídicas
cristalizar	ciências_físicas/fisica/física/física
armazenar	comércio/mercantilismo/comercialismo
sequestrar	quimica/química/crime/ofensa/crime/ofensa
leiloar	comércio/mercantilismo/comercialismo
voar	aeroplano/aeronave/avião
inibir	quimica/química
diagnosticar	remédio/prática_da_medicina/medicina/incisão/medicina
pintar	arte/arte
computar	ciência_exacta/matematica/matemática/ciências_exactas
testemunhar	lei/jurisprudência/ciências_jurídicas/lei/jurisprudência/ciências_jurídicas
escalar	esporte
dissociar	quimica/química
solidificar	ciências_físicas/fisica/física/física/ciências_físicas/fisica/física/física
perdoar	lei/jurisprudência/ciências_jurídicas
lavrar	cultivo/pecuária/agricultura/cultivo/pecuária/agricultura
fotografar	fotografia
truncar	ciência_exacta/matematica/matemática/ciências_exactas
convencionar	arte
revender	comércio/mercantilismo/comercialismo
estocar	comércio/mercantilismo/comercialismo
acessar	informática/ciência_da_computação
injetar	remédio/prática_da_medicina/medicina/incisão/medicina
imitar	informática/ciência_da_computação
extorquir	crime/ofensa
contrabandear	comércio/mercantilismo/comercialismo/crime/ofensa
sentenciar	lei/jurisprudência/ciências_jurídicas
pilotar	aeroplano/aeronave/avião
modelar	arte
limpar	informática/ciência_da_computação/quimica/química
filmar	película/filme/produção/cinema
arbitrar	esporte
apanhar	beisebol/basebol
republicar	lei/jurisprudência/ciências_jurídicas
potencializar	medicamento/produtos_farmacêuticos/remédio/droga/entorpecente
mitigar	lei/jurisprudência/ciências_jurídicas
mapear	informática/ciência_da_computação
decair	ciências_físicas/fisica/física/física
adorar	crença_religiosa/fé/religião
semear	cultivo/pecuária/agricultura/cultivo/pecuária/agricultura
iluminar	arte
eletrificar	ciências_físicas/fisica/física/física
corromper	crime/ofensa
remediar	lei/jurisprudência/ciências_jurídicas/remédio/prática_da_medicina/medicina/incisão/medicina
licitar	comércio/mercantilismo/comercialismo
interiorizar	psicologia/psicólogos_por_nacionalidade
desintegrar	ciências_físicas/fisica/física/física
curar	remédio/prática_da_medicina/medicina/incisão/medicina/remédio/prática_da_medicina/medicina/incisão/medicina
sincronizar	película/filme/produção/cinema
estrelar	arte_dramatica/dramaturgia/teatro
digitalizar	remédio/prática_da_medicina/medicina/incisão/medicina
comerciar	comércio/mercantilismo/comercialismo
chutar	esporte/jogo_de_futebol/futebol
chantagear	crime/ofensa
vacinar	remédio/prática_da_medicina/medicina/incisão/medicina
transacionar	comércio/mercantilismo/comercialismo
saturar	quimica/química
posar	arte
passear	esporte
internalizar	psicologia/psicólogos_por_nacionalidade
extirpar	cirurgia
driblar	esporte
destilar	quimica/química/quimica/química/quimica/química
catalisar	quimica/química
amoldar	arte
transladar	ciências_físicas/fisica/física/física
traficar	comércio/mercantilismo/comercialismo/crime/ofensa
sangrar	remédio/prática_da_medicina/medicina/incisão/medicina
rascunhar	arte
purificar	quimica/química/quimica/química
manejar	gado/pecuária/animais_domésticos
inocular	remédio/prática_da_medicina/medicina/incisão/medicina
domesticar	vegetal/planta/flora/besta/criatura/ser/bicho/animal/besta/criatura/ser/bicho/animal
decompor	gramática
rubricar	arte
rimar	poema/verso/poesia
remir	crime/ofensa
raptar	crime/ofensa/crime/ofensa
piratear	crime/ofensa
narcotizar	remédio/prática_da_medicina/medicina/incisão/medicina
medicar	remédio/prática_da_medicina/medicina/incisão/medicina/remédio/prática_da_medicina/medicina/incisão/medicina/remédio/prática_da_medicina/medicina/incisão/medicina
liquefazer	ciências_físicas/fisica/física/física
gelar	ciências_físicas/fisica/física/física
estilizar	moda/moda/arte
esquiar	esporte
escusar	lei/jurisprudência/ciências_jurídicas
encharcar	besta/criatura/ser/bicho/animal
eletrizar	ciências_físicas/fisica/física/física
dublar	película/filme/produção/cinema
domar	vegetal/planta/flora/besta/criatura/ser/bicho/animal
deslizar	esporte
desclassificar	esporte
arrumar	moda/moda
arar	cultivo/pecuária/agricultura/cultivo/pecuária/agricultura
amputar	remédio/prática_da_medicina/medicina/incisão/medicina
amanhar	cultivo/pecuária/agricultura
