fazer	arte_dramatica/dramaturgia/teatro/comércio/mercantilismo/comercialismo/cultivo/pecuária/agricultura
provar	lei/jurisprudência/ciências_jurídicas/ciência_exacta/matematica/matemática/ciências_exactas/disciplina_cientifica/ciência
apelar	lei/jurisprudência/ciências_jurídicas
tramitar	comércio/mercantilismo/comercialismo
diferenciar	ciência_exacta/matematica/matemática/ciências_exactas
atenuar	lei/jurisprudência/ciências_jurídicas
privatizar	industria/comércio/negócio/empresa/indústria/manufatura
caminhar	esporte/esporte
gravar	película/filme/produção/cinema/arte
subir	esporte
delinear	arte
livrar	quimica/química
liquidar	comércio/mercantilismo/comercialismo
calcular	ciência_exacta/matematica/matemática/ciências_exactas
reproduzir	biologia/ciências_da_vida
exportar	comércio/mercantilismo/comercialismo
atestar	lei/jurisprudência/ciências_jurídicas
andar	esporte
instruir	lei/jurisprudência/ciências_jurídicas
polarizar	ciências_físicas/fisica/física/física
intermediar	comércio/mercantilismo/comercialismo
protocolar	lei/jurisprudência/ciências_jurídicas
congelar	ciências_físicas/fisica/física/física
seqüestrar	crime/ofensa/crime/ofensa
aprisionar	lei/jurisprudência/ciências_jurídicas
saldar	comércio/mercantilismo/comercialismo
reger	música/música
induzir	ciências_físicas/fisica/física/física
resgatar	crime/ofensa
tocar	música/música/música
cultivar	cultivo/pecuária/agricultura/cultivo/pecuária/agricultura/vegetal/planta/flora
racionalizar	ciência_exacta/matematica/matemática/ciências_exactas
soltar	quimica/química
roubar	crime/ofensa/crime/ofensa
reconsiderar	legislação
enriquecer	preparação/culinária/cozinha
ilustrar	arte
aquartelar	forças_armadas/exército/máquina_de_guerra
debilitar	quimica/química
crer	crença_religiosa/fé/religião
protagonizar	arte_dramatica/dramaturgia/teatro
comercializar	comércio/mercantilismo/comercialismo
reconstruir	edificação/construção
propagar	biologia/ciências_da_vida/vegetal/planta/flora
capacitar	lei/jurisprudência/ciências_jurídicas
salgar	preparação/culinária/cozinha/preparação/culinária/cozinha
abastecer	comércio/mercantilismo/comercialismo
naturalizar	vegetal/planta/flora
queimar	preparação/culinária/cozinha
plantar	cultivo/pecuária/agricultura/cultivo/pecuária/agricultura
extrair	quimica/química
alfabetizar	linguagem/discurso/idioma/língua
retratar	arte
improvisar	preparação/culinária/cozinha
harmonizar	música/música
subornar	crime/ofensa/crime/ofensa
extrapolar	ciência_exacta/matematica/matemática/ciências_exactas
desenhar	arte
convergir	ciência_exacta/matematica/matemática/ciências_exactas
encarcerar	lei/jurisprudência/ciências_jurídicas
cristalizar	ciências_físicas/fisica/física/física
cantar	música/música
armazenar	comércio/mercantilismo/comercialismo
sequestrar	quimica/química/crime/ofensa/crime/ofensa
leiloar	comércio/mercantilismo/comercialismo
voar	aeroplano/aeronave/avião
inibir	quimica/química/biologia/ciências_da_vida
pintar	arte/arte
computar	ciência_exacta/matematica/matemática/ciências_exactas
testemunhar	lei/jurisprudência/ciências_jurídicas/lei/jurisprudência/ciências_jurídicas
escalar	esporte
dissociar	quimica/química
solidificar	ciências_físicas/fisica/física/física/ciências_físicas/fisica/física/física
reerguer	edificação/construção
perdoar	lei/jurisprudência/ciências_jurídicas
lavrar	cultivo/pecuária/agricultura/cultivo/pecuária/agricultura
truncar	ciência_exacta/matematica/matemática/ciências_exactas
convencionar	arte
revender	comércio/mercantilismo/comercialismo
fortificar	preparação/culinária/cozinha
estocar	comércio/mercantilismo/comercialismo
extorquir	crime/ofensa
contrabandear	comércio/mercantilismo/comercialismo/crime/ofensa
sentenciar	lei/jurisprudência/ciências_jurídicas
pilotar	aeroplano/aeronave/avião
modelar	arte
limpar	quimica/química
filmar	película/filme/produção/cinema
erigir	edificação/construção
arbitrar	esporte
republicar	lei/jurisprudência/ciências_jurídicas
potencializar	medicamento/produtos_farmacêuticos/remédio/droga/entorpecente
modular	música
mitigar	lei/jurisprudência/ciências_jurídicas
decair	ciências_físicas/fisica/física/física
adorar	crença_religiosa/fé/religião
semear	cultivo/pecuária/agricultura/cultivo/pecuária/agricultura
refrear	jogo_de_cartas
iluminar	arte
eletrificar	ciências_físicas/fisica/física/física
dourar	preparação/culinária/cozinha
corromper	crime/ofensa
replicar	biologia/ciências_da_vida
remediar	lei/jurisprudência/ciências_jurídicas
licitar	comércio/mercantilismo/comercialismo
interiorizar	psicologia/psicólogos_por_nacionalidade
desintegrar	ciências_físicas/fisica/física/física
copiar	biologia/ciências_da_vida
temperar	preparação/culinária/cozinha/preparação/culinária/cozinha/preparação/culinária/cozinha
sincronizar	película/filme/produção/cinema
redimir	igrejas/igreja/religião
estrelar	arte_dramatica/dramaturgia/teatro
dançar	dança/baile
comerciar	comércio/mercantilismo/comercialismo
chutar	esporte/jogo_de_futebol/futebol
chantagear	crime/ofensa
transacionar	comércio/mercantilismo/comercialismo
torrar	preparação/culinária/cozinha
saturar	quimica/química
recapitular	música
posar	arte
passear	esporte
internalizar	psicologia/psicólogos_por_nacionalidade
envenenar	preparação/culinária/cozinha
driblar	esporte
destilar	quimica/química/quimica/química/quimica/química
catalisar	quimica/química
amoldar	arte
verbalizar	linguagem/idioma/discurso/língua
vegetar	biologia/ciências_da_vida
transladar	ciências_físicas/fisica/física/física
traficar	comércio/mercantilismo/comercialismo/crime/ofensa
rascunhar	arte
purificar	quimica/química/quimica/química
exorcizar	igrejas/igreja/religião
enlatar	preparação/culinária/cozinha
domesticar	vegetal/planta/flora/besta/criatura/ser/bicho/animal/besta/criatura/ser/bicho/animal
crismar	igrejas/igreja/religião
cozinhar	preparação/culinária/cozinha
rubricar	arte
rocar	xadrez/jogo_de_xadrez
remir	crime/ofensa
raptar	crime/ofensa/crime/ofensa
piratear	crime/ofensa
marinar	preparação/culinária/cozinha
liquefazer	ciências_físicas/fisica/física/física
gelar	ciências_físicas/fisica/física/física
ferver	preparação/culinária/cozinha/preparação/culinária/cozinha
estilizar	arte
esquiar	esporte
escusar	lei/jurisprudência/ciências_jurídicas
encharcar	besta/criatura/ser/bicho/animal
eletrizar	ciências_físicas/fisica/física/física
dublar	película/filme/produção/cinema
domar	vegetal/planta/flora/besta/criatura/ser/bicho/animal
deslizar	esporte
desclassificar	esporte
clarificar	preparação/culinária/cozinha/preparação/culinária/cozinha
canonizar	igrejas/igreja/religião
brilhar	estrela/corpo_celeste/astro
assar	preparação/culinária/cozinha/preparação/culinária/cozinha
arar	cultivo/pecuária/agricultura/cultivo/pecuária/agricultura
amanhar	cultivo/pecuária/agricultura
