sul	ku_klux_klan/ku_klux_klan
china	ki/qui/ki/ieoh_ming_pei/ieoh_ming_pei/rio_yalu/hangzhou/revolução_cultural/revolução_cultural_chinesa/línguas_sino-tibetanas/línguas_sino-tibetanas/chinês/língua_chinesa/feng_shui/feng_shui/revolução_comunista_chinesa/acupuntura/acupuntura
japão	seiji_ozawa/leo_esaki/leo_esaki/lutadores_de_sumô/distrito/yakuza/exército_vermelho_japonês/exército_vermelho_japonês/aum_shinrikyo/aum_shinrikyo/saqué/saqué/saquê/tempurá/suchi/sushi/sashimi/wasabi/missô/japonês/camicase/kamikaze/futon/origami/origami/caratê/karatê/jiu-jitsu/jiu-jítsu/shogi/go/go/sumô/harakiri
áfrica	emir/negro/negra/corno_de_áfrica/corno_de_áfrica/namibia/namíbia/guerra_dos_boers/guerra_dos_boers/safari/safári
colômbia	cartel_de_cali/cartel_de_cali/cartel_de_cáli/cartel_de_medellín/cartel_de_medellín/forças_armadas_revolucionárias_da_colômbia/forças_armadas_revolucionárias_da_colômbia
espanha	inquisidor-geral/inquisidor_geral/conquistador/grapo/grapo/eta/euskadi_ta_askatasuna/euskadi_ta_askatasuna/sangria/paelha/paeja/paella/catalão/língua_castelhana/espanhol/castelhano/língua_galega/galego/guerra_civil_espanhola/auto-de-fé/auto_da_fé
bélgica	ypres/batalha_de_waterloo/batalha_de_waterloo/batalha_de_fontenoy
canadá	1_de_julho/1_de_julho/toronto/serviço_canadense_de_inteligência_de_segurança
pacífico	mar_das_filipinas/mar_das_filipinas
coréia	guerra_da_coreia
viena	wiener_schnitzel/wiener_schnitzel
urss	isaac_stern/isaac_stern/estepe/kolkhoz/kolkhoz/kvas/russo/língua_russa/revolução_de_outubro/revolução_de_fevereiro
índia	nababo/subcontinente/ashram/ashram/hinduismo/hinduísmo/chapati/revolta_dos_sipais/revolta_dos_sipais
sudoeste	ribeiro
rússia	isaac_stern/isaac_stern/estepe/serviço_de_inteligência_estrangeiro/kolkhoz/kolkhoz/kvas/russo/língua_russa/revolução_de_outubro/revolução_de_fevereiro
turquia	partido_dos_trabalhadores_do_curdistão/partido_dos_trabalhadores_do_curdistão
grécia	baco/sísifo/midas/souvlaki/souvlaki/peã/grego/ditirambo/cavalos_de_troia/trojan/panteão/panteão/guerras_dos_bálcãs/guerras_dos_balcãs/termópilas/mantineia/leuctra/queroneia
austrália	rupert_murdoch/rupert_murdoch/colega/australiano
vietnã	guerra_do_vietnã/dien_bien_phu
líbano	frente_pela_libertação_da_palestina/frente_pela_libertação_da_palestina/hizbollah/tabule
grã-bretanha	sesta/boxing_day/boxing_day/rag_week/5_de_novembro/5_de_novembro/trilhão/bilhão/bilião/mil_milhões/stone/rod/polegada/alfândega/taxas/onda_média/onda_média/avaliador/teddy_boy/dedo-duro/sir/preceptor/preceptor/par/clientes_de_usenet/vovó_/avó/mod/colega/lady/estagiário/estagiária/residente/condestável/falsificador_de_moedas/chanceler/reitor/cientista/deputado/anglo-saxão/vale/grã-bretanha/grã_bretanha/condado/condado/condados_do_reino_unido/charnecas/charneca/autoridades_locais/bosquezinho/almirantado/mi6/serviço_aéreo_especial/parlamento/sociedade_limitada/recuperação_de_informação/chá_preto/chá_preto/chá/kedgeree/melaço/bolacha/biscoito/cookie/pudim/sobremesa/merenda/farinha/skiffle/código_de_estrada/magna_carta/magna_carta/thatcherismo/fedor/nous/fisionomia/fisiognomia/rosto/face/pia/lavabo/secateurs/podadeira/bicicleta_de_pedal/bicicleta/bar/boteco/taberna/pub/botequim/pai-nosso/anoraque/parca/joaninha/macacão/cadeia/prisão/presídio/macintosh/estrada/estradas_principais/guido/maçaneta/escritório/salão/sala_de_estar/sala/trepa-trepa/barra/batalha_da_grã-bretanha/pancadaria/custos/ministro/rúgbi/râguebi/gafe
texas	batalha_do_alamo
bulgária	pleven
palestina	organização_para_a_libertação_da_palestina/organização_para_a_libertação_da_palestina/frente_popular_para_a_libertação_da_palestina/fplp/jihad_islâmica/fdlp/frente_democrática_para_a_libertação_da_palestina/fatah
tailândia	línguas_sino-tibetanas/línguas_sino-tibetanas
paquistão	inter-services_intelligence/madraçal/lashkar-e-taiba/al-qaida/al-qaeda
irlanda	peter_o'toole/peter_o'toole/banshee/banshee/tuatha_dé_danann/tuatha_dé_danann/tuatha_de_danann/morrigan/morrígan/lug/danu/angus_mac_og/angus_mac_og/irlandês/gaélico/língua_irlandesa/patronímico
escócia	pouquinho/criança/cânion/ravina/haggis/pãozinho/escocês/inglês_escocês/curling
filipinas	new_people's_army/new_people's_army/abu_sayyaf/baía_de_manila/baía_de_manila/leyte/corregidor
pensilvânia	batalha_de_gettysburg
arábia	emir
italia	calábria/calabria/basilicata/brigadas_vermelhas/brigadas_vermelhas/etiqueta_br/taxa_de_transferência_de_bits/tag_br/calamar/polenta/língua_italiana/italiano/salerno/ravenna/batalha_de_magenta/batalha_de_magenta/cannae
atlanta	atlanta
malásia	jemaah_islamiyah
havaí	luau/língua_havaiana/língua_havaiana/havaiano/ukulele/golfinho
jordânia	fatah
afeganistão	loya_jirga/al-qaida/al-qaeda
coreia	guerra_da_coreia
babilônia	shamash/ninurta/ningishzida/niña/nabu/marduque/ishtar/anunnaki/anu/anshar/adapa/adad/babilônia/babilónia
iêmen	exército_islâmico_de_áden-abyan
fenícia	dagon/astarte/fenício/língua_fenícia
canada	1_de_julho/1_de_julho/toronto/serviço_canadense_de_inteligência_de_segurança
bangladesh	madraçal/hinduismo/hinduísmo
sião	línguas_sino-tibetanas/línguas_sino-tibetanas
sicília	siracusa
georgia	atlanta
escandinávia	troll/troll/lutefisk
birmânia	línguas_sino-tibetanas/línguas_sino-tibetanas
árabia	emir
nepal	hinduismo/hinduísmo
mesopotâmia	tiamat/nanna/ningal/nergal/namtar/babilônia/babilonia/babilónia/acádio/acadiano/língua_acádia
india	nababo/subcontinente/ashram/ashram/hinduismo/hinduísmo/chapati/revolta_dos_sipais/revolta_dos_sipais
criméia	guerra_da_crimeia
camboja	khmer_vermelho/khmer_vermelho
assíria	shamash/nusku/ishtar
africa	emir/negro/negra/corno_de_áfrica/corno_de_áfrica/namibia/namíbia/guerra_dos_boers/guerra_dos_boers/safari/safári
