ser	existente
realidade	irreal/não_material/irreal/não_material/existente/existente/efetivo/verdadeiro/efectivo/real
diferença	diferente
independência	independente/dependente
confiança	tímido/inseguro/confiante
legalidade	ilegal/legal/fora_da_lei/ilegal/lícito
natureza	lhano/gentil/afável/amável
propósito	funcional
personalidade	individual
postura	vertical
suficiente	escasso
volume	suave/estrepitante/berrante/alto/alta
moral	puro/imoral/moral
honra	mal_afamado/respeitável
correção	preciso/exacto/justo/exato/acurado
colocação	interno/adventício/interno/externo/rabo/posterior/traseiro
mal	mau/maléfico/malvado/ruim
duração	curto/de_duração
altura	baixo/alto/deprimido/alto
ideologia	liberal/conservador
fidelidade	infiel
gênero	assexual/sexual/macho/varão
potencial	possível/potencial
potência	impotente/ineficaz/potente
amizade	amistoso/amigo/amigável
consciência	ciente/informado
bem-estar	adoentado/doente/doentio/insalubre/saudável/salubre/são
peso	leve/pesado/magro/esbelto/gordo
aspiração	ambicioso
quantidade	deficiente/insuficiente/suficiente/bastante/padrão/escasso/insuficiente/abastado/copioso/abundante/basto/farto/bastante/lauto
popularidade	popular
eficiência	inútil/vão/eficiente/eficaz/efetivo
humanidade	desumano/inumano/humano/humanitário/humano
dimensão	pequeno/grande
igualdade	igual/idêntico/análogo/parelho
tom	acromático/cromático
alfabetização	iletrado/analfabeto
quantia	padrão
facilidade	fácil
conveniência	incoveniente/conveniente
disponibilidade	inacessível/indisponível/disponível/que_não_pode_ser_acessado/inacessível/acessível
inteligência	lerdo/estúpido/inteligente/intelectual
normalidade	anormal/normal
distinção	outro
distância	próximo/próximo/distante/distante/vizinho/perto/próximo/vizinho/perto/próximo/longe/longínquo/distante/longe/longínquo/distante
oriente	oriental/oriental
chance	impossível/possível
utilidade	inútil/vão/impróprio/inapto/útil
temor	destemido/sem_medo/receoso
fé	incerto/inseguro/certo
prontidão	pronto/preparado/prestes/disposto
ânimo	valente/bravo/afoito/corajoso/arrojado/brava/valoroso
sexo	assexual/sexual/macho/varão/homossexual/gay/homo/heterossexual/hetero
separação	separado
eficácia	impotente/ineficaz/potente/eficiente/eficaz/eficiente/eficaz/inútil/vão/eficiente/eficaz/efetivo
admissibilidade	inadmissível/lícito/admissível/aceitável
credibilidade	inacreditável/incrível/acreditável/crível
transparência	confuso
rigor	preciso/exacto/justo/exato/acurado
status	subordinada/subordinado/dominante/classe_média
localização	interno/adventício/interno/externo/rabo/posterior/traseiro
lealdade	leal/fiel/infiel
integridade	fracionário/parcial/integral/inteiro/quebrado/partido
cor	colorido/colorido
significado	significativo/importante/significante
rapidez	pronto/preparado/prestes/disposto/lento/devagar/rápido/veloz/rápida
medo	inquietante/alarmante/destemido/sem_medo/receoso
diversidade	vário/que_oferece_várias_aspectos
certeza	incerto/inseguro/incerto/inseguro/certo/certo/incerto
tamanho	pequeno/grande
lógica	lógico
habilidade	incapaz/capaz/incapaz/capaz/capaz
plenitude	vazio/cheio/lotado/pleno/detalhado/exaustivo/extenso/abrangente/amplo/incompleto/totalizado/completo/integral
coragem	valente/bravo/afoito/corajoso/arrojado/brava/valoroso
contorno	torto/escuso/reto
limpeza	suja/sujo/sujado/limpo
alma	vívido
obediência	desobediente/obediente
felicidade	triste/infeliz/triste/infeliz/feliz/contente/feliz/contente
complexidade	intrincado/complexo/singelo/simples
alegria	triste/infeliz/triste/infeliz/feliz/contente/feliz/contente
renome	mal_afamado/respeitável
moralidade	puro/imoral/moral
reputação	mal_afamado/respeitável
quantitativo	padrão
fama	mal_afamado/respeitável
terror	destemido/sem_medo/receoso
profundidade	superficial/profunda/desinteressante/raso/fundo/profundo
ambição	ambicioso
semelhança	diferente/similar/mesmo/o_mesmo/diferente/semelhante/parecido/similar
adequação	escasso/inadequado/capaz/adequado
índole	lhano/gentil/afável/amável
tolerância	permissivo
grandeza	mensurável
velocidade	lento/devagar/rápido/veloz/rápida
persistência	contínuo
moderação	moderado
imediação	imediato
realismo	irreal/não_material/existente
ascendência	maior
nascente	oriental
consistência	rala/espesso/família_de_tyrogue
significação	significativo/importante/significante
regularidade	regular
modernidade	moderno/contemporâneo
maioridade	maior
potencialidade	incapaz/capaz
magnitude	mensurável/pequeno/grande/importante
honestidade	desonesto/corrupto/desonesto/corrupto/justo/correto/justo/correto/imoral/desonroso/honroso/honrado
matiz	acromático/cromático
ironia	sarcástico
formalidade	informal/formal/informal/ceremonioso/formal
talento	incapaz/capaz/capaz
probabilidade	improvável/provável
ortodoxia	ortodoxo
temperamento	relutante/de_mau_grado
seriedade	frívolo/fútil/sério
sensibilidade	sensível/sensível
sátira	sarcástico
suficiência	escasso
eqüidade	injusto
conforto	desconfortável/pouco_à_vontade/incômodo/incómodo/confortável
sabor	insípido
precisão	preciso/exacto/justo/exato/acurado
individualismo	individual
calibre	inferior/superior
solidez	macio/duro/dura
pureza	casto/casta
nobreza	nobre
largura	estreita/estreito/amplo/largo
efetividade	inútil/vão/eficiente/eficaz/efetivo
covardia	cobarde/covardemente/covarde
sexualidade	assexual/sexual/macho/varão
maturidade	imaturo/maturo/maduro
estatura	baixo/alto
criatividade	criativo/criador/original/criativo/criador/original
temperatura	frio/fresco/frio/fresco/caloroso/caloroso/frio/frio/forgoso/quente/forgoso/quente
simplicidade	fácil
acessibilidade	inacessível/indisponível/disponível/que_não_pode_ser_acessado/inacessível/acessível
ousadia	arrojado/audacioso/destemido/bravo/corajoso/audaz
originalidade	original
exatidão	preciso/exacto/justo/exato/acurado
pudor	modesto
calor	frio/fresco/caloroso/frio/forgoso/quente
santidade	santa/sagrada/santo/sagrado
perfeição	imperfeito/perfeito/aprimorado
individualidade	individual
beleza	feia/feio/belo/lindo/bonito/formoso
asseio	suja/sujo/sujado/limpo
animação	morto/semvida/morto/semvida/vivo/vivo
valência	polivalente/bivalente
sarcasmo	sarcástico
naturalidade	antinatural/afetado/natural
modéstia	modesto
maldade	mau/maléfico/malvado/ruim
lucidez	confuso
altitude	deprimido/alto
virgindade	casto/casta
tonalidade	acromático/cromático
suscetibilidade	suscetível/susceptível
nuança	acromático/cromático
mercantilismo	comercial
integralidade	incompleto/totalizado/completo/integral
gritaria	suave/estrepitante/berrante/alto/alta
generosidade	ávido/tacanho/ávaro/liberal
fertilidade	infértil/estéril/improdutivo/infértil/estéril/improdutivo/fecundo/fértil/fecundo/fértil
familiaridade	pouco_familiar/desconhecido/estranho/familiar
excitação	excitante/emocionante
equanimidade	injusto
desembaraço	incerto/inseguro/certo
cortesia	indelicado/impolido/gentil/descortês/cortês
cheiro	inodoro
bondade	boa!/bom/boa
audácia	arrojado/audacioso/destemido/bravo/corajoso/audaz
altivez	incerto/inseguro/certo
umidade	seco/molhado
tédio	monótono/desinteressante/chato
tez	colorido/fuscícoma/castanícoma/obscurícoma/morena/de_cabelo_castanho/marronícoma/brunícoma/loiro/flavo
similitude	diferente/semelhante/parecido/similar
pose	incerto/inseguro/certo
polidez	indelicado/impolido/gentil
mutabilidade	inalterável/imutável/variável/mutável
magnetismo	atrativo/magnético/atrativo/magnético
inteireza	incompleto/totalizado/completo/integral
espessura	fino/espesso/grosso
consternação	inquietante/alarmante/destemido/sem_medo/receoso
castidade	casto/casta
benevolência	benigno
alteridade	outro
