nacional	domesticado/doméstica/domesticada
intrínseco	essencial
infeliz	triste/destestável
imutável	estável/permanente/duradouro/no_mesmo_nível/plano/constante
impiedoso	sangüíneo/sangrento
imperfeito	quebrado/partido
escuro	negro/preto
errado	falso/errado
detalhista	organizado/limpo
danoso	tóxico/doloroso/árduo/dolorido/doído/extenuante/nocivo/tóxico
casta	puro/moral
brando	tenro/meigo
benigno	amável
arrojado	valente/bravo/afoito/corajoso/arrojado/brava/valoroso/arrojado/audacioso/destemido/bravo/corajoso/audaz
simétrico	regular/paralelo/paralela
simpática	amável
qualificado	elegível/competente/habilitado
inexorável	impossível
incorreto	falso/errado
inalterável	permanente/duradouro/constante
imprudente	tolo
impotente	débil
horrível	arisco/desagradável
habilitado	habilidoso/talentoso/qualificado/eficiente/capaz
genuíno	verdadeiro/existente/honesto/sincero/honesta/sincera
débil	delicado
desagradável	ofensivo/antipático/horrível
audaz	valente/bravo/afoito/corajoso/arrojado/brava/valoroso
atípico	anormal
aprazível	agradável/simpático/belo/lindo/bonito/formoso/atraente
ávido	entusiástico/entusiasta
sincera	verdadeiro/justo/correto/honroso/honrado/genuíno/legítimo/autêntico
sensato	sábio/responsável/cautelosa/cuidadosa/prudente/atento
respeitável	respeitável/honroso/honrado
rendoso	útil
potente	poderoso/eficiente/eficaz/efetivo
paralela	comparável
maléfico	errado/que_não_tem_razão/incorrecto/ofensivo
inconsciente	adormecido
incomparável	extraordinário
fronteiro	progressivo
exigente	organizado/limpo
dedicado	sagrado/santa/sagrada/santo/sagrado
costumeiro	genérico/habitual/geral/ordinário/costumeiro/usual/comum/comum/comum
copioso	rica/rico
contente	feliz/grato/contente/alegre/feliz/grato/contente/alegre/feliz/contente/feliz/contente/contente/contente/contente/animado/animador/contente/animado/animador
congelado	frio
apropriado	conveniente/adequado/próprio
alienígena	internacional
aconselhável	sábio
valoroso	arrojado/audacioso/destemido/bravo/corajoso/audaz
singelo	simples/fácil
reto	moral/inocente/vertical/fio_de_prumo/perpendicular/directo
perpendicular	íngrime/íngreme
invariável	constante/consistente
heterogênea	vário/que_oferece_várias_aspectos
habilidoso	vivido/experimentado/experiente/competente/habilitado
estúpido	sonso/estúpido/imbecil/idiota
doentio	doente/enfermo
desperto	consciente/alerta
desconfortável	desassossegado
desaconselhável	tolo
daninho	tóxico/doloroso/árduo/dolorido/doído/extenuante/nocivo/tóxico
covardemente	receoso
condigno	elegante/esbelto/garboso/airoso/gracioso
comovente	impressionante
comestível	macio/tenro
carinhoso	apaixonado/passional
brava	arrojado/audacioso/destemido/bravo/corajoso/audaz
benfeitor	amável
apertado	tenso
apaixonado	quente/esquentado/entusiástico/entusiasta
agradável	boa!
acurado	precisa/preciso/bem_acabado/preciso/certo/exato/correcto/certo/correto/justo
acabado	liso/macio
abastado	rica/rico
íngreme	vertical/fio_de_prumo/perpendicular
virtuoso	moral
textual	preciso/certo/exato/correcto
terminado	liso/macio
tangível	concreto
significante	significativo
serviçal	útil/encorajador/cooperativo
sarcástico	crítico
rítmico	regular
piedoso	sagrado/devoto/religioso
pacato	pacífico
literal	preciso/certo/exato/correcto
liso	escorregadio/fino/no_mesmo_nível/plano
lauto	rica/rico
invulnerável	seguro/protegido
intrincado	árduo/intrincado/difícil
inconfundível	precisa/preciso/bem_acabado/definitivo
inaudível	silencioso/quieto
inapropriado	doente/enfermo
honrado	nobre/moral/honesto/sincero/honesta/sincera
homogênea	uniforme/invariável
gregário	social
gracioso	sofisticado/elegante/esbelto/garboso/airoso/gracioso/belo/lindo/bonito/formoso
fresco	novo/frio
extrovertido	passado
experimentado	duro/resistente/grosso/habilidoso/talentoso
excitante	interessante
eufórico	feliz/contente
esquisito	feia/feio
emocionante	interessante/impressionante
elástico	flexível
diligente	cautelosa/cuidadosa/prudente/atento/atarefado/ocupado
despretensioso	simples
desonroso	falso/errado
casto	puro/moral
barulhento	estrepitante/berrante/alto/alta
arisco	ofensivo/antipático/horrível
animado	feliz/grato/contente/alegre/feliz/contente
afável	agradável/simpático/amável
afortunado	próspero/bem_sucedido/bem-sucedido/privilegiado/afortunado/sortudo
adorável	desejável
