ter	caber/conter/dispõe/apresenta
gostar	satisfazer
apostar	apostar
vagar	passear/errar/vagar
acomodar	aconchegar/aconchegar-se/acariciar
queimar	pegar_fogo/conflagrar/combustir/começar_a_queimar/acender/arder
plantar	semear
extrair	sacar/tirar/puxar
irritar	enervar-se/irritar-se
secundar	apoiar/endorsar/aprovar
alastrar	espalhar/circular
adicionar	somar/adicionar
tolerar	sofrer
olhar	assistir/ver
treinar	preparar/preparar_se/preparar-se/treinar/construir/desenvolver/melhorar/treinar/exercitar/malhar
desenhar	delinear/traçar
conformar	esposar/adotar/adoptar
colar	aderir/colar
reviver	reviver/ressuscitar/acordar
provir	desenvolver
sacar	sacar/tirar/puxar/extrair/sacar/tirar
educar	preparar/preparar_se/preparar-se/treinar/construir/desenvolver/melhorar
voar	atravessar
vestir	vestir/vestir-se/arrumar-se
pairar	levitar
gritar	berrar/gritar/exclamar/bradar/chamar
afundar	abalroar/submergir/afundar
acercar	chegar
focar	fascinar/interessar
empurrar	empurrar
colidir	acertar/bater/golpear
auferir	lucrar/conquistar/adquirir/fazer
segurar	olhar/tomar_conta/guardar/capturar/apanhar/pedir
legar	transmitir/dar/deixar
insultar	blasfemar/praguejar/maldizer
enxergar	assistir/ver
comer	comer/comer
varrer	varrer
simular	fingir/atuar/fazer_de_conta
retroceder	decorrer
ressuscitar	reviver/ressuscitar/acordar
incomodar	enervar-se/irritar-se
encher	estufar
embalar	balançar/sacudir
balear	tirotear/atirar
ruir	colapsar/desistir/abandonar/largar_mão
rolar	rodar/revirar/revolver
modelar	trabalhar
limpar	remover/limpar
desabar	colapsar/desistir/abandonar/largar_mão
apanhar	guardar
sacudir	balançar/embalar
naufragar	abalroar/submergir/afundar
largar	afundar/cair
igualar	combinar
exercitar	exercitar/malhar
avizinhar	chegar
semear	semear
lavar	lavar-se/lavar/lavar/limpar
chorar	chorar
aparentar	fingir/atuar/fazer_de_conta
puxar	forçar/puxar
perecer	morrer/falhar/acabar/morrer
moldar	trabalhar
manchar	manchar
desmoronar	colapsar/desistir/abandonar/largar_mão
brotar	ramificar-se/ramificar/desgalhar
pretextar	fingir/atuar/fazer_de_conta
picar	arder
molestar	enervar-se/irritar-se
encantar	satisfazer
devotar	dar
despojar	despir/desnudar-se/desnudar/despir-se
dançar	bailar/dançar
comprazer	satisfazer
brincar	divertir_se/recrear/divertir
acamar	jazer/estar_deitado
verter	entornar/derramar/verter/entornar/derramar/verter
ramificar	ramificar-se/ramificar/desgalhar
envenenar	envenenar
desperdiçar	gastar_desperdiçando/torrar
desbravar	capitanear
derramar	entornar/derramar/verter/entornar/derramar/verter
perambular	passear/errar/vagar
malhar	exercitar/malhar
germinar	brotar/germinar
fingir	fingir/atuar/fazer_de_conta
cozinhar	fazer/acender
condizer	combinar
arredar	forçar/puxar
agastar	enervar-se/irritar-se
agasalhar	vestir/vestir-se/arrumar-se
agarrar	capturar/apanhar
pingar	gotejar/pingar
pendurar	pendurar
nadar	flutuar
ferrar	arder
despir	despir/desnudar-se/desnudar/despir-se
desnudar	despir/desnudar-se/desnudar/despir-se
cravar	espetar
convalescer	recuperar
comover	incentivar/propulsar/estimular/provocar/motivar
bifurcar	ramificar-se/ramificar/desgalhar
berrar	berrar/gritar/exclamar/bradar/chamar
balancear	equilibrar-se/balancear/equilibrar
atraiçoar	vender
aguentar	sofrer
aconchegar	aconchegar/aconchegar-se/acariciar
