deputado	frança/república_francesa/reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
poitiers	frança/república_francesa
panteão	roma/roma/grécia/grécia
pancadaria	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
mercantilismo	europa/europa
lady	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
irlandês	irlanda
cânion	américa_do_norte/américa_setentrional/escocia/escócia
condestável	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
condado	eeuu/eua/estados_unidos_da_américa/américa/estados_unidos/e.u.a./reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido/reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
chá	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
catacumba	roma
castelhano	espanha
botequim	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
antigos	império_romano/imperio_romano/império_romano
anglo-saxão	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
trojan	grécia
taco	méxico/estados_unidos_mexicanos
sísifo	grécia
siracusa	sicília
panzer	república_federal_da_alemanha/alemanha
orleães	frança/república_francesa
macacão	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
lug	irlanda
gringo	eeuu/eua/estados_unidos_da_américa/américa/estados_unidos/e.u.a.
galês	país_de_gales
gafe	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
estagiária	reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
desfiladeiro	américa_do_norte/américa_setentrional
conquistador	espanha/méxico/estados_unidos_mexicanos
coca	eeuu/eua/estados_unidos_da_américa/américa/estados_unidos/e.u.a.
centurião	roma
caratê	japão
cannae	itália/república_italiana/italia
bastilha	frança/república_francesa
al-qaeda	paquistão/república_islâmica_do_paquistão/afeganistão
agoureiro	roma
acupuntura	china/república_popular_da_china/china/república_popular_da_china
