ser	cabeça/célula
navio	convés/convés
fábrica	linha_de_montagem/linha_de_produção
água	albufeira/lago/reservatório
palavra	sílaba
natureza	qualidade/característica
noite	crepúsculo/pôr_do_sol/anoitecer/meia_noite/meia-noite
termo	sílaba
face	bochecha/testa/traço/mento/chinchilla/queixo/nariz/olfato/sobrancelha/supercílio/sobrolho/sobrancelha/óculo/olho/barba
página	margem
século	década/decênio/década/decênio
elevação	encosta/ladeira/subida/costa/declives/declive
personalidade	integridade/peculiaridade/feição
prédio	muralha/parede/muro/escada/escadaria/quarto/aposento/sala/telhado/teto/aquecimento/calefação/calefacção/centrais_de_aquecimento/pavimento/piso/andar/ascensor/elevador/jardim_interno/pátio/antessala/átrio/vestíbulo/sala/antecâmara/saguão/anexo/asa
periódico	tiras_diárias/tira_diária/banda_desenhada/tiras_de_banda_desenhada/manchete
avião	asa/ala/camarote/pedal_do_acelerador/acelerador
rodovia	acostamento/berma/encruzilhada/cruzamento/curva
habitação	estudio/escritório/mansarda/ático/trapeira/sótão/cozinha/dormitório/quarto/casa_de_banho/banheiro/quarto_de_banho/sala_de_banho
veículo	mala/bagageira/porta-malas/porta-bagagem/buzina/pedal_do_acelerador/acelerador
pecuária	colheita
mina	poço/chaminé
ramo	casca/súber
batalha	porrada/golpe
armamento	arma/armamento
divisa	coroa/cara
aula	conferência/lição/aula
ponte	pilar_de_ponte
teoria	suposição/possibilidade/hipótese/teoria
peça	coroa/cara
teatro	teatro/palco
edifício	muralha/parede/muro/escada/escadaria/quarto/aposento/sala/telhado/teto/aquecimento/calefação/calefacção/centrais_de_aquecimento/pavimento/piso/andar/ascensor/elevador/jardim_interno/pátio/antessala/átrio/vestíbulo/sala/antecâmara/saguão/anexo/asa
carro	mala/bagageira/porta-malas/porta-bagagem/buzina/pedal_do_acelerador/acelerador
mar	baía
litoral	praia
secretária	caixa/gaveta
automóvel	mala/bagageira/porta-malas/porta-bagagem/buzina/pedal_do_acelerador/acelerador
cinema	plano
assento	pé
minuto	sec/segundo/s
filme	plano
indivíduo	corpo_humano/corpo/carne/anatomia/personalidade/temperamento/pessoa
cabeça	têmpora/cara/rosto/face/crânio/crânio/crâneo/caveira/encéfalo/cérebro/encéfalo/orelha
sala	muralha/parede/muro/chão/piso/assoalho/pavimento/teto
munição	arma/armamento
estádio	campo/gramado
prata	coroa/cara
alguém	corpo_humano/corpo/carne/anatomia/personalidade/temperamento/pessoa
animal	cabeça
cultivo	colheita
pé	polegada/alfândega
moradia	cozinha/dormitório/quarto/casa_de_banho/banheiro/quarto_de_banho/sala_de_banho
domicílio	cozinha/dormitório/quarto/casa_de_banho/banheiro/quarto_de_banho/sala_de_banho
escolas	sala_de_aula/classe
raíz	casca/súber
computador	memória/placa_de_memória/hardware/circuito_integrado/microchip/ci/chip
alma	corpo_humano/corpo/carne/anatomia/personalidade/temperamento/pessoa
raiz	casca/súber
navios	convés/convés
roupa	guarda-roupa/manga/algibeira/bolso/banda/faixa
auto	mala/bagageira/porta-malas/porta-bagagem/buzina/pedal_do_acelerador/acelerador
boca	beiço/lábio/boca/língua
rosto	bochecha/testa/traço/mento/chinchilla/queixo/nariz/olfato/sobrancelha/supercílio/sobrolho/sobrancelha/óculo/olho/barba
municipalidade	região_administrativa
lar	cozinha/dormitório/quarto/casa_de_banho/banheiro/quarto_de_banho/sala_de_banho
céu	arco-íris/nuvem
barco	convés/convés
aeronave	camarote
tronco	traseiro/rabo/bumbum/popô/bunda/ânus/nádegas/ventre/abdome/estômago/barriga/abdómen/tronco/abdômen/anca/quadril/talhe/tronco/barriga/cintura/seio/peito/ombro/barriga/intestino/intestinos
decênio	ano
templo	coluna/coluna/pilar
perna	artelho/tornozelo/maléolo/joelho/pé/anca/coxa
parede	arco
doenças	síndroma/síndrome/sintoma
vestuário	guarda-roupa/manga/algibeira/bolso/banda/faixa
verbo	sílaba
fruta	casca/pele
cara	bochecha/testa/traço/mento/chinchilla/queixo/nariz/olfato/sobrancelha/supercílio/sobrolho/sobrancelha/óculo/olho/barba
temperamento	peculiaridade/feição
revólver	tubo
muro	arco
manufatura	linha_de_montagem/linha_de_produção
vocábulo	sílaba
orla	praia
ave	ala/asa/pluma/plumagem/pena/bico
jóia	gema/pedra/pedra_preciosa
refeição	porção/prato
bicicleta	corrente/cadeia
shopping	mercadoria/artigo/produto
pele	ruga/sulco/ruga/sulco/sarda/lentigem/sardas/sarda/lentigem/sardas
viatura	mala/bagageira/porta-malas/porta-bagagem/buzina/pedal_do_acelerador/acelerador
dígito	unha
aposento	muralha/parede/muro/cozinha/chão/piso/assoalho/pavimento/teto/dormitório/quarto/casa_de_banho/banheiro/quarto_de_banho/sala_de_banho
traje	guarda-roupa
estômago	barriga/intestino/intestinos
anoitecer	crepúsculo/pôr_do_sol/anoitecer
ventre	barriga/intestino/intestinos
faca	lâmina/lâmina
dedo	unha
séculos	década/decênio
pássaro	ala/asa/pluma/plumagem/pena/bico
morada	cozinha/dormitório/quarto/casa_de_banho/banheiro/quarto_de_banho/sala_de_banho
joalheria	gema/pedra/pedra_preciosa
anjo	ala/asa
vestido	guarda-roupa
vaso	rebordo/base
min	sec/segundo/s
inseto	ala/asa
criatura	cabeça
centúria	década/decênio
lâmpada	base
erva	legume/hortaliça/vegetal/verdura
barriga	barriga/intestino/intestinos
prato	molho
película	plano
ovo	casca/casca_de_ovo/casca_do_ovo
muralha	arco
missiva	linha/melodia
mercantilismo	expedição/transporte/transportação
lauda	margem
garganta	língua
cômoda	estante/prateleira/caixa/gaveta
abdome	barriga/intestino/intestinos
vivenda	estudio/escritório/mansarda/ático/trapeira/sótão
pugna	porrada/golpe
galho	casca/súber/casca/súber
escudeiro	margem
besta	cabeça
banheiro	banheira
