ano	década/decênio
condição	pacto/acordo
plano	película/filme/produção/cinema
época	período_geológico/período/duração_de_uma_vida/vida/histórico/história
paraná	paraguai/república_federativa_do_brasil/brasil/argentina
maioria	maturidade
brasília	república_federativa_do_brasil/brasil
hora	dia
carta	correspondência/correio
atuação	desempenho/interpretação/apresentação
tarde	dia
porto	listas_de_portugal/portugal
ordem	movimento_trabalhista/movimento_sindical
artigo	documento/documentação/shopping/centros_comerciais/shopping_center
luta	guerra/guerra
santos	república_federativa_do_brasil/brasil
centro	frança/república_francesa/centro_urbano/cidade/urbe/metrópole/centro_urbano/cidade/urbe/metrópole
recife	república_federativa_do_brasil/brasil
washington	washington/dublin_core/distrito_de_columbia/eeuu/eua/estados_unidos_da_américa/américa/estados_unidos/e.u.a.
morte	duração_de_uma_vida/vida
abertura	óculo/olho
década	século/século/centúria/séculos
lugar	aeroespaço/infinito/espaço
classe	sociedade/departamento/colégio/escolas/escola
ponto	código_morse/código_morse/codigo_morse/infinito/espaço
ciência	ciência
fundo	gruta/grutas/cavernas/oca/furna/caverna
pinto	aparelho_reprodutor_masculino/sistema_reprodutor_masculino
gabinete	aposento/habitação/moradia/residência/casa/lar/morada/domicílio
central	telefonia/telefonia
fundação	explanação/explicação
pessoa	indivíduo/pessoa/alguém/ser_humano/alma
conferência	curso/aula
linha	estrofe/missiva/carta
horizonte	perfil/perspectiva
terra	terra/mundo/globo_terrestre
combate	guerra/guerra
responsabilidade	caráter/personalidade
salário	salário
natal	dezembro/dezembro/dez/dezembro/dezembro/dez/janeiro/jan/janeiro/áfrica_do_sul
norte	eeuu/eua/estados_unidos_da_américa/américa/estados_unidos/e.u.a.
possibilidade	teoria
representação	desempenho/interpretação/apresentação
sindicato	movimento_trabalhista/movimento_sindical
distribuição	mercadologia/marketing/marketing/mercadologia/marketing/marketing
princípio	ética
caráter	personalidade/temperamento/pessoa
transporte	comércio/mercantilismo/comercialismo
dez	calendário_revolucionário/calendário_gregoriano
golpe	batalha/pugna/peleja/luta/disputa/combate
reserva	seleção/time/equipe/companhia
salvador	américa_central
título	figura/ilustração/desenho
seção	lâmina/todo/unidade
livro	texto
pena	ala/asa/pássaro/ave
café	árvore_de_café/café
levante	médio_oriente/oriente_próximo/oriente_próximo/oriente_médio/médio-oriente
servidor	rede_de_computadores/rede_de_computadores/rede
articulação	endosqueleto/endoesqueleto
amazonas	república_do_peru/peru/república_federativa_do_brasil/brasil
rádio	ante-braço/antebraço/antebraço/rádio
corrente	bicicleta/biciclo/bici
américa	américa_do_norte/américa_setentrional
texto	cantiga/canção/publicação/edição
idade	duração_de_uma_vida/vida/histórico/história
campo	arena/estádio
produto	shopping/centros_comerciais/shopping_center
televisão	tevê/televisão/sistema_de_televisão
carneiro	ovelha
judiciário	autoridades/governo/regime
curitiba	república_federativa_do_brasil/brasil
episódio	folhetim_televisivo
arma	equipamento_militar/arma/armamento/munição
coluna	periódico/folha/jornal/templo/templo
prorrogação	esporte
conclusão	discurso/história/conto/narração/silogismo
fase	ciclo
negócio	mercado
venda	mercadologia/marketing/marketing
alemanha	europa
eua	américa_do_norte/américa_setentrional
corpo	anatomia/parte_do_corpo/estrutura_organica/corpo/corpo_humano/humano/ser_humano/indivíduo/pessoa/alguém/ser_humano/alma
argentina	américa_do_sul
braga	listas_de_portugal/portugal
vieira	vieira
belém	república_federativa_do_brasil/brasil/cisjordânia
gás	infraestructura/infraestrutura/infra-estrutura
dinheiro	dinheiro_circulante
frança	europa
emissora	sistemas_de_comunicações
execução	processamento_de_dados
praça	cidade
europa	eurasia/eurásia
coelho	lebre/lebrão/coelho-europeu
itália	europa
paris	texas/frança/república_francesa
mão	braço/humano/ser_humano
luz	phot/espectro_eletromagnético/espectro_eletromagnético
queda	duração_de_uma_vida/vida
intenção	programa
jogo	tempo/turno/jogo/rodada/esporte
manhã	jornada/dia
qualidade	natureza
quarto	hora/galão/aposento/habitação/moradia/residência/casa/lar/morada/domicílio/edifício/prédio
acre	república_federativa_do_brasil/brasil/estado_de_israel/israel
informática	processamento_de_dados/ciência_da_informação
cordeiro	ovelha
nogueira	nogueira/juglans/nogueira-comum
jornada	dia
editorial	periódico/folha/jornal
albuquerque	novo_méxico/novo_méxico
semana	mês/semana
escritório	prédio_comercial/prédio_de_escritórios/edifício_residencial/habitação/casa/vivenda
item	lista/listagem/lista_numerada
tv	tevê/televisão/sistema_de_televisão
uruguai	américa_do_sul
meta	programa
notícia	periódico/folha/jornal
grau	sextante
promoção	mercadologia/marketing/marketing
suspensão	veículos_motorizados/trem/vagão/vagões/automotora/carro/comboio/automóvel
propaganda	mercadologia/marketing/marketing
espaço	pauta/notacao_musical/notação_musical/notação_musical
atribuição	ganancia/rendimento
ala	anjo/aeroplano/avião/hemípteros/inseto/insetos/insecto/insectos/quirópteros/morcego/pássaro/ave
passo	caminhada
moeda	dinheiro_circulante
radical	molécula
passagem	texto
margem	lauda/escudeiro/página
índice	publicação/edição
eme	polegada/alfândega
tomada	lâmpada/lâmpadas
hospital	hospital/enfermaria
prado	zona_rural/área_rural/campo
remuneração	salário
vila	vanuatu
teto	camiões/caminhão/camião/camiões/quarto/aposento/sala/saguão/salão/auto/veículo/carro/automóvel/viatura/autocarro/ônibus/edifício/prédio
norma	livro_de_regras/livro
paraguai	américa_do_sul
chile	américa_do_sul
entrada	muralha/parede/muro/críquete/criquete/críquete
genebra	suiça/suíça
tarefa	pedagogia/ensino/formação/educação/didáctica/ensinamento/instrução
londres	inglaterra
acesso	muralha/parede/muro
núcleo	átomo
semestre	ano_escolar/ano/ano_escolar/ano
lisboa	listas_de_portugal/portugal
caixa	mesa/secretária/escrivaninha/cômoda/cômoda/cômodas/aparelhador/gaveteiro/cómoda/bufete/prateleiras/armário
risco	cabelo
portugal	europa/península_ibérica/península_ibérica
méxico	mesoamérica
alvo	programa
água	superfície/hidrosfera/infraestructura/infraestrutura/infra-estrutura
palavra	kibibyte
roma	itália/república_italiana/italia/igreja_católica/igreja_católica_romana
natureza	personalidade/temperamento/pessoa
nilo	uganda/república_da_uganda/sudao/sudão/república_árabe_do_egito/egito/república_árabe_unida/egipto/república_árabe_do_egipto
noite	fim_de_tarde/noitada/tarde/noite/dia
termo	período_de_gestação/gestação/pacto/acordo/proposição
inglaterra	europa/reino-unido/grã-bretanha/reino_unido_da_grã-bretanha_e_irlanda_do_norte/reino_unido
regra	livro_de_regras/livro/livro_de_regras/livro
instrução	programa_de_computador/programa_de_computador/programa/programa_de_computador/programa_de_computador/programa
face	cabeça/humano/ser_humano/besta/criatura/ser/bicho/animal
bolívia	américa_do_sul
advento	calendário_religioso
memória	calculadora/computador
frota	empresa_aérea/empresas_aéreas/linha_aérea
suíça	europa
metade	tempo/turno/jogo/rodada/basquete/basquetebol/bola-ao-cesto/basquetebol/jogo_de_futebol/futebol
evento	episódio
infra-estrutura	sistema
montevidéu	uruguai
século	milênio/milénio/milênio/milénio
cuba	cuba/grandes_antilhas/grandesantilhas/grandes_antilhas/caribe
israel	médio_oriente/oriente_próximo/oriente_próximo/oriente_médio/médio-oriente/médio_oriente/oriente_próximo/oriente_próximo/oriente_médio/médio-oriente
capítulo	texto
personalidade	personalidade/temperamento/pessoa/indivíduo/pessoa/alguém/ser_humano/alma
manobra	esporte
nascimento	duração_de_uma_vida/vida/reprodução
helena	montana
bairro	cidade
art.	documento/documentação
balanço	contabilidade/conta/parque/play_ground/parquinho/playground
toledo	espanha
madrugada	fim_de_tarde/noitada/tarde/noite
introdução	discurso/história/conto/narração
peru	américa_do_sul
segmento	todo/unidade
vantagem	ténis/tênis
cabo	áfrica_do_sul/ponteiro/flecha/regador/guarda-chuva/sombrinha/chapéu-de-chuva/telefonia/gládio/espada/ponte_suspensa/ponte_pênsil/panela/caçarola/raquete/caneca/concha/ferramenta/aparelho_de_telefone/guidon/guidom/guidão/carrinho_de_mão/frigideira/torneira/bica/punhal/adaga/talheres/faqueiro/carrinho_de_bebê/televisão_a_cabo/brocha/escova_de_dentes/pincel/escova/carteira/maleta/pasta/teca/embrulho/bagagens/bagagem/mala
china	ásia
santiago	república_do_chile/chile
hierarquia	organização/sistema/administração/organização
íris	óculo/olho/óculo/olho
domingos	caribe
venezuela	américa_do_sul
característica	natureza
leme	embarcações/embarcação/barco/navio/navios/rebocador/navios/embarcação/navio/barco/navios-veleiro/veleiro
clínica	hospital/enfermaria
incidente	episódio
japão	pacífico/oceano_pacífico/ásia
etapa	jornada/viagem
conteúdo	publicação/edição
hipótese	teoria
guarda	comitiva/séquito
estação	ano
colômbia	américa_do_sul
cadeia	molécula/bicicleta/biciclo/bici
mina	mina_de_carvão
londrina	inglaterra
publicidade	mercadologia/marketing/marketing
espanha	europa/espanha/península_ibérica/península_ibérica
destino	sobrenatural/oculto/ocultismo/missiva/carta
pimenta	pimenta-preta/pimenta_do_reino/pimenta_preta/pimenta-do-reino/pimenta_preta/pimenta/pimentão
holanda	europa
ponta	cone/gládio/espada/alfinete/lápis/lápis/caneta_esferográfica/caneta/caneta-tinteiro/agulha/coitelo/faca/faca/picador_de_gelo/furador/ponta_de_flecha/ponta_de_seta/caxato
assunção	paraguai
fixação	plastinação
ar	terra/mundo/globo_terrestre
frederico	maryland
parágrafo	texto
domínio	nação/país/terra
passado	vida
letra	cantiga/canção/cantiga/canção/ortografia
gráfico	publicação/edição
tiro	república_do_líbano/líbano
vaticano	vaticano/santa_sé/estado_da_cidade_do_vaticano/cidade_do_vaticano/roma
emissor	transistor/transístor
batalha	guerra/guerra
lago	água/redes_de_distribuição_de_água/fornecimento_de_água
barra	barras_paralelas/barras_de_ginástica/barra/barra_fixa/gol
armamento	equipamento_militar/arma/armamento/munição
arte	publicação/edição
divisa	dinheiro_circulante
aragão	espanha
aula	curso/aula
ponte	tronco_cerebral
estilo	pistilo
teoria	teoria
berlim	república_federal_da_alemanha/alemanha
inspiração	solução_de_problemas/respiração
ferrovia	estrada_de_ferro
teatro	teatro/casa
anúncio	mercadologia/marketing/marketing
cachoeira	rio
bélgica	europa
parque	zona_urbana/áreas_urbanas/área_urbana/região_urbana
canadá	américa_do_norte/américa_setentrional
bomba	sistema_de_refrigeração
aspiração	respiração
faixa	artigo_de_vestuário/roupa/vestuário
leão	zodíaco
flor	angiospérmica/angiosperma
moscou	federação_russa/rússia
fruto	baga
droga	farmacopéia
mar	calendário_revolucionário/calendário_gregoriano/hidrosfera
sindicalismo	movimento_trabalhista/movimento_sindical
língua	faringe/garganta/boca/sapato/calçado/calçado/bota
proporção	proporção
porta	muralha/parede/muro/pórtico/acesso/entrada/porta/portão/auto/veículo/carro/automóvel/viatura
madri	espanha
redonda	antígua_e_barbuda/reino_das_ilhas_de_antígua_e_barbuda
leitura	berkshire/inglaterra
bacia	esqueleto_apendicular
domingo	fim-de-semana/fim_de_semana/final_de_semana
assento	assento/cadeira
praia	orla/litoral/costa/cabo-verde/cabo_verde/cabo_verde
interpretação	desempenho/interpretação/apresentação
caracas	venezuela
nazaré	galiléia/galileia
lafayette	indiana
acompanhamento	repasto/refeição
rosário	argentina
manchete	periódico/folha/jornal
banda	corpo/tronco/torso/artigo_de_vestuário/roupa/vestuário
cena	ato
havana	cuba
bruxelas	bélgica
minuto	hora/grau
seio	corpo/tronco/torso/vertebrado
laço	laço
cláusula	documento/documentação/frase/oração/sentença
eclesiástico	livros_apócrifos
componente	totalidade
agressão	guerra
haia	reino_dos_países_baixos/holanda/holando/países_baixos/neerlândia
mercadoria	shopping/centros_comerciais/shopping_center
solo	terra/mundo/globo_terrestre
madeira	região_autónoma_da_madeira/região_autónoma_da_madeira/república_federativa_do_brasil/brasil
diagnóstico	cuidados_médicos/cuidado_médico/cuidados_médicos
coréia	ásia
wellington	nova_zelândia
suporte	coluna/coluna/pilar
bogotá	colômbia/colombia/colómbia
viena	áustria
panamá	istmo_do_panamá/istmo_do_panamá/panamá
pádua	veneto/véneto/vêneto
borracha	lápis
herculano	itália/república_italiana/italia
cabeça	apostema/abcesso/abscesso/estrutura_organica/corpo/corpo_humano/besta/criatura/ser/bicho/animal
equador	américa_do_sul
copa	chapéu/sombreiro
nominal	substantivo/nome
telefone	telefonia
infraestrutura	sistema
anexo	edifício/prédio
sala	mansão/solar/hospital/enfermaria/aposento/habitação/moradia/residência/casa/lar/morada/domicílio/aposento/habitação/moradia/residência/casa/lar/morada/domicílio/edifício/prédio/edifício/prédio
colônia	república_federal_da_alemanha/alemanha
câncer	zodíaco
balança	zodíaco
jordão	canaã
baía	mar/mar/lago
gesto	linguagem_dos_sinais/linguagem_de_sinais/mímica/língua_de_sinais
urss	eurasia/eurásia
pedra	joalheria/jóia/joalharia
apartamento	prédio_de_apartamentos
absolvição	penitência/penitência
áustria	europa
paróquia	diocese/diocese
expedição	comércio/mercantilismo/comercialismo
índia	ásia
preceito	ética
parnaíba	república_federativa_do_brasil/brasil
noroeste	região_oeste_dos_estados_unidos_da_américa/região_oeste_dos_estados_unidos_da_américa
leis	lei/jurisprudência/ciências_jurídicas
braço	estrutura_organica/corpo/corpo_humano/cadeira_de_braços/poltrona/cadeirão/humano/ser_humano
tóquio	japão/honshu/honshū
sena	frança/república_francesa
libra	stone/zodíaco
teor	cantiga/canção
polônia	europa
hemisfério	terra/mundo/globo_terrestre/cérebro
coração	sistema_circulatório/sistema_circulatorio/sistema_cardiovascular
estrela	universo/cosmo/criação/mundo
salto	sapato/calçado/calçado/bota
montenegro	jugoslávia/iugoslávia/sérvia_e_montenegro
capa	livros/livro
pua	furadeira
frase	aria/melodia/toada
era	éon/histórico/história
biblioteca	edifício_residencial/habitação/casa/vivenda
medicamento	farmacopéia/tratamento
formato	publicação/edição
cliente	rede_de_computadores/rede_de_computadores/rede
califórnia	california/califórnia/eeuu/eua/estados_unidos_da_américa/américa/estados_unidos/e.u.a./sudoeste
tchecoslováquia	europa
medina	hejaz/arábia_saudita
fita	máquina_de_escrever/máquina-de-escrever/datilógrafo/máquina_de_escrever
carne	humano/ser_humano/vacas/bovinos/gado_bovino/gado/indivíduo/pessoa/alguém/ser_humano/alma
sudoeste	região_oeste_dos_estados_unidos_da_américa/região_oeste_dos_estados_unidos_da_américa
febre	malária/malária/malaria/paludismo
andar	edifício/prédio
rússia	eurasia/eurásia/eurasia/eurásia/eurasia/eurásia/rússia/união_das_repúblicas_socialistas_soviéticas/urss
pestana	pálpebra
lorena	frança/república_francesa
virgínia	sul/eeuu/eua/estados_unidos_da_américa/américa/estados_unidos/e.u.a.
remédio	farmacopéia/tratamento
adelaide	austrália_meridional/austrália_do_sul
trimestre	período_de_gestação/gestação/ano_escolar/ano/ano_escolar/ano
soja	soja/semente_de_soja/soja/semente_de_soja
josué	antigo_testamento/antigo_testamento
egito	áfrica/africa/médio_oriente/oriente_próximo/oriente_próximo/oriente_médio/médio-oriente
hungria	europa
endurecimento	plastinação
relevo	terra/mundo/globo_terrestre
olho	cara/rosto/face
bonn	república_federal_da_alemanha/alemanha
pé	jarda/perna/tripé/tripé/mesa/estrutura/tecido/edifício/roca_de_fiar/calça/assento/cadeira/humano/ser_humano/ovelha/carneiro/ovinos/sus/suíno/porco/felino/felídeos/cão/canídeo
ásia	eurasia/eurásia
setúbal	listas_de_portugal/portugal
localização	infinito/espaço
irã	ásia/médio_oriente/oriente_próximo/oriente_próximo/oriente_médio/médio-oriente
integridade	caráter/personalidade
colombo	sri-lanka/sri_lanka/sri_lanca/ceilão/sri_lanka
traço	cara/rosto/face
malta	mediterrâneo/mar_mediterrâneo/república_de_malta/malta
vídeo	tevê/televisão/tv
feição	personalidade/temperamento/pessoa
lídia	anatolia/anatólia/ásia_menor
bala	pente/cartucho/cartucho
s	min/minuto
revelação	novo_testamento/novo_testamento
lincoln	nebrasca/nebraska
estocolmo	suecia/suécia
berna	suiça/suíça
hamilton	ontario/ontário
caldeira	motor_a_vapor/motor_a_vapor/máquina_a_vapor/aquecimento/calefação/calefacção/centrais_de_aquecimento
vegetal	erva
pato	anatidae/anás/pato/pata
amarelo	china/república_popular_da_china
reservatório	água/redes_de_distribuição_de_água/fornecimento_de_água
palma	pata/mão
palco	teatro/casa
desenho	publicação/edição
clara	ovo
acréscimo	estatuo/estatuto/projecto_de_lei
absorção	extinção
laranja	laranjeira/citrus_x_sinensis
célula	ser/organismo
poço	túnel/mina
motor	auto/veículo/carro/automóvel/viatura
jonas	antigo_testamento/antigo_testamento
iraque	ásia/médio_oriente/oriente_próximo/oriente_próximo/oriente_médio/médio-oriente
guatemala	guatemala/república_da_guatemala/américa_central
computador	plataforma
turquia	médio_oriente/oriente_próximo/oriente_próximo/oriente_médio/médio-oriente/balcãs/península_balcânica/anatolia/anatólia/ásia_menor
sintoma	doenças/doença
dinamarca	jutlândia
cana-de-açúcar	cana_de_açúcar
terceira	auto/veículo/carro/automóvel/viatura
salão	aposento/habitação/moradia/residência/casa/lar/morada/domicílio
praga	república_tcheca
estela	tumba/túmulo/sepultura
som	tevê/televisão/tv
grécia	europa
entrave	arreio
argélia	magrebe
angola	áfrica/africa
pequim	china/república_popular_da_china
nicarágua	américa_central
hamburgo	república_federal_da_alemanha/alemanha
piso	quarto/aposento/sala/saguão/salão/edifício/prédio
miami	flórida/florida
montreal	quebec/québec/quebeque/quebéc
canto	edifício/prédio
sindicatos	movimento_trabalhista/movimento_sindical
quito	república_do_equador/equador
moçambique	áfrica/africa
vertente	montanha/barranco/ladeira/colina/morro/monte
boston	massachusetts
austrália	austrália/hemisfério_sul
órbita	crânio/crânio/crâneo/caveira
âncora	embarcações/embarcação/barco/navio/navios
variedade	espécie/espécie/espécies
l	decalitro
privada	casa_de_banho/banheiro/casa_de_banho/banheiro/quarto_de_banho/sala_de_banho
nápoles	campania/campânia
metro	decâmetro/múltiplos_e_submúltiplos/múltiplos_e_sub-múltiplos
chave	arco/arco/arco/arco
sofia	bulgária/república_da_bulgária/bulgaria
parada	jornada/viagem
nigéria	áfrica/africa
meia	meia-calça/meias-calças
flórida	eeuu/eua/estados_unidos_da_américa/américa/estados_unidos/e.u.a.
subida	elevação
prescrição	livro_de_regras/livro
nadir	esfera_celeste/firmamento/céu
evangelho	novo_testamento/novo_testamento
romênia	europa
honduras	américa_central
formosa	mar_da_china_meridional/mar_da_china_meridional/mar_da_china_meridional/mar_da_china_meridional
raiz	dentes/dente
circuito	equipamento_eletrônico
tanger	marrocos
raio	calibre/diâmetro
quarenta	maturidade
pão	sanduíches/sanduiche/sanduíche/sandes
prefácio	texto
pilar	muralha/parede/muro/templo
morena	glaciares/glaciar/glaciares/geleira
cambridge	inglaterra
cairo	illinois/illinóis/república_árabe_do_egito/egito/república_árabe_unida/egipto/república_árabe_do_egipto
atmosfera	terra/mundo/globo_terrestre
atenas	grécia
vietnã	indochina
trincheira	fortaleza/fortificação
rodada	esporte
platéia	teatro/casa
oxford	inglaterra
microonda	espectro_eletromagnético/espectro_eletromagnético
líbano	ásia/médio_oriente/oriente_próximo/oriente_próximo/oriente_médio/médio-oriente
chicago	illinois/illinóis
cereal	milho/milho
centavo	rúpia/rúpia/rand/peso_uruguaio/peso_filipino/peso_mexicano/peso_da_guiné_bissau/peso_dominicano/peso_cubano/peso_colombiano/peso_colombiano/florim/florim_neerlandês/guilder/escudo_português/dobra/real/dólar/dólar
trilho	estrada-de-ferro/estrada_de_ferro/ferrovia/caminho_de_ferro
suriname	suriname
saco	aparelho_reprodutor_masculino/sistema_reprodutor_masculino
pierre	dakota_do_sul/dacota_do_sul
monitor	tevê/televisão/sistema_de_televisão/calculadora/computador
grão	decigrama
elo	corrente
barcelona	espanha
bar	bar/boteco/taberna/pub/botequim
visto	passaporte/passaportes
milão	lombardia
grã-bretanha	ilhas_britânicas/ilhas_britânicas/ilhas_britânicas/ilhas_britânicas
adolescência	juventude/infância
índole	personalidade/temperamento/pessoa
michigan	eeuu/eua/estados_unidos_da_américa/américa/estados_unidos/e.u.a.
maconha	cânhamo/maconha/cânhamo/maconha
lição	curso/aula/pedagogia/ensino/formação/educação/didáctica/ensinamento/instrução
janela	janela/fenestra/monitor/monitor/auto/veículo/carro/automóvel/viatura/autocarro/ônibus/edifício/prédio
haiti	ilha_de_são_domingos/hispaniola/república_do_haiti/ilha_de_são_domingos/haiti/grandes_antilhas/grandesantilhas/grandes_antilhas/caribe
filadélfia	pensilvânia
boca	cara/rosto/face/boca
rosto	cabeça/humano/ser_humano/besta/criatura/ser/bicho/animal
olímpia	washington
locação	infinito/espaço
lar	chaminé/lareira
feijão	feijão/feijão
céu	terra/mundo/globo_terrestre
chapéu	fungos/fungo
volante	rebocador/navios/embarcação/navio/barco/navios-veleiro/veleiro
varsóvia	polonia/polónia/polônia
texas	texas/texas/texas/eeuu/eua/estados_unidos_da_américa/américa/estados_unidos/e.u.a./sudoeste
teerã	irão/república_islâmica_do_irão/irao/irã/pérsia
senegal	áfrica/africa
portland	maine
pista	pista_de_pouso/pista/aeroporto/aeródromo
limeira	república_federativa_do_brasil/brasil
lagos	nigeria/nigéria
foguete	rojão/foguete_espacial/foguetes/foguete
finlândia	europa
cristianismo	cristianismo/cristandade
coro	cantiga/canção
cela	convento/mosteiro/monastério/conventos/convento
bulgária	europa
aplauso	ovação
anatomia	humano/ser_humano/indivíduo/pessoa/alguém/ser_humano/alma/ser/organismo
oração	frase/oração/sentença
medellín	colômbia/colombia/colómbia
gávea	navios/embarcação/navio/barco
argel	algéria/argélia/argelia
antena	transmissor/radiorreceptor/recetor/radioreceptor/receptor
alfândega	pé
tronco	árvore/corpo/tronco/torso/corpo/tronco/torso/estrutura_organica/corpo/corpo_humano
superfície	geosfera/geosfera/litosfera
pasto	colômbia/colombia/colómbia/zona_rural/área_rural/campo
orquestra	teatro/casa/teatro/casa
munique	baviera
córdoba	espanha
carlota	carolina_do_norte
albânia	balcãs/península_balcânica
síria	ásia/médio_oriente/oriente_próximo/oriente_próximo/oriente_médio/médio-oriente
retribuição	salário
milho	milho/milho
líbia	áfrica/africa
luxemburgo	europa/grão-ducado_do_luxemburgo/luxemburgo
leito	dormitório/quarto
entorpecente	farmacopéia
decênio	século/século/centúria/séculos
vidro	copo
sábado	fim-de-semana/fim_de_semana/final_de_semana
perna	esqueleto_apendicular/perna/estrutura_organica/corpo/corpo_humano/calça/calça
oslo	reino_da_noruega/noruega/bairros_da_noruega
milha	légua
marrocos	magrebe
london	inglaterra
fez	marrocos
ezequiel	antigo_testamento/antigo_testamento
escolta	comitiva/séquito
coroa	divisa/prata/peça/moeda
vizinhança	cidade
versalhes	frança/república_francesa/frança/república_francesa
quinta	chácara/granja/quinta/sítio/fazenda
parede	quarto/aposento/sala/saguão/salão/edifício/prédio
intestino	ventre/abdome/estômago/barriga/abdómen/tronco/abdômen
ilustração	publicação/edição
houston	texas
belgrado	sérvia/servia/jugoslávia/iugoslávia/sérvia_e_montenegro
bagdá	iraque/república_do_iraque
vão	superfície
verbo	verbo
suez	república_árabe_do_egito/egito/república_árabe_unida/egipto/república_árabe_do_egipto
reno	suiça/suíça/reino_dos_países_baixos/holanda/holando/países_baixos/neerlândia/frança/república_francesa/república_federal_da_alemanha/alemanha
puebla	méxico/estados_unidos_mexicanos
preâmbulo	documento/documentação
pintura	construção/edifício
leque	sistema_de_refrigeração
indonésia	sueste_asiático/sudeste_asiático/sudoeste_asiático/sueste_asiático
grade	fogões/forno/cozinha/forno/fornalha/fogão/fornalhas/auto/veículo/carro/automóvel/viatura
columbia	missouri
colorado	utah/texas/nevada/colorado/arizona/eeuu/eua/estados_unidos_da_américa/américa/estados_unidos/e.u.a./méxico/estados_unidos_mexicanos
colheita	cultivo/pecuária/agricultura
arco	círculo/muralha/parede/muro/ponte/ponte/arco/arco_e_flecha/barril/barril/arcada/arcada/duto/conduto/aquedutos/aquedutos/canalização/adutora/ducto/aqueduto/duto/conduto/aquedutos/aquedutos/canalização/adutora/ducto/aqueduto
pátio	jardim/edifício/prédio
periférico	calculadora/computador
lente	óculo/olho/instrumento_ótico/instrumento_óptico
istambul	turquia/república_da_turquia
gatilho	revólver/arma/revóvel/arma_de_fogo
galiléia	estado_de_israel/israel
fruta	baga
frontal	crânio/calota_craniana
florença	toscana/toscânia
escada	edifício/prédio
cofre	banco
alínea	texto
alicerce	estrutura/tecido/edifício
êxodo	pentateuco/pentateuco/antigo_testamento/antigo_testamento
verbete	dicionario/dicionário/léxico/array_associativo/vocabulário/dicionários/verbete
tailândia	península_da_malásia/península_da_malásia/indochina
módulo	sistema/naves_espaciais/espaçonave/astronave/nave_espacial
massachusetts	nova_inglaterra/eeuu/eua/estados_unidos_da_américa/américa/estados_unidos/e.u.a.
himalaia	tibete/nepal/índia/india/república_da_índia
folclore	folclore/folclore
ferrara	itália/república_italiana/italia
escadaria	edifício/prédio
cara	divisa/prata/peça/moeda/cabeça/humano/ser_humano/besta/criatura/ser/bicho/animal
budapeste	hungria/república_da_hungria
turco	navios/embarcação/navio/barco
temperamento	indivíduo/pessoa/alguém/ser_humano/alma
suposição	teoria
monroe	michigan/luisiana
kansas	kansas/kansas/eeuu/eua/estados_unidos_da_américa/américa/estados_unidos/e.u.a.
juizado	corte/tribunal_de_justiça/tribunal/juizado
helsinque	república_da_finlândia/finlândia
flecha	arco/arco_e_flecha
distribuidor	ignição/partida
bucareste	ruménia/romênia/roménia
bolonha	emília-romanha
adolescentes	maturidade
zurique	suiça/suíça
veneza	veneto/véneto/vêneto
selma	alabama
sacramento	california/califórnia
peculiaridade	personalidade/temperamento/pessoa
paquistão	ásia
