ano	década/decênio
barra	barras_paralelas/barras_de_ginástica/barra/barra_fixa
armamento	equipamento_militar/arma/armamento/munição
aula	curso/aula
teoria	teoria
inspiração	solução_de_problemas
ferrovia	estrada_de_ferro
teatro	teatro/casa
anúncio	mercadologia/marketing/marketing
cachoeira	rio
parque	zona_urbana/áreas_urbanas/área_urbana/região_urbana
bomba	sistema_de_refrigeração
faixa	artigo_de_vestuário/roupa/vestuário
fruto	baga
droga	farmacopéia
mar	calendário_revolucionário/calendário_gregoriano
sindicalismo	movimento_trabalhista/movimento_sindical
língua	faringe/garganta/boca
porta	pórtico/acesso/entrada/porta/portão
domingo	fim-de-semana/fim_de_semana/final_de_semana
praia	orla/litoral/costa
manchete	periódico/folha/jornal
banda	artigo_de_vestuário/roupa/vestuário
cena	ato
minuto	hora
seio	corpo/tronco/torso/vertebrado
mercadoria	shopping/centros_comerciais/shopping_center
solo	terra/mundo/globo_terrestre
cabeça	estrutura_organica/corpo/corpo_humano/besta/criatura/ser/bicho/animal
telefone	telefonia
infraestrutura	sistema
anexo	edifício/prédio
sala	hospital/enfermaria/edifício/prédio/edifício/prédio
baía	mar
gesto	linguagem_dos_sinais/linguagem_de_sinais/mímica/língua_de_sinais
pedra	joalheria/jóia/joalharia
apartamento	prédio_de_apartamentos
expedição	comércio/mercantilismo/comercialismo
braço	estrutura_organica/corpo/corpo_humano/humano/ser_humano
libra	stone
hemisfério	terra/mundo/globo_terrestre/cérebro
coração	sistema_circulatório/sistema_circulatorio/sistema_cardiovascular
era	histórico/história
medicamento	farmacopéia/tratamento
carne	humano/ser_humano/vacas/bovinos/gado_bovino/gado/indivíduo/pessoa/alguém/ser_humano/alma
andar	edifício/prédio
remédio	farmacopéia/tratamento
relevo	terra/mundo/globo_terrestre
olho	cara/rosto/face
pé	jarda/perna/tripé/tripé/mesa/roca_de_fiar/assento/cadeira/humano/ser_humano
localização	infinito/espaço
integridade	caráter/personalidade
traço	cara/rosto/face
feição	personalidade/temperamento/pessoa
bala	pente/cartucho/cartucho
s	min/minuto
vegetal	erva
reservatório	água/redes_de_distribuição_de_água/fornecimento_de_água
palco	teatro/casa
laranja	laranjeira/citrus_x_sinensis
célula	ser/organismo
poço	túnel/mina
computador	plataforma
sintoma	doenças/doença
piso	quarto/aposento/sala/saguão/salão/edifício/prédio
sindicatos	movimento_trabalhista/movimento_sindical
subida	elevação
pão	sanduíches/sanduiche/sanduíche/sandes
pilar	templo
cereal	milho/milho
bar	bar/boteco/taberna/pub/botequim
lição	curso/aula
boca	boca
rosto	cabeça/humano/ser_humano
locação	infinito/espaço
feijão	feijão
céu	terra/mundo/globo_terrestre
cela	convento/mosteiro/monastério/conventos/convento
anatomia	humano/ser_humano/indivíduo/pessoa/alguém/ser_humano/alma
alfândega	pé
tronco	corpo/tronco/torso/corpo/tronco/torso/estrutura_organica/corpo/corpo_humano
pasto	zona_rural/área_rural/campo
retribuição	salário
milho	milho/milho
leito	dormitório/quarto
entorpecente	farmacopéia
decênio	século/século/centúria/séculos
vidro	copo
perna	esqueleto_apendicular
escolta	comitiva/séquito
coroa	divisa/prata/peça/moeda
parede	quarto/aposento/sala/saguão/salão/edifício/prédio
intestino	ventre/abdome/estômago/barriga/abdómen/tronco/abdômen
colheita	cultivo/pecuária/agricultura
arco	muralha/parede/muro/arco/arco_e_flecha/barril/barril
pátio	jardim/edifício/prédio
fruta	baga
escada	edifício/prédio
alínea	texto
módulo	sistema
escadaria	edifício/prédio
cara	divisa/prata/peça/moeda/cabeça/humano/ser_humano
temperamento	indivíduo/pessoa/alguém/ser_humano/alma
suposição	teoria
flecha	arco/arco_e_flecha
peculiaridade	personalidade/temperamento/pessoa
muro	quarto/aposento/sala/saguão/salão/edifício/prédio
lenda	figura/ilustração/desenho
signo	zodíaco
punho	braço
mala	auto/veículo/carro/automóvel/viatura
ladeira	elevação
pulmão	trato_respiratório_inferior/trato_respiratório_inferior
pico	cone/gládio/espada/lápis/coitelo/faca/ponta_de_flecha/ponta_de_seta/caxato
peito	corpo/tronco/torso/vertebrado
parto	parto
oceano	hidrosfera
espinha	esqueleto_axial
cérebro	cabeça/sistema_nervoso_central
cozinha	aposento/habitação/moradia/residência/casa/lar/morada/domicílio
corno	bode/cabrito/bode/cabra/aríete/carneiro/toiro/touro
bolso	artigo_de_vestuário/roupa/vestuário
aposta	vaquinha
portão	pórtico/acesso/entrada/porta/portão
caricatura	publicação/edição
calça	calça
subtítulo	figura/ilustração/desenho
pele	fruta/sistema_tegumentar/sistema_tegumentar
ombro	corpo/tronco/torso
terapia	tratamento
porção	repasto/refeição
osso	endosqueleto/endoesqueleto
ordenado	salário
meia-noite	fim_de_tarde/noitada/tarde/noite
limiar	pórtico/acesso/entrada/porta/portão
bico	pássaro/ave
asa	anjo/edifício/prédio/aeroplano/avião/hemípteros/inseto/insetos/insecto/insectos/quirópteros/morcego/pássaro/ave
aposento	edifício/prédio
anel	corte_de_cabelo/penteado
testa	cara/rosto/face
síndrome	doenças/doença
gaveta	mesa/secretária/escrivaninha/cômoda/cômoda/cômodas/aparelhador/gaveteiro/cómoda/bufete/prateleiras/armário
fígado	sistema_circulatório/sistema_circulatorio/sistema_cardiovascular/aparelho_digestivo/aparelho_digestivo/sistema_digestivo/sistema_digestório
dente	engrenagem
chão	terra/mundo/globo_terrestre/quarto/aposento/sala/saguão/salão
casca	tronco/galho/ramo/galho/raiz/raíz/ovo/fruta
televisor	tevê/televisão/sistema_de_televisão
saguão	edifício/prédio
estômago	corpo/tronco/torso/aparelho_digestivo
encruzilhada	caminho/rodovia/via/estrada
cama	dormitório/quarto
aquecimento	edifício/prédio
apêndice	ceco/ceco
anoitecer	anoitecer/véspera/tarde/fim_de_tarde/noite
ventre	corpo/tronco/torso
industria	mercado
dedo	pata/mão/pé
convés	navios/embarcação/navio/barco/navios/embarcação/navio/barco
barba	cara/rosto/face
vela	navios-veleiro/veleiro
tubo	revólver/arma/revóvel/arma_de_fogo
séculos	milênio/milénio
pavimento	quarto/aposento/sala/saguão/salão/edifício/prédio
orelha	cabeça/aparelho_vestibular/sistema_auditivo
nuvem	céu
gramado	arena/estádio
galão	barril/barril
estrato	sociedade
curva	grafo/gráfico/caminho/rodovia/via/estrada
cruzamento	caminho/rodovia/via/estrada
costas	esqueleto_axial
ci	calculadora/computador
chip	calculadora/computador
cabelo	sistema_tegumentar
banana	banana/banana-maçã
min	hora
encosta	elevação
crepúsculo	anoitecer/véspera/tarde/fim_de_tarde/noite
cintura	corpo/tronco/torso
centúria	milênio/milénio
alho	alho
átomo	molécula/elemento_químico/elemento_químico
verdura	erva
veia	sistema_circulatório/sistema_circulatorio/sistema_cardiovascular
pescoço	estrutura_organica/corpo/corpo_humano
ladrilho	telhado
joelho	perna
gema	joalheria/jóia/joalharia
elevador	edifício/prédio
degrau	escada/escadaria
caracter	ortografia
calcanhar	pé
barriga	ventre/abdome/estômago/barriga/abdómen/tronco/abdômen/corpo/tronco/torso/corpo/tronco/torso
óculos	armação
têmpora	cabeça
terraço	jardim
telhado	edifício/prédio
tampa	garrafa/vasilha/arca/baú/mala/caixa
resort	áreas_de_recreio
prato	repasto/refeição
pastagem	zona_rural/área_rural/campo
nariz	cara/rosto/face/trato_respiratório_superior
muralha	quarto/aposento/sala/saguão/salão/edifício/prédio
missiva	correspondência/correio
mento	cara/rosto/face
melodia	estrofe/missiva/carta
manga	artigo_de_vestuário/roupa/vestuário
lâmina	gládio/espada/gládio/espada/tesoura/tesoura/corta-relva/cortador_de_grama/corta-relva/cortador_de_grama/faca/faca/machado/machado
garganta	pescoço/aparelho_digestivo/trato_respiratório_superior
crânio	esqueleto_axial/esqueleto_axial/cabeça/cabeça
camarote	naves_espaciais/espaçonave/astronave/nave_espacial/aeroplano/aeronave/avião
buzina	auto/veículo/carro/automóvel/viatura
anca	perna/corpo/tronco/torso
abdome	corpo/tronco/torso
traseiro	corpo/tronco/torso/vertebrado
tomate	tomate
tevê	tevê/televisão/sistema_de_televisão
sílaba	vocábulo/termo/verbo/palavra
sulco	pele/pele
seta	arco/arco_e_flecha
rabo	corpo/tronco/torso/vertebrado
pulso	braço
projétil	pente/cartucho/cartucho
prateleira	feira/sacolão/supermercado/mercado/mercadinho/mercado/empório/quitanda/cômoda/cômodas/aparelhador/gaveteiro/cómoda/estante/armário/bufete/prateleiras/armário/estante
portas	pórtico/acesso/entrada/porta/portão
porrada	batalha/pugna/peleja/luta/disputa/combate
maçã	macieira/madeira_de_macieira
lábio	boca
limão	limeira/limoeiro/limão
legume	erva
jerimum	cabaceiro-amargoso
hortaliça	erva
fronte	campo_de_batalha/campo_de_guerra
fim-de-semana	semana
figo	figo/figueira-comum
fava	feijão
curto-circuito	circuitos_eletrônicos/circuito/circuito_elétrico
coxa	perna
costela	vertebrado
cebola	cebola
caveira	esqueleto_axial/cabeça
cauda	vertebrado
catarata	rio
cascata	rio
cachorro-quente	cachorro-quente
bombas	sistema_de_refrigeração
bife	vacas/bovinos/gado_bovino/gado
banheiro	aposento/habitação/moradia/residência/casa/lar/morada/domicílio
antecâmara	edifício/prédio
amendoim	amendoim
acelerador	auto/veículo/carro/automóvel/viatura/aeroplano/avião
abóbora	cabaceiro-amargoso
