ano	década/decênio
água	superfície/hidrosfera/infraestructura/infraestrutura/infra-estrutura
natureza	personalidade/temperamento/pessoa
noite	dia
regra	livro_de_regras/livro
face	cabeça/humano/ser_humano/besta/criatura/ser/bicho/animal
metade	tempo/turno/jogo/rodada/basquete/basquetebol/bola-ao-cesto/basquetebol/jogo_de_futebol/futebol
evento	episódio
século	milênio/milénio/milênio/milénio
personalidade	personalidade/temperamento/pessoa/indivíduo/pessoa/alguém/ser_humano/alma
manobra	esporte
nascimento	reprodução
bairro	cidade
segmento	todo/unidade
cabo	regador/guarda-chuva/sombrinha/chapéu-de-chuva/panela/caçarola/raquete/caneca/concha/ferramenta/aparelho_de_telefone/guidon/guidom/guidão/carrinho_de_mão/frigideira/torneira/bica/talheres/faqueiro/carrinho_de_bebê/brocha/escova_de_dentes/pincel/escova/carteira/maleta/pasta/teca/embrulho/bagagens/bagagem/mala
característica	natureza
incidente	episódio
etapa	jornada/viagem
hipótese	teoria
estação	ano
cadeia	molécula
mina	mina_de_carvão
destino	sobrenatural/oculto/ocultismo
domínio	nação/país/terra
passado	vida
letra	ortografia
gráfico	publicação/edição
batalha	guerra
barra	gol
armamento	equipamento_militar/arma/armamento/munição
arte	publicação/edição
divisa	dinheiro_circulante
teoria	teoria
parque	zona_urbana/áreas_urbanas/área_urbana/região_urbana
flor	angiospérmica/angiosperma
droga	farmacopéia
mar	hidrosfera
língua	faringe/garganta/boca
interpretação	desempenho/interpretação/apresentação
banda	corpo/tronco/torso
minuto	hora
seio	corpo/tronco/torso/vertebrado
laço	laço
componente	totalidade
mercadoria	shopping/centros_comerciais/shopping_center
solo	terra/mundo/globo_terrestre
cabeça	estrutura_organica/corpo/corpo_humano/besta/criatura/ser/bicho/animal
telefone	telefonia
anexo	edifício/prédio
sala	mansão/solar/edifício/prédio
gesto	linguagem_dos_sinais/linguagem_de_sinais/mímica/língua_de_sinais
apartamento	prédio_de_apartamentos
expedição	comércio/mercantilismo/comercialismo
leis	lei/jurisprudência/ciências_jurídicas
hemisfério	terra/mundo/globo_terrestre
estrela	universo/cosmo/criação/mundo
biblioteca	edifício_residencial/habitação/casa/vivenda
medicamento	farmacopéia/tratamento
andar	edifício/prédio
remédio	farmacopéia/tratamento
relevo	terra/mundo/globo_terrestre
pé	jarda/estrutura/tecido/edifício/calça
localização	infinito/espaço
traço	cara/rosto/face
feição	personalidade/temperamento/pessoa
s	min/minuto
vegetal	erva
desenho	publicação/edição
célula	ser/organismo
computador	plataforma
sintoma	doenças/doença
piso	quarto/aposento/sala/saguão/salão/edifício/prédio
canto	edifício/prédio
parada	jornada/viagem
subida	elevação
prescrição	livro_de_regras/livro
pão	sanduíches/sanduiche/sanduíche/sandes
rodada	esporte
bar	bar/boteco/taberna/pub/botequim
índole	personalidade/temperamento/pessoa
janela	auto/veículo/carro/automóvel/viatura/autocarro/ônibus/edifício/prédio
boca	cara/rosto/face/boca
rosto	cabeça/humano/ser_humano/besta/criatura/ser/bicho/animal
locação	infinito/espaço
céu	terra/mundo/globo_terrestre
chapéu	fungos/fungo
anatomia	ser/organismo
tronco	corpo/tronco/torso/estrutura_organica/corpo/corpo_humano
superfície	geosfera/geosfera/litosfera
orquestra	teatro/casa
retribuição	salário
leito	dormitório/quarto
entorpecente	farmacopéia
decênio	século/século/centúria/séculos
vidro	copo
perna	esqueleto_apendicular/estrutura_organica/corpo/corpo_humano/calça/calça
vizinhança	cidade
parede	quarto/aposento/sala/saguão/salão/edifício/prédio
ilustração	publicação/edição
vão	superfície
pintura	construção/edifício
leque	sistema_de_refrigeração
arco	ponte/ponte/barril/barril/arcada/arcada/duto/conduto/aquedutos/aquedutos/canalização/adutora/ducto/aqueduto/duto/conduto/aquedutos/aquedutos/canalização/adutora/ducto/aqueduto
pátio	jardim
lente	óculo/olho
alicerce	estrutura/tecido/edifício
cara	cabeça/humano/ser_humano/besta/criatura/ser/bicho/animal
temperamento	indivíduo/pessoa/alguém/ser_humano/alma
suposição	teoria
peculiaridade	personalidade/temperamento/pessoa
muro	quarto/aposento/sala/saguão/salão/edifício/prédio
meio-dia	dia
tomo	unidade
punho	braço
ladeira	elevação
peito	seio/peito/corpo/tronco/torso/vertebrado
pedaço	unidade
cozinha	aposento/habitação/moradia/residência/casa/lar/morada/domicílio
corno	bode/cabrito/bode/cabra/aríete/carneiro/toiro/touro
bolso	artigo_de_vestuário/roupa/vestuário
calça	calça
pele	sistema_tegumentar/sistema_tegumentar
ombro	corpo/tronco/torso
buraco	agulha
terapia	tratamento
porção	unidade/repasto/refeição/todo/unidade
osso	endosqueleto/endoesqueleto
ordenado	salário
dígito	vertebrado
asa	anjo/edifício/prédio/hemípteros/inseto/insetos/insecto/insectos/quirópteros/morcego/pássaro/ave
aposento	edifício/prédio
testa	cara/rosto/face
eclusa	canal
chão	terra/mundo/globo_terrestre/quarto/aposento/sala/saguão/salão
casca	ovo
ingrediente	prato
estômago	corpo/tronco/torso
cama	dormitório/quarto
aquecimento	edifício/prédio
ventre	corpo/tronco/torso
industria	mercado
dedo	pata/mão/vertebrado
colo	seio/peito
colarinho	colarinho/artigo_de_vestuário/roupa/vestuário
astro	universo/cosmo/criação/mundo
vela	navios-veleiro/veleiro
séculos	milênio/milénio
pavimento	quarto/aposento/sala/saguão/salão/edifício/prédio
nó	laço
nuvem	céu
louça	mesa
gramado	arena/estádio
estrato	sociedade
curva	grafo/gráfico/caminho/rodovia/via/estrada
costas	corpo/tronco/torso
cabelo	sistema_tegumentar
min	hora
encosta	elevação
centúria	milênio/milénio
bigorna	forja/forja/forja/forja
átomo	molécula/elemento_químico/elemento_químico
verdura	erva
veia	sistema_circulatório/sistema_circulatorio/sistema_cardiovascular
joelho	perna
degrau	escada/escadaria
colchão	leito/cama
caracter	ortografia
barriga	corpo/tronco/torso
têmpora	cabeça
terraço	jardim
telhado	edifício/prédio
secção	unidade
recanto	edifício/prédio
prato	repasto/refeição/repasto/refeição
muralha	quarto/aposento/sala/saguão/salão/edifício/prédio
missiva	correspondência/correio
mento	cara/rosto/face
melodia	estrofe/missiva/carta
linguística	ciência_cognitiva/ciências_cognitivas
genitália	sistema_reprodutor/aparelho_reprodutor/sistema_reprodutor/sistema_reprodutor/aparelho_reprodutor/sistema_reprodutor
garganta	pescoço/aparelho_digestivo/trato_respiratório_superior
fragmento	vegetal/planta/flora
forca	laço
esqueleto	esqueleto/sistema_esquelético
cristalino	óculo/olho
canela	perna
anca	corpo/tronco/torso
alça	regador/guarda-chuva/sombrinha/chapéu-de-chuva/panela/caçarola/raquete/caneca/concha/ferramenta/aparelho_de_telefone/guidon/guidom/guidão/carrinho_de_mão/frigideira/torneira/bica/talheres/faqueiro/carrinho_de_bebê/brocha/escova_de_dentes/pincel/escova/carteira/maleta/pasta/teca/embrulho/bagagens/bagagem/mala
abdome	corpo/tronco/torso
óvulo	aparelho_reprodutor_feminino/sistema_reprodutor_feminino
ventilador	ventilação/sistema_de_refrigeração
tórax	seio/peito
traseiro	corpo/tronco/torso/corpo/tronco/torso/vertebrado
sílaba	vocábulo/termo/verbo/palavra
sulco	pele/pele
rolamento	boliche
rincão	edifício/prédio
rabo	corpo/tronco/torso/vertebrado
pulso	braço
porrada	batalha/pugna/peleja/luta/disputa/combate
minarete	mesquita/mesquitas/mesquita
maçã	macieira/madeira_de_macieira
lombo	humano/ser_humano
lingüística	ciência_cognitiva/ciências_cognitivas/ciência_cognitiva/ciências_cognitivas
legume	erva
lebre	lebre/lebrão/coelho-europeu
hortaliça	erva
fronte	campo_de_batalha/campo_de_guerra
floração	angiospérmica/angiosperma
fado	sobrenatural/oculto/ocultismo
crista	galináceo
cauda	vertebrado
casco	ungulados/ungulados
calceteiro	laminação/laminação
banheiro	aposento/habitação/moradia/residência/casa/lar/morada/domicílio
