outro	alteridade
similar	similitude/semelhança
incerto	desembaraço/altivez/aprumo/fé/pose/segurança/certeza
exaustivo	plenitude
potente	eficácia/potência/força
magro	peso
desnecessário	necessidade
gay	sexo/transa
estúpido	inteligência
gordo	peso
errado	verdade/correcção
feio	beleza/belo
afetado	naturalidade
anormal	normalidade
traseiro	localização/colocação/posição/situação
colorido	tez/cor
corajoso	ânimo/coragem/denodo/ousadia/audácia
vertical	orientação/postura/posição/atitude
leal	lealdade
maior	ascendência/maioridade/maioria
vantajoso	qualidade
nórdico	norte
improvável	probabilidade
inadmissível	admissibilidade
incompleto	integralidade/plenitude/inteireza
duradouro	permanência
amigável	amizade
bravo	ânimo/coragem/denodo/ousadia/audácia
inquietante	estupefação/consternação/medo
abundante	quantidade
informado	conhecimento/saber/consciência
corrupto	corrupção/honestidade
precoce	cronometragem
fértil	fertilidade
devagar	rapidez/velocidade
lindo	beleza/belo
intensivo	grau
separado	separação
impotente	eficácia/potência/força/poder
emocionante	excitação
casta	virgindade/virtude/castidade/pureza
admissível	admissibilidade
húmido	humidade
abrangente	plenitude
magnético	magnetismo
polivalente	valência
horizontal	orientação
maduro	maturidade/idade
débil	força
grosseiro	civilidade
superficial	profundeza/fundura/profundidade
inadequado	adequação
tênue	peso
impróprio	utilidade
inacreditável	credibilidade
são	saúde
alarmante	estupefação/consternação/medo
lacônico	prolixidade
incorreto	correcção
árduo	dificuldade
excitante	excitação
alta	gritaria/volume
ineficaz	eficácia/potência/força
analfabeto	alfabetização/alfabetismo
próspero	êxito/éxito
inseguro	confiança/desembaraço/altivez/aprumo/fé/pose/segurança/certeza
caloroso	calor/temperatura
efectivo	realidade
macho	gênero/sexualidade/sexo
rabo	localização/colocação/posição/situação
chato	tédio
subordinado	status/posição/classe/condição/estado
receoso	terror/consternação/temor/medo/susto
superior	qualidade/calibre
indisponível	disponibilidade/acessibilidade
heterossexual	sexo/transa
análogo	igualdade
veloz	rapidez/velocidade
ávido	generosidade
loiro	tez
inacessível	disponibilidade/acessibilidade
sagrado	santidade
farto	quantidade
lícito	legalidade/admissibilidade
preparado	preparação/prontidão/rapidez
sulista	sul
monótono	tédio
ciente	conhecimento/saber/consciência
espesso	espessura/consistência/viscosidade/grossura
desumano	humanidade
cromático	tom/matiz/tonalidade
sênior	senioridade
imoral	moralidade/moral/virtude/honestidade
arrojado	ânimo/coragem/denodo
raso	profundeza/fundura/profundidade
estéril	fertilidade
meridional	sul
amável	amabilidade/natureza/índole
honrado	honestidade
singelo	complexidade
educado	civilidade
valente	ânimo/coragem/denodo
cobarde	cobardia/covardia
irreal	realidade/verdade/realismo
desinteressante	profundeza/tédio/fundura/profundidade
manso	domesticação
doentio	saúde
molhado	humidade
imperfeito	perfeição
inalterável	mutabilidade
afável	natureza/índole
reto	contorno
radiante	luminosidade
fecundo	fertilidade
mediano	cronometragem
iluminado	luminosidade
desconfortável	conforto
crível	credibilidade
inativo	atividade
sarcástico	sarcasmo/sátira/ironia
fútil	seriedade
opaco	opacidade
permissivo	tolerância
infiel	fidelidade/lealdade
obediente	obediência
imutável	mutabilidade
gentil	cortesia/polidez/natureza/índole
perpendicular	orientação
setentrional	união/norte
benigno	benevolência
audacioso	ousadia/audácia
formoso	beleza/belo
audível	audibilidade
apagado	extinção
parecido	similitude/semelhança
casto	virgindade/virtude/castidade/pureza
amistoso	amizade
extrovertido	curso
conciso	prolixidade
homo	sexo/transa
destemido	terror/consternação/temor/medo/susto/ousadia/audácia
desnivelado	invariabilidade
nortista	norte
sucinto	prolixidade
cortês	civilidade/cortesia
varão	gênero/sexualidade/sexo
significante	significado/significação
maléfico	mal/maldade
improdutivo	fertilidade
insípido	sabor
prolixo	prolixidade
corriqueiro	convenção
afoito	ânimo/coragem/denodo
guloso	gula
frívolo	seriedade
audaz	ousadia/audácia
lotado	plenitude
berrante	gritaria/volume
inclinado	orientação
malvado	mal/maldade
morena	tez
esbelto	peso
imaturo	maturidade/idade
ruim	qualidade/mal/maldade
valoroso	ânimo/coragem/denodo
inumano	humanidade
inapto	utilidade
polido	civilidade
profunda	profundeza/fundura/profundidade
copioso	quantidade
basto	quantidade
bem-sucedido	êxito/éxito
mensurável	número/grandeza/magnitude
hetero	sexo/transa
insalubre	saúde
infértil	fertilidade
tacanho	generosidade
boa	qualidade/virtude/bondade
mutável	mutabilidade
disposto	preparação/prontidão/rapidez
adoentado	saúde
indelicado	polidez/cortesia
desobediente	obediência
inodoro	odor/cheiro/hálito
desonroso	honestidade
boreal	união/norte
comilão	gula
covarde	cobardia/covardia
fracionário	integridade
lauto	quantidade
antinatural	naturalidade
intrincado	dificuldade/complexidade
incômodo	conforto
parelho	igualdade
correto	correcção
correto	honestidade
movente	movimento
vívido	alma/vida
adventício	localização/colocação/posição/situação
escuso	contorno
foda	dificuldade
salubre	saúde
acurado	exactidão/exatidão/correção/rigor/precisão
maturo	maturidade/idade
assexual	gênero/sexualidade/sexo
ativo	atividade
temporão	cronometragem
lerdo	inteligência
covardemente	cobardia/covardia
lhano	natureza/índole
aprimorado	perfeição
bivalente	valência
exato	exactidão/exatidão/correção/rigor/precisão
acromático	tonalidade/matiz/tom
