ser	rosto/anatomia/célula/cabeça/pescoço
corpo	braço/cabeça/virilha/pescoço/perna/torso/membrana/diafragma/peito/seio/cu/rabo/ânus/popô/costas/lombo/quadril/pança/talhe/cintura/tronco/barriga/abdómen/ventre/estômago/abdômen/ombro/traseiro/bunda/anca/banda/nalga/nádega
via	acostamento/berma/curva/encruzilhada/cruzamento
edifício	pintura/encanamento/alicerce/base/pé/alvenaria/janela/muro/parede/muralha/calefacção/aquecimento/asa/quarto/câmara/aposento/escadaria/escada/telhado/teto/quina/rincão/canto/recanto/ascensor/elevador/sala/saguão/antecâmara/átrio/vestíbulo/andar/piso/pavimento/pátio/terreiro
carta	destino/melodia/linha
ensino	lição/tarefa
carro	airbag/suspensão/acelerador/buzina/pára-choque/terceira/grade/porta-bagagem/mala/bagageira/janela/guarda-lama/capô/capuz/porta-luvas/retrovisor/ré/teto/porta/portão
comunicação	missiva/carta
partida	game/vela/distribuidor
espécie	variedade
discurso	conclusão/introdução/vocabulário/léxico
teatro	ato/bilheteira/orquestra/banheiro/camarim/palco
luta	porrada/golpe
janeiro	epifania/natal
unidade	parte/tomo/pedaço/porção/secção
dezembro	natal
março	anunciação
companhia	reserva
quarto	teto/chão/piso/pavimento/muro/parede/muralha/cama/leito
crescimento	gastrulação
histórico	idade/época/era/período/antiguidade/renascimento
cabeça	rosto/cara/face/caveira/crâneo/crânio/orelha/têmpora/encéfalo/cérebro
figura	título/lenda/legenda/subtítulo
órgão	pedal/teclado
hospital	sala/uti
arma	armamento/cano/cartucho/tubo/alça/gatilho
real	centavo
década	ano
estrada	trevo/acostamento/berma/curva/encruzilhada/cruzamento
município	centro/inner_city
jornada	parada/etapa/madrugada/manhã
viagem	parada/etapa
canal	eclusa
automóvel	airbag/suspensão/acelerador/buzina/pára-choque/terceira/grade/porta-bagagem/mala/bagageira/janela/guarda-lama/capô/capuz/porta-luvas/retrovisor/ré/teto/porta/portão
educação	lição/tarefa
igreja	abside/presbitério/transepto/nártex/nave/ábside/sacristia
doença	sintoma/síndrome/síndroma
ar	troposfera/estratosfera/mesosfera/ionosfera
alguém	temperamento/personalidade/pessoa/carne/anatomia/corpo
idade	sessenta
estatuto	aditamento/acréscimo
combate	porrada/golpe
tratamento	terapia/remédio/medicamento
rio	cachoeira/catarata/cascata/estuário
pé	alfândega/calcanhar/sola/calcâneo/dedo/polegada/canela
margem	costa/praia
página	margem/paginação
mar	desfiladeiro/enseada/fiorde/baía/golfo/anunciação
ponte	arco
rádio	amplificador/detector
olho	abertura/esclerótica/cristalino/lente/conjuntiva/pálpebra/córnea/retina/íris
moeda	coroa/cara
memória	registro/registrador
parque	balancé/balanço/baloiço
língua	vocabulário/léxico
apresentação	atuação/representação/interpretação
perspectiva	horizonte
bola	bexiga
mesa	pé/louça/caixa/gaveta
banda	glúteo
avião	capuz/acelerador/capô/asa/ala/pára-brisa/fuselagem/tromba/focinho/camarote
máquina	airbag/acelerador/buzina/pára-choque/terceira/grade/porta-bagagem/mala/bagageira/janela/guarda-lama/capô/capuz/porta-luvas/retrovisor/ré/teto/porta/portão
organismo	anatomia/célula
comércio	transportação/expedição/transporte
expressão	fone/fonema
indivíduo	temperamento/personalidade/pessoa/carne/anatomia/corpo
computador	monitor/hardware/teclado/disquete/periférico/memória/chip/ci/processador/microchip
ciclo	fase
verão	canícula
natureza	qualidade/característica/estrela/astro
habitação	quarto/dormitório/câmara/gabinete/camarim/refeitório/cozinha/salão/sala/banheiro/cama/leito/escritório/biblioteca/alpendre/mansarda/trapeira/ático/sótão
animal	rosto/cabeça/pescoço
veículo	airbag/acelerador/buzina/pára-choque/terceira/grade/porta-bagagem/mala/bagageira/janela/guarda-lama/capô/capuz/porta-luvas/retrovisor/ré/teto/porta/portão
corrente	elo/jarda
praia	costa
julgamento	processo
estilo	estigma
canção	estribilho/coro/refrão/teor/letra/texto
publicação	formato/arte/ilustração/desenho/gráfico/cartoon/caricatura/índice/conteúdo/texto
rendimento	atribuição
véspera	pôr-do-sol/poente/crepúsculo/anoitecer
porto	ancoradouro/doca
viatura	airbag/acelerador/buzina/pára-choque/terceira/grade/porta-bagagem/mala/bagageira/janela/guarda-lama/capô/capuz/porta-luvas/retrovisor/ré/teto/porta/portão
fim-de-semana	sábado/domingo
personalidade	índole/caráter/natureza/peculiaridade/feição/integridade/responsabilidade
caixa	fechadura/base/tampa
aeroporto	pista/taxiway/hangar
circuito	relé/curto-circuito
barco	proa/âncora/escora/casco/turco/gávea/popa/traseiro/vigia/convés/volante/timão/leme
explicação	fundação/base
agricultura	colheita
grau	minuto
feira	prateleira/estante
comboio	suspensão
sangue	corpúsculo
braço	antebraço/mão/carpo/pulso/punho/cotovelo/úmero
sol	cromosfera
estádio	arquibancada/gramado/campo
desenho	título/lenda/legenda/subtítulo
episódio	incidente/evento
interpretação	atuação/representação
tonelada	quintal
coração	válvula
batalha	porrada/golpe
núcleo	nucleão
preparação	tempero
residência	habitação/quarto/dormitório/câmara/gabinete/camarim/refeitório/cozinha/salão/sala/banheiro
departamento	classe
navio	proa/âncora/escora/casco/turco/gávea/popa/traseiro/vigia/convés/volante/timão/leme
juventude	adolescência
continente	subcontinente
nação	domínio
suspensão	amortecedor
frase	modificador/cláusula/oração/constituinte
chuva	pingo
sítio	quinta
transmissão	embraiagem/embreagem
parede	arco/pilar/entrada/porta/pórtico/portão/acesso
bomba	cilindro
jantar	acompanhamento/sanduíche/prato/porção
universo	estrela/astro
aula	conferência/lição
prédio	janela/muro/parede/muralha/calefacção/aquecimento/asa/quarto/câmara/aposento/escadaria/escada/telhado/teto/quina/rincão/canto/recanto/ascensor/elevador/sala/saguão/antecâmara/átrio/vestíbulo/andar/piso/pavimento/pátio/terreiro
linguagem	vocabulário/léxico
jardim	pátio/terraço
superfície	oceano/água/vão/fenda
peixe	ova/barbatana/aleta
pacífico	japão
autocarro	janela/teto
cara	mandíbula/testa/bochecha/boca/olho/óculo/olfato/nariz/traço/sobrolho/sobrancelha/barba/mento/queixo
calendário	intercalação
círculo	arco
árvore	toco/tronco
céu	nadir/zénite/arco-íris/zodíaco/nuvem/nuvens
poesia	estrofe/rima
rosto	mandíbula/testa/bochecha/boca/olho/óculo/olfato/nariz/traço/sobrolho/sobrancelha/barba/mento/queixo
turno	jogo/metade
era	período
alma	temperamento/personalidade/pessoa/carne/anatomia/corpo
ópera	ária/ato
totalidade	componente
hectare	erre/are
boca	gengiva/palato/língua/dentadura/dentição/beiço/lábio
costa	praia
sentença	cláusula/oração/constituinte
piano	placa_de_som/teclado
costas	vértebra/cóccix
poema	estrofe/rima
teoria	lei/possibilidade/hipótese/suposição
cadeira	pé/espaldar/assento
raiz	casca
seio	costela/peito/esterno/colo/areola/tórax
instrução	lição/tarefa
camião	portão/pára-choque/teto
pasta	trinco/alça/cabo
libra	onça
montanha	cume/cimeira/cimo/declive/encosta/vertente/ladeira/rampa
planeta	biosfera
janela	vidraça
roupa	guarda-roupa/colarinho/algibeira/bolso/faixa/banda/manga/braguilha
pele	sulco/ruga/epiderme/cútis/derme/crosta/poro/sarda
cavalo	anca/castão
ramo	casca
cão	pata/pé
basquetebol	metade
perna	coto/surata/anca/coxa/tíbia/pé/perónio/fíbula/maléolo/tornozelo/artelho/canela/joelho
laranja	casca
gráfico	curva
infância	adolescência
mina	poço/chaminé
drama	ato
cama	colchão
célula	citoplasma
embarcação	proa/âncora/escora/casco/turco/gávea/popa/traseiro/vigia/convés/volante/timão/leme
muro	arco/pilar/entrada/porta/pórtico/portão/acesso
deserto	oásis
túnel	chaminé/poço
terminal	teclado
carteira	trinco/alça/cabo
perfil	horizonte
litro	decilitro
ave	ostra/espoleta/coxa/rabo/anca/traseira/culatra/traseiro/garupa/pena/plumagem/pluma/bico/asa/ala
roda	cadeia/corrente/selim/pedal
divisa	coroa/cara
plataforma	computador/calculadora
correio	missiva/carta
dedo	falange/unha
cabelo	risco
disputa	porrada/golpe
tecido	bainha/alicerce/base/pé
monte	cume/cimeira/cimo/declive/encosta/vertente/ladeira/rampa
flor	ovário/estame
vaca	bife/carne/úbere
atmosfera	troposfera/estratosfera/mesosfera/ionosfera
folha	manchete/notícia/editorial/coluna/banda_desenhada
serra	dente
extinção	dispersão/absorção
coluna	pedestal/suporte/base/capitel
cadáver	braço/cabeça/virilha/pescoço/perna/corpo/torso/tronco
oceano	desfiladeiro/enseada/fiorde/baía/golfo
salão	chão/piso/pavimento/muro/parede/muralha/teto
laço	nó/forca
s	milissegundo
litoral	costa/praia
balcão	corrimão/balaustrada/camarote
bicicleta	cadeia/corrente/selim/pedal
marketing	distribuição/venda/publicidade/promoção/anúncio/propaganda
alimentação	mastigação
lar	habitação/quarto/dormitório/câmara/gabinete/camarim/refeitório/cozinha/salão/sala/banheiro
cérebro	tronco_cerebral/hemisfério
garrafa	tampa
vela	pavio/mecha
prata	coroa/cara
ala	aileron/pluma/pena
pacto	termo/condição
refeição	acompanhamento/sanduíche/prato/porção
comitiva	guarda-costas/guarda
pano	bainha
ovo	gema/clara/casca
prato	molho/tempero/ingrediente
civilização	subcultura/sub-área
relógio	ponteiro
leão	crina/juba
planta	parte/fragmento
armamento	arma
míssil	focinho/tromba
centímetro	mm/milímetro/milimetro
cozinha	grade/tempero
navegação	governo
documentação	preâmbulo/artigo/cláusula
copo	vidro
colar	penduricalho
solar	sala
gravidez	segmentação
ombro	espádua/omoplata/axila/sovaco
templo	abside/presbitério/transepto/nártex/nave/ábside/sacristia/pilar/coluna
escada	degrau
estaleiro	dique_seco
secretária	caixa/gaveta
cais	ancoradouro/doca
m	decímetro
ética	preceito/princípio
supermercado	prateleira/estante
gado	bife/carne
reprodução	nascimento
passaporte	visto
assento	pé/espaldar/cadeira
dente	raiz/coto
peito	costela/esterno/colo/areola/tórax
correspondência	missiva/carta
osso	tutano/medula
porco	pé/lombo
toiro	corno/chifre
processador	placa-mãe
auto	airbag/acelerador/buzina/pára-choque/terceira/grade/porta-bagagem/mala/bagageira/janela/guarda-lama/capô/capuz/porta-luvas/retrovisor/ré/teto/porta/portão
grama	quilate
chapéu	copa
órbita	lacrimal
lago	desfiladeiro/enseada/fiorde/baía
pilar	pedestal/suporte/base/capitel
batata	batatinha
colégio	classe
vestuário	guarda-roupa/colarinho/algibeira/bolso/faixa/banda/manga/braguilha
joelho	patela/rótula
sapato	palmilha/tacão/talão/salto/cordão/atacador/língua
mala	tampa/trinco/alça/cabo/tira
convento	cela/scriptorium
bacia	cóccix/ilíaco/sacro/ísquio/púbis/quadril
arco	aduela/chave/seta/flecha
contabilidade	balanço
maturidade	maioria/quarenta
fruta	casca/pele/crosta
áfrica	moçambique/gâmbia/namíbia/abissínia/burundi/malawi/líbia/niger/mali/angola/guiné/benim/gabão/gana
diocese	paróquia
mesquita	mihrab/minarete
faca	lâmina/pico/ponta
nariz	fossa_nasal/narina/venta
asa	aileron/pluma/pena
telhado	ladrilho
pescoço	garganta/rosto/cara/face/caveira/crâneo/crânio/orelha/têmpora/encéfalo/cérebro/faringe/timo/traqueia/nuca/cerviz
jóia	pedra/gema
óculo	abertura/esclerótica/cristalino/lente/conjuntiva/pálpebra/córnea/retina/íris
mosteiro	cela/scriptorium
calça	pé/punho/joelho/perna/cremalheira
nascente	extremo-oriente
veleiro	retranca/mastro/vela/volante/timão/leme
oração	cláusula/constituinte
barril	torneira/arco/galão
aquecimento	aquecedor/caldeira
l	decilitro
xadrez	movimento
ferramenta	trinco/alça/cabo
matriz	endométrio/placenta
telescópio	prisma/visor/mira
submarino	periscópio/sonar
forno	grade
monitor	osciloscópio/janela
muralha	arco/pilar/entrada/porta/pórtico/portão/acesso
manga	punho/cotovelo
orelha	lóbulo/tímpano
munição	armamento/arma
anjo	asa/ala
touro	corno/chifre
calçado	espora/sola/palmilha/tacão/talão/salto/cordão/atacador/língua
vestido	guarda-roupa/cremalheira
bicho	rosto/cabeça/pescoço
barba	bigode
alfândega	eme
melodia	frase
sudoeste	califórnia
bagagem	trinco/alça/cabo/tira
ilustração	título/lenda/legenda/subtítulo
milímetro	micrómetro
gaveta	fechadura
tomate	tomateiro
diâmetro	raio
portão	porta/umbral/limiar/fechadura/charneira/dobradiça/gonzo
vivenda	escritório/biblioteca/alpendre/mansarda/trapeira/ático/sótão
armadilha	isca/ardil
milénio	século/centúria
galinha	frango
morada	habitação/quarto/dormitório/câmara/gabinete/camarim/refeitório/cozinha/salão/sala/banheiro
infinito	lugar/ponto/localização
traseiro	glúteo
vegetal	parte/fragmento
pássaro	rabo/anca/traseira/culatra/traseiro/garupa/pena/plumagem/pluma/ave/bico/asa/ala
gozo	esperma/espermatozóide
gerador	rotor
missiva	destino/melodia/linha
varanda	corrimão/balaustrada
moradia	habitação/quarto/dormitório/câmara/gabinete/camarim/refeitório/cozinha/salão/sala/banheiro
bota	língua/espora/salto/talão/tacão/palmilha
adolescência	puberdade
traje	guarda-roupa
dicionário	verbete
leito	colchão
película	legenda/plano
elevação	ladeira/encosta/declive/subida/costa
estômago	abdómen/umbigo/barriga/intestino
entrave	rédea/bocado/bocal
respiração	expiração/inspiração/inalação
elefante	tromba
gruta	fundo/estalagmite
caminhada	passo/pernada
milho	sabugo/espiga/cereal
calibre	raio
cirurgia	incisão
túmulo	estela/lápide
colina	declive/encosta/vertente/ladeira/rampa
tronco	tálamo/casca/umbigo/intestino/membrana/diafragma/peito/seio/cu/rabo/ânus/popô/costas/lombo/quadril/pança/talhe/cintura/barriga/abdómen/ventre/estômago/abdômen/ombro/traseiro/bunda/anca/banda/nalga/nádega
receptor	antena
cordão	agulheta
molécula	átomo/cadeia
espada	lâmina/punho/cabo/pico/ponta
ovelha	pé/úbere/borrego/cordeiro/anho/carneiro
saia	cremalheira
fortaleza	baluarte/trincheira/muralha/ameia
criatura	rosto/anatomia/célula/cabeça/pescoço
erva	legume/verdura/hortaliça/vegetal
embaraço	segmentação
inconsciente	superego
labirinto	caracol/cóclea
quarteirão	curro
barriga	abdómen/umbigo/intestino
agulha	ponta/buraco
prateleira	espeto
garganta	adenóide/língua/orofaringe/glote
idioma	vocabulário/léxico
metrópole	centro/inner_city
atlântico	shetland
banana	bananeira
estória	anticlímax
galo	frango/galinha
mama	areola
caneta	ponta/cartucho
bode	barba/corno/chifre/úbere
vocabulário	verbete
radar	osciloscópio
unha	lúnula
vaso	rebordo/base
domicílio	habitação/quarto/dormitório/câmara/gabinete/camarim/refeitório/cozinha/salão/sala/banheiro
casco	dedo/quilha
time	reserva
verbo	sílaba
ovação	aplauso
escadaria	degrau
cabra	barba/corno/chifre/úbere
torneira	trinco/alça/cabo
armário	gaveta/caixa/prateleira/estante
listagem	item
feijão	fava
aeronave	tromba/focinho/camarote
ensinamento	lição/tarefa
canalização	arco
frango	galinha
barranco	declive/encosta/vertente/ladeira/rampa
mosaico	azulejo
navalha	lâmina
lebre	coelho
sepultura	estela/lápide
alho	porro/alho-porro
shopping	produto/fazenda/mercadoria/artigo
orla	costa/praia
refeitório	bufete/armário
malta	valeta
lâmpada	tomada/abajur/difusor/base
flecha	haste/cabo
velhice	sessenta
cultivo	colheita
inseto	queixo/asa/ala
enunciado	fone/fonema
mm	micrómetro
aeródromo	pista/taxiway/hangar
útero	endométrio/placenta
amoreira	amora
légua	milha
átomo	núcleo
antropologia	estruturalismo
bovinos	bife/carne
estante	prateleira
flora	parte/fragmento
tartaruga	concha/carapaça/cutícula
mamífero	pelagem/cabelo/pêlo
coxa	quadril/fêmur/fémur
chaminé	lar/lareira
moldura	borda
oliveira	oliva/azeitona
cantiga	estribilho/coro/refrão/teor/letra/texto
pata	dedo/pato
mansão	sala
lápis	borracha/pico/ponta
narração	conclusão/introdução
espinha	vértebra/cóccix
asfixia	hipóxia
concha	trinco/alça/cabo
índia	caxemira/goa/himalaia/guzerate
cromossoma	gene/telómero
gestação	trimestre
pauta	espaço
crânio	mandíbula/órbita/parietal/moleira/fontanela/frontal
arcada	arco
suíno	pé/porco
taberna	bar
hp	watt
urbe	centro/inner_city
polvo	pop
enfermaria	sala/hospital
temperamento	índole/caráter/natureza/personalidade/peculiaridade/feição
fazenda	bainha/quinta
polegada	eme
penso	gaze
ventre	endométrio/placenta/abdómen/umbigo/barriga/intestino
pub	bar
lâmina	parte
américa	sul/oregon/indiana/califórnia/norte
malária	febre
esperma	espermatozóide/flagelo
siderurgia	alto-forno
pente	dente/balaço/bala
arca	tampa
suíça	zurique/genebra
duche	chuveiro
palmeira	coco/côco
transatlântico	camarote
substantivo	nominal
atum	atum-rabilho
megabyte	kilobyte
adjetivo	adjectivo
porção	bocado
machado	lâmina
pecuária	colheita
jurisprudência	lei
carvalho	bolota
sonata	movimento
ventilação	exaustor/ventilador
tampa	fechadura
fogão	grade
morro	declive/encosta/vertente/ladeira/rampa
dormitório	cama/leito
anca	quadril/fêmur/fémur/glúteo
panela	trinco/alça/cabo
guarda-chuva	trinco/alça/cabo
fechadura	tranca
espermatozóide	flagelo
neurônio	dendrite/axónio
bote	banco
lareira	chaminé/lar
dígito	falange/unha
forja	bigorna
besta	rosto/cabeça/pescoço
melão	meloeiro
couve	vegetal/repolho
disfarce	dominó
bica	trinco/alça/cabo
pêlo	risco
carneiro	pé/corno/chifre
canela	surata
cabrito	barba/corno/chifre
aqueduto	arco
embrulho	trinco/alça/cabo/tira
engrenagem	dente
hamburger	hambúrguer
indonésia	java/bornéu/timor
cadeado	manilha
oriente	extremo-oriente
reto	ânus
forcado	dente
cartucho	balaço/bala
sobrenatural	destino
repasto	acompanhamento/sanduíche/prato/porção
rebocador	volante/timão/leme
galão	quarto
tv	som/video/vídeo
adjectivo	adjetivo
toada	frase
argentina	rosário
joalharia	pedra/gema
florim	centavo/cêntimo
tornozelo	astrágalo
lagosta	coral
propulsor	jante
fungo	chapéu
morcego	asa/ala
caverna	fundo/estalagmite
tesoura	lâmina
alavanca	fulcro
colarinho	gola
abdómen	umbigo/barriga/intestino
pincel	trinco/alça/cabo
rodovia	trevo/acostamento/berma/curva/encruzilhada/cruzamento
ponteiro	haste/cabo
culinária	tempero
léxico	verbete
termómetro	capilar
anatomia	corpo
felino	pata/pé
ostra	marisco
trombose	trombo
ovário	placenta
vocábulo	sílaba
laranjeira	laranja
anoitecer	pôr-do-sol/poente/crepúsculo
glaciar	morena
diálise	osmose
pórtico	portão/porta/umbral/limiar
paludismo	febre
veado	chifre/corno
testículo	epidídimo
trem	suspensão
ortografia	hifenização/letra/caractér/carácter
ignição	vela/distribuidor
ferrovia	travessa/trilho/dormente
vagão	suspensão
automotora	suspensão
cristandade	cristianismo
milênio	século/centúria
fornada	migalha/miga
sanduíche	pão
caveira	mandíbula/órbita/crânio
cone	pico/ponta
retina	cone/bastonete
furna	fundo/estalagmite
aposento	teto/chão/piso/pavimento/muro/parede/muralha/habitação/quarto/dormitório/câmara/gabinete/camarim/refeitório/cozinha/salão/sala/banheiro
peru	lima
bombagem	cilindro
penitência	absolvição
coco	côco
sola	cintura
escova	trinco/alça/cabo
insecto	queixo/asa/ala
raíz	casca
punhal	punho/cabo
lula	calamar
cosmo	estrela/astro
transmissor	antena
baú	tampa
hectolitro	decalitro
noitada	madrugada/meia_noite/meia-noite/noite
basquete	metade
pimento	piripiri/chili
caneca	trinco/alça/cabo
circunferência	sextante
chicote	látego
telefonia	central/telefone
fortificação	baluarte/trincheira/muralha
cadeirão	braço
alfinete	ponta
firmamento	nadir/zénite/zodíaco
cerejeira	cereja/ginja
dobra	centavo
mímica	gesto
ventilador	jante
poltrona	braço
alguidar	cóccix/ilíaco/sacro/ísquio/púbis/quadril
garfo	dente
equador	quito
calculadora	monitor/hardware/teclado/disquete/periférico/memória/chip/ci/processador/microchip
hélice	jante
molusco	cutícula/carapaça/concha
onça	dracma
turbina	rotor
estábulo	curro
compressor	cilindro
nádega	glúteo
ruminante	barrete
óvulo	gema
ananás	abacaxi
caráter	integridade/responsabilidade
proposição	termo
china	amarelo/cantão
frigideira	cabo/alça/trinco
decênio	ano
ascensor	elevador
levante	extremo-oriente
ladeira	declive/encosta/vertente/rampa
estrofe	linha/melodia
penteado	anel/cacho
cânhamo	erva/canabis/canábis/maconha
vagina	hímen
séquito	guarda-costas/guarda
videira	uva
bósnia	sarajevo
rojão	foguete
gigabyte	megabyte/mb
alcorão	sura
vitelo	vitela
égua	cavalo/anca
porra	esperma/espermatozóide
sela	estribo
fuselagem	rabo/traseiro/vigia
ligadura	gaze
nogueira	noz
pálpebra	cílio/celha/pestana/conjuntiva
verga	glande/uretra/prepúcio
ameixoeira	ameixa
transistor	emissor
grelo	prepúcio
persiana	sarrafo/ripa
amendoeira	amêndoa
coqueiro	coco/côco
tripé	pé
sémen	esperma/espermatozóide
tranca	manilha
fornalha	grade
byte	bit/bite
rand	centavo/cêntimo
antebraço	rádio/cúbito
mediterrâneo	egeu/malta
estio	canícula
bezerro	vitela
ribanceira	costa/praia
banheiro	lavabo/pia/banheira/vaso
orquídea	queixo
vestimenta	guarda-roupa
corrimão	carril/balaústre
transístor	emissor
embolia	êmbolo
megabit	quilobit/kilobit
explanação	fundação/base
vasilhame	rebordo/base
frança	picardia/escalda/borgonha/centro/sena/lyon/bordeaux/nice
cómoda	caixa/gaveta/prateleira/estante
ameixa	nêspera
tumba	estela/lápide
escudeiro	margem/paginação
botequim	bar
angola	lobito/huambo
pugna	porrada/golpe
pinto	glande/uretra/prepúcio
floração	ovário/estame
alça	visor/mira
pereira	pêra
galho	casca
alvéolo	favo
cuba	havana
macieira	maçã
raquete	trinco/alça/cabo
japão	toyota
canídeo	pata/pé
equipe	reserva
baga	fruta/fruto
faqueiro	trinco/alça/cabo
atacador	agulheta
mercantilismo	transportação/expedição/transporte
rodada	jogo/turno/metade
vertebrado	costela/peito/seio/ventre/barriga/dígito/dedo/traseiro/cauda/rabo
codorniz	codorna
mamute	tromba
centúria	decênio/década
jan	epifania/natal
meca	caaba
bornéu	sabá
coleira	penduricalho
zodíaco	sagitário/touro/cancer/gêmeos/signo/capricórnio/balança/virgo/virgem/leão/ânfora/câncer/libra/carneiro/escorpião
peleja	porrada/golpe
torso	membrana/diafragma/peito/seio/cu/rabo/ânus/popô/costas/lombo/quadril/pança/talhe/cintura/tronco/barriga/abdómen/ventre/estômago/abdômen/ombro/traseiro/bunda/anca/banda/nalga/nádega
decilitro	centilitro
crâneo	mandíbula/órbita/crânio
vasilha	rebordo/base/tampa
alfarrobeira	alfarroba
arreio	entrave/brida/estribo
ato	cena
caqui	dióspiro
pessegueiro	pêssego
guelra	onça
limoeiro	limão
tangerina	bergamota
selim	estribo
berbigão	prepúcio
caralho	glande/uretra/prepúcio
comercialismo	transportação/expedição/transporte
jarda	pé
empório	prateleira/estante
estereofonia	amplificador
clítoris	prepúcio
caule	tálamo
brasil	acre/madeira/limeira/rio/recife
rabanete	rábano
oculto	destino
críquete	entrada
síria	damasco/tigre
musculatura	músculo/tendão/ligamento
caçarola	trinco/alça/cabo
nespereira	nêspera/ameixa
repolho	vegetal/couve
sombrinha	trinco/alça/cabo
teta	areola
maleta	trinco/alça/cabo
silogismo	conclusão/pressuposto/premissa
disenteria	diarréia
conduto	arco
orégão	manjerona
laringe	glote
milissegundo	microssegundo
balaustrada	carril/balaústre
pé-de-cabra	fulcro
aeroplano	capuz/acelerador/capô/asa/ala/pára-brisa/fuselagem/tromba/focinho/camarote
luminária	difusor
tronco_cerebral	ponte
roma	vaticano
escrivaninha	caixa/gaveta
teca	trinco/alça/cabo
bufete	estante/gaveta/caixa/prateleira
ocultismo	destino
arábia	catar
maconha	erva/canabis/canábis/legume/verdura/hortaliça/vegetal
chapéu-de-chuva	trinco/alça/cabo
portugal	braga/lusitânia/porto/setúbal
serrote	dente
adaga	punho/cabo
câmera	mira/visor/obturador/diafragma/objectiva/pára-sol
pimentão	pimento
europa	suíça/frança/holanda/flandres/portugal
sextante	grau
clitóris	prepúcio
sacada	corrimão/balaustrada/camarote
nanómetro	ångström/angström
timor	timor-leste
final_de_semana	sábado/domingo
saguão	chão/piso/pavimento/muro/parede/muralha/teto
bunda	glúteo
marmeleiro	marmelo
conífera	pinha
regador	trinco/alça/cabo
caneleira	canela
espira	jante
cidreira	cidra
pênis	glande/uretra/prepúcio
romã	granada
fonógrafo	captador
inhame	batata-doce
estaminé	bar
corola	pétala
tijela	cóccix/ilíaco/sacro/ísquio/púbis/quadril
cachorro-quente	salsicha
neurónio	dendrite/axónio
geleira	morena
sintagma	modificador
quadril	ísquio
galináceo	crista
barra_fixa	barra
faringe	adenóide/língua/orofaringe
ônibus	janela/teto
gramofone	captador
cervo	chifre/corno
íris	pupila
captador	safira/agulha
vacum	bife/carne
anis	erva-doce
