o	autorização/letra/caractér/carácter
final	ocupação/conclusão/término/cabo/fim/resultado/chegada/atividade
problema	dor-de-cabeça/tema/dificuldade/questão/estado/situação/condição/preocupação/ocorrência/evento/acontecimento/obstáculo
situação	posição/local/lugar/relação/conexão/condição/estado/propriedade/característica/predicado/atributo
ponto	disco/componente/articulação/objeto/parte/fator
parecer	resultado/resposta
projecto	opinião/ideia/conceito/pensamento/idéia
jogo	componente/ação/volume/medida/número/quantidade/quantia/magnitude/ocupação/montão/colecção/ruma/chusma/coleção/grupo/aglomeração/diversão/torneio/concurso/certame/partida/competição/actividade/atividade
obra	produção/produto
facto	conhecimento/informação
lado	superfície/fronteira/faceta
processo	causa/ocupação/atividade
acordo	pacto/cooperação/colaboração/declaração/descrição/harmonia/concórdia/paz/aliança/aprovação/consenso/conformidade
semana	período/etapa/tempo
lugar	espaço/item/status/classe/condição/estado/posição/terreno/região/extensão/objeto/local/ocupação/atividade/infinito/ponto/localização
meio	componente/momento/condição/ambiente/instante/estado/situação/região/realização/execução/implementação
questão	oração/inquérito/assunto/precariedade/incerteza/sentença/frase/matéria/tema/tópico/pergunta/solicitação/requerimento/petição/requisição/pedido/apelo
mercado	estrato/indústria/classe/feira/shopping/ocupação/atividade
ministro	clérigo/sacerdote/pároco/pastor/executivo
cidade	município/municipalidade
fim	objectivo/conclusão/momento/instante/ocorrência/evento/acontecimento/término/cabo/intenção/meta/alvo/fenômeno/fenómeno/resultado/chegada
responsável	culpado/líder/chefe
partido	organização/adulto
homem	marido/amante/amado/conjunto/grupo/parente/cara-metade/alma/indivíduo/alguém/pessoa/hominídeo/adulto/macho/varão/cônjuge/esposo/consorte/colega/esposa
hora	momento/segundo/instante/etapa/dado/leitura/período/distância/tempo
local	posição/lugar
relação	abstração/ligação/condição/estado/situação/conexão
quatro	dígito/número/algarismo
número	atuação/dígito/custo/periódico/revista/jornal/ideia/idéia/concepção/conceito/abstração/atributo/soma/símbolo/simbolo/aceno/emblema/sinal/quantidade/grandeza/magnitude/algarismo/inteiro
vida	experiência/intenção/alma/indivíduo/alguém/pessoa/motivo/motivação/necessidade/organismo/animação/período/etapa/tempo/ser/existência
coisa	ação/ente/entidade/ser/ato/atividade
alto	voz
resultado	placar/ocorrência/evento/acontecimento/declaração/descrição/fenômeno/fenómeno/conclusão/chegada/fim/efeito
serviço	condição/alojamento/preço/louça/obrigação/tarefa/dever/custo/trabalho/biscate/emprego/produto/utensílio/artefato/estado/situação/companhia/auxílio/ajuda/assistência/socorro/ocupação/atividade
programa	sistema/agenda/comunicação/informação/horário/cronograma/opinião/conceito/pensamento/idéia/emissão/lista/listagem/software/aviso/anúncio/código/espectáculo/show/ideia/plano/intenção/projecto/programação/traçado/projeto/concepção
além	vida
casa	lugar/família/raiz/manancial/nascente/procedência/fonte/abrigo/alojamento/lar/aposento/moradia/morada/prédio/tecido/estrutura/habitação/vivenda/ponto/localização/edifício/endereço/residência/domicílio/ambiente
europeu	morador/habitante
acção	evento/acontecimento/fato
direito	título/filosofia/abstracção
área	terreno/região/lugar/campo/disciplina/domínio
nome	reputação/honra/fama/renome/substantivo/prenome
mundo	parte/experiência/homem/conjunto/grupo/natureza/gente/povo/população/tomo/pedaço/porção/secção
zona	desordem/bagunça
zona	herpes/bagunça/área/região
posição	opinião/item/classe/posto/postura/status/atitude/função/emprego/profissão/ofício/ocupação/trabalho/serviço/papel/relação/conexão/orientação/local/lugar/condição/estado/localização/colocação/situação
valor	volume/handicap/medida/número/quantidade/quantia/magnitude/qualidade/benefício/lucro/utilidade/vantagem
momento	força/minuto/segundo/volume/medida/número/quantidade/quantia/magnitude/instante/etapa/tempo/época/período/era
região	lugar/ponto/localização
exemplo	repreensão/ocorrência/evento/acontecimento/conhecimento/informação
câmara	câmera/assembléia/quarto/aposento/sala
capital	ativo/dinheiro/divisa/moeda
filme	objeto/produção/produto/espectáculo/show
história	conhecimento/passado/relato/contínuo/crônica/artigo/ficção/literatura/notícia/noção/cognição/compreensão/mentira/falsidade/relatório/crónica
noite	escuridão/anoitecer/jornada/crepúsculo/dia/período/etapa/tempo
cinco	dado/dominó
decisão	firmeza/juízo/opinião/ideia/selecção/escolha/seleção
sistema	programa/matéria/substância/anatomia/equipamento/método/técnica/conjunto/grupo
então	momento/instante
reunião	festa/junção/assembléia/unificação/agrupamento
líder	chefe/alma/indivíduo/alguém/pessoa
futuro	produto/tempo/mercadoria/artigo/fazenda/bem/porvir/vindouro
eleição	votação/selecção/escolha/seleção
nível	classe/hierarquia/posição/posto/condição/estado/situação
aqui	lugar/ponto/localização
mulher	classe/alma/moça/estrato/marido/cônjuge/esposo/consorte/colega/homem/esposa/adulto/fêmea/amado/amante/indivíduo/alguém/pessoa/garota/rapariga/senhorita
jovem	coorte/alma/indivíduo/alguém/pessoa/menor/juvenil
altura	área/altitude/região/dimensão/magnitude/amplidão/extensão/distância
condição	circunstância/pressuposto/declaração/descrição/contexto/estado/situação/propriedade/característica/predicado/atributo
frente	face/posição/local/lugar/lado
encontro	convergência/assembléia/compromisso/reunião
política	profissão/raciocínio/argumentação/programa
francês	europeu/românica
causa	começo/iniciação/origem/razão/motivo
força	influência/hostilidade/agressão/intensidade/atributo/causador/poder
lei	jurisprudência/ideia/idéia/concepção/conceito/montão/colecção/ruma/chusma/coleção/grupo/aglomeração
apoio	recurso/ferramenta/aparelho/aparato/mecanismo/instrumento/dispositivo/equipamento/auxílio/ajuda/assistência/socorro
tarde	jornada/período/etapa/tempo/dia
prova	informação/exame/experiência/experimento/evidência/teste
ideia	objetivo/concepção/propósito/objectivo/finalidade/intento/perspicácia/convicção/religião/fé/crença/intenção/meta/alvo/cálculo/opinião/conceito/pensamento/idéia
guerra	luta/conflito/inimizade/hostilidade/batalha/combate
razão	livro-caixa/explicação/causa/faculdade/explanação/talento/motivo
início	decolagem/momento/instante/princípio/começo/converter/ocorrência/evento/acontecimento
espaço	letra/extensão/propriedade/característica/predicado/atributo/colocação/posição/situação/infinito/grafema/lugar/ponto/localização
maioria	idade/número
medida	ocupação/atividade/abstração/manobra/número/grandeza/magnitude
água	líquido/nutriente/comida/alimento/coisa
técnico	treinador/líder/chefe
informação	conhecimento/noção/cognição/compreensão/montão/colecção/ruma/chusma/coleção/grupo/aglomeração
conta	joalharia/extrato/causa/factura/joalheria/jóia/razão/motivo/investigação/número
construção	edificação/comércio/empresa/negócio
taxa	obrigação/imposto
título	denominação/nome/prenome/subtítulo
actividade	condição/estado/situação
sentido	faculdade/cortesia/compreensão/opinião/ideia/conceito/pensamento/idéia/intenção/significação/significado/talento
escola	prédio/comunidade/edifício/instituto/colégio/grupo
direcção	gestão/administração/percurso/estrada/itinerário/caminho/rota/linha
plano	esquema/objetivo/retrato/fotografia/foto/opinião/ideia/conceito/pensamento/idéia/propósito/objectivo/finalidade/intento/sistema/organização/estrutura/ordem/pintura/figura/desenho/imagem/ilustração/formato/forma/intenção/projecto/programa/programação/traçado/projeto/concepção
imagem	conjunto/pintura/criação/figura/ilustração/desenho/representação
jogador	participante/atleta/contendor/alma/indivíduo/alguém/pessoa
centro	ideologia/jazida/lugar/prédio/edifício/umbigo
polícia	posto/agente/policial/guarda/estação
sobretudo	casaco
organização	ocupação/comunidade/início/começo/atividade/administração/gestão/conjunto/grupo
seis	dominó/dado
livro	publicação/produção/produto/edição
tipo	símbolo/raça/simbolo/aceno/emblema/sinal/família/género/categoria/classe
comissão	estipêndio/certidão/certificado/escritura/instrumento/atestado/organização/custo/taxa
música	ocupação/som/atividade
preço	valor/importância/gasto/despesa/custo/qualidade
defesa	proteção/batalha/edifício/tecido/estrutura/protecção/combate
1	dígito/número/algarismo
segurança	qualidade/firmeza/característica/valentia/bravura/garantia/estado/situação/condição
falta	ausência/escassez/deficiência/violação/perda/derrota/carência/necessidade
membro	associado/porção/categoria/parte/componente
estudo	aquisição/inspecionar/examinar/aprendizagem
dólar	peça/nota/sinal/emblema/aceno/simbolo/símbolo/moeda/divisa/prata/cédula/papel-moeda
americano	morador/habitante
população	gente/inteiro/colonização/povo/conjunto/grupo
clube	prédio/edifício/associação/união/ordem/sociedade/organização
interesse	atração/saqué/preocupação/lucro/curiosidade
socialista	político
fundo	superfície/panorama/face/região/depressão/leito/dinheiro/divisa/moeda/lado/vista
televisão	radiorreceptor/receptor/broadcast
ninguém	plebeu
morte	homicídio/término/fim/cabo/conclusão/assassinato/alma/indivíduo/alguém/pessoa/mudança/alteração/variação/modificação/condição/estado/situação
logo	marca
dirigente	representante/administrador
família	parente/ideia/genealogia/sangue/linhagem/descendência/montão/colecção/ruma/chusma/coleção/grupo/aglomeração/clã/tribo/familia/idéia/concepção/conceito
tema	melodia/assunto/opinião/matéria/tópico/toada/ideia/conceito/pensamento/idéia
forte	virtude/recurso/vantagem/propriedade/bem/defesa
sociedade	acordo/relação/contrato/ligação/associação/união/ordem/organização
espanhol	castelhano/românica/europeu
modo	comportamento/maneira/procedimento/conduta/realização/execução/implementação
termo	verbo/constituinte/declaração/descrição/palavra/vocábulo
candidato	alma/indivíduo/alguém/pessoa/político
período	época/século/era/idade/intervalo/etapa/tempo/duração/continuidade
associação	memória/comunidade/relação/organização/grupo/ligação
terceiro	classe/hierarquia/posição/posto
jornalista	comunicador/autor/escritor
papel	mídia/dever/obrigação/caracterização/carta/ocupação/atividade
iniciativa	começo/disposição/início
dinheiro	possessão/ativo/cobre/riqueza/bem/divisa/moeda
opinião	conceito/idéia/ideia/perspicácia/pensamento/convicção/religião/fé/crença
total	inteireza/plenitude/integralidade
conjunto	montão/parafernália/jogo/colecção/ruma/chusma/coleção/grupo/aglomeração/abstração
norte-americano	americano/morador/habitante
intervenção	participação/interrupção/pausa
deputado	legislador
criança	descendência/alma/menino/menor/juvenil/macho/varão/homem/indivíduo/alguém/pessoa/descendente/filho/jovem
fase	momento/instante/período/etapa/tempo/condição/estado/situação
estrangeiro	união/alma/república/nação/país/turista/viajante/indivíduo/alguém/pessoa
vitória	ocorrência/júbilo/exultação/evento/acontecimento/conclusão/fim/resultado/chegada
base	instrução/localização/flanco/fundação/pressuposição/escritório/apoio/ponto/lugar/número/suporte/encosto/educação/fundo/hipótese/suposição
estado	humor/governo/regime/espírito/condição/situação/propriedade/característica/predicado/atributo
autarquia	independência/liberdade
mão	socorro/montão/assistência/ajuda/auxílio/colecção/ruma/chusma/coleção/grupo/aglomeração
futebol	bola
ordem	sindicato/solicitação/estrato/situação/arranjo/status/posição/classe/condição/estado/comando/requerimento/petição/requisição/pedido/apelo/sindicalismo/associação/união/sociedade/organização
instituição	associação/começo/união/ordem/sociedade/organização/início
declaração	testemunha/descrição/testemunho/depoimento
operação	ocupação/tarefa/cálculo/trabalho/atividade
linha	texto/array/produto/formação/corda/fronteira/ordem/marca/utensílio/artefato
banco	assento/cadeira
documento	figura/mensagem/comunicação/ilustração/desenho/imagem/representação
criação	produção/ocupação/princípio/utensílio/artefato/natureza/produto/atividade/começo/início
produção	apresentação/criação/espectáculo/show/produto/acção/ação/ato/feito/indústria
sector	faceta
fonte	atividade/instalação/infra-estrutura/serviço/comunicador/edifício/tecido/estrutura/lugar/procedência/nascente/manancial/raiz
solução	triunfo/declaração/descrição/substância/mistura/método/técnica/sucesso/êxito
autor	fazedor/escritor/comunicador
sessão	encontro/reunião/conferência
jornal	imprensa/jornalismo/revista/periódico/folha/publicação/edição
palavra	promessa/ordem/verbo/termo/vocábulo/declaração/descrição
princípio	generalidade/generalização/regra/prescrição/norma/momento/instante/início/começo/lei/ocorrência/evento/acontecimento
investimento	finança/ativo
necessidade	carência/requisito/pré-requisito/estado/situação/condição/coisa
qualidade	raça/grau/ideia/idéia/concepção/conceito/propriedade/característica/predicado/atributo/valor/importância/tipo/género/categoria/classe
campanha	corrida/manobra/operação/terra/chão/solo/relevo
contrário	oposição
central	trabalho/laboratório/oficina/emprego
movimento	decisão/deslocamento/jogada/mudança/condição/estado/situação/resolução/traslado/ocorrência/evento/acontecimento
efeito	fim/fenômeno/fenómeno/resultado/causalidade
presente	dom/aquisição/dádiva/brinde/doação
imprensa	maquinaria/máquina
face	rosto/superfície/semblante/aparência/aspecto/alma/indivíduo/alguém/pessoa/cara
exposição	montão/debilidade/efeito/exibição/vulnerabilidade/apresentação/perigo/demonstração/colecção/ruma/chusma/coleção/grupo/aglomeração
presença	alma/opinião/proximidade/ser/existência/espírito/fantasma/impressão/crença/idéia/ideia/assistência/comparecimento
administração	comunidade/gestão/organização/grupo
possibilidade	intercorrência/expectativa/ideia/idéia/concepção/conceito/ser/existência/opção/escolha/eleição/alternativa
metro	caminho-de-ferro/instrumento/aparelho/ferramenta/ferrovia
elemento	componente/parte/categoria/porção
época	século/era/idade/período/etapa/tempo
resposta	reação/declaração/descrição
autoridade	livro/alma/indivíduo/alguém/pessoa
campo	instalação/infra-estrutura/serviço/terreno/extensão/região/saber/conhecimento
aumento	crescimento/acrescentamento/mudança/alteração/variação/modificação/número/quantidade/melhoramento
procurar	ocupação/atividade
prazo	dia/período/data/etapa/tempo/momento/instante/duração/continuidade
jogar	uso/utilização
edição	número/conjunto/publicação/obra/trabalho/impressão/grupo
texto	livro
volta	chegada/curva/vinda/arco
série	sequência/ordem/jornal/revista/periódico/polinómio/polinômio
objectivo	objetivo/meta/alvo/propósito/intenção/finalidade/intento
voto	declaração/garantia/selecção/escolha/seleção
professor	abstracção/autoridade/acadêmico/pedagogo/educador/mestre/instrutor/docente
verdade	veracidade/realidade/declaração/descrição/facto/conhecimento/informação
venda	acordo/pacto/mercantilismo/comercialismo/comércio
desenvolvimento	melhoramento/melhoria/uso/utilização
director	educador/pedagogo/administrador
saúde	sucesso/estado/situação/condição/prosperidade/bem-estar
produto	produção/química/fim/todo/criação/utensílio/artefato/mercadoria/artigo/fazenda/bem/quantidade/número/soma/unidade/efeito/resultado/substância
século	período/etapa/tempo
trabalhador	plebeu/alma/indivíduo/alguém/pessoa/obreiro/assalariado/empregado/operário
escudo	proteção/capa/protecção/armadura/fronha
entrada	vez/via/aperitivo/acesso/pagamento/rodovia/estrada/caminho/antepasto/vinda/chegada/jogo/recompensa/boca
terreno	extensão/tópico/tema/matéria/assunto/região/saber/conhecimento
formação	herança/posição/arranjo/ocupação/atividade/objeto/espaçamento/fabricação
tribunal	quarto/câmara/aposento/sala/assembléia
dado	informação/conhecimento/datum
regime	ideia/plano/intenção/projecto/programa/programação/traçado/projeto/concepção
cultura	sabor/sociedade/atitude/cultivo/crescimento
negócio	transação/mercantilismo/comercialismo/comércio
comunidade	conjunto/grupo/reunião
minuto	tempo/época/período/momento/era/distância
lista	listagem
andar	locomoção/edifício/tecido/estrutura/caminhada
paz	saudação/harmonia/amizade/convênio/convenção/tratado/pacto/quietude/silêncio/tranquilidade/calma/concórdia/conformidade/acordo
gente	conjunto/grupo/povo/população
risco	fronteira/causador/sinalização/perigo/ameaça/marca
oposição	curso/resistência/ação/ato/atividade/relação/conexão/partido/legenda
participação	relação/ligação/estado/situação/condição
chefe	empregador/supervisor/líder/alma/indivíduo/alguém/pessoa
apontar	orientação
dúvida	precariedade/incerteza
debate	oratória/conversa/idioma/discussão/conversação
pai	papai/progenitor/mãe/papá/painho
capacidade	competência/volume/conhecimento/noção/cognição/compreensão/susceptibilidade/talento/aptidão/habilidade/qualidade
crise	ataque
função	relação/utilidade/dever/obrigação/conexão/programa/software/ocupação/atividade
acesso	aproximação/estrada/ingresso/boca/entrada/via/caminho/direito
rua	caminho/estrada/rodovia/via
negociação	discussão/negócio/debate
conferência	ensino/reunião/educação/pedagogia/debate/discussão
dificuldade	empenho/era/momento/período/época/tempo/obstáculo/estado/situação/condição/qualidade/esforço/problema
sete	dígito/número/algarismo
quadro	ilustração/placa/figura/imagem/retrato/desenho/fotografia/foto/chapa/lousa
baixo	altura/voz/instrumento/guitarra/violão/tom
rápido	onda/vaga
pessoal	gente/povo/população/departamento/organização
economia	frugalidade/ação/eficiência/ato/atividade/sistema/organização
instalação	começo/produto/utensílio/artefato/infra-estrutura/serviço/início
filho	menino/descendência/parente/descendente/infante/garoto/rapaz/moço/criança
velho	coorte/avô/adulto/idoso/varão/macho/homem
britânico	europeu/povo/gente/nação
alteração	ocorrência/evento/acontecimento/mudança
terra	lugar/ligação/conector/chão/solo/relevo/região/objeto/ponto/localização
hipótese	proposta/opinião/pressuposição/raciocínio/argumentação/ideia/idéia/concepção/conceito/teoria/possibilidade/suposição
assunto	coisa
manhã	período/dia/etapa/tempo
caminho	curso/ação/fronteira/rodovia/produto/utensílio/artefato/corrente/conduta/estrada/trilha/realização/execução/implementação/via/ato/atividade
representante	vendedor/agente/alma/indivíduo/alguém/pessoa/advogado/defensor/proponente
rede	sistema/trama/estrutura/arquitectura/pano/fazenda/tecido/malha/cama/leito/organização/ferramenta/aparelho/aparato/mecanismo/instrumento/dispositivo/equipamento/capa/fronha/armadilha
sala	salão/quarto/câmara/aposento
estrutura	constituição/composição/produto/utensílio/artefato/arquitectura/atributo
responsabilidade	domínio/confiabilidade/obrigação/fé/dever/susceptibilidade/esfera
cinema	casa/mídia/teatro/produção/produto/espectáculo/show
visita	turista/viajante/encontro/reunião/visitante
ambiente	situação/condição/vento/tempo/clima/região/meio
curso	ação/reunião/fronteira/percurso/estrada/itinerário/caminho/rota/linha/formação/educação/instrução/ensino/ensinamento/localização/colocação/posição/situação/rumo/direcção/direção/ato/atividade/sequência/série
porta	quarto/abertura/entrada/câmara/aposento/sala/boca/portão
peça	moeda/porção/parte
alemão	europeu
origem	fonte/ascendência/herança/instalação/infra-estrutura/serviço/princípio/início/começo/procedência/nascente/manancial/raiz
aluno	alma/observador/espectador/caçador/seguidor/estudante/indivíduo/alguém/pessoa
corpo	parte/anatomia/cadáver/conjunto/comunidade/grupo/morto/defunto/exército/tomo/pedaço/porção/secção/natureza
gestão	administração
civil	cidadã/cidadão
via	produto/utensílio/artefato/estrada/caminho
povo	reunião/homem/conjunto/grupo/gente/população
experiência	herança/experimento/teste/pesquisa/inquérito/investigação/ocorrência/evento/acontecimento/instrução/educação
oito	dígito/número/algarismo
domingo	feriado
cidadão	alma/indivíduo/alguém/pessoa
território	região
edifício	produto/utensílio/artefato/comércio/empresa/negócio/tecido/estrutura
matéria	informação
russo	eslavo/autóctone
italiano	românica/europeu
carta	missiva/cartão/papel/documento/texto
ensino	ocupação/atividade/aquisição/aprendizagem/pedagogia
contrato	oferta/acordo/pacto/licitação
executivo	administrador/liderança/responsável/cabeça/líder/chefe
carro	veículo/auto/viatura/automóvel/máquina/carroça/vagão
comunicação	aviso/anúncio/abstração/declaração/descrição/acção/ação/ato/feito
partida	máquina/turno/rodada/torneio/concurso/certame/jogo/competição/mecanismo/acção/ação/ato/feito
sinal	pagamento/provocação/fragmento/defeito/recompensa/pedaço/eletricidade/electricidade/mensagem/comunicação/mudança
espécie	raça/tipo/género/categoria/classe
vítima	alma/indivíduo/alguém/pessoa/desafortunado/desventurado
amanhã	futuro/dia/porvir/vindouro
voz	mensagem/cantador/cantor/cantora/vocalista/som/comunicação
data	momento/instante/dia/mês/ano
investigação	buscar/procurar/tarefa/trabalho/pesquisa/inquérito
abertura	impressão/princípio/sequência/introdução/buraco/produto/utensílio/artefato/decolagem/começo/início/sucessão
discurso	faculdade/mensagem/comunicação/comunicado/talento
teatro	região/tablado/dramaturgia/comunicação/comunicado/prédio/edifício
resto	pano/objeto/porção/categoria/parte/componente
cargo	condição/função/emprego/profissão/lugar/ofício/ocupação/trabalho/serviço/estado/situação
amigo	camarada/alma/indivíduo/alguém/pessoa/conhecido/amiga/amizade
comercial	publicidade/propaganda/reclamo/reclame/anúncio
congresso	legislatura/reunião
luta	pugilismo/tentativa/empenho/esforço/torneio/concurso/certame/jogo/partida/competição/pugna/peleja/disputa/boxe/combate/batalha/conflito
arte	técnica/criação/meta/talento/habilidade/função/emprego/profissão/lugar/ofício/ocupação/trabalho/serviço
unidade	coisa/porção/totalidade/identidade/objeto/categoria/parte/componente
reforma	causa/melhoramento/campanha/melhoria
relatório	documentação/ensaio/informação/documento
modelo	líder/esquema/exemplar/chefe/servente/ajudante/servidor/assistente/adjunto/criado/figura/ilustração/desenho/imagem/representação/exemplo
custo	gasto/despesa/qualidade/preço/ativo
realização	aplicação/execução/imposição/observação/cumprimento/coerção/acção/feito/conquista/consumação/façanha/ação/ato/atividade
norte	curso/lugar/região/ponto/localização
realidade	realismo/experiência/verdade/ser/existência
parlamento	legislatura
companhia	visita/instituição/instituto/corpo/organização/visitante
recurso	auxílio/modo/convencimento/ativo/persuasão/qualidade/jeito/caminho/ferramenta/maneira/meio/ajuda/assistência/socorro/virtude/vantagem/propriedade/bem
quarto	classe/câmara/aposento/sala/hierarquia/posição/posto
restante	porção/categoria/parte/componente
interior	região/campo
sábado	feriado
crescimento	evolução/princípio/início/começo/mudança/alteração/variação/modificação
crime	ofensa/transgressão
estratégia	ciência/programa
atenção	talento/faculdade
pena	infortúnio/azar/acidente/plumagem/pluma/caneta
ataque	ocupação/vez/ofensa/atividade/jogo/manobra/operação/criticismo/crime/julgamento
oportunidade	possibilidade/chance
olhar	percepção
histórico	conhecimento/passado/noção/cognição/compreensão
parlamentar	legislador
luz	iluminação/ferramenta/aparelho/aparato/mecanismo/instrumento/dispositivo/equipamento/candeia/lâmpada
versão	variedade/interpretação/tipo/género/classe/espécie
estudante	aluno/alma/mocinha/caçador/seguidor/menina/garota/garotinha/menininha/rapariga/moça/pupilo/indivíduo/alguém/pessoa
notícia	item/informação
intenção	resolução/objetivo/escolha/vontade/opinião/ideia/conceito/pensamento/idéia/propósito/finalidade/intento/objectivo/significação/significado/meta/alvo
prisão	punição/penalidade/castigo/penalização/penalty/penálti/cárcere/cana/xadrez/presídio/cadeia
conselho	comitê/comité/junta/comissão/proposta
3	dígito/número/algarismo
maneira	estilo/comportamento/procedimento/conduta/atributo/peculiaridade/feição/realização/execução/implementação
estação	instalação/infra-estrutura/serviço/posto/período/etapa/tempo
cabeça	planejador/líder/chefe/conhecimento/noção/cognição/compreensão
pedido	preferência
figura	ideia/manobra/gráfico/arte/adulto/pintura/plano/intenção/projecto/programa/programação/traçado/projeto/concepção/criação/formato/forma/ilustração/desenho/imagem/representação
órgão	governo/agência/escritório/parte/fragmento/anatomia/jornal/revista/periódico
vontade	intento/faculdade/finalidade/objectivo/intenção/propósito/objetivo/talento/selecção/escolha/seleção
autarca	político
liberdade	condição/estado/situação/imunidade
sequência	ordenação/ordem/série/post-scriptum
existência	presença/ser/condição/estado/situação
contacto	ligação/comunicação/comunicado/conexão
arma	convencimento/munição/equipamento/persuasão/armamento/instrumento/aparelho/ferramenta
mudança	ocorrência/evento/acontecimento/relação/conexão/ação/ato/atividade/fim/efeito/resultado/alteração/variação/modificação/transformação/transmutação
discussão	debate/resistência/idioma/discórdia/desacordo/discrepância/comunicação/comunicado/querela/controvérsia/disputa/discordância
conflito	batalha/condição/estado/situação/pugna/peleja/combate/disputa/luta
material	informação/equipamento/ferramenta
aspecto	semblante/aparência/qualidade/característica
atitude	compreensão/cognição/noção/conhecimento
indústria	empresa/negócio/comércio
ligação	instrução/telefonia/equipamento/conexão/conector/interação/atração/união/relação/condição/estado/situação/formato/forma
sérvio	eslavo
selecção	mistura/ação/encepamento/ato/atividade
década	período/etapa/tempo
estrada	modo/fronteira/produto/utensílio/artefato/rua/jeito/ferramenta/maneira/meio/auto-estrada/autoestrada/rodovia/via/caminho
respeito	honra/civilidade/atitude/reverência
município	reunião
esforço	empenho/mão-de-obra/trabalho/tarefa/projeto/tentativa/ocupação/atividade
âmbito	escopo/alcance/ambiente
carreira	corrida/atletismo
prática	treino/uso/utilização/preparação
comunista	político/socialista
consequência	significado/significação
controlo	ocupação/atividade
jornada	travessia/viagem/período/etapa/tempo
viagem	sonho/jornada/travessia/deslocamento/movimento/traslado
regra	generalidade/generalização/procedimento/processo/instrução/lei/ideia/idéia/concepção/conceito
preocupação	apuro/ânsia/interesse/opinião/ideia/conceito/pensamento/idéia/dor-de-cabeça/dificuldade/ansiedade/emoção/abalo/comoção/sentimento
passagem	movimento/parte/estrada/capítulo/converter/viela/corredor/galeria
negro	mulher/alma/indivíduo/alguém/pessoa/negra
canal	transmissão/cano/tubo/pipeline/cachimbo/oceano/água/comunicação/comunicado/aqueduto/duto/conduto/estrada
ajuda	recurso/dom/dádiva/presente/brinde/doação/auxílio/assistência/socorro/ocupação/atividade
conclusão	proposição/momento/instante/ocorrência/evento/acontecimento/término/fim/cabo/parte/capítulo/converter
agente	recrutador/alma/representante/indivíduo/alguém/pessoa/substância/causador
acusação	alegação/asserção/denúncia/arguição
acidente	infortúnio/ocorrência/evento/acontecimento/problema/azar
diferença	discordância/mudança/variação/flutuação/qualidade/número
educação	ocupação/atividade/aquisição/aprendizagem/pedagogia
disco	círculo/placa
branco	varão/linhagem/povo/raça/macho/homem/caucasiano/caucasiana/alma/indivíduo/alguém/pessoa
divisão	discordância/corpo/distribuição/discórdia/separação
concerto	atuação
orçamento	fundo/ideia/capital/plano/intenção/projecto/programa/programação/traçado/projeto/concepção/declaração/descrição
passo	decisão/resolução/manobra/locomoção
vereador	representante/membro
presidência	titularidade/legislatura/posto/cargo/posição
festa	jantar/banquete/reveillon/balada/night/acontecimento/diversão
justiça	juízo/julgamento/moralidade/moral/virtude/justeza/honestidade
igreja	instituto/instituição/templo/prédio/edifício
assembléia	legislatura/reunião
empresário	capitalista
sucesso	triunfo/sorte/realização/obtenção/êxito
vantagem	handicap/bem/propriedade/recurso/virtude/qualidade/benefício/lucro/utilidade
candidatura	postulação/causa/instância/requisição/requerimento/petição/solicitação/abaixo-assinado/apelo/campanha
