ano	decênio/década
servidor	rede
granada	romãzeira/romã
sessenta	idade/velhice
nominal	nome/substantivo
leito	habitação/quarto/dormitório/câmara
estômago	corpo/torso/tronco
entrave	arreio
caricatura	publicação/edição
renascimento	histórico/história
cintura	corpo/torso/tronco/sola
tronco	árvore/torso/corpo/cadáver
doca	cais/porto
grade	veículo/auto/viatura/automóvel/máquina/carro/cozinha/fornalha/forno/fogão
cordão	calçado/sapato
degrau	escadaria/escada
elo	corrente
vizinhança	cidade
baía	mar/oceano/lago
átrio	prédio/edifício
erva	maconha/cânhamo
alínea	texto
coral	lagosta
limiar	entrada/porta/pórtico/portão/acesso
barriga	vertebrado/abdómen/ventre/estômago/abdômen/corpo/torso/tronco
agulha	captador
foguete	rojão
pulso	braço
músculo	musculatura
rampa	colina/barranco/monte/morro/montanha/ladeira
prateleira	estante/bufete/armário/feira/supermercado/mercado/mercadinho/quitanda/empório/gaveteiro/cómoda
prefácio	texto
absorção	extinção
garganta	pescoço
cauda	vertebrado
teclado	computador/calculadora/órgão/terminal/piano
lábio	boca/vulva/cona
tigre	síria
coelho	lebre
molho	prato
colo	seio/peito
borracha	lápis
guarda-costas	comitiva/séquito
cilindro	bombagem/bomba/compressor/aqualung
berma	caminho/estrada/rodovia/via
proa	embarcação/navio/barco
legume	erva/maconha
mastro	veleiro
vocabulário	idioma/linguagem/discurso/língua
constituinte	oração/sentença/frase
disquete	computador/calculadora
oásis	deserto
válvula	coração
manchete	folha/jornal
quintal	tonelada
unha	dígito/dedo
vaso	banheiro
bit	byte
casco	ungulados/embarcação/navio/barco
terreiro	prédio/edifício
bico	ave/pássaro
item	lista/listagem
carril	balaustrada/corrimão
escadaria	prédio/edifício
premissa	silogismo
chip	computador/calculadora
torneira	barril
uva	videira
armário	refeitório
pato	pata/anás
cano	arma
terraço	jardim
cimo	monte/montanha
frango	galinha/galo
preâmbulo	documentação/documento
índole	temperamento/personalidade/pessoa
absolvição	penitência
maçã	macieira
poente	véspera/anoitecer/noite/tarde
rabo	vertebrado/fuselagem/corpo/torso/tronco/ave/pássaro
astro	mundo/cosmo/natureza/criação/universo
manto	litosfera
bigode	barba
bife	vacum/gado/bovinos/vaca
sacro	alguidar/pélvis/bacia/tijela
tertúlia	clube
refeitório	casa/lar/aposento/moradia/habitação/residência/morada/domicílio
feição	temperamento/personalidade/pessoa
gêmeos	zodíaco
alicerce	edifício/tecido/estrutura
malta	mediterrâneo
flecha	arco
ária	ópera
hardware	computador/calculadora
mm	centímetro
trilho	ferrovia
átomo	molécula
recanto	prédio/edifício
síndrome	doença
hemisfério	cérebro/terra/mundo
estante	bufete/armário/feira/supermercado/mercado/mercadinho/quitanda/empório/gaveteiro/cómoda
terciário	cenozóico
calcanhar	pé
coxa	perna/ave
chaminé	túnel/mina/lareira
lente	olho/óculo
leme	veleiro/rebocador/navio/embarcação/barco
testa	rosto/cara/face
video	tevê/televisão/tv
pata	felino/ungulados/cão/canídeo
meandro	córrego
colchão	cama/leito
cascata	rio
estrato	sociedade
concha	tartaruga/molusco/artrópode
microprocessador	pc
estigma	estilo
teto	quarto/câmara/aposento/sala/saguão/salão/prédio/edifício/veículo/auto/viatura/automóvel/máquina/carro/ônibus/machimbombo/autocarro/camião/caminhão
flagelo	esperma/espermatozóide
marisco	ostra
refrão	canção/cantiga
crânio	cabeça/pescoço/caveira/crâneo
intestino	tronco/barriga/abdómen/ventre/estômago/abdômen
cantão	china
cume	monte/montanha
rosário	argentina
cartoon	publicação/edição
encruzilhada	caminho/estrada/rodovia/via
detector	rádio
guarda-roupa	vestido/traje/vestimenta/vestuário/roupa
acelerador	avião/aeroplano/veículo/auto/viatura/automóvel/máquina/carro
contenda	guerra
costela	vertebrado/peito/seio
temperamento	alma/indivíduo/alguém/pessoa
fenda	superfície
fazenda	shopping
polegada	pé
caracol	labirinto
trincheira	fortaleza/fortificação
casca	ovo/laranja/fruta/ramo/galho/tronco/raíz/raiz
bagageira	veículo/auto/viatura/automóvel/máquina/carro
ventre	vertebrado/corpo/torso/tronco
vigia	navio/embarcação/barco/fuselagem
limão	limoeiro/limeira
trinco	caneca/chapéu-de-chuva/concha/regador/escova/pincel/sombrinha/faqueiro/brocha/guarda-chuva/frigideira/caçarola/panela/pasta/teca/carteira/maleta/raquete/ferramenta/bica/torneira/bagagem/mala/embrulho
lâmina	gládio/espada/tesoura/faca/corta-relva/machado/gilete/navalha
convés	navio/embarcação/barco
medula	osso
esperma	sêmen/sémen/gozo/porra
curto-circuito	circuito
camarote	mezzanino/balcão/sacada/transatlântico/astronave/espaçonave/avião/aeronave/aeroplano
seta	arco
suíça	europa
terceira	veículo/auto/viatura/automóvel/máquina/carro
borrego	ovelha
ré	veículo/auto/viatura/automóvel/máquina/carro
rédea	entrave/brida
substantivo	nome
megabyte	gigabyte
adjetivo	adjectivo
porção	todo/unidade/jantar/repasto/refeição
louça	mesa
subtítulo	desenho/figura/ilustração
âncora	embarcação/navio/barco
tampa	arca/mala/baú/caixa/vasilha/garrafa
dormitório	casa/lar/aposento/moradia/habitação/residência/morada/domicílio
anca	perna/ave/pássaro/cavalo/égua/corpo/torso/tronco
diarréia	disenteria
caldeira	calefacção/aquecimento
banheira	banheiro
fechadura	caixa/gaveta/portão/porta/tampa
espermatozóide	sêmen/esperma/sémen/gozo/porra
azeitona	oliveira
corno	aríete/touro/carneiro/toiro/cervo/veado/cabra/bode/cabrito
cêntimo	rand/florim/guilder/dólar/rúpia
gabão	áfrica
lareira	chaminé
dígito	vertebrado
couve	repolho
travessa	ferrovia
pêlo	homem/mamífero
sótão	casa/habitação/vivenda
tomo	unidade
vitela	vitelo/bezerro
pasto	campo
copa	chapéu/sombreiro
carneiro	zodíaco/ovelha
canela	pé/ungulados/caneleira/perna
popa	navio/embarcação/barco
lápide	tumba/túmulo/sepultura
cartucho	arma/caneta
síndroma	doença
tira	bagagem/mala/embrulho
meia_noite	noite/noitada/tarde
galão	barril
tv	televisão/tevê
adjectivo	adjetivo
cristalino	olho/óculo
ligamento	musculatura
tornozelo	perna
watt	cavalo-vapor/hp
pedal	órgão/bicicleta/biciclo/roda
crepúsculo	tarde/noite/anoitecer/véspera
amêndoa	amendoeira
lombo	porco/corpo/torso/tronco/homem
nuca	pescoço
prisma	telescópio
tempero	prato/cozinha/culinária/preparação
objectiva	câmara/câmera
capitólio	dc
colarinho	vestuário/roupa
pastagem	campo
cotovelo	braço/manga
abdómen	abdômen/estômago/ventre/barriga/corpo/torso/tronco
suposição	teoria
camarim	lar/aposento/moradia/habitação/residência/morada/domicílio/casa/teatro
buzina	veículo/auto/viatura/automóvel/máquina/carro
queixo	orquídea/insecto/inseto/rosto/cara/face
ponteiro	relógio
baluarte	fortaleza/fortificação
pêra	pereira
jante	propulsor/hélice/espira/ventilador/soprador
léxico	idioma/linguagem/discurso/língua
rima	poema/poesia
declive	elevação/colina/barranco/monte/morro/montanha/ladeira
fava	feijão
antecâmara	prédio/edifício
pedestal	pilar/coluna
anatomia	alma/indivíduo/alguém/pessoa/homem/criatura/organismo/ser
cordeiro	ovelha
umbigo	tronco/barriga/abdómen/ventre/estômago/abdômen
gema	joalharia/joalheria/jóia/ovo/óvulo
ostra	ave
borda	moldura
centavo	rand/dobra/florim/guilder/dólar/rúpia/real
crista	galináceo
ovário	flor/floração
porrada	batalha/pugna/peleja/combate/disputa/luta
anoitecer	tarde/noite/véspera
ruga	pele
airbag	veículo/auto/viatura/automóvel/máquina/carro
salsicha	cachorro-quente
pórtico	muro/parede/muralha
noz	nogueira
hangar	aeródromo/aeroporto
aditamento	estatuto
charneira	porta/portão
membrana	corpo/torso/tronco
cereja	cerejeira
migalha	fornada
sílaba	verbo/palavra/termo/vocábulo
golfo	mar/oceano
gatilho	arma
barrete	ruminante
pára-brisa	avião/aeroplano
sanduíche	jantar/repasto/refeição
retrovisor	veículo/auto/viatura/automóvel/máquina/carro
retina	olho/óculo
pia	banheiro
escorpião	zodíaco
caveira	cabeça/pescoço
cone	retina
tendão	musculatura
dominó	disfarce
sacristia	templo/igreja
osmose	diálise
aposento	prédio/edifício
tórax	seio/peito/artrópode
jurássico	mesozóico
coco	palmeira/coqueiro
sola	pé/calçado
arco-íris	céu
quilha	casco
difusor	luminária/lâmpada
culatra	ave/pássaro
cacho	penteado
crosta	litosfera/fruta/pele
hortaliça	erva/maconha
forca	laço
noitada	dia
haste	flecha/ponteiro
pimento	pimentão
amplificador	rádio/estereofonia
sacramento	califórnia
chicote	chibata
pluma	asa/ala/ave/pássaro
prado	campo
quilate	grama
ventilador	ventilação
recife	brasil
sobrancelha	rosto/cara/face
chuveiro	duche
are	hectare
alvenaria	construção/edifício
calculadora	plataforma
indiana	américa
catarata	rio
fulcro	alavanca/pé-de-cabra
inalação	respiração
pingo	chuva
hambúrguer	hamburger
onça	libra/brânquia/guelra
peculiaridade	temperamento/personalidade/pessoa
sobrolho	rosto/cara/face
vértebra	espinhaço/espinha/costas
segmentação	embaraço/gravidez
cu	corpo/torso/tronco
falange	dígito/dedo
gana	áfrica
alpendre	casa/habitação/vivenda
nádega	corpo/torso/tronco
pétala	corola
amortecedor	suspensão
pêssego	pessegueiro
ananás	abacaxi
oregon	américa
quina	prédio/edifício
caráter	temperamento/personalidade/pessoa
embraiagem	embreagem/transmissão
visor	câmara/câmera/alça/telescópio
talão	bota/calçado/sapato
decênio	século/centúria
verdura	erva/maconha
ascensor	prédio/edifício
curro	quarteirão/estábulo
levante	médio-oriente
ladeira	elevação/colina/barranco/monte/morro/montanha
estrofe	poema/poesia
biosfera	planeta
gola	colarinho
barbatana	peixe
bexiga	futebol/bola
espiga	milho
tromba	míssil/avião/aeronave/aeroplano/elefante/elefanta/mamute
algibeira	vestuário/roupa
sulco	pele
zénite	firmamento/céu
pôr-do-sol	véspera/anoitecer/noite/tarde
vau	córrego
gigabyte	terabyte
paginação	lauda/escudeiro/página
capilar	termómetro
valeta	malta
morena	geleira/glaciar
capuz	avião/aeroplano/veículo/auto/viatura/automóvel/máquina/carro
subcontinente	continente
miga	fornada
pára-choque	veículo/auto/viatura/automóvel/máquina/carro/camião/caminhão
ânfora	zodíaco
fémur	anca/coxa
bochecha	rosto/cara/face
focinho	míssil/avião/aeronave/aeroplano
poro	pele
fuselagem	avião/aeroplano
carapaça	tartaruga/molusco/artrópode
pupila	íris
desfiladeiro	mar/oceano/lago
narina	olfato/nariz
pálpebra	olho/óculo
baloiço	playground/parque
grelo	vulva/cona
estratosfera	atmosfera/ar
puberdade	adolescência
placa_de_som	piano
minarete	mesquita
enseada	mar/oceano/lago
nuvens	céu
vidraça	janela
pinha	conífera
subcultura	civilização/cultura
tranca	fechadura
córnea	olho/óculo
caxemira	índia
byte	palavra
porta-bagagem	veículo/auto/viatura/automóvel/máquina/carro
antebraço	braço
dracma	onça
aquecedor	aquecimento/calefacção
virilha	corpo/cadáver
banheiro	teatro/casa/lar/aposento/moradia/habitação/residência/morada/domicílio
corrimão	varanda/sacada/balcão
incisão	cirurgia/operação
game	partida
placenta	útero/ovário/matriz/ventre
placa-mãe	processador
acre	brasil/israel
megabit	gigabit
ancoradouro	cais/porto
frança	europa
bananeira	banana
pestana	pálpebra
ânus	corpo/torso/tronco/reto
canícula	verão/estio
ameixa	nespereira/nêspera/ameixoeira/ameixeira
ova	peixe
angola	áfrica
picardia	frança
chifre	aríete/touro/carneiro/toiro/cervo/veado/cabra/bode/cabrito
tacão	bota/calçado/sapato
capitel	pilar/coluna
floração	angiospérmicas
alça	caneca/chapéu-de-chuva/concha/regador/escova/pincel/sombrinha/faqueiro/brocha/guarda-chuva/frigideira/caçarola/panela/pasta/teca/carteira/maleta/raquete/ferramenta/bica/torneira/bagagem/mala/embrulho/arma
pavio	vela
sonar	submarino
mandíbula	rosto/cara/face/caveira/crâneo/crânio
manilha	tranca/cadeado
cuba	caribe
dormente	ferrovia
vaticano	roma
japão	pacífico
gaze	atadura/penso/esparadrapo/ligadura
meia-lua	mês
lavabo	banheiro
isca	armadilha/rede
tíbia	perna
batatinha	batata
atacador	calçado/sapato
exaustor	ventilação
trevo	rodovia/estrada
centúria	milénio/milênio
lima	peru
eclusa	canal
fiorde	mar/oceano/lago
estribo	selim/arreio/sela
codorniz	codorna
dentadura	boca
ardil	armadilha/rede
espeto	prateleira
bornéu	indonésia
zodíaco	céu/firmamento
ameia	fortaleza/forte
decilitro	litro/l
crâneo	cabeça/pescoço
palato	boca
calceteiro	laminação
torso	corpo/cadáver
anunciação	mar/março
rótula	joelho
bolota	carvalho
tímpano	orelha
plumagem	ave/pássaro
expiração	respiração
estela	tumba/túmulo/sepultura
ato	drama/teatro/ópera
carbonífero	paleozóico
ripa	persiana/veneziana
bordeaux	frança
selim	bicicleta/biciclo/roda
berbigão	vulva/cona
perónio	perna
omoplata	ombro
sagitário	zodíaco
rebordo	vasilhame/vasilha/vaso
amora	amoreira
braguilha	culote/vestuário/roupa
agulheta	cordão/atacador
jarda	corrente/braça
arquibancada	estádio
sovaco	ombro
bocal	entrave/brida
bainha	pano/fazenda/tecido
cachoeira	rio
alfarroba	alfarrobeira
tâmara	tamareira
parietal	crânio
timo	pescoço
epifania	jan/janeiro
sarda	pele
têmpora	cabeça/pescoço
estruturalismo	antropologia
tutano	osso
erre	hectare
gengiva	boca
epiderme	pele
areópago	atenas
beiço	boca
talhe	corpo/torso/tronco
clítoris	vulva/cona
crina	leão
mecha	vela
ginja	cerejeira
espaldar	assento/cadeira
juba	leão
braga	portugal
sabugo	milho
estribilho	canção/cantiga
axila	ombro
síria	médio-oriente
cremalheira	cardigan/calça/vestido/saia
vestíbulo	prédio/edifício
endométrio	ventre/matriz/útero
ladrilho	telhado
repolho	couve
traqueia	pescoço
fibrose	pneumoconiose
retranca	veleiro
capricórnio	zodíaco
uretra	vulva/cona/falo/verga/pênis/pinto/caralho/membro
periscópio	submarino
milissegundo	s/segundo
caixa-forte	banco
damasco	síria
canabis	maconha/cânhamo
verbete	dicionário/vocabulário/léxico
papaia	mamão
balaustrada	varanda/sacada/balcão
ene	eme
catar	arábia
guarda-lama	veículo/auto/viatura/automóvel/máquina/carro
porro	alho
microchip	computador/calculadora
diafragma	corpo/torso/tronco/câmara/câmera
mansarda	casa/habitação/vivenda
tronco_cerebral	encéfalo/cérebro
meio-termo	período
safira	captador
aileron	asa/ala
ático	casa/habitação/vivenda
havana	cuba
venta	olfato/nariz
espora	bota/calçado
pelagem	mamífero
garupa	ave/pássaro
extremo-oriente	nascente/levante/oriente
bufete	refeitório
bigorna	forja
portugal	europa
quaternário	cenozóico
fontanela	crânio
rincão	prédio/edifício
maconha	cânhamo
dentição	boca
abacate	abacateiro
cortiço	apiário
marmelo	marmeleiro
pança	corpo/torso/tronco
setúbal	portugal
espádua	ombro
pernada	caminhada
sextante	circunferência
clitóris	vulva/cona
batata-doce	inhame
nanómetro	micrómetro
timor	indonésia
fonema	expressão/enunciado
nice	frança
flandres	europa
umbral	entrada/porta/pórtico/portão/acesso
bunda	corpo/torso/tronco
final_de_semana	semana
saguão	prédio/edifício
alho-porro	alho
rotor	turbina/gerador
coda	atuação
anho	ovelha
sena	frança
presbitério	templo/igreja
coto	perna/membro/dente
esterno	peito/seio
transepto	templo/igreja
lóbulo	orelha
superego	inconsciente
mastigação	alimentação
hímen	vagina
romã	romãzeira
estalagmite	caverna/furna/gruta
gávea	navio/embarcação/barco
dobradiça	porta/portão
troposfera	ar/atmosfera
holanda	europa
guiné	áfrica
anticlímax	história/estória/conto
êmbolo	embolia
aduela	arco
alto-forno	siderurgia/aciaria
manjerona	orégão
faringe	pescoço
espoleta	ave
quadril	corpo/torso/tronco/anca/coxa/alguidar/pélvis/bacia/tijela
úmero	braço
oliva	oliveira
cidra	cidreira
kilobyte	mb/megabyte
centilitro	decilitro
registro	memória
íris	olho/óculo
captador	gramofone/fonógrafo
obturador	câmara/câmera
chili	pimento
escora	embarcação/navio/barco
trapeira	casa/habitação/vivenda
goiaba	goiabeira
burundi	áfrica
genebra	suíça
favo	alvéolo
nêspera	nespereira/ameixa
encéfalo	cabeça/pescoço
lacrimal	órbita
modificador	sintagma/frase
púbis	alguidar/pélvis/bacia/tijela
cóclea	labirinto
caractér	ortografia
split	croácia
abside	templo/igreja
gonzo	porta/portão
citoplasma	célula
fossa_nasal	olfato/nariz
abacaxi	ananás
cerviz	pescoço
milimetro	centímetro
telómero	cromossoma
calamar	lula
tevê	televisão
tomateiro	tomate
mento	rosto/cara/face
