fazer	aritmética/pecuária/cultivo/agricultura/mercantilismo/comercialismo/comércio/teatro/dramaturgia
perdoar	lei/jurisprudência
reproduzir	biologia
comercializar	mercantilismo/comercialismo/comércio
modificar	gramática
telefonar	telefonia
converter	química
voar	aviação
capturar	beisebol/basebol
multiplicar	aritmética
testemunhar	lei/jurisprudência
clarificar	cozinha/culinária/preparação
administrar	remédio/incisão/medicina
exportar	mercantilismo/comercialismo/comércio
tecer	artesanato
brilhar	estrela/astro
soltar	química
adorar	religião/fé
advogar	lei/jurisprudência
cultivar	pecuária/cultivo/agricultura/flora/planta/vegetal
atenuar	lei/jurisprudência
privatizar	comércio/empresa/negócio/indústria
retratar	arte
extrair	química
aterrar	aviação
improvisar	cozinha/culinária/preparação
irritar	fisiologia
enriquecer	cozinha/culinária/preparação
pressupor	lógica
embarcar	aviação
abastecer	mercantilismo/comercialismo/comércio
aliviar	psicanálise
reconstruir	edificação/construção
fotografar	fotografia
imitar	informática
reger	música
diferenciar	matemática
congelar	física
filiar	lei/jurisprudência
plantar	pecuária/cultivo/agricultura
raptar	ofensa/crime
delinear	arte
armazenar	mercantilismo/comercialismo/comércio
induzir	lógica
curar	remédio/incisão/medicina
injetar	remédio/incisão/medicina
atestar	lei/jurisprudência
minar	terraplenagem/mineração
suprimir	psicopatologia/psiquiatria
diagnosticar	remédio/incisão/medicina
semear	pecuária/cultivo/agricultura
deduzir	aritmética/lógica
sequestrar	ofensa/crime/química
escusar	lei/jurisprudência
livrar	química
convergir	matemática
cozinhar	cozinha/culinária/preparação
dourar	cozinha/culinária/preparação
sobrevoar	aviação
reprimir	psicopatologia/psiquiatria
quantificar	lógica
saldar	mercantilismo/comercialismo/comércio
lavrar	pecuária/cultivo/agricultura
temperar	cozinha/culinária/preparação
debitar	contabilidade
frigir	cozinha/culinária/preparação
envenenar	cozinha/culinária/preparação
adicionar	aritmética
inibir	química/biologia
assimilar	fonética
contradizer	lógica
debilitar	química
orquestrar	música
resgatar	ofensa/crime
intermediar	mercantilismo/comercialismo/comércio
propagar	biologia/flora/planta/vegetal
assar	cozinha/culinária/preparação
anotar	autoria
sentenciar	lei/jurisprudência
escavar	terraplenagem/mineração
erigir	edificação/construção
renegociar	contrato/acordo
saturar	química
cozer	cozinha/culinária/preparação
harmonizar	música
remediar	remédio/incisão/medicina/lei/jurisprudência
protocolar	lei/jurisprudência
subtrair	aritmética
versar	poesia/verso
subestimar	aritmética
amputar	remédio/incisão/medicina
compatibilizar	música
comungar	cristianismo
reconsiderar	legislação
gelar	física
pilotar	aviação/avião/aeronave/aeroplano
modelar	arte
pedalar	música
sanar	remédio/incisão/medicina
interiorizar	psicologia
esculpir	arte
corromper	ofensa/crime
depreender	lógica
leiloar	mercantilismo/comercialismo/comércio
encarcerar	lei/jurisprudência
vacinar	remédio/incisão/medicina
armadilhar	caça
posar	arte
balançar	música
coreografar	baile/dança
anistiar	lei/jurisprudência
digitalizar	remédio/incisão/medicina
ferver	cozinha/culinária/preparação
cristalizar	física
domesticar	flora/planta/vegetal/animal/criatura/bicho/ser/besta
aprisionar	lei/jurisprudência
redimir	igreja/religião
estilizar	moda
traficar	ofensa/mercantilismo/comercialismo/comércio/crime
ajardinar	horticultura
estrelar	teatro/dramaturgia
dissociar	química
exorcizar	igreja/religião
solidificar	física
polarizar	física
destilar	química
sarar	remédio/incisão/medicina
grelhar	cozinha/culinária/preparação
extrapolar	matemática/lógica
decair	física
desintegrar	física
inferir	lógica
desordenar	exército
rimar	poesia/verso
purificar	química
subornar	ofensa/crime
adornar	arte
extorquir	ofensa/crime
coadjuvar	teatro/dramaturgia
salgar	cozinha/culinária/preparação
apalpar	remédio/incisão/medicina
cubar	aritmética
pastar	animal/criatura/bicho/ser/besta
fritar	cozinha/culinária/preparação
revender	mercantilismo/comercialismo/comércio
mitigar	lei/jurisprudência
sincronizar	película/filme/cinema/produção
retalhar	terraplenagem/mineração
amaldiçoar	lei/jurisprudência
idolatrar	religião/fé
fortificar	cozinha/culinária/preparação
aquartelar	exército
urdir	artesanato
rebaixar	metalurgia
condimentar	cozinha/culinária/preparação
drogar	remédio/incisão/medicina
alcoolizar	cozinha/culinária/preparação
marinar	cozinha/culinária/preparação
licitar	mercantilismo/comercialismo/comércio
televisionar	tevê/televisão/tv
domar	flora/planta/vegetal/animal/criatura/bicho/ser/besta
dopar	electrónica/eletronica/remédio/incisão/medicina
velejar	navegação/pilotagem
sublimar	química
liquefazer	física
discar	telefonia
planar	aviação
sincopar	música
decompor	gramática
plagiar	ofensa/crime
gratinar	cozinha/culinária/preparação
predestinar	teologia
transacionar	mercantilismo/comercialismo/comércio
amanhar	pecuária/cultivo/agricultura
medicar	remédio/incisão/medicina
atrelar	pecuária
extirpar	cirurgia
canonizar	igreja/religião
salmo	música
trançar	artesanato
plasmar	arte
contrabandear	ofensa/crime/mercantilismo/comercialismo/comércio
crismar	igreja/religião
galopar	equitação
procriar	biologia
estufar	cozinha/culinária/preparação
potencializar	sonífero/medicamento/narcótico/entorpecente/remédio/droga
rarefazer	química
arrear	pecuária
arar	pecuária/cultivo/agricultura
chantagear	ofensa/crime
actuar	teatro/dramaturgia
piratear	ofensa/crime
engessar	alvenaria
desanexar	exército
estratificar	geologia
piar	música
eletrizar	física
enlatar	cozinha/culinária/preparação
eletrificar	física
apimentar	cozinha/culinária/preparação
ruminar	ruminante
vinificar	vinificação
esmaltar	artesanato
repintar	arte
reencarnar	religião/fé
entrançar	artesanato
aviltar	metalurgia
tricotar	artesanato
computar	matemática
clarear	cozinha/culinária/preparação
tramitar	mercantilismo/comercialismo/comércio
pincelar	arte
oxidar	química
registrar	lei/jurisprudência/gravação
enfaixar	remédio/incisão/medicina
desintoxicar	química
interpolar	matemática
desossar	animal/criatura/bicho/ser/besta
telegrafar	telegrafia
canelar	râguebi
transladar	geometria
abrasar	cozinha/culinária/preparação
empanar	cozinha/culinária/preparação
saltear	ofensa/crime
sombrear	arte
torrar	cozinha/culinária/preparação
versejar	poesia/verso
minerar	terraplenagem/mineração
entalhar	arte
trinar	música
internalizar	psicologia
recalcular	aritmética
remir	ofensa/crime
refogar	cozinha/culinária/preparação
mapear	informática
narcotizar	remédio/incisão/medicina
trotar	equitação
jardinar	horticultura
rascunhar	arte
pleitear	lei/jurisprudência
frear	condução
tostar	cozinha/culinária/preparação
requebrar	música
franquiar	mercantilismo/comercialismo/comércio
solfejar	música
concatenar	informática
confabular	psicopatologia/psiquiatria
teletransportar	ficção-científica
encrustar	artesanato
cangar	pecuária
rocar	xadrez
gradar	pecuária/cultivo/agricultura
fornear	cozinha/culinária/preparação
paliar	lei/jurisprudência
deletar	gravação
estocar	mercantilismo/comercialismo/comércio
desmineralizar	química
reduplicar	linguística
acidificar	química
jungir	pecuária
adsorver	química
estercar	pecuária/cultivo/agricultura
acastanhar	cozinha/culinária/preparação
teleportar	ficção-científica
distilar	química
externalizar	psicologia
desmagnetizar	física
desoxidar	química
trompetear	música
eterizar	química
metrificar	poesia/verso
liquidificar	física
enfarinhar	cozinha/culinária/preparação
pré-digerir	ruminante
