desgostar	antipatizar/não_gostar
animar	alegrar-se/animar-se/alegrar/animar_se
aleijar	doer
fixar	aferrolhar
iniciar	principiar/começar
despontar	entender/comprender/compreender
afiar	acerar
unir	juntar/grudar
conduzir	atuar/agir/fazer
resfriar	esfriar/refrescar/arrefecer/esfriar-se
endurecer	inrijecer
aterrorizar	recear/apavorar/ter_medo_de/temer
torturar	agoniar/agonizar
arruinar	quebrar/destruir
finalizar	terminar/encerrar/parar/acabar/cessar
forçar	atuar/agir/fazer
silenciar	calar
afundar	naufragar
erguer	ascender/subir/ficar_de_pé
derrubar	baixar/cair/descer
empregar	aplicar/valer
encantar	gostar
abater	baixar/cair/descer
irar	enraivecer/irritar/zangar_se
separar	desunir/dividir
pasteurizar	condensar/destilar
anexar	juntar/grudar
impressionar	experimentar/sentir
virar	derrubar
partir	separar/dividir
aprazer	gostar
insultar	ressentir
mostrar	enxergar/ver/olhar
cravar	colar/aderir/grudar
arder	carburar/queimar
colapsar	desmoronar/desabar/quebrar/ruir
entregar	ter
decidir_(se)	decidir/resolver
ferir	doer
esquentar	aquecer
alegrar	alegrar-se/animar-se/animar
mobilizar	mexer/mover/deslocar
acender	queimar/carburar
diminuir	murchar/contrair/encolher/contrair-se
esporar	atuar/agir/fazer
debilitar	suavizar
completar	encher
mover	mexer/deslocar
abrandar	suavizar
arriar	baixar/cair/descer
