ser	rosto/anatomia/célula/cabeça/pescoço
corpo	braço/cabeça/virilha/pescoço/perna/torso/membrana/diafragma/peito/seio/cu/rabo/ânus/popô/costas/lombo/quadril/pança/talhe/cintura/tronco/barriga/abdómen/ventre/estômago/abdômen/ombro/traseiro/bunda/anca/banda/nalga/nádega
via	acostamento/berma/curva/encruzilhada/cruzamento
edifício	pintura/encanamento/alicerce/base/pé/alvenaria/janela/muro/parede/muralha/calefacção/aquecimento/asa/quarto/câmara/aposento/escadaria/escada/telhado/teto/quina/rincão/canto/recanto/ascensor/elevador/sala/saguão/antecâmara/átrio/vestíbulo/andar/piso/pavimento/pátio/terreiro
carta	destino/melodia/linha
ensino	lição/tarefa
carro	airbag/suspensão/acelerador/buzina/pára-choque/terceira/grade/porta-bagagem/mala/bagageira/janela/guarda-lama/capô/capuz/porta-luvas/retrovisor/ré/teto/porta/portão
comunicação	missiva/carta
partida	game/vela/distribuidor
espécie	variedade
espécie	variedade
discurso	conclusão/introdução/vocabulário/léxico
teatro	ato/bilheteira/orquestra/banheiro/camarim/palco
luta	porrada/golpe
janeiro	epifania/natal
janeiro	epifania/natal
unidade	parte/tomo/pedaço/porção/secção
dezembro	natal
dezembro	natal
março	anunciação
companhia	reserva
quarto	teto/chão/piso/pavimento/muro/parede/muralha/cama/leito
crescimento	gastrulação
histórico	idade/época/era/período/antiguidade/renascimento
cabeça	rosto/cara/face/caveira/crâneo/crânio/orelha/têmpora/encéfalo/cérebro
figura	título/lenda/legenda/subtítulo
órgão	pedal/teclado
hospital	sala/uti
arma	armamento/cano/cartucho/tubo/alça/gatilho
real	centavo
década	ano
estrada	trevo/acostamento/berma/curva/encruzilhada/cruzamento
município	centro/inner_city
jornada	parada/etapa/madrugada/manhã
viagem	parada/etapa
canal	eclusa
canal	eclusa
automóvel	airbag/suspensão/acelerador/buzina/pára-choque/terceira/grade/porta-bagagem/mala/bagageira/janela/guarda-lama/capô/capuz/porta-luvas/retrovisor/ré/teto/porta/portão
educação	lição/tarefa
educação	lição/tarefa
igreja	abside/presbitério/transepto/nártex/nave/ábside/sacristia
doença	sintoma/síndrome/síndroma
ar	troposfera/estratosfera/mesosfera/ionosfera
alguém	temperamento/personalidade/pessoa/carne/anatomia/corpo
idade	sessenta
estatuto	aditamento/acréscimo
combate	porrada/golpe
tratamento	terapia/remédio/medicamento
rio	cachoeira/catarata/cascata/estuário
pé	alfândega/calcanhar/sola/calcâneo/dedo/polegada/canela
margem	costa/praia
página	margem/paginação
mar	desfiladeiro/enseada/fiorde/baía/golfo/anunciação
ponte	arco
rádio	amplificador/detector
olho	abertura/esclerótica/cristalino/lente/conjuntiva/pálpebra/córnea/retina/íris
moeda	coroa/cara
memória	registro/registrador
parque	balancé/balanço/baloiço
língua	vocabulário/léxico
apresentação	atuação/representação/interpretação
perspectiva	horizonte
bola	bexiga
mesa	pé/louça/caixa/gaveta
banda	glúteo
avião	capuz/acelerador/capô/asa/ala/pára-brisa/fuselagem/tromba/focinho/camarote
máquina	airbag/acelerador/buzina/pára-choque/terceira/grade/porta-bagagem/mala/bagageira/janela/guarda-lama/capô/capuz/porta-luvas/retrovisor/ré/teto/porta/portão
organismo	anatomia/célula
comércio	transportação/expedição/transporte
expressão	fone/fonema
indivíduo	temperamento/personalidade/pessoa/carne/anatomia/corpo
computador	monitor/hardware/teclado/disquete/periférico/memória/chip/ci/processador/microchip
ciclo	fase
verão	canícula
natureza	qualidade/característica/estrela/astro
habitação	quarto/dormitório/câmara/gabinete/camarim/refeitório/cozinha/salão/sala/banheiro/cama/leito/escritório/biblioteca/alpendre/mansarda/trapeira/ático/sótão
animal	rosto/cabeça/pescoço
veículo	airbag/acelerador/buzina/pára-choque/terceira/grade/porta-bagagem/mala/bagageira/janela/guarda-lama/capô/capuz/porta-luvas/retrovisor/ré/teto/porta/portão
corrente	elo/jarda
praia	costa
julgamento	processo
estilo	estigma
canção	estribilho/coro/refrão/teor/letra/texto
publicação	formato/arte/ilustração/desenho/gráfico/cartoon/caricatura/índice/conteúdo/texto
rendimento	atribuição
véspera	pôr-do-sol/poente/crepúsculo/anoitecer
porto	ancoradouro/doca
viatura	airbag/acelerador/buzina/pára-choque/terceira/grade/porta-bagagem/mala/bagageira/janela/guarda-lama/capô/capuz/porta-luvas/retrovisor/ré/teto/porta/portão
fim-de-semana	sábado/domingo
personalidade	índole/caráter/natureza/peculiaridade/feição/integridade/responsabilidade
caixa	fechadura/base/tampa
aeroporto	pista/taxiway/hangar
circuito	relé/curto-circuito
barco	proa/âncora/escora/casco/turco/gávea/popa/traseiro/vigia/convés/volante/timão/leme
explicação	fundação/base
agricultura	colheita
grau	minuto
feira	prateleira/estante
comboio	suspensão
sangue	corpúsculo
sangue	corpúsculo
braço	antebraço/mão/carpo/pulso/punho/cotovelo/úmero
sol	cromosfera
sol	cromosfera
estádio	arquibancada/gramado/campo
desenho	título/lenda/legenda/subtítulo
episódio	incidente/evento
interpretação	atuação/representação
tonelada	quintal
coração	válvula
batalha	porrada/golpe
núcleo	nucleão
preparação	tempero
residência	habitação/quarto/dormitório/câmara/gabinete/camarim/refeitório/cozinha/salão/sala/banheiro
departamento	classe
navio	proa/âncora/escora/casco/turco/gávea/popa/traseiro/vigia/convés/volante/timão/leme
juventude	adolescência
continente	subcontinente
continente	subcontinente
nação	domínio
suspensão	amortecedor
frase	modificador/cláusula/oração/constituinte
chuva	pingo
sítio	quinta
transmissão	embraiagem/embreagem
parede	arco/pilar/entrada/porta/pórtico/portão/acesso
bomba	cilindro
jantar	acompanhamento/sanduíche/prato/porção
universo	estrela/astro
universo	estrela/astro
aula	conferência/lição
prédio	janela/muro/parede/muralha/calefacção/aquecimento/asa/quarto/câmara/aposento/escadaria/escada/telhado/teto/quina/rincão/canto/recanto/ascensor/elevador/sala/saguão/antecâmara/átrio/vestíbulo/andar/piso/pavimento/pátio/terreiro
linguagem	vocabulário/léxico
jardim	pátio/terraço
superfície	oceano/água/vão/fenda
peixe	ova/barbatana/aleta
pacífico	japão
autocarro	janela/teto
cara	mandíbula/testa/bochecha/boca/olho/óculo/olfato/nariz/traço/sobrolho/sobrancelha/barba/mento/queixo
calendário	intercalação
círculo	arco
árvore	toco/tronco
céu	nadir/zénite/arco-íris/zodíaco/nuvem/nuvens
poesia	estrofe/rima
rosto	mandíbula/testa/bochecha/boca/olho/óculo/olfato/nariz/traço/sobrolho/sobrancelha/barba/mento/queixo
turno	jogo/metade
era	período
alma	temperamento/personalidade/pessoa/carne/anatomia/corpo
ópera	ária/ato
totalidade	componente
hectare	erre/are
boca	gengiva/palato/língua/dentadura/dentição/beiço/lábio
costa	praia
sentença	cláusula/oração/constituinte
piano	placa_de_som/teclado
piano	placa_de_som/teclado
costas	vértebra/cóccix
poema	estrofe/rima
teoria	lei/possibilidade/hipótese/suposição
cadeira	pé/espaldar/assento
raiz	casca
seio	costela/peito/esterno/colo/areola/tórax
instrução	lição/tarefa
camião	portão/pára-choque/teto
pasta	trinco/alça/cabo
libra	onça
montanha	cume/cimeira/cimo/declive/encosta/vertente/ladeira/rampa
planeta	biosfera
janela	vidraça
roupa	guarda-roupa/colarinho/algibeira/bolso/faixa/banda/manga/braguilha
pele	sulco/ruga/epiderme/cútis/derme/crosta/poro/sarda
pele	sulco/ruga/epiderme/cútis/derme/crosta/poro/sarda
cavalo	anca/castão
ramo	casca
cão	pata/pé
basquetebol	metade
basquetebol	metade
perna	coto/surata/anca/coxa/tíbia/pé/perónio/fíbula/maléolo/tornozelo/artelho/canela/joelho
laranja	casca
gráfico	curva
infância	adolescência
mina	poço/chaminé
drama	ato
cama	colchão
célula	citoplasma
embarcação	proa/âncora/escora/casco/turco/gávea/popa/traseiro/vigia/convés/volante/timão/leme
muro	arco/pilar/entrada/porta/pórtico/portão/acesso
deserto	oásis
túnel	chaminé/poço
terminal	teclado
carteira	trinco/alça/cabo
perfil	horizonte
litro	decilitro
ave	ostra/espoleta/coxa/rabo/anca/traseira/culatra/traseiro/garupa/pena/plumagem/pluma/bico/asa/ala
roda	cadeia/corrente/selim/pedal
divisa	coroa/cara
plataforma	computador/calculadora
correio	missiva/carta
dedo	falange/unha
cabelo	risco
disputa	porrada/golpe
tecido	bainha/alicerce/base/pé
monte	cume/cimeira/cimo/declive/encosta/vertente/ladeira/rampa
flor	ovário/estame
vaca	bife/carne/úbere
atmosfera	troposfera/estratosfera/mesosfera/ionosfera
folha	manchete/notícia/editorial/coluna/banda_desenhada
serra	dente
extinção	dispersão/absorção
coluna	pedestal/suporte/base/capitel
coluna	pedestal/suporte/base/capitel
cadáver	braço/cabeça/virilha/pescoço/perna/corpo/torso/tronco
oceano	desfiladeiro/enseada/fiorde/baía/golfo
salão	chão/piso/pavimento/muro/parede/muralha/teto
laço	nó/forca
s	milissegundo
litoral	costa/praia
balcão	corrimão/balaustrada/camarote
bicicleta	cadeia/corrente/selim/pedal
marketing	distribuição/venda/publicidade/promoção/anúncio/propaganda
marketing	distribuição/venda/publicidade/promoção/anúncio/propaganda
alimentação	mastigação
lar	habitação/quarto/dormitório/câmara/gabinete/camarim/refeitório/cozinha/salão/sala/banheiro
cérebro	tronco_cerebral/hemisfério
garrafa	tampa
vela	pavio/mecha
vela	pavio/mecha
prata	coroa/cara
ala	aileron/pluma/pena
pacto	termo/condição
refeição	acompanhamento/sanduíche/prato/porção
comitiva	guarda-costas/guarda
pano	bainha
ovo	gema/clara/casca
prato	molho/tempero/ingrediente
civilização	subcultura/sub-área
relógio	ponteiro
leão	crina/juba
planta	parte/fragmento
armamento	arma
míssil	focinho/tromba
centímetro	mm/milímetro/milimetro
cozinha	grade/tempero
navegação	governo
navegação	governo
documentação	preâmbulo/artigo/cláusula
copo	vidro
colar	penduricalho
solar	sala
gravidez	segmentação
ombro	espádua/omoplata
ombro	espádua/omoplata/axila/sovaco
templo	abside/presbitério/transepto/nártex/nave/ábside/sacristia/pilar/coluna
escada	degrau
estaleiro	dique_seco
secretária	caixa/gaveta
cais	ancoradouro/doca
m	decímetro
ética	preceito/princípio
supermercado	prateleira/estante
gado	bife/carne
reprodução	nascimento
passaporte	visto
assento	pé/espaldar/cadeira
dente	raiz/coto
peito	costela/esterno/colo/areola/tórax
correspondência	missiva/carta
osso	tutano/medula
porco	pé/lombo
toiro	corno/chifre
processador	placa-mãe
auto	airbag/acelerador/buzina/pára-choque/terceira/grade/porta-bagagem/mala/bagageira/janela/guarda-lama/capô/capuz/porta-luvas/retrovisor/ré/teto/porta/portão
grama	quilate
chapéu	copa
órbita	lacrimal
lago	desfiladeiro/enseada/fiorde/baía
pilar	pedestal/suporte/base/capitel
batata	batatinha
colégio	classe
vestuário	guarda-roupa/colarinho/algibeira/bolso/faixa/banda/manga/braguilha
sapato	palmilha/tacão/talão/salto/cordão/atacador/língua
joelho	patela/rótula
mala	tampa/trinco/alça/cabo/tira
convento	cela/scriptorium
bacia	cóccix/ilíaco/sacro/ísquio/púbis/quadril
arco	aduela/chave
arco	aduela/chave/seta/flecha
contabilidade	balanço
maturidade	maioria/quarenta
fruta	casca/pele/crosta
áfrica	moçambique/gâmbia/namíbia/abissínia/burundi/malawi/líbia/niger/mali/angola/guiné/benim/gabão/gana
diocese	paróquia
diocese	paróquia
mesquita	mihrab/minarete
mesquita	mihrab/minarete
faca	lâmina/pico/ponta
nariz	fossa_nasal/narina/venta
asa	aileron/pluma/pena
telhado	ladrilho
pescoço	garganta/rosto/cara/face/caveira/crâneo/crânio/orelha/têmpora/encéfalo/cérebro/faringe/timo/traqueia/nuca/cerviz
jóia	pedra/gema
óculo	abertura/esclerótica/cristalino/lente/conjuntiva/pálpebra/córnea/retina/íris
mosteiro	cela/scriptorium
calça	pé/punho/joelho/perna/cremalheira
nascente	extremo-oriente
veleiro	retranca/mastro/vela/volante/timão/leme
oração	cláusula/constituinte
barril	torneira/arco/galão
barril	torneira/arco/galão
aquecimento	aquecedor/caldeira
l	decilitro
xadrez	movimento
ferramenta	trinco/alça/cabo
matriz	endométrio/placenta
telescópio	prisma/visor/mira
telescópio	prisma/visor/mira
submarino	periscópio/sonar
forno	grade
monitor	osciloscópio/janela
muralha	arco/pilar/entrada/porta/pórtico/portão/acesso
manga	punho/cotovelo
orelha	lóbulo/tímpano
munição	armamento/arma
anjo	asa/ala
touro	corno/chifre
calçado	espora/sola/palmilha/tacão/talão/salto/cordão/atacador/língua
vestido	guarda-roupa/cremalheira
bicho	rosto/cabeça/pescoço
barba	bigode
alfândega	eme
melodia	frase
sudoeste	califórnia
bagagem	trinco/alça/cabo/tira
ilustração	título/lenda/legenda/subtítulo
milímetro	micrómetro
gaveta	fechadura
tomate	tomateiro
diâmetro	raio
portão	porta/umbral/limiar/fechadura/charneira/dobradiça/gonzo
vivenda	escritório/biblioteca/alpendre/mansarda/trapeira/ático/sótão
armadilha	isca/ardil
milénio	século/centúria
morada	habitação/quarto/dormitório/câmara/gabinete/camarim/refeitório/cozinha/salão/sala/banheiro
galinha	frango
infinito	lugar/ponto/localização
traseiro	glúteo
vegetal	parte/fragmento
pássaro	rabo/anca/traseira/culatra/traseiro/garupa/pena/plumagem/pluma/ave/bico/asa/ala
gozo	esperma/espermatozóide
missiva	destino/melodia/linha
gerador	rotor
varanda	corrimão/balaustrada
varanda	corrimão/balaustrada
moradia	habitação/quarto/dormitório/câmara/gabinete/camarim/refeitório/cozinha/salão/sala/banheiro
bota	língua/espora/salto/talão/tacão/palmilha
adolescência	puberdade
adolescência	puberdade
traje	guarda-roupa
dicionário	verbete
leito	colchão
película	legenda/plano
elevação	ladeira/encosta/declive/subida/costa
estômago	abdómen/umbigo/barriga/intestino
entrave	rédea/bocado/bocal
respiração	expiração/inspiração/inalação
elefante	tromba
gruta	fundo/estalagmite
caminhada	passo/pernada
milho	sabugo/espiga/cereal
milho	sabugo/espiga/cereal
calibre	raio
cirurgia	incisão
túmulo	estela/lápide
colina	declive/encosta/vertente/ladeira/rampa
tronco	casca/membrana/diafragma/peito/seio/cu/rabo/ânus/popô/costas/lombo/quadril/pança/talhe/cintura/barriga/abdómen/ventre/estômago/abdômen/ombro/traseiro/bunda/anca/banda/nalga/nádega
tronco	tálamo/casca/umbigo/intestino/membrana/diafragma/peito/seio/cu/rabo/ânus/popô/costas/lombo/quadril/pança/talhe/cintura/barriga/abdómen/ventre/estômago/abdômen/ombro/traseiro/bunda/anca/banda/nalga/nádega
receptor	antena
cordão	agulheta
molécula	átomo/cadeia
espada	lâmina/punho/cabo/pico/ponta
ovelha	pé/úbere/borrego/cordeiro/anho/carneiro
saia	cremalheira
fortaleza	baluarte/trincheira/muralha/ameia
criatura	rosto/anatomia/célula/cabeça/pescoço
erva	legume/verdura/hortaliça/vegetal
embaraço	segmentação
inconsciente	superego
labirinto	caracol/cóclea
quarteirão	curro
barriga	abdómen/umbigo/intestino
agulha	ponta/buraco
prateleira	espeto
garganta	adenóide/língua/orofaringe/glote
idioma	vocabulário/léxico
metrópole	centro/inner_city
atlântico	shetland
banana	bananeira
estória	anticlímax
galo	frango/galinha
mama	areola
caneta	ponta/cartucho
bode	barba/corno/chifre
bode	barba/corno/chifre/úbere
vocabulário	verbete
radar	osciloscópio
unha	lúnula
vaso	rebordo/base
domicílio	habitação/quarto/dormitório/câmara/gabinete/camarim/refeitório/cozinha/salão/sala/banheiro
casco	dedo/quilha
casco	dedo
time	reserva
verbo	sílaba
ovação	aplauso
escadaria	degrau
cabra	barba/corno/chifre/úbere
torneira	trinco/alça/cabo
armário	gaveta/caixa/prateleira/estante
listagem	item
feijão	fava
aeronave	tromba/focinho/camarote
ensinamento	lição/tarefa
frango	galinha
canalização	arco
barranco	declive/encosta/vertente/ladeira/rampa
mosaico	azulejo
navalha	lâmina
lebre	coelho
sepultura	estela/lápide
alho	porro/alho-porro
shopping	produto/fazenda/mercadoria/artigo
orla	costa/praia
refeitório	bufete/armário
malta	valeta
lâmpada	tomada/abajur/difusor/base
flecha	haste/cabo
velhice	sessenta
cultivo	colheita
inseto	queixo/asa/ala
enunciado	fone/fonema
mm	micrómetro
aeródromo	pista/taxiway/hangar
útero	endométrio/placenta
amoreira	amora
légua	milha
átomo	núcleo
antropologia	estruturalismo
antropologia	estruturalismo
bovinos	bife/carne
estante	prateleira
estante	prateleira
flora	parte/fragmento
tartaruga	concha/carapaça/cutícula
mamífero	pelagem/cabelo/pêlo
coxa	quadril/fêmur/fémur
chaminé	lar/lareira
chaminé	lareira
moldura	borda
oliveira	oliva/azeitona
cantiga	estribilho/coro/refrão/teor/letra/texto
pata	dedo/pato
mansão	sala
lápis	borracha/pico/ponta
lápis	borracha/pico/ponta
narração	conclusão/introdução
espinha	vértebra/cóccix
asfixia	hipóxia
concha	trinco/alça/cabo
índia	caxemira/goa/himalaia/guzerate
gestação	trimestre
cromossoma	gene/telómero
pauta	espaço
crânio	mandíbula/órbita
crânio	mandíbula/órbita/parietal/moleira/fontanela/frontal
arcada	arco
suíno	pé/porco
taberna	bar
hp	watt
urbe	centro/inner_city
polvo	pop
enfermaria	sala/hospital
temperamento	índole/caráter/natureza/personalidade/peculiaridade/feição
fazenda	bainha/quinta
polegada	eme
penso	gaze
ventre	endométrio/placenta/abdómen/umbigo/barriga/intestino
pub	bar
lâmina	parte
américa	sul/oregon/indiana/califórnia/norte
malária	febre
malária	febre
esperma	espermatozóide/flagelo
siderurgia	alto-forno
pente	dente/balaço/bala
arca	tampa
suíça	zurique/genebra
duche	chuveiro
palmeira	coco/côco
transatlântico	camarote
substantivo	nominal
atum	atum-rabilho
megabyte	kilobyte
adjetivo	adjectivo
machado	lâmina
porção	bocado
pecuária	colheita
jurisprudência	lei
carvalho	bolota
sonata	movimento
ventilação	exaustor/ventilador
tampa	fechadura
fogão	grade
morro	declive/encosta/vertente/ladeira/rampa
dormitório	cama/leito
anca	quadril/fêmur/fémur/glúteo
panela	trinco/alça/cabo
guarda-chuva	trinco/alça/cabo
espermatozóide	flagelo
espermatozóide	flagelo
fechadura	tranca
neurônio	dendrite/axónio
bote	banco
lareira	chaminé/lar
dígito	falange/unha
forja	bigorna
forja	bigorna
besta	rosto/cabeça/pescoço
melão	meloeiro
couve	vegetal/repolho
disfarce	dominó
bica	trinco/alça/cabo
pêlo	risco
pêlo	risco
carneiro	pé/corno/chifre
canela	surata
cabrito	barba/corno/chifre
aqueduto	arco
engrenagem	dente
hamburger	hambúrguer
embrulho	trinco/alça/cabo/tira
indonésia	java/bornéu/timor
oriente	extremo-oriente
oriente	extremo-oriente
cadeado	manilha
reto	ânus
forcado	dente
sobrenatural	destino
repasto	acompanhamento/sanduíche/prato/porção
cartucho	balaço/bala
cartucho	balaço/bala
rebocador	volante/timão/leme
galão	quarto
tv	som/video/vídeo
adjectivo	adjetivo
toada	frase
argentina	rosário
joalharia	pedra/gema
florim	centavo/cêntimo
tornozelo	astrágalo
lagosta	coral
propulsor	jante
fungo	chapéu
morcego	asa/ala
caverna	fundo/estalagmite
tesoura	lâmina
alavanca	fulcro
colarinho	gola
abdómen	umbigo/barriga/intestino
pincel	trinco/alça/cabo
rodovia	trevo/acostamento/berma/curva/encruzilhada/cruzamento
ponteiro	haste/cabo
culinária	tempero
léxico	verbete
termómetro	capilar
anatomia	corpo
felino	pata/pé
trombose	trombo
ostra	marisco
trombose	trombo
vocábulo	sílaba
ovário	placenta
laranjeira	laranja
anoitecer	pôr-do-sol/poente/crepúsculo
glaciar	morena
pórtico	portão/porta/umbral/limiar
diálise	osmose
paludismo	febre
veado	chifre/corno
testículo	epidídimo
trem	suspensão
ortografia	hifenização
ortografia	hifenização/letra/caractér/carácter
ignição	vela/distribuidor
ferrovia	travessa/trilho/dormente
cristandade	cristianismo
vagão	suspensão
automotora	suspensão
milênio	século/centúria
fornada	migalha/miga
sanduíche	pão
furna	fundo/estalagmite
caveira	mandíbula/órbita/crânio
cone	pico/ponta
retina	cone/bastonete
aposento	teto/chão/piso/pavimento/muro/parede/muralha/habitação/quarto/dormitório/câmara/gabinete/camarim/refeitório/cozinha/salão/sala/banheiro
penitência	absolvição
penitência	absolvição
bombagem	cilindro
peru	lima
coco	côco
sola	cintura
escova	trinco/alça/cabo
insecto	queixo/asa/ala
raíz	casca
punhal	punho/cabo
lula	calamar
cosmo	estrela/astro
transmissor	antena
hectolitro	decalitro
baú	tampa
noitada	madrugada/meia_noite/meia-noite/noite
basquete	metade
circunferência	sextante
pimento	piripiri/chili
caneca	trinco/alça/cabo
chicote	látego
fortificação	baluarte/trincheira/muralha
telefonia	central/telefone
cadeirão	braço
alfinete	ponta
firmamento	nadir/zénite/zodíaco
cerejeira	cereja/ginja
dobra	centavo
mímica	gesto
ventilador	jante
poltrona	braço
alguidar	cóccix/ilíaco/sacro/ísquio/púbis/quadril
garfo	dente
equador	quito
calculadora	monitor/hardware/teclado/disquete/periférico/memória/chip/ci/processador/microchip
hélice	jante
molusco	cutícula/carapaça/concha
turbina	rotor
turbina	rotor
onça	dracma
onça	dracma
estábulo	curro
estábulo	curro
compressor	cilindro
nádega	glúteo
ruminante	barrete
óvulo	gema
ananás	abacaxi
caráter	integridade/responsabilidade
proposição	termo
frigideira	cabo/alça/trinco
china	amarelo/cantão
decênio	ano
ascensor	elevador
levante	extremo-oriente
ladeira	declive/encosta/vertente/rampa
estrofe	linha/melodia
penteado	anel/cacho
cânhamo	erva/canabis/canábis/maconha
vagina	hímen
séquito	guarda-costas/guarda
videira	uva
rojão	foguete
bósnia	sarajevo
gigabyte	megabyte/mb
alcorão	sura
vitelo	vitela
porra	esperma/espermatozóide
égua	cavalo/anca
sela	estribo
fuselagem	rabo/traseiro/vigia
ligadura	gaze
nogueira	noz
pálpebra	cílio/celha/pestana/conjuntiva
verga	glande/uretra/prepúcio
ameixoeira	ameixa
transistor	emissor
grelo	prepúcio
persiana	sarrafo/ripa
coqueiro	coco/côco
amendoeira	amêndoa
sémen	esperma/espermatozóide
tripé	pé
tripé	pé
tranca	manilha
byte	bit/bite
fornalha	grade
antebraço	rádio/cúbito
rand	centavo/cêntimo
antebraço	rádio/cúbito
mediterrâneo	egeu/malta
bezerro	vitela
estio	canícula
ribanceira	costa/praia
orquídea	queixo
vestimenta	guarda-roupa
banheiro	lavabo/pia/banheira/vaso
corrimão	carril/balaústre
transístor	emissor
embolia	êmbolo
megabit	quilobit/kilobit
megabit	quilobit/kilobit
explanação	fundação/base
vasilhame	rebordo/base
frança	picardia/escalda/borgonha/centro/sena/lyon/bordeaux/nice
cómoda	caixa/gaveta/prateleira/estante
ameixa	nêspera
tumba	estela/lápide
escudeiro	margem/paginação
angola	lobito/huambo
botequim	bar
pugna	porrada/golpe
floração	ovário/estame
alça	visor/mira
pinto	glande/uretra/prepúcio
pereira	pêra
galho	casca
galho	casca
alvéolo	favo
macieira	maçã
cuba	havana
raquete	trinco/alça/cabo
japão	toyota
canídeo	pata/pé
equipe	reserva
baga	fruta/fruto
faqueiro	trinco/alça/cabo
atacador	agulheta
mercantilismo	transportação/expedição/transporte
rodada	jogo/turno/metade
vertebrado	costela/peito/seio/ventre/barriga/dígito/dedo/traseiro/cauda/rabo
codorniz	codorna
mamute	tromba
centúria	decênio/década
jan	epifania/natal
meca	caaba
bornéu	sabá
coleira	penduricalho
zodíaco	sagitário/touro/cancer/gêmeos/signo/capricórnio/balança/virgo/virgem/leão/ânfora/câncer/libra/carneiro/escorpião
peleja	porrada/golpe
torso	membrana/diafragma/peito/seio/cu/rabo/ânus/popô/costas/lombo/quadril/pança/talhe/cintura/tronco/barriga/abdómen/ventre/estômago/abdômen/ombro/traseiro/bunda/anca/banda/nalga/nádega
decilitro	centilitro
crâneo	mandíbula/órbita/crânio
vasilha	rebordo/base/tampa
alfarrobeira	alfarroba
arreio	entrave/brida/estribo
pessegueiro	pêssego
pessegueiro	pêssego
ato	cena
caqui	dióspiro
caqui	dióspiro
guelra	onça
limoeiro	limão
tangerina	bergamota
selim	estribo
berbigão	prepúcio
comercialismo	transportação/expedição/transporte
caralho	glande/uretra/prepúcio
jarda	pé
empório	prateleira/estante
estereofonia	amplificador
clítoris	prepúcio
caule	tálamo
brasil	acre/madeira/limeira/rio/recife
rabanete	rábano
síria	damasco/tigre
oculto	destino
críquete	entrada
críquete	entrada
nespereira	nêspera/ameixa
repolho	vegetal/couve
musculatura	músculo/tendão/ligamento
caçarola	trinco/alça/cabo
sombrinha	trinco/alça/cabo
teta	areola
maleta	trinco/alça/cabo
conduto	arco
silogismo	conclusão/pressuposto/premissa
disenteria	diarréia
milissegundo	microssegundo
orégão	manjerona
laringe	glote
