muito	numeroso
importante	perceptível/influente/conspícuo/monumental/histórico/grandioso/estratégico/distinto/sério/central/crucial/principal/decisivo/fundamental/crítico/básico/notável/proficiente/grande/saliente/proeminente
jovem	terno/pequeno/juvenil/cedo/infantil/pré-adolescente/temporão/tenro/vulnerável
política	governamental
antigo	passado/antediluviano/amarelo/arcaico/usado
económico	rendoso/parcimonioso/eficiente/lucrativo/proveitoso
certo	exacto/literal/rigoroso/justo/perfeito/preciso/correto/afinado/textual/exato/estrito/matemático
longo	longínquo/estendido/extensível/alongado/distante/prolongado/prorrogável
internacional	universal/alienígena/multinacional/global/mundial/estrangeiro
militar	belicoso/marcial/guerreiro/combatente
nenhum	incompleto
plano	horizontal
necessário	requerido/imprescindível/indispensável/obrigatório/essencial
anterior	passado/antecedente/temporão/precoce/cedo
vários	diferente
socialista	colectivo/coletivo
geral	comum/crônico/usual/habituado/habitual/inveterado
dirigente	poderoso
forte	alcoólico/veemente/intenso/pesado/poderoso/robusto/musculoso/potente/intensivo
junto	vizinho/próximo/perto
terceiro	ordinal
total	completo/inteiro/integral
mundial	internacional/extenso/amplo/abrangente/exaustivo
estrangeiro	externo/internacional/estranho/exótico
claro	deslumbrante/reluzente/brilhante/iridescente/prata/radiante/prateado/argênteo/refulgente/luminoso/faiscante/argentino
difícil	árduo/frustrante/ambicioso/controvertido/sensitivo/laborioso/desafiador/desconcertante/complicado/problemático/espinhoso/foda/intrincado
diverso	diferente/vário
contrário	antônimo/malvado
central	importante/focal/nuclear/bifocal
presente	onipresente/existente/ubíquo
oficial	formal/regular/autorizado/constituído
mal	prejudicial/nocivo/daninho/danoso
trabalhador	diligente
mau	incorrecto/sinistro/inferior/maléfico/vil/atroz/nefando/desprezível/infernal/abominável/diabólico/má/ruim/malvado
humano	antropóide/civilizado/humanitário/imperfeito/antropomorfo/antropomórfico
diferente	variado/separado/outro/anômalo/antitético/sortido/distinto/vários/diverso/divergente/estranho/inusual/insólito/extraordinário
especial	primário/extraordinário/específico
baixo	grosso/suave/reduzido
rápido	ativo/eficiente/preparado/ligeiro/expresso/alado/instantâneo/célere/breve/pronto/disposto/prestes/veloz
2	cardinal/cardeal
pessoal	subjetivo/personalizado/próprio/privado
privado	secreto/pessoal/confidencial
velho	antediluviano/senil/centenário/amarelo/venerável/arcaico/usado/escuro
preciso	literal/certo/fiel/cirúrgico/rigoroso/justo/meticuloso/correto/textual/estrito/matemático
recente	passado/novo/crocante/estaladiço
civil	civilizado
cultural	social
regional	territorial
perto	vizinho/contíguo/acalorado/quente/calmoso/junto/próximo
amigo	social/amável/afável
comercial	inferior/mercantil
bastante	confortável/suficiente/verde/torrencial/lauto/fácil/farto/basto/copioso/abundante
verdadeiro	indefectível/típico/legítimo/sério/genuíno/autêntico/literal
modelo	decoroso/digno
médio	moderado/normal
longe	remoto/distante/longínquo
interior	interno
grave	crítico/sério
livre	definido/autônomo/soberano/independente
comum	democrático/inferior/comunitário/medíocre/informal/crônico/cotidiano/público/banal/geral/usual/estatal/habituado/quotidiano/indiferente/habitual/freqüente/inveterado
histórico	importante/passado/existente
parlamentar	democrático
popular	democrático/turístico/favorito/predileto
natural	físico/biológico/normal
prático	conveniente/acessível/pragmático/realístico/funcional
particular	específico
capaz	habilitado/elegível/aceitável/apto/engenhoso/desenvolto/habilidoso/apropriado/correspondente/conveniente/inventivo/competente/adequado
material	físico/substancial/tangível
respectivo	individual
real	sério/corrente/existente/nobre/actual/atual
comunitário	comum
interno	interior/intrínseco
milhar	cardinal/cardeal
negro	escuro
simples	austero/simplístico
branco	caucasiano/caucasiana
positivo	afirmativo/favorável/construtivo/otimista/profícuo/vantajoso/propício
objetivo	comprovável/clínico/impessoal
imediato	preparado/próximo/pronto/disposto/prestes
tradicional	convencional/ortodoxo
5	cardinal/cardeal
fácil	indolor/superficial/casual/lauto/farto/bastante/basto/copioso/abundante
eventual	definitivo/possível
existente	vivente/presente/documental/histórico/real
crítico	adoentado/discriminativo/essencial/fundamental/chicaneiro/perigoso/decisivo/grave/trapaceiro/judicial/imprescindível/indispensável/importante/crucial
enorme	grande
relativo	relacional
morto	inviável/falecido
fundamental	crítico/basilar/essencial/importante/crucial
metade	incompleto/parcial/fracionário
curto	fugitivo/efêmero/momentâneo/conciso/fugaz/lacônico/breve/sucinto
independente	livre/incondicional/autônomo/auto-suficiente/comutativo/involuntário
suficiente	confortável/bastante
governamental	política
diário	periódico
doente	asmático/gangrenoso/frenético/patológico/mental/ictérico/inflamatório/espumoso/delirante/nauseante/artrítico/paralítico/descorado/tísico/verdejante/diabético/mórbido/vertiginoso/tonto/indisposto
vivo	ciente/vívido/sensível/realístico/viável/vital/informado
democrático	comum/parlamentar/popular/republicano
global	internacional/extenso/redondo/amplo/abrangente/exaustivo/circular/arredondado
significativo	comunicativo/monumental/notável/substantivo/substancial
igual	equivalente/eqüidistante
normal	medíocre/modal/típico/cotidiano/média/banal/natural/quotidiano/indiferente/médio
sério	importante/real/solene/sincero/genuíno/verdadeiro/grave
esquerda	esquerdista
disponível	descartável/comprável/adquirível/visível
negativo	destrutivo/desvantajoso/desfavorável
seguro	invulnerável
essencial	constitucional/necessário/requerido/substancial/principal/virtual/forçoso/fundamental/preliminar/crítico/constituinte/orgânico/compulsório/obrigatório/substantivo/vital/indispensável/imprescindível
familiar	informal/conhecido/próximo/acostumado
científico	tecnológico
legal	válido/judiciário/lícito/regulamentar/legítimo/estatutário/judicial
físico	energético/corpóreo/material/natural/sensual/fisiológico/carnal/somático/enérgico
animal	inumano/desagradável/arisco/desumano
semelhante	similar/relacionado
corrente	real/contemporâneo/actual/hodierno/último/moderno/vigente/atual/online
habitual	corriqueiro/crônico/freqüente/habituado/ordinário/inveterado/costumeiro/genérico/comum/geral/usual/convencional
vizinho	próximo/contíguo/acalorado/quente/calmoso/junto/perto
duro	pobre/granítico
evidente	definitivo/axiomático/franco/transparente/patente/demonstrável/óbvio/manifesto
acima	alto
elevado	nobre/alto
específico	especificado/circunstancial/ad_hoc/nominal/mero/especial/particular/avulso/ad-hoc/próprio/peculiar
produtor	fértil/cultivável/fecundo/prolífico/arável
colectivo	socialista
excelente	superior
profundo	intenso/intensivo
favorável	conveniente/indulgente/amigável/benéfico/propício/preferencial/vantajoso/bom/positivo/partidário/boa/discriminatório
alternativa	cíclico
pronto	imediato/rápido
breve	rápido/curto/veloz
média	normal
absoluto	inequívoco/inalienável/completo/infinito/implícito/unívoco/arbitrário/integral
exterior	externo
inicial	primeiro
externo	exterior/alienígena/estrangeiro
500	cardinal/cardeal
judicial	legal/crítico
religioso	piedoso/hipócrita/sagrado/devoto
surpresa	estupefato
verde	lauto/cromático/sensual/farto/bastante/basto/copioso/abundante/sexy/sujo
largo	panorâmico
concreto	sólido/tangível
alimentar	saudável
complexo	tortuoso/labiríntico/complicado/colonial/intrincado
original	primário/primeiro/criativo/fresco/inovador/novo/inventivo/nova/imaginativo
pobre	duro/indigente/infeliz/miserável
completo	total/exaustivo/absoluto/inteiro/integral
pleno	intocado/estufado
clássico	neoclássico
simultâneo	síncrono/sincrônico
ligeiro	rápido/inteligente/ativo/veloz
idêntico	proporcionado/mesmo/equivalente/eqüidistante/congruente
impossível	desesperado/impraticável
interessante	colorido/atraente/decoroso/recreativo/fascinante/intrigante/absorvente/entretido/divertido/digno
má	sinistro/vil/atroz/ruim/nefando/desprezível/infernal/mau/abominável/diabólico
estranho	inusual/sobrenatural/inconformista/atrapalhado/artificial/fantástico/esquisito/singular/diferente/único/curioso/bizarro/desajeitado/exótico/assustador/estrangeiro/insólito/extraordinário/gótico
avançado	precoce/alto/dianteiro
cheio	intocado/estufado
quinto	ordinal
anual	periódico
inferior	modesto/brega/comercial/lamentável/medíocre/comum/ruim/ignoto/humilde/mau/miserável/pequeno
decisivo	definitivo/crítico/conclusivo/fatídico/determinante/importante/crucial
moderno	corrente/progressivo/chique/contemporâneo/actual/atual
partidário	favorável
estratégico	importante
circular	cíclico/esférico/global
básico	importante
permanente	irreversível/indissolúvel/interminável/eterno/perene/perpétuo/imperecível/duradouro
nuclear	central
individual	único/separado/respetivo/idiossincrático/respectivo/singular
famoso	sabido
cedo	jovem/nítrico/mirim/contemporâneo/primitivo/incipiente/novo/primordial/primitiva/prematuro/anterior
falso	mentiroso/inconstante/artificial
provável	suposto
perigoso	crítico/alarmante/suicida/traiçoeiro/incerto/insidioso/arriscado/desesperador/inquietante
fraco	impotente/débil
efetivo	impressionante
visível	visual/disponível/microscópico
rico	afluente
definitivo	conclusivo/eventual/decisivo/peremptório/supremo/final/evidente/contingente/decidido/resoluto
elétrico	emocionante/excitante
concorrente	síncrono/sincrônico
secundário	auxiliar/subordinado/tributário/alternativo/colateral/adicional/suplementar
conforme	consistente
azul	setentrional/cromático/boreal
obrigatório	necessário/forçoso/compulsório/essencial/imprescindível
moral	casto/mental
masculino	varão/viril/macho/varonil
constante	inquebrantável/invariável/contínuo
puro	harmonioso/imaculado/intenso/virginal/impoluto/virgem/castiço
extraordinário	bonito/tremendo/superior/fenomenal/incomum/exótico/estranho/pirotécnico/especial/excepcional/formidável/misterioso/fantástico/esquisito/notável/raro/singular/diferente/admirável/único/maravilhoso/curioso/estonteante/fabuloso/grande/bizarro/grandioso/assustador/magnífico/formoso/lindo/belo/horrível/gótico
violento	antinatural/fulo/convulsivo/feroz/bravo/intenso/afetado/intensivo/sangrento
agrícola	rural
radical	basilar
constitucional	essencial
inteiro	completo/integral/total
passageiro	temporário
frio	glacial/frigorífico/gélido/gelado/polar/ártico
turístico	popular
sexual	sensual/sexy
artístico	estético
inevitável	inexorável/previsível
ilegal	criminoso/extrajudicial/interdito/penal/ilegítimo/ilícito/proibido/defeso/inelegível
raro	extraordinário/ocasional/intermitente/irregular/periódico/infrequente
exemplar	decoroso/digno
vermelho	cromático/colorido
eficaz	habilitado/impressionante/competente
interessado	curioso
titular	formal
liberal	exuberante/esquerdista/generoso/magnânimo/progressista
1º	ordinal
regular	cronometrado/padrão/oficial
imenso	grande
ideal	abstrato/aprimorado/perfeito
secreto	privado/esotérico
patente	óbvio/evidente
líquido	descartável/aquoso/fluido
vasto	amplo/grande
contemporâneo	chique/moderno/corrente/temporão/progressivo/síncrono/cedo/sincrônico/actual/atual
empresarial	empreendedor
óbvio	axiomático/franco/transparente/patente/demonstrável/manifesto/evidente
belo	extraordinário/cênico/atraente/esplêndido/lindíssimo/fantástico/glorioso/pitoresco/bonito/precioso/magnífico/deslumbrante/maravilhoso/formoso/lindo
feliz	ditoso/afortunado/animador/bendito/animado/contente
correspondente	similar/relacionado/mesmo/capaz/adequado
formal	oficial/literário/titular/solene/convencional
pesado	maciço/forte/húmido/molhado
justo	invulnerável/apertado/fiel/exacto/direito/reto/cirúrgico/perfeito/bom/preciso/afinado/certo/exato/recto
duplo	múltiplo
intelectual	racional/mental/bom
polêmico	discutível/conflituoso/controverso
poderoso	dirigente/forte/influente/constrangedor/potente/todo-poderoso/onipotente
intenso	puro/profundo/sensasional/forte/brutal/violento/esmero/severo/terrível/veemente/maior/feroz/horrível/intensivo
alternativo	inconformista/secundário
dramático	espetacular/impressionante/melodramático
útil	funcional/sociável/conveniente/acessível/usável/utilizável/reutilizável/reciclável
curioso	interessado/inusual/insólito/extraordinário/estranho
vazio	cavernoso/tubular/vago/refletivo/vacante/desocupado
franco	evidente/óbvio
sensível	vivo/excitável/árduo/dolorido/doloroso/extenuante/doído
correcto	literal/rigoroso/textual/estrito/matemático
fiel	exacto/justo/acurado/exato/preciso
mero	específico/especificado
aliado	unido
consecutivo	contínuo
indispensável	necessário/crítico/vital/imprescindível/essencial
infantil	jovem/juvenil/pueril/imaturo
paralelo	síncrono/sincrônico
federal	nacional/setentrional/boreal
republicano	democrático
exclusivo	privilegiado/seletivo
autônomo	independente/livre/involuntário
plenário	extenso/amplo/abrangente/exaustivo
autêntico	verdadeiro/genuíno/legítimo
notável	significativo/extraordinário/sabido/decoroso/significante/importante/digno
célebre	sabido
dependente	viciado/parasita/interdependente
favorito	popular
estatal	comum/público
perfeito	infinito/certo/idílico/ideal/implícito/justo/correto/aprimorado/impecável
amarelo	cromático/antigo/velho
bonito	extraordinário/cênico/atraente/esplêndido/lindíssimo/fantástico/glorioso/pitoresco/precioso/magnífico/deslumbrante/maravilhoso/formoso/lindo/belo
excessivo	prolixo/desnecessário
imóvel	inerte/rígido/estacionário/estático/quedo
sexto	ordinal
rural	bucólico/agrícola/agrário
mestre	habilidoso/talentoso
numeroso	muito
adjunto	subordinado
barato	pagável
resultante	subsequente/posterior/ulterior
escasso	exíguo/insuficiente
quente	tórrido/perto/tropical/ígneo/sensual/térmico/termal/próximo/vizinho/sexy
optimista	altista/alegre
literário	formal
tecnológico	científico
razoável	moderado
desempregado	vadio/preguiçoso/vagaroso/ocioso
adulto	maturo/maduro
c	cardinal/cardeal
sonoro	suave
lento	mandrião
onze	cardinal/cardeal
prévio	antecedente/passado
atento	absorto/consciente/minucioso/solícito/pormenorizado/circunstanciado/consciencioso
vão	nulidade/inutilizável/fútil/inapto/inútil/impróprio
humanitário	humano
contínuo	repetitivo/perene/consecutivo/persistente/incessante/constante/recorrente/perpétuo/ininterrupto/insistente
quotidiano	rotineiro/costumeiro/comum/ordinário/normal
primário	especial/original
parcial	tendencioso/incompleto/fragmentário/meio/metade
inesperado	imprevisto
alerta	insone/jeitoso/engenhoso/astuto/genial/hábil
típico	verídico/normal/característico/representativo/emblemático/verdadeiro
legítimo	genuíno/legal/autêntico/verdadeiro
mínimo	simbólico/marginal
triste	desagradável/pensativo/agridoce/trágico/horrendo/azarado/soturno/lúgubre/enjoado/nebuloso/horrível/lastimável/escuro/sombrio/lutuoso/ermo/entristecedor/melancólico/infeliz/miserável/arisco
estrutural	construtivo/funcional
psicológico	mental
clínico	objetivo
competitivo	agressivo
primeira	primeiro
simbólico	representativo/minimum/mínimo
educativo	noticioso
sólido	bom/concreto/adequado/boa
criminoso	ilegal/culpado
mensal	periódico
laranja	cromático
gráfico	realístico/explícito/escrito
rigoroso	exato/preciso/correcto/certo
amplo	espaçoso/panorâmico/grande/extenso/plenário/universal/global/vasto/mundial/abrangente/exaustivo
freqüente	habitual/comum/predominante
doméstico	caseiro
previsível	inevitável/inexorável
posterior	concomitante/ulterior/resultante/decorrente/subsequente/rabo/traseiro
mortal	virulento/nefasto/fatal/impiedoso
potencial	latente
étnico	social
discreto	prudente/judicioso/sensato
equivalente	precioso/parelho/mesmo/idêntico/igual/análogo/valioso
manifesto	óbvio/evidente
múltiplo	denário/triplo/quádruplo/duplo/binário/quíntuplo/dúplice
criador	criativo/inventivo/imaginativo
deficiente	inapropriado
brilhante	superior/colorido/inteligente/deslumbrante/reluzente/iridescente/prata/radiante/prateado/argênteo/refulgente/faiscante/argentino/luminoso/claro
marítimo	litorâneo/costeiro
surpreendente	impressionante/estonteante/espantoso/assombroso
representativo	típico/alegórico/simbólico
complementar	antônimo/aditivo
terminal	nefasto/fatal
temporário	episódico/evanescente/precário/efêmero/interino/transitório/passageiro
estreito	mesquinho/dogmático
considerável	grande/apreciável
teórico	especulativo/metafísico/hipotético
dominante	supremo/ascendente/preponderante/soberano/primordial/preeminente
ofensiva	injurioso
incapaz	impotente/incompetente/inadequado/ineficaz
ideológico	abstrato
sanitário	higiênico
louco	entusiasmado/tolo/insano/excitado
insuficiente	inadequado/escasso
padrão	modular/regular
distinto	digno/importante/diferente/separado
aparente	superficial
relevante	pertinente/aplicável/procedente
excepcional	extraordinário/superior
súbito	escarpado/explosivo/fulminante/repentino/abrupto/brusco
baixa	reduzido
absurdo	tolo
espetacular	dramático/impressionante
argentino	radiante/brilhante/luminoso/claro
digno	precioso/distinto/impecável/modelar/modelo/interessante/louvável/merecedor/exemplar/valioso/notável/decoroso
sétimo	ordinal
distante	inacessível/longo/ulterior/remoto/longe/longínquo
mútuo	bilateral/interactivo/interativo
tranqüilo	constituído
multinacional	internacional
firme	imutável
revolucionário	novo
escuro	tenebroso/triste/velho/crepuscular/negro/sombrio/morena
criminal	culpado
universal	internacional/extenso/amplo/abrangente/exaustivo
calmo	constituído
regulamentar	legal
estético	artístico/cosmético
produtivo	próspero/fértil/cultivável/prolífico/arável/proveitoso/fecundo/frutífero/bem-sucedido
exacto	fiel/certo/cirúrgico/justo/correto
modesto	moderado/inferior
gigantesco	grande
agradável	agradecido/simpático/idílico/ameno/aprazível
inteligente	racional/inato/sofisticado/ágil/brilhante/ligeiro
delicado	frágil
orgânico	saudável/essencial
confiante	segurado/presunçoso/auto-confiante
consciente	atento/evocador/nostálgico/sugestivo
mental	doente/intelectual/moral/psicológico/racional/psíquico/adoentado/doentio/insalubre
nobre	elevado/impressionante/imperial/impecável/aristocrata/brioso/senhorial/magnânimo/aristocrático/sublime/real
estável	duradouro
substancial	essencial/material/significativo/adequado
terrível	ofensivo/intenso/ruim/desagradável/alarmante/inquietante/intensivo/arisco
explícito	literal/expresso/inequívoco/gráfico/determinado/declarado/textual
gratuito	desnecessário
santo	bendito/sagrado
marginal	minimum/mínimo
vago	vazio/confuso/enigmático
válido	lógico/legal
semanal	periódico
singular	inusual/desacompanhado/individual/insólito/extraordinário/estranho
inclusive	cercado
competente	habilidoso/eficaz/capaz/eficiente/talentoso
vário	diverso/variável
intermédio	antepenúltimo/penúltimo/intermediário
visual	visível
agressivo	enérgico/invasivo/malvado/ambicioso/predador/belicoso/truculento/competitivo/predatório/enfático/lutador/batalhador
fresco	original/crocante/estaladiço
virtual	essencial/realístico
íntimo	próximo/confortável
explosivo	súbito/abrupto/repentino
imaginário	irreal
contraditório	inconsistente/antônimo/incompatível
devido	pagável
dez_mil	cardinal/cardeal
simpático	agradecido/agradável/idílico/ameno/aprazível
leve	translúcido
anônimo	incógnito/anónimo
fantástico	irreal/inusual/bonito/insólito/extraordinário/estranho/formoso/lindo/belo
auxiliar	secundário/subordinado
móvel	portátil/movente
esmagador	irresistível
determinante	decisivo
prata	radiante/brilhante/luminoso/claro
preventivo	proibitivo/saudável/obstrutivo/impeditivo
assistente	subordinado
extenso	grande/plenário/universal/global/mundial/amplo/abrangente/exaustivo
seco	árido
colonial	complexo/intrincado
trágico	triste
ridículo	engraçado/humorístico
ambicioso	compulsivo/intrincado/agressivo/foda/difícil/árduo
vital	vivo/essencial/imprescindível/indispensável
frágil	delicado
homossexual	transexual/lésbico/bicha/transsexual/veado/gay
bilateral	simétrico/recíproco/mútuo
precioso	decoroso/astuto/bonito/equivalente/magnífico/inestimável/impagável/opulento/valioso/formoso/lindo/belo/digno
suplementar	secundário/aditivo
progressivo	progressista/estado-da-arte/inovador/contemporâneo/moderno
adicional	secundário/aditivo
integral	intrínseco/total/exaustivo/completo/absoluto/inteiro
incómodo	azarado/irritante/desconfortável/doloroso
moderado	modesto/médio/limitado/cauteloso/razoável/pequeno
magnífico	bom/precioso/impressionante/superior/extraordinário/bonito/boa/valioso/formoso/lindo/belo
supremo	dominante/definitivo
artificial	esquisito/inconstante/afetado/artificioso/forçado/falso/estranho/sintético
suscetível	impressionável/moldável/vulnerável/alérgico/hipersensível
automático	mecânico/semiautomático/involuntário
criativo	construtivo/original/inventivo/imaginativo/criador
impressionante	efetivo/admirável/majestoso/palaciano/formidável/dramático/nobre/magnífico/fulgurante/heróico/imponente/formigueiro/impo/espetacular/surpreendente/eficaz/eficiente
territorial	regional
inocente	irrepreensível/inócuo/inofensivo
juvenil	infantil/jovem/imaturo
perdido	extraviado/sumido/desperdiçado/maldito/desaparecido
mágico	sobrenatural
envolvente	próximo
nulo	inválido
contente	animador/bendito/afortunado/ditoso/alegre/saciado/sorridente/divertido/radiante/risonho/convencido/feliz/presunçoso/vaidoso/satisfeito/animado
eterno	permanente/duradouro
oitavo	ordinal
indiferente	desinteressado/imparcial/rotineiro/letárgico/costumeiro/comum/ordinário/normal
ofensivo	injurioso/desgostoso/fedorento/insuportável/terrível/malcheiroso/nauseante/desagradável/nojento/repugnante/detestável/odioso/enjoativo
irônico	humorístico/brincalhão/engraçado/travesso/arteiro
controverso	discutível/conflituoso/polêmico
centenário	velho
experimental	empírico
aceitável	capaz/bom/admissível/boa/adequado
derradeiro	alto
acessível	compreensível/prático/cômodo/útil
mecânico	automático
espiritual	sagrado/imaterial
crucial	fundamental/importante/decisivo/crítico
pontual	tempestivo
genérico	crônico/usual/habituado/habitual/inveterado
grosso	caloso/baixo/gordo/grande
pior	péssimo/último
180	cardinal/cardeal
duvidoso	inseguro/incerto
nervoso	tenso/entusiasmado/excitável/excitado
terrestre	leigo/secular
fatal	nefasto/terminal/mortal/letal
romântico	inviável/impraticável
conhecido	familiar
inaceitável	inadmissível/insuportável/intolerável
calma	constituído
decorrente	subsequente/posterior/ulterior
lógico	racional/válido
inovador	original/progressivo/chique
encarnado	cromático
saudável	curativo/antimicrobiano/profilático/anti-helmíntico/orgânico/alimentar/preventivo/terapêutico/salutar/nutritivo/são/salubre
sujeito	responsável/afetado
ortodoxo	convencional/canônico/tradicional
nova	original
injusto	sujo
descendente	relacionado
maciço	pesado
preliminar	exploratório/essencial
classificado	categorizado
reconhecido	agradecido/apreciativo/obrigado/constituído
activista	ativo
solitário	desacompanhado/inabitado/desabitado
décimo	ordinal
irregular	anormal/raro/imperfeito/casual/esporádico
cego	invisual/desafiado/daltônico
precário	inseguro/desassossegado/sísmico/temporário/vulcânico
convencional	ortodoxo/recebido/tradicional/habitual/formal
triplo	múltiplo
confortável	suficiente/aliviar/acolhedor/íntimo/bastante
cem_mil	cardinal/cardeal
etnia	social
implícito	indutivo/perfeito/inerente/tácito/absoluto
informativo	consultivo/consultor
poético	retórico/figurativo
doce	brando
mítico	irreal
rosa	cromático
adequado	aceitável/elegível/próprio/substancial/bom/apto/decoroso/vitoriano/correspondente/sólido/capaz/apropriado/conveniente
biológico	natural
solidário	coletivo/cooperativo/corporativo
exigente	cuidadoso
oposto	outro/malvado
selvagem	feroz/maníaco/delirante/caótico/frenético/fero
preocupado	desassossegado
noticioso	consultivo/demonstrativo/educativo/explicativo/didático/explanatório/consultor
credível	convincente
compatível	congenial/harmonioso
lamentável	inferior/desagradável/ruim/infeliz/miserável/arisco
informal	ordinário/frívolo/familiar/vernáculo/comum/coloquial/oficioso/fútil
metálico	dourado/argênteo/aurífero/brônzeo/áureo
fabuloso	extraordinário/superior
característico	típico/sintomático/distintivo
sinistro	maléfico/mau/má/ruim/malvado
escrito	manuscrito/gráfico
organizado	corporativo/metódico
fechado	restrito/comprimido/cercado
influente	possante/importante/prestigioso/potente/poderoso
racista	racial
quadrado	quadricular
tóxico	degradante/pernicioso/virulento/venenoso
nono	ordinal
transparente	fino/evidente/óbvio
prestes	imediato/rápido
coerente	persuasivo/adesivo/racional
vocal	alta/berrante/alto
paciente	diligente/tolerante
misterioso	incompreensível/extraordinário/sobrenatural/esotérico/inexplicável
inútil	insignificante/nulidade/inutilizável/fútil/vão/inapto/impróprio
dinâmico	cinético
incrível	improvável/estarrecedor
espantoso	surpreendente
inequívoco	absoluto/explícito
rígido	imóvel/inflexível
periódico	raro/mensal/cíclico/semanal/diário/anual/trienal/quinzenal/trianual/casual/esporádico
fino	transparente/superior/laminado/diminuto/tênue/filiforme/diáfano/esbelto/magro/amolgado
cinzento	acromático
sujo	antipático/injusto/sórdido/encardido/obsceno/piolhoso/ranhoso/gordo/impudico/verde/horrível
cardeal	c/160/500/cem_mil/dez_mil/bilhão/quarenta/mil/trilhão/5/uno/dois/duzentos/cento_e_oitenta/trezentos/noventa_e_nove/quatrocentos/onze/cento_e_sessenta/milhar/190/180/quinhentos/um_mil/1000/2/v/cinco
ilícito	ilegal/extraconjugal
viável	vivo/possível
irreversível	permanente
contingente	definitivo
inerente	implícito/intrínseco
medieval	passado
variável	ajustável/volúvel/versátil/regulável/volátil/instável/adaptável/vário
confuso	nublado/desconcertante/vago/intrigante/aleatório
isento	privilegiado/imune
limpo	imaculado
limpo	asseado
desejável	preferível/elegível/invejável
infeliz	abjeto/mendigo/lamentável/coitado/desastroso/lastimoso/azarado/triste/miserável/pobre/mendiga/sem-teto/sem-abrigo
falecido	morto
emocional	inquieto/empolgante/sentimental/lírico/afetivo
brutal	intenso/inumano/desumano/intensivo
inverso	antônimo
combatente	militar
160	cardinal/cardeal
desfavorável	negativo/ruim
expressivo	comunicativo
consultor	noticioso/informativo
cúbico	tridimensional/isométrico
genuíno	verdadeiro/sério/autêntico/legítimo
generoso	fértil/liberal/proveitoso/fecundo/frutífero
monumental	importante/significante/significativo
penal	punitivo/ilegal
remoto	longínquo/longe/distante
cauteloso	moderado
solene	sério/formal
narrativo	comunicativo
aliviar	confortável
oportuno	propício/bom/cómodo
suave	sonoro/baixo/comedido/manso/harmonioso
abstracto	esotérico
cirúrgico	preciso/exato/acurado/justo/exacto
barroco	sobrenatural
animador	contente/alegre/sorridente/radiante/risonho/animado/feliz
tardio	póstumo/retardado
perverso	danoso/malevolente/venenoso/malévolo/maldoso/calúnia/malvado
imprescindível	necessário/obrigatório/indispensável/forçoso/crítico/compulsório/vital/essencial
doloroso	magoado/desagradável/traumático/terno/sensível/desconfortável/ofendido/incómodo/incômodo/arisco
intermediário	intermédio
penúltimo	intermédio
sangrento	ensanguentado/violento
elementar	basilar
crônico	degenerativo/ordinário/costumeiro/genérico/comum/geral/usual/habitual
longínquo	longo/ulterior/remoto/longe/distante
reduzido	baixo/pequeno/baixa
iminente	futuro/próximo
funcional	prestativo/prático/útil/estrutural
hostil	inóspito
definido	livre
privilegiado	exclusivo/isento
documental	existente
desastroso	infeliz/miserável
satisfatório	bem/boa/bom
insólito	exótico/estranho/fantástico/esquisito/singular/diferente/único/curioso/bizarro/assustador/gótico
costeiro	marítimo
lesionado	disfuncional
luminoso	iluminado/deslumbrante/reluzente/iridescente/prata/radiante/prateado/argênteo/refulgente/faiscante/argentino/brilhante/claro
