meloeiro	fruta
freguesia	gente/povo/população
julgamento	sentença/acção/ação/ato/feito
separação	classificação/condição/estado/situação
Rafael	arcanjo
enegrecer	colorir/descolorir
ciática	nevralgia
estrogénio	esteróide/esteróides
hebraico	alma/indivíduo/alguém/pessoa
águia	símbolo/peça/moeda/divisa/prata/emblema
deportação	expulsão/exclusão/proscrição/banimento
contrair	adoecer/desabar/minguar/decrescer/estreitar/apertar/reduzir/diminuir/ter/experimentar
intelectual	alma/indivíduo/alguém/pessoa/intelecto
horrorizar	assustar/repulsar/atemorizar/amedrontar/aterrorizar/intimidar/revoltar/indignar/nausear/repugnar
OVNI	aparição/fantasma
3	dígito/número/algarismo
articulação	expressão/ligação/Anatomia
delimitação	fronteira/limite
interrupção	ocorrência/intervalo/tempo/evento/acontecimento/conclusão/atraso/retardar/adiar
minimização	redução/diminuição
ex-jogador	jogador/apostador
Ásia	montão/colecção/ruma/chusma/coleção/grupo/aglomeração
tipificar	representar/simbolizar
componente	porção/ideia/idéia/concepção/conceito/relação/conexão/categoria/parte
boato	bisbilhotice/fofoca
distilar	mudar/alterar
Freon	clorofluorcarboneto
zum	objectiva
busca	buscar/procurar
agressão	contenda/ação/luta/batalha/combate/ato/atividade
Automobilismo	carreira/corrida
lantejoula	decoração/ornamento
nazista	fascista
extinção	atividade/morte/aniquilação/desintegração/conclusão/aniquilamento
ramificar	crescer/mudar/aumentar/alterar
gesto	Gesto/presságio/Comunicação_Visual/indício/agouro/indicação/sinal/mudança
afro-americana	estado-unidense/norte-americano
sinistro	demanda/procura
preferência	handicap/afeição/predisposição/direito/intercorrência/opção/escolha/eleição/alternativa/benefício/lucro/utilidade/vantagem/tendência
drive-in	instalação/infra-estrutura/serviço
Presidente	presidência
imago	insecto/inseto/Insectos
vulgaridade	comentário/profanação/observação
géiser	Nascente
reconfirmar	confirmar
exatidão	correção/rigor/qualidade/precisão/exactidão
gigante	animal/empresa/personagem/criatura/bicho/ser/besta/companhia
naturalista	filósofo/biólogo/biologista
etiquetar	anexar/unir/juntar
Criatividade	capacidade/talento/faculdade/habilidade
piratear	roubar/furtar
entalhe	impressão
ilusionista	intérprete
riacho	córrego
mobiliário	equipamento/jogo/grupo/móvel/mobília
contorno	limite/fronteira
esbanjar	desperdiçar/dilapidar/delapidar/gastar/despender
lingote	bloco
regurgitar	correr/expelir/fluir/alimentar
chibata	instrumento/aparelho/ferramenta
decapagem	gravura
melhorar	aperfeiçoar/alterar/mudar/modificar/tornar/revoltar-se/revoltar
federação	constituição/união/organização/estabelecimento
topo	Torres/face/lado/área/região/extremo/torre/roque
submundo	estrato/classe
ressurgir	começar/provir/originar
cingir	rodear/prender/fixar/contornar
betume	hidrocarboneto/mineral
canonizar	declarar/julgar
exonerar	desculpar/perdoar
alteridade	discordância/diferença
oligopólio	mercado
neurotoxina	toxina
neutralização	anulação/destruição/devastação
desarmamento	desmobilização
consumismo	causa/campanha
trompete	Metais
civilidade	ação/cortesia/ato/atividade
circular	deslocar/formar/correr/mover/manar/fluir/andar/ir/caminhar/viajar
indignar	repelir
distância	região/dimensão/medida/magnitude/tamanho/Distância/espaçamento
latência	tempo/potencial/intervalo
calcanhar	esqueleto
ovo	óvulo/alimento
esposar	unificar/reunir
sacudir	atirar/agitar/menear/mexer/deslocar/jogar/lançar/mover/oscilar/empurrar/forçar/tremer
tez	alimento/cor
mostruário	continente/contentor/caixa/jarro/vaso/vasilha
gesticulação	Gesto/gesto
leigo	plebeu
animador	técnico
vela	pano/luz/candeia/lâmpada
aquiescer	consentir/concordar
ornitologia	zoologia
desfavorecer	discriminar
quaker	seita
ouvir	perceber/aperceber/entender/aperceber-se
seguro-saúde	cuidado
Jazz	Música_Popular
germicida	agente
planetário	modelo/prédio/edifício/esquema
radiografia	ilustração/figura/imagem/retrato/desenho/fotografia/foto
desregular	dispensar/liberar
clofibrato	remédio/medicamento
sorvedouro	correnteza/vão/fenda/fluxo/corrente
nártex	sala/saguão/antecâmara/átrio/vestíbulo
proclamação	descrição/declaração
turnover	proporção/razão/Taxa
fatia	parte/tomo/pedaço/porção/secção
gazela	antílope
processador	hardware
Paixão	passamento/objecto/sofrimento/agonia/objeto/objetivo
George_F._Kennan	diplomata/embaixador
abater	desabar/dividir/cortar/minguar/diminuir/decrescer
beluga	delfim/boto/golfinho
mortificar	limitar/refrear/controlar/magoar/ofender/provocar
numerador	dividendo
cagar	expelir
equalização	acção/ação/ato/feito
galego	românica
átrio	pátio/quarto/terreiro/câmara/aposento/sala
eterizar	tornar/revoltar-se/revoltar
oásis	refúgio/terreno/asilo/região/extensão
especializado	habilidade
modernização	melhoramento/melhoria
iatista	tripulante/marujo/marinheiro
caixa	recipiente/banqueiro/tímpano/tambor/equipamento/continente/contentor/jarro/vaso/vasilha
leva	multidão/montão/turba
ócio	inércia/preguiça
bugalho	galha
abotoadura	joalharia/jóia
abençoar	conferir/conceder/outorgar
grandeza	proporção/extensão/magnitude/atributo/razão/Taxa/importância
Lazer	repouso/relaxação
assentimento	pacto/acordo/aliança/aprovação/consenso/conformidade
permanecer	albergar/ficar/restar/atuar/agir/fazer/estar/ser
Defense_Advanced_Research_Projects_Agency	Governo/agência/escritório
dilatação	expansão/ampliação/aumento
ONG	organização
permitir	servir/conceder/pegar/prover/aceitar/acordar/concordar/aprovar/deixar/consentir/outorgar/entregar/dar
persuasão	comunicação/comunicado
Knesset	parlamento
irmandade	estrato/classe
correspondência	compatibilidade/semelhança
adquirir	localizar/mudar/alterar/situar/achar/receber/obter/comprar/atingir/atuar/agir/comportar-se/parecer
bebida	oceano/água/porção/nutriente/comida/alimento/ingestão
por	utilizar/usar/empregar
comemorar	celebrar/solenizar/festejar/recordar
financiar	creditar/manter/pagar/entregar/dar
cauterização	cirurgia/operação
backup	duplicação
circunstância	estado/Ambiente/Estado/situação/condição/conhecimento/informação/ambiente
convento	claustro
b	letra/caractér/carácter
ceder	esticar/transferir/aceitar/acordar/concordar/consentir/aprovar/entregar/oferecer/regalar/dar
detective	polícia/agente/policial/guarda
empinar	endireitar
lavabo	bacia/pia/tigela
secção	corpo/coisa
ilusão	interpretação/dissimulação/apresentação/mal-entendido/erro
preterir	desatender/ignorar/negligenciar/eliminar/extinguir
enlaçar	torcer
construtor	creador/contratador/criador
ganância	gula/desejo/avareza/cobiça
sirena	alarme
sinergia	atividade
invulnerabilidade	segurança
errar	andar/ir/caminhar/viajar
pulôver	camisola/vestuário/roupa/agasalho
pegar	mudar/surpreender/inteirar/destroçar/ouvir/perceber/ver/adquirir/tocar/toque/transmitir/escutar/contato/sentir/acender/receber/obter/comprar/atingir/comprender/compreender/enrolar/confundir/informar-se/descobrir/achar/tomar/agarrar/segurar/capturar/aperceber/entender/aperceber-se/encontrar/alterar/arruinar/destruir/estraçalhar/detonar/assombrar/sobressaltar
aspergir	molhar
triunfar	derrotar/exultar/ostentar/vangloriar-se/bater/vencer/superar/ultrapassar/ganhar
recordação	objeto
escalope	rodela
verter	derramar/correr/manar/fluir/deslocar/mover/entornar
argumentar	apresentar/clamar/declarar
trituração	esmagamento/compactação
exceder	sobressair/almejar/aspirar/utilizar/usar/empregar
quantificação	medida/mensuração/medição
copyright	documentação/documento
propensão	tendência
sapato	vestido/calçado/traje/vestimenta/vestuário/roupa
adoração	ocupação/atividade
liquidificador	batedeira
qualificar-se	bastar
Flauta	Madeiras
condescender	interagir/atuar/agir/fazer
concentrar	tornar/alterar/refletir/pensar/revoltar-se/revoltar/mudar/modificar
tartufo	trapaceiro
dissidente	alma/indivíduo/alguém/pessoa
maquinar	planejar
representar	fazer/atuar/personificar/igualar/exercer/simbolizar/equivaler/estar/indicar/significar/querer_dizer/ser/incorporar/encarnar/expressar/proferir/recriar/desempenhar/apresentar/servir/figurar
ducado	peça/domínio/classe/hierarquia/posição/posto/moeda/divisa/prata
redemoinho	turbilhão/correnteza/fluxo/corrente
tímpano	membrana
salinidade	sabor/atributo/gosto
psicanalista	psiquiatra/encolhimento
compensar	equilibrar/dispor/alienar/alterar/mudar/modificar/combinar/pagar
pepino	melão/legume/verdura/hortaliça/vegetal
headbanger	amante
Dor	sentimento/emoção/impressão
anelo	nostalgia/anseio/suspiro/saudade/apetite/pretensão/desejo
porco	suíno/vianda/carne/ungulados
aguardente	álcool
pomo	fruta/fruto
empossar	instalar
agronomia	ciência
peru	galinha
lustro	período/etapa/tempo
destilação	atividade
hostilidade	ação/inimizade/repulsa/ressentimento/condição/estado/situação/aversão/ódio/ato/atividade
acompanhamento	obra/ocupação/inspecionar/proteção/prato/atividade/trabalho/examinar/protecção
garrafa	botelha/frasco/biberão/Garrafa/vasilhame/vasilha/vaso
castigar	censurar/reprovar/condenar/repreender/reprimir/verberar/descompor/penalizar/punir
insurreição	rebelião/revolta/luta/conflito
depoimento	asserção/prova
salmonete	peixe
lousa	bloco/placa/chapa/produto/utensílio/artefato
limpar	livrar/desaparecer/esvaziar/esvair/lavar/esfregar/remover/desimpedir/alterar/mudar/modificar/retirar/tirar/cuidar-se
endereçar	utilizar/iniciar/abordar/encetar/usar/empregar
alga	protoctista
quota	atribuição/alocação
reproduzir	repetir/eco/ecoar/produzir/fazer/provocar/criar/realizar/construir/causar
colonização	estabelecimento/organização/constituição
repressão	prevenção
mercadoria	utensílio/artefato/produto/Bens/artigo/fazenda/bem
aguilhoar	provocar/esfaquear/apunhalar/incitar
local	posição/lugar
manter	cativar/registrar/achar/direcionar/mirar/apontar/insistir/registar/segurar/guardar/ter/afirmar/entregar/dar/pensar/encantar/deliciar/deleitar/fascinar/conservar/reter/adoptar/estar/ser
Thompson	pistola-metralhadora
videocassete	cassete/gaveta/Video/vídeo/Vídeo/gravador
flamejar	intensificar
debitar	contabilizar/pagar/computar/contar
municipalidade	reunião
algaravia	tolice/insensatez/disparate/besteira
angústia	sofrimento/sentimento/dor/emoção/impressão
covarde	alma/indivíduo/alguém/pessoa
mandado	mandato
retor	alto-falante/locutor/palestrante/falante
dona	mulher
caçadora	caçador
regressão	anormalidade
teletransportar	transportar
selénio	antioxidante
secretaria	Governo/agência/escritório/posto/cargo/posição
batata	pá/videira/cipó/parreira
mascarar	disfarçar/omitir/esconder/encobrir/tapar/acobertar/ocultar/tampar
faceta	qualidade/característica
moto	Motos/motocicleta/mota
assalariado	trabalhador
via	produto/utensílio/artefato/estrada/caminho
Espeleologia	hobby/passatempo
mação	artífice/artesão
dique	obstáculo/barreira
alusão	referência/comentário/observação
vestir-se	mudar/alterar
miniatura	cópia/reprodução
analisador	instrumento/aparelho/ferramenta
hidrocefalia	anormalidade
gracejo	humor
dominar	baixar/saber/governar/influir/influenciar/reger
adivinhação	questão/problema/agouro/augúrio/presságio
Papoila	papoula/papoila/dormideira
estima	honra/saudação
inalação	respiração
espirro	reflexo/sintoma
lã	pano/fazenda/tecido/pelagem/cabelo/pêlo/corda
profundidade	profundeza/fundura/alcance/extensão
líquen	fungo
faltar	negligenciar/falhar
escarnecer	zombar/menosprezar/ironizar
Morte_Cerebral	morte
ulemá	comunidade/grupo
petróleo	hidrocarboneto/carburante/combustível/óleo
apaixonar	impressionar/cair/comover/afetar/provocar/incitar/estimular/concitar
orelhão	cabine/quiosque
cadastrar	indicar/assinalar
pregação	discurso
Íris	membrana
Selva	floresta/mata/bosque
remoinho	correnteza/fluxo/corrente
ratificar	formalizar/confirmar/validar
epítome	sumário/resumo/sinopse
seguidor	caçador/advogado/representante/defensor/proponente/entusiasta/alma/indivíduo/alguém/pessoa
erradicação	desolação/destruição/demolição
paganismo	religião/fé
plagiador	gatuno/ladra/ladrão
admissibilidade	aceitabilidade
epígrafe	inscrição
gasto	avaria
coreana	asiática/asiático
historial	crônica/crónica
baby-sitter	guardião
florilégio	antologia/Antologia/selecta
tio-avô	tio
seriedade	peculiaridade/feição/severidade/intensidade/sentimento/emoção/impressão
protocolar	registrar
reger	acompanhar/executar/fazer/desempenhar/apresentar/governar
contra-revolução	revolução/Revolução
filosofar	refletir/pensar
patrocinador	doador
carícia	contato/abraço/toque
mumificar	preservar/murchar/embalsamar/manter/continuar/enrugar
boas-vindas	aceitação
touca	boné/barrete
óptica	Fisica/Física/física
rival	contendor
caril	prato
coerção	causalidade
aprumar	ajustar/corrigir/acertar
psicologia	ciência
incômodo	moléstia/contrariedade
ponderar	questionar/refletir/pensar/perguntar/interrogar/contemplar
perjurar	mentir
pinho	madeira
perversão	mal/maldade
dito	marco/ponto
anedota	relato/relatório
artéria	estrada/rua
descontaminação	eliminação/remoção
sintoma	sinal/indicação/agouro/indício/presságio/evidência
berimbau	instrumento/Metais
freira	religioso
frio	febre/temperatura/calor/Temperatura
surpreender	atuar/impressionar/comover/afetar/enrolar/confundir/assombrar/sobressaltar/agir/fazer
incursão	esforço/tentativa
baloiço	brinquedo
altear	acrescentar/crescer/aumentar
queixar	indiciar/acusar/denunciar
androginia	gênero/sexualidade/sexo
emanação	emergência
inchamento	sintoma
uniforme	vestido/traje/vestimenta/vestuário/roupa
dúvida	precariedade/incerteza
ama-seca	médico
varredor	detector
incipiência	começo/princípio/início
intimidação	terror/desalento/desânimo/consternação/temor/medo/susto
atuário	estimador/computador
super-homem	líder/chefe
imprensa	maquinaria/máquina
tojal	arbusto/moita/mato
principiar	estar/ser
popô	Anatomia
mugir	gritar/berrar/emitir/soltar
avermelhar	colorizar/descolorir/colorir
Neutron	nucleão
pelotão	corpo
desembolsar	pagar
calibrar	ajustar/mensurar/corrigir/acertar/medir
despedida	adeus/partida
superintendência	gestão/administração
similitude	semelhança
cipó	videira/parreira
sarja	pano/fazenda/tecido
congelador	geladeira/refrigerador
estradiol	estrogénio
franja	penteado
Tenor	voz
tomilho	erva/maconha
disputar	contestar/impugnar/correr/debater/discutir/arguir
duque	Lorde/par/Lady/nobre
ecoar	fazer/ressoar/soar/emitir/soltar
Dínamo	gerador
link	instrução
ansiolítico	calmante/barbitúrico
galopar	caminhar/andar
O.K.	autorização/aprovação/sanção/consentimento
musselina	pano/fazenda/tecido
vagabundear	andar/ir/caminhar/viajar
gatinhar	andar/ir/caminhar/viajar
alojar	povoar/viver/morar/habitar
Ballerina	bailarino/bailarina
impostora	trapaceiro
pretendente	alma/indivíduo/alguém/pessoa/candidato/solicitante
separador	aparato/aparelho/equipamento
tradução	paráfrase
divorciar	separar/separar-se/partir
deusa	Deus/deus/divindade
boicote	protesto
contra-ordem	ordem
impelir	induzir/fazer/aconselhar/assessorar/opinar/causar/avisar/provocar
disquete	disco
rondó	Música_Erudita/Música_Clássica
transcender	sobressair/exceder
ditongo	vogal
cadeado	fechadura
groselha	fruta/fruto/baga
alicate	ferramenta/aparelho/aparato/mecanismo/instrumento/dispositivo/equipamento
recobrir	cobrir/tampar
catequismo	livro
mialgia	dor
ppm	velocidade/ritmo
atingir	perfurar/afetar/solucionar/realizar/tocar/bater/suceder/conseguir/adquirir/efectuar/impactar/terminar/acabar/finalizar/encerrar/efetuar/ocasionar/produzir/provocar/receber/obter/comprar/penetrar/resolver
sagacidade	feição/peculiaridade/inteligência
minerar	minar/escavar/explorar
mangueira	cano/canal/duto/conduto/tubo/pipeline/cachimbo
plantígrado	mamífero
animar	aclamar/excitar/alterar/comover/mudar/modificar/alegrar/regozijar/alegrar-se/regozijar-se/afetar/provocar/incitar/estimular/concitar
sobreexploração	desenvolvimento/exploração
brocado	pano/fazenda/tecido
magistrado	jurista/juiz/árbitro/serventuário/funcionário
teta	letra/caractér/carácter
hacker	terrorista/programador/programadora
listar	enumerar/nomear/identificar/registrar
motim	rebelião/insurreição/revolta
buraco	espaço/abertura/furo/vão/fenda/depressão/oco
mastigação	converter
coveiro	obreiro/trabalhador/operário
frei	religioso
3D	película/filme/cinema/produção
pluviômetro	bitola
cantil	botelha/garrafa/frasco/biberão/Garrafa
sabotar	desobedecer
carinho	sentimento/emoção/impressão
infringir	violar/desrespeitar/ofender/pecar/quebrar/transgredir
igualdade	status/semelhança/posição/classe/condição/estado
Páscoa	tempo/Pascoa/temporada/estação
complicar	alterar/mudar/modificar
tormenta	intempérie/tempestade/vendaval/borrasca
tiragem	estoque
momento	força/minuto/segundo/volume/medida/número/quantidade/quantia/magnitude/instante/etapa/tempo/época/período/era
vácuo	espaço/região
benzina	hidrocarboneto/carburante/combustível
assassino	muçulmano/alma/indivíduo/alguém/pessoa/Muçulmanos/criminoso/matador/homicida
feriado	dia
obstipação	sintoma
arrebatar	tomar/adoptar
esburacar	escavar
luz	iluminação/ferramenta/aparelho/aparato/mecanismo/instrumento/dispositivo/equipamento/candeia/lâmpada
fogão	aquecedor/estância/fornalha/forno
cidade-estado	união/república/nação/país
decolar	partir/sair
confessor	sacerdote/pastor/presbítero/clérigo/padre
forma	estilo/maneira/propriedade/característica/predicado/atributo
Cro-Magnon	Homo_sapiens
travar	superar/deixar/proibir/impossibilitar/impedir/estorvar/evitar/obstar/parar
rubricar	assinar/subscrever
intéprete	intercessor/mediador
inflação	expansão/ampliação/aumento
siciliano	italiano/italiana/itálico
situação	Estado/posição/local/lugar/relação/conexão/condição/estado/propriedade/característica/predicado/atributo
abdômen	Anatomia
tripé	prateleira
vereador	representante/membro
sintonizar	ajustar/corrigir/acertar
segundo	classe/desafiante/minuto/instante/concorrente/adversário/inimigo/contendor/rival/competidor/opositor/tempo/época/período/momento/era/hierarquia/posição/posto
comédia	drama
Barcarola	canção/cantiga
venerar	prezar/respeitar/ver/achar/considerar
Lápide	monumento
armário	compartimento/alfaia/mobiliário/movéis/mobília/móvel
pipa	brinquedo
leitaria	granja/quinta/sítio/fazenda
baile	arte/belas-artes/dança/Artes_Cénicas/diversão/banquete/reveillon/festa/balada/night
redistribuir	espalhar/disseminar/distribuir
bruxo	ocultista
reclusão	separação
remarcar	dizer/contar/falar
ordenar	investir/infligir/pedir/arranjar/entronar/organizar/decretar/requerer/requisitar/dispor/mandar/intimar/impor/ditar
engasgo	doença/bagunça/transtorno/distúrbio
fliscorne	Metais
ETA	trabalho/laboratório/oficina/emprego
cremalheira	engrenagem
modernizar	mudar/alterar
aleijar	mutilar/indispor
restante	porção/categoria/parte/componente
peneirar	selecionar/andar/escolher/ir/caminhar/viajar
apoplexia	ataque
alcalinidade	pH
matreiro	canídeo/cão
calcular	predizer/balizar/julgar/avaliar/prognosticar/adivinhar/pressentir/prever/raciocinar/computar
anestesiar	dopar/narcotizar/drogar
omissão	equívoco/ausência/falha/erro/engano/perda/derrota
realismo	realidade
lubrificar	alterar/cobrir/tampar/mudar/modificar
albergue	casa/abrigo/alojamento/hotel
jurista	juiz/árbitro/serventuário/funcionário
mangar	ironizar/menosprezar/zombar
desgrudar	separar/dividir
suspeitar	pensar/aventurar/adivinhar/pretender/esperar/supor/achar
cuca	bolo
teletransporte	transferência/transporte
escape	acção/escapatória/fuga/ação/ato/feito
cartografia	fabrico/fabricação
pinça	ferramenta
Trânsito	montão/colecção/ruma/chusma/coleção/grupo/aglomeração
álbum	mídia/produção/livro/produto
elasticidade	adaptabilidade
hidrogénio	gás
sucesso	triunfo/sorte/realização/obtenção/êxito
vistoria	reunião/encontro
ictiologia	zoologia
naufragar	sujeitar/baixar/cair/descer
contendor	alma/indivíduo/alguém/pessoa
lésbica	gay/alma/indivíduo/alguém/pessoa/veado/homo/bicha/sapatão/homossexual
simbolismo	símbolo/hábito/aceno/emblema/sinal/costume
socalco	Planalto/patamar/planalto
rogar	solicitar/suplicar/requisitar/requerer/pedir/invocar
fixar	colocar/grudar/botar/carregar/pôr/anexar/unir/juntar
buxo	arbusto/moita/mato
consumidor	comprador/alma/indivíduo/alguém/pessoa/usuário/utilizador/utente/cliente/freguês
entrevistar	conversar
esgoto	escoadouro/Resíduos
limiar	peitoril/soleira
influir	afetar/impactar
som	ocorrência/evento/acontecimento/sensação
rabugento	idoso/velho
maltês	europeu
desastre	destruição/adversidade/acidente/azar/infortúnio/devastação
legitimação	acção/ação/ato/feito
madre	religioso
Solstício_de_Inverno	solstício
gritar	bramir/reclamar/brado/chamada/grito/esganiçar/verbalizar/falar/dizer/conversar/lamentar/expressar/proferir/emitir/soltar/urrar/vociferar/mugir/berrar/ulular
subgrupo	conjunto/grupo
viela	estrada
microcefalia	anormalidade
penetrar	introduzir/impressionar/perfurar/ingressar/associar-se/juntar-se/filiar-se/comover/afetar/inserir/entrar
combater	debater-se/lutar/brigar
Crómio	metal/Metais
aprazer	satisfazer/agradar
cultuar	gostar
monocarril	caminho-de-ferro/ferrovia
Canto_Gregoriano	canto
iniciar	discutir/reviver/começar/ressuscitar/estar/ser/provocar/causar/fazer
regozijar-se	experimentar/sentir
xarope	adoçante
constitucionalista	advogado/representante/defensor/proponente
troposfera	camada/estrato
ateniense	heleno/grega/grego
Mcintosh	maçã
conclave	reunião/Reunião
cachimbo	aqueduto/cano/canal/duto/conduto/tubo/pipeline
guitarrista	tocador/instrumentista/instrumentalista/músico
Impérios_Centrais	coligação/coalizão/aliança
ultraconservador	conservador
madrugada	princípio/período/hora/decolagem/começo/início/etapa/tempo
renome	bisbilhotice/fama/reputação/fofoca/honra
reconstituir	organizar/estruturar
profeta	adivinhador/adivinho/adivinha
motor	maquinaria/causador/máquina
total	inteireza/plenitude/integralidade
fileira	bicha
hemotórax	congestão
alimentar-se	satisfazer/satifazer/suprir/tomar/consumir
confabulação	memória
cólera	raiva/ira/zanga/emoção/abalo/comoção/sentimento
implantar	transmitir/comunicar/introduzir/inserir
penico	recipiente
extraditar	expulsar
terapia	remédio/medicamento
prisma	poliedro
arma	convencimento/munição/equipamento/persuasão/armamento/instrumento/aparelho/ferramenta
batedor	implemento/instrumento/ferramenta
silo	Torres/torre/roque
roda	máquina
destacar-se	surgir/aparecer
pirilampo	besouro/escaravelho
mamute	elefante/elefanta
quarterback	zagueiro/beque
calibre	diâmetro/grau
alforje	bolsa/saco/carteira/sacola
dificultar	desfavorecer/prejudicar
regulador	controlador/funcionário/serventuário
sindicância	Pesquisa/pesquisa/inquérito/investigação
reassumir	assumir/mudar/alterar
supervisão	gestão/administração
Gandula	menino/infante/garoto/rapaz/moço/criança
caiaque	canoa
sublinha	traço
satisfeito	felicidade/alegria
monomania	mania
lesbianismo	homossexualidade
fabricação	edificação/produção/construção
chiqueiro	Curral
pacto	acordo/descrição/declaração
saraiva	precipitação
mal-estar	desconforto/estado/Estado/situação/condição
Dia_de_São_Patrício	dia
enfocar	adaptar-se/adequar-se/ajustar
pergunta	inquérito/oração/sentença/frase/questão/solicitação/requerimento/petição/requisição/pedido/apelo
paradeiro	lugar/ponto/localização
cone	produto/utensílio/artefato
protoctista	microorganismo/microrganismo
peia	algema/grilhão/cadeia
escudeiro	ajudante/folha/assistente/empregado
glândula	órgão
esticar-se	estar
tório	metal/Metais
Camionista	chofer/condutor/motorista/conductor
reaquecer	esquentar/aquecer
malaio	asiático/asiática
claustrófobo	neurótico
afiar	deformar/amolar/intensificar/alterar/mudar/modificar/aumentar/acirrar
ouvinte	estudante/oportunidade/observador/espectador/pupilo/aluno/chance
laico	plebeu
oitava	classe/intervalo/hierarquia/posição/posto
bainhar	bordar/emitir/soltar
interpretador	programa
escudo	proteção/capa/protecção/armadura/fronha
ninar	segurar
premissa	locação/pressuposto/lugar/sítio
futuro	produto/tempo/Bens/mercadoria/artigo/fazenda/bem/porvir/vindouro
lapão	europeu
seriar	arranjar/dispor
assentamento	comunidade/grupo
votação	selecção/escolha/seleção
senha	arcano/segredo
Obrigação	certificado/garantia
remendo	pano
Ferro	metal/Metais
dotar	entregar/oferecer/regalar/dar/habilitar/possibilitar
mínimo	máximo/interesse/caso/fragmento/pedaço
pião	brinquedo
embaixatriz	embaixadora/embaixador
alagar	completar/encher
sopro	processamento
ecrã	superfície
controlador	utilitário/máquina/mecanismo/empresário
tacada	manobra/esforço/tentativa
iraniano	asiático/asiática
