apertado	tenso
substancial	material
enérgico	ativo/empreendedor/dinâmico/vívido
côncavo	intrusivo
ilegal	corrupto/ilegítimo
ofensiva	prejudicial/nocivo/daninho/danoso/desrespeitoso
receoso	timorato/covardemente/covarde/cobarde
bom	favorável/obediente/melhor/respeitável/virtuoso/nobre/decoroso/digno/moral/reto/justo/recto/boa
melhor	superior/bom/boa/incomparável
temporão	primeiro
fiel	patriótico/leal
socialista	esquerdista
antigo	passado
interno	central
indene	intato/seguro/indemne
enfermo	doente/adoentado/doentio/insalubre/inapropriado
informativo	noticioso
substituível	esgotável
infinito	imortal
produtor	próspero/bem-sucedido/fértil/fecundo/frutífero/original/criativo/criador/rendoso/lucrativo/proveitoso
finito	mortal
físico	concreto
parelho	comparável/mesmo
desrespeitoso	ofensiva/ofensivo/sarcástico
feio	estranho/esquisito
adoentado	doente/enfermo/inapropriado
energético	ativo/empreendedor/dinâmico/vívido
grosso	experiente/experimentado/forte/largo/amplo/gordo
insípido	presumido/deselegante
ilegítimo	nulo/inválido/ilegal
veloz	apressado/súbito/abrupto/repentino
desesperado	desencorajante/pessimista/impossível
amável	brando/misericordioso/compassivo/benigno/afável/gentil/lhano/simpático/agradável
imutável	permanente/duradouro/constante/estável/plano
intratável	desafiador/teimoso/obstinado/silvestre/selvagem/desobediente
estreito	fino
passional	carinhoso/amoroso/esquentado/quente/emocional/entusiástico/entusiasta
nulo	ilegítimo
vão	desempregado/impróprio/ineficiente/inapto/impotente/inútil
inquieto	impaciente/inseguro/oscilante/entusiasmado/excitado/tenso
incompatível	diferente
flexível	elástico
entusiasta	passional
desgradável	saboroso
caro	precioso/valioso
corriqueiro	formal
exato	aprimorado/perfeito/textual/literal/acurado/exacto/preciso/correcto/correto/justo/certo
casta	virtuoso/digno/nobre/moral/puro
inválido	ilegítimo
escasso	insuficiente/minimum/mínimo
afetado	emocional/sobrenatural/paranormal
constante	estável/imutável/inalterável/invariável
desafiador	intratável/desobediente
astuto	ágil/alerta/animado/hábil
directo	reto
comparável	paralelo/paralela/parelho/idêntico/igual/análogo
arrojado	corajoso/destemido/bravo/audaz/audacioso/aventureiro
constituído	digno
desagradável	horrível/antipático/ofensivo
prestável	lhano/serviçal/gentil/afável/amável/útil/cooperativo/encorajador
indispensável	essencial/necessário
complexo	árduo/difícil/foda/intrincado/composto
débil	impotente/delicado
pacífico	quieto/calmo/amigável
talentoso	habilitado/competente/experiente/experimentado
vulnerável	inseguro/suscetível/perigoso
heterogêneo	diferente/vário
positivo	afirmativo/optimista/otimista/construtivo
dolorido	prejudicial/nocivo/daninho/danoso/inumano/desumano
igual	comparável/mesmo
excitado	inquieto
deselegante	insípido
social	sociável/gregário/amigo/amigável/amistoso
nocivo	maligno/ofensivo/danoso/desfavorável/daninho/ofensiva/desvantajoso/prejudicial/destrutivo/árduo/dolorido/doloroso/extenuante/doído/tóxico
suscetível	sensível/vulnerável
simpático	afável/amável/gentil/lhano/aprazível
direito	destro
explícito	unívoco/inequívoco/denotativo/definitivo
inteiro	completo/integral
fácil	simples/singelo/brando
sangrento	impiedoso
lento	gradual
inútil	desempregado/impróprio/ineficiente/inapto/indigno/impotente/vão
actual	contemporâneo/moderno/novo
maléfico	ruim/imoral/ofensivo/incorrecto
devagar	gradual
correto	próprio/adequado/conveniente/verdadeiro/preciso/exato/acurado/justo/exacto
quadrado	angular
inconstante	volátil/infiel/instável/precário/variável/mutável
cálido	amigo/amigável/amistoso/emocional
obrigatório	necessário/essencial
conclusivo	decisivo
ortodoxo	conservador
abrangente	largo/amplo/geral/completo/integral
afoito	corajoso/destemido/bravo/audaz/audacioso/aventureiro
útil	prestativo/efetivo/eficaz/eficiente/serviçal/prestável/rendoso/lucrativo/proveitoso/amigo/amigável/amistoso/compatível
opaco	confuso
elegante	digno/gracioso/grácil/mimoso/sofisticado
desfavorável	ruim/crítico/malvado/prejudicial/nocivo/daninho/danoso
analítico	lógico
intrínseco	inalienável/essencial
viril	macho/masculino
silvestre	desobediente/intratável
incorreto	falso/errado
colectivo	unido/solidário
incomparável	extraordinário/melhor
glorioso	sabido
criador	original/produtor/produtivo
desconfortável	desassossegado
falso	errado/incorreto/desonroso
posterior	traseiro/rabo
amigo	congenial/amigável/útil/social/cálido/sociável
descendente	abaixo
aprazível	bonito/formoso/lindo/belo/atraente/humorístico/engraçado/simpático/agradável
capaz	apropriado/satisfatório/habilitado/competente
exacto	exato/preciso/correcto/correto/justo/certo
timorato	receoso/covardemente/covarde/cobarde
engraçado	aprazível
habilidoso	habilitado/competente/experiente/experimentado
indecente	sujo
artificial	lógico/irreal
oscilante	inquieto/precário/instável/desnivelado
inconsiderado	desatento
costumeiro	ordinário/genérico/geral/usual/habitual/comum
sortudo	afortunado
benigno	inofensivo/inócuo/amável
remanescente	existente
inviável	impossível
móbil	movente
insano	irracional
doentio	doente/enfermo/inapropriado
angular	pontudo/quadrado
aprimorado	utópico/exato/preciso/correcto/certo
esquisito	desajeitado/feio
análogo	comparável/mesmo
hábil	astuto
piedoso	virtuoso/digno/nobre/sagrado/devoto/religioso
inconfundível	preciso/definitivo
inalterável	permanente/duradouro/constante
civilizado	grácil/mimoso
dúbio	indefinido/impreciso/vago/ambíguo/confuso
doído	prejudicial/nocivo/daninho/danoso/inumano/desumano
dispensável	desnecessário
corrupto	imoral/ilegal/desonroso
parcial	injusto/incompleto
correto	lícito/honesto/sincero
habitual	comum
árduo	prejudicial/nocivo/daninho/danoso/inumano/desumano
impaciente	inquieto
basto	rico
terminado	liso/macio
tratável	manipulável/obediente/complacente/submisso/dócil/manso
lesionado	avariado/ferido
liso	fino/escorregadio/plano
branco	claro
internacional	estrangeiro/alienígena
estúpido	retardado/imbecil/idiota/sonso/lerdo
ambíguo	indefinido/impreciso/vago/dúbio/confuso
essencial	intrínseco/crítico/importante/crucial/primário/necessário/indispensável/obrigatório/imprescindível
humanitário	civilizado/misericordioso/compassivo/humano
maturo	velho
desassossegado	tenso/desconfortável
liberal	caridoso/esquerdista
conservador	ortodoxo
explicável	compreensível/solúvel
gregário	social
solúvel	explicável
profícuo	rendoso/lucrativo/proveitoso/propício/oportuno/cómodo
são	bem/saudável/racional
antinatural	sobrenatural/paranormal/afetado
esporádico	infrequente
otimista	vantajoso/positivo
extenuante	prejudicial/nocivo/daninho/danoso/inumano/desumano
similar	mesmo
instável	inseguro/oscilante/inconstante/temporário
favorável	afirmativo/bom/boa/rendoso/lucrativo/proveitoso/propício/oportuno/cómodo
preciso	específico/inconfundível/aprimorado/perfeito/textual/literal/acurado/exacto/exato/correcto/correto/justo/certo
aconselhável	prudente/judicioso/sensato/sábio
independente	livre/separado
rítmico	regular
baixo	inferior
raro	infrequente
composto	complexo/intrincado
compatível	útil/congenial/harmonioso
ordinário	costumeiro/genérico/geral/usual/habitual/comum
separado	outro/independente/individual
infeliz	pesaroso/triste
inumano	árduo/dolorido/doloroso/extenuante/doído
imoral	maléfico/mau/má/ruim/malvado/injusto/indigno/desonroso
extrovertido	passado
apressado	veloz/rápido
imprevisível	incerto
abrupto	rápido/veloz
distante	longe/longínquo
simples	singelo/fácil
entusiástico	passional
agressivo	assertivo/peremptório/ofensivo/malvado
varão	masculino/macho
sensato	atento/sábio/prudente/responsável
descuidado	imprudente/superficial
macio	fino/escorregadio/plano/comestível
animado	alegre/grato/feliz/contente/astuto
paralela	simétrico/comparável
desconhecido	estrangeiro/estranho
mau	ruim/imoral/ofensivo/incorrecto
audaz	bravo/valoroso/valente/afoito/arrojado/corajoso/destemido/aventureiro
amorável	desejável/carinhoso/amoroso/amigável
pacato	pacífico
airoso	digno/gracioso/grácil/mimoso/sofisticado
dianteiro	progressivo/primeiro
implícito	conotativo
erudito	crítico/profundo/entranhado/intelectual
frutífero	fecundo/fértil/produtor/produtivo
realístico	existente/possível/prático
fresco	novo/frio
precioso	caro/decoroso/digno/importante
destrutivo	prejudicial/nocivo/daninho/danoso
grácil	civilizado/gracioso/esbelto/garboso/airoso/elegante/exigente
encorajador	serviçal/prestável
sarcástico	crítico/desrespeitoso
previsível	seguro/inevitável/certo
genérico	comum
respeitável	decoroso/digno/bom/boa
forte	resistente/grosso/poderoso
imaturo	prematuro/jovem
fértil	potente/frutífero/proveitoso/fecundo/produtor/produtivo
importante	precioso/valioso/significante/essencial/decisivo/crítico/significativo
alegre	animador/animado/contente
ineficaz	infértil/estéril/improdutivo/impotente
cobarde	timorato/receoso
desperto	consciente/alerta/ciente/informado
desmaiado	adormecido
fino	liso/macio/tênue/esbelto/magro/estreito
indistinto	confuso
convergente	oblíquo
próprio	apropriado/correto/justo/certo
cromático	colorido/marrom/castanho
atípico	anormal
literal	exato/preciso/correcto/certo
proeminente	indiscreto/imprudente
doloroso	prejudicial/nocivo/daninho/danoso/inumano/desumano
comunicativo	tagarela
proveitoso	fecundo/fértil/útil/produtor/produtivo/favorável/profícuo/vantajoso/propício
regular	sistemático/simétrico/rítmico
saudável	são/salubre/bem
sofisticado	gracioso/esbelto/garboso/airoso/elegante/letrado/leigo/secular/cosmopolita
industrial	progressivo
padrão	normal
sexy	excitante/emocionante
amoroso	passional/amorável/empenhado
triste	pesaroso/infeliz
desonroso	falso/errado/corrupto/imoral/injusto/indigno
satisfatório	aceitável/capaz/adequado
sabido	glorioso/familiar
esquentado	passional
envergonhado	penitente
saliente	indiscreto/imprudente
intelectual	mental/erudito
desnivelado	inseguro/oscilante/áspero
desempregado	inútil/vão
persuasivo	convincente
inofensivo	indolor/benigno/inócuo/seguro
pessoal	privado
legal	lícito/legítimo
sociável	social/amigo/amigável/amistoso
quieto	pacífico/suave
impróprio	inútil/vão
desumano	árduo/dolorido/doloroso/extenuante/doído
desajeitado	estranho/esquisito
atual	contemporâneo/moderno/novo
rendoso	útil/produtor/produtivo/favorável/profícuo/vantajoso/propício
competente	eficiente/qualificado/talentoso/capaz/habilidoso
definitivo	inconfundível/explícito
justo	imparcial/virtuoso/nobre/decoroso/digno/inocente/moral/bom/boa/próprio/adequado/conveniente/verdadeiro/acurado/exacto/exato/preciso/correcto/correto/certo
construtivo	vantajoso/positivo
empenhado	carinhoso/amoroso
sistemático	organizado/regular
moral	nobre/digno/virtuoso/reto/justo/recto/bom/boa/casta/casto/honrado
quiet	suave
inconsistente	variável
oportuno	favorável/profícuo/vantajoso/propício
improdutivo	ineficaz/impotente
corajoso	audaz/audacioso/bravo/valoroso/valente/afoito/arrojado/destemido/aventureiro
dócil	obediente/tratável
profundo	intenso/intensivo/erudito
cooperativo	serviçal/prestável
casual	infrequente
recente	novo
formal	corriqueiro/convencional/retórico
partido	imperfeito/avariado/ferido
destro	direita/direito
ruidoso	alta/berrante/alto
possível	realístico/provável/prático
autêntico	verdadeiro/existente/sincero/honesto
tóxico	prejudicial/nocivo/daninho/danoso
desacordado	adormecido
noticioso	informativo
calmo	pacífico
grato	animador/animado/contente
prudente	sábio/responsável/judicioso/sensato/cauto/cauteloso/atento/diligente
emocional	passional/afetado/comovente/cálido
valoroso	corajoso/destemido/bravo/audaz/audacioso/aventureiro
superficial	frívolo/fútil/descuidado/negligente
solto	lasso
original	primário/criador/primeiro/criativo/produtor/produtivo
esperto	inteligente
bravo	audaz/audacioso/valoroso/valente/afoito/arrojado/corajoso/destemido/aventureiro
rico	privilegiado/lauto/farto/bastante/basto/copioso/abundante
infértil	ineficaz/impotente
devoto	religioso/piedoso
certo	previsível/aprimorado/perfeito/textual/literal/próprio/adequado/conveniente/verdadeiro/preciso/exato/acurado/justo/exacto
perfeito	utópico/exato/preciso/correcto/certo
plausível	crível
qualificado	habilitado/competente/elegível
precoce	inteligente/primeiro
inócuo	inofensivo/indolor/benigno/seguro
coerente	racional/lógico
alerta	astuto/vívido/desperto/acordado/cuidadoso/cauteloso
impressionante	comovente
convincente	persuasivo
corrente	contemporâneo/moderno/novo
suave	moderado/silencioso/quieto/quiet
intato	indene/indemne
velho	sênior/experimentado/experiente/maturo/maduro/passado
desobediente	silvestre/selvagem/ruim/desafiador/incorrigível/teimoso/obstinado/intratável
peremptório	agressivo
leigo	profano/sofisticado
incapaz	incompetente
insalubre	doente/enfermo/inapropriado
significante	importante/significativo
típico	característico
incompreensível	inexplicável/confuso
oblíquo	divergente/convergente/inclinado
temporário	instável/precário
covarde	timorato/receoso
frouxo	lasso
acabado	liso/macio
frio	gelado/congelado/fresco/frígido
correcto	aprimorado/perfeito/textual/literal/preciso/exato/acurado/justo/exacto
doente	adoentado/doentio/insalubre/enfermo/inapropriado
considerável	grande
infiel	inconstante
imortal	infinito/celeste
leal	patriótico/fiel
imperfeito	partido
elástico	flexível
audível	alto/berrante/alta
primário	original/essencial/primeiro
inexorável	inconquistável/impossível
experiente	grosso/resistente/habilidoso/talentoso
humano	civilizado/misericordioso/compassivo
caridoso	liberal
satisfeito	contente
voluntário	consciente
diligente	ocupado/prudente/atento
comilão	indulgente
existente	remanescente/autêntico/genuíno/legítimo/realístico/concreto
honesto	legítimo/honrado/genuíno/autêntico/correto/verdadeiro
repentino	rápido/veloz
mutável	inconstante
monótono	incolor
ativo	energético/enérgico/vívido
preto	escuro
perdido	maldito
característico	típico
eufórico	feliz/contente
júnior	jovem/subalterno
formoso	gracioso/atraente/aprazível
racional	lógico/sadio/são/razoável
lasso	solto/frouxo
baixa	inferior
perpendicular	reto/íngreme
irreal	artificial/sobrenatural
horrível	desagradável/arisco
crível	plausível
negligente	imprudente/superficial
duradouro	estável/imutável/inalterável
lacônico	taciturno
celeste	imortal/sagrado
negro	escuro
prejudicial	maligno/ofensivo/desfavorável/ofensiva/desvantajoso/nocivo/destrutivo/árduo/dolorido/doloroso/extenuante/doído/tóxico
cair	desfazer-se/decair/piorar/separar/dividir/desmoronar
espesso	largo/amplo/gordo
privilegiado	afortunado/rico
concreto	tangível/físico/existente/prático
subordinado	subalterno/inferior
inseguro	inquieto/precário/instável/desnivelado/perigoso/vulnerável
legítimo	verdadeiro/existente/sincero/honesto/válido/legal
impotente	infértil/estéril/improdutivo/débil/inútil/vão/ineficaz
gelado	frio
caloroso	quente
contemporâneo	novo/tardio/corrente/actual/atual
delicado	débil
acessível	conveniente
ferido	avariado/lesionado/partido
acordado	consciente/alerta/ciente/informado
agradável	afável/amável/gentil/lhano/aprazível
lauto	rico
sênior	velho
abaixo	descendente
bastante	rico
Limpo	exigente/limpo
verdadeiro	autêntico/genuíno/legítimo/honesto/sincero/correto/justo/certo
material	substancial
progressivo	dianteiro/industrial
sagrado	religioso/piedoso/celeste/dedicado
garboso	digno/gracioso/grácil/mimoso/sofisticado
congelado	frio
vantajoso	afirmativo/optimista/otimista/construtivo/rendoso/lucrativo/proveitoso/propício/oportuno/cómodo
pesaroso	triste/infeliz
misericordioso	clemente/amável/humanitário/humano/brando
inteligente	esperto/precoce
sensual	excitante/emocionante
seguro	previsível/inofensivo/inócuo/invulnerável/indene/indemne
sincrônico	síncrono
desatento	inconsiderado
inteligível	compreensível
provável	possível
direita	destro
doce	saboroso
valente	corajoso/destemido/bravo/audaz/audacioso/aventureiro
largo	extenso/amplo/abrangente/exaustivo/espesso/grosso
feliz	animador/animado/ditoso/eufórico/grato/alegre/contente
cauto	prudente/atento
retardado	estúpido/lerdo
macho	varonil/viril/varão/masculino
bonito	gracioso/atraente/aprazível
figurativo	retórico
sobrenatural	irreal
simétrico	paralelo/paralela/regular
infrequente	raro/casual/esporádico
familiar	sabido
rotineiro	ordinário/costumeiro/genérico/comum/geral/usual/habitual
determinável	calculável
volátil	inconstante
frígido	frio
precário	inseguro/oscilante/inconstante/temporário
digno	moral/piedoso/religioso/casta/casto/reto/justo/recto/bom/boa/precioso/valioso/honrado/gracioso/esbelto/garboso/airoso/elegante/constituído
quente	caloroso/passional
semelhante	mesmo
salubre	bem/saudável
virtuoso	recto/moral/piedoso/boa/religioso/justo/bom/reto/casta/casto
experimentado	grosso/resistente/habilidoso/talentoso
ciente	consciente/desperto/acordado/sensível
harmonioso	compatível
claro	branco/cândido/alvo
tenro	brando/comestível
compreensível	explicável/inteligível
rápido	apressado/súbito/abrupto/repentino
acurado	exato/preciso/correcto/correto/justo/certo
moderno	novo/tardio/corrente/actual/atual
sábio	prudente/judicioso/sensato/aconselhável
comum	solidário/rotineiro/normal/ordinário/costumeiro/genérico/geral/usual/habitual
novo	contemporâneo/moderno/fresco/recente/corrente/actual/atual
textual	exato/preciso/correcto/certo
santo	sagrado/dedicado
íngreme	perpendicular/vertical
hirto	sujo
consistente	invariável
belo	gracioso/atraente/aprazível
congenial	amigo/amigável/amistoso/compatível
confuso	indistinto/indefinido/impreciso/ambíguo/vago/dúbio/opaco/incompreensível
frívolo	superficial
adequado	apropriado/correto/justo/certo/satisfatório
salgado	saboroso
esgotável	substituível
taciturno	reservado/sucinto/lacônico/conciso
incerto	imprevisível
eficaz	efetivo/útil/potente/poderoso/eficiente
inconquistável	inexorável/insuperável/invulnerável
antipático	desagradável/arisco
paranormal	afetado/antinatural
alvo	claro
perigoso	inseguro/vulnerável
insuperável	inconquistável/impossível
ambicioso	empreendedor
amplo	extenso/abrangente/exaustivo/espesso/grosso/largo/geral/completo/integral
digerível	comestível
impreciso	geral/dúbio/ambíguo/confuso
lucrativo	útil/produtor/produtivo/favorável/profícuo/vantajoso/propício
esotérico	privado
saboroso	desgradável/azedo/acídulo/doce/apetitoso/salgado
imbecil	lerdo/estúpido
auspicioso	propício
imprescindível	necessário/essencial
vertical	reto/íngreme
sintético	lógico
valioso	caro/decoroso/digno/importante
injusto	incorrecto/desonroso/imoral/parcial
inevitável	previsível
singelo	simples/fácil
idiota	lerdo/estúpido
ofensivo	agressivo/prejudicial/nocivo/daninho/danoso/desrespeitoso/maléfico/mau/má/ruim/malvado/abominável/desagradável/arisco
organizado	sistemático
farto	rico
magro	fino
dedicado	sagrado/santo
optimista	vantajoso/positivo
imprevisto	surpreendente
afável	amável/simpático/agradável
pior	inferior/ruim
interessante	emocionante/excitante
mesmo	similar/semelhante/parelho/idêntico/igual/análogo
sincero	legítimo/honrado/genuíno/autêntico/correto/verdadeiro
invulnerável	inconquistável/protegido/seguro
síncrono	sincrônico
limitado	mortal
necessário	indispensável/obrigatório/essencial/imprescindível
manso	tratável
entusiasmado	inquieto
abominável	malvado/ofensivo
invariável	consistente/constante
azedo	saboroso
desvantajoso	prejudicial/nocivo/daninho/danoso
implacável	impiedoso
emocionante	interessante/sensual/sexy
áspero	rugoso/desnivelado
profano	leigo/secular
impiedoso	implacável/sangrento
limpo	Limpo
gordo	espesso/grosso
guloso	indulgente
sucinto	taciturno
inalienável	intrínseco
poderoso	potente/efetivo/eficaz/eficiente/forte
silencioso	suave
chato	incolor
estéril	ineficaz/impotente
aventureiro	valoroso/valente/afoito/arrojado/audacioso/audaz/bravo/destemido/corajoso
informado	consciente/desperto/acordado/sensível
lhano	amável/simpático/agradável
audacioso	bravo/valoroso/valente/afoito/arrojado/corajoso/destemido/aventureiro
diferente	vário/incompatível/desigual
plano	imutável/liso/macio
permanente	estável/imutável/inalterável
entranhado	intenso/intensivo/erudito
homogêneo	invariável/uniforme/mesmo
conspícuo	indiscreto/imprudente
indulgente	comilão/guloso
prestativo	útil/funcional/prático
excitante	interessante/sensual/sexy
inexplicável	incompreensível
empreendedor	aventureiro/ambicioso/enérgico/energético
responsável	prudente/judicioso/sensato
rabo	posterior/traseiro
clemente	misericordioso/compassivo
