Arundo	cana-do-reino
OPEP	Arábia_Saudita/India/República_da_Índia/Índia/Emiratos_Árabes_Unidos/Emirados_Árabes_Unidos/Argelia/Algéria/Argélia/República_Islâmica_do_Irão/Pérsia/Irao/Irã/Irão/Kuwait/Coveite/Cuaite/Estado_do_Kuwait/República_Árabe_do_Egipto/República_Árabe_Unida/Egipto/Egito/República_árabe_unida/República_Árabe_do_Egito/Iraque/República_do_Iraque/Estado_da_Líbia/Líbia/Indonésia/Indonesia/República_da_Indonésia/Venezuela/Qatar/Catar
Mali	Maliense
Gossypium	algodão
Ivy_league	Universidade_Harvard/Universidade_Colúmbia/Universidade_da_Pensilvânia/Universidade_cornell/Universidade_de_Princeton/Universidade_columbia/Universidade_harvard/Universidade_Cornell/Universidade_Columbia/Universidade_Brown/Faculdade_de_dartmouth/Faculdade_de_Dartmouth/Universidade_yale/Universidade_Yale
Ceratopsia	Ceratopsidae
Proboscídeos	proboscídeos
Reino_da_Dinamarca	dinamarquês/danês
Saccharum	cana_de_açúcar
Turdus	melro/turdo/melro-preto
Lauraceae	Laurus/Persea/Umbellularia/Cinnamomum/Lindera
Egito	egípcio
Capparis	alcaparra
Reino_do_Camboja	khmer
Proteidae	Proteus/Necturus
Buxaceae	Buxus
Equinoderme	pepino-do-mar/Pepino_do_mar/Crinoidea/Ophiuroidea/equinodermo/equinodermos/Echinoidea
Rio	carioca
Golfinho-comum-de-bico-longo	Delfim_Comum/Golfinho-comum-de-bico-curto/Delfim-comum
Bombacaceae	Baobá/Baoba/Ceiba/Pseudobombax/Bombax/Durio
Ribes	groselheira/groselha_preta
Atriplex	atríplex
Mexico	mexicana/Mexicano/mexicano
Império_britânico	África_Oriental_Britânica/India/República_da_Índia/Índia/Austrália/Comunidade_da_Austrália/Guiana/Güiana/Guiana_Francesa/Nova_Zelândia/Canadá/Canada/Ilhas_britânicas/Ilhas_Britânicas
Organização_dos_países_exportadores_de_petróleo	Arábia_Saudita/India/República_da_Índia/Índia/Emiratos_Árabes_Unidos/Emirados_Árabes_Unidos/Argelia/Algéria/Argélia/República_Islâmica_do_Irão/Pérsia/Irao/Irã/Irão/Kuwait/Coveite/Cuaite/Estado_do_Kuwait/República_Árabe_do_Egipto/República_Árabe_Unida/Egipto/Egito/República_árabe_unida/República_Árabe_do_Egito/Iraque/República_do_Iraque/Estado_da_Líbia/Líbia/Indonésia/Indonesia/República_da_Indonésia/Venezuela/Qatar/Catar
Artamidae	Artamus/Cracticus/Gymnorhina_tibicen/Strepera
Libano	libanês
cubismo	cubista
Jordania	jordaniano
República_Popular_Democrática_Lao	laosiano
juizado	júri/Júri
Medicago	trevo/trifólio
Prosopis	Mesquite
Cephalotaxaceae	Torreya/Cephalotaxus
Mustelídeos	Lutrinae/cangambá/mustelídeos/Conepatus
Erinaceomorpha	Erinaceus
Gentianales	Menyanthaceae/Apocynaceae/Salvadoraceae/Oleaceae/Loganiaceae/Gentianaceae
Megadermatidae	Megaderma
Piciformes	Bucconidae/Pica-pau/Picapau/Pica_pau/Picidae
congresso	Câmara_dos_Representantes_dos_Estados_Unidos_da_América/Senado_dos_Estados_Unidos_da_América/Senado_dos_estados_unidos/Senado_dos_Estados_Unidos
Polygonaceae	Fagopyrum/Polygonum/Rumex
Pomacentridae	Castanheta/Abudefduf
Myricaceae	Comptonia/Myrica
Taurus	Nebulosa_do_Caranguejo/Nebulosa_do_caranguejo/Plêiades/Plêiades_M45/Aldebarã
Crescentia	Crescentia_cujete
Celastrus	Celastrus_scandens
Geraniales	Balsaminaceae/Lepidobotryaceae/Oxalidaceae/Simaroubaceae/Geraniaceae/Erythroxylaceae/Tropaeolaceae/Malpighiaceae/Euphorbiaceae/Polygalaceae/Meliaceae/Zygophyllaceae/Burseraceae/Rutáceas/Rutaceae
Salmonidae	salmão/Oncorhynchus/Salmo
Torpedinidae	torpedo
Falcão	Falcão_americano/Falcão-americano/tarrafa/falcão_peregrino/falcão/peneireiro-vulgar/gerifalte/falcão_gerifalte
Spinacia	espinafre
Cestrum	Jasmim-da-noite
Phasianidae	Coturnix/Numididae/Colinus
Molusco	moluscos/molusco/Gastrópodes/gastrópodes/Bivalves/Bivalvia
Taxaceae	Pseudotaxus/Taxus/Austrotaxus/teixo
locomotivas	locomotiva/máquina/vagão/automotora/automóvel/comboio/carro/trem/vagões
República_do_Equador	equatoriano
República_da_Arménia	armênios/Arménios
união	associado
Myosotis	não-te-esquece/miosótis/não-me-esqueças/as-de-mim
Dipterocarpaceae	Shorea
Monera	Lactobacillaceae
aguapé	jacintos_de_água
Roystonea	palmeira_imperial
aristocracia	patrício/aristocrata
Tropaeolaceae	Tropaeolum
Cartago	cartaginês/Cartagineses
Gênero	Espécie/espécie/espécies
Cucumis	pepino
Spalacidae	Spalax
Vietname	vietnamita
Cornus	cornus
Enterobacteriaceae	Serratia
ViaLáctea	Constelação_de_Crux/crux
Pontederiaceae	aguapé/Heteranthera/Pontederia
planejamento_urbano	delimitação_de_zonas
Characidae	Pirambeba/Paracheirodon
Boraginaceae	Cynoglossum/Lithospermum/Echium/Hackelia/Myosotis/Mertensia/Borago/Cordia
Salicaceae	Choupo
Hydrocharitaceae	Vallisneria/Egeria/Hydrocharis/Elodea/Elódea
Arales	Araceae
Polygonales	Polygonaceae
Baleia-piloto	baleia-piloto
organizações_empresariais	divisão/departamento
Picapau	Colaptes/pica-pau/fuinho/Campephilus/Picus/Melanerpes
Colégio_do_Brasil	peixe
Centropomidae	Centropomus/Lates
vulgo	plebeu
Protozoários	protozoário
perereca	Hyla
Espanha	basco/espanhol/espanhola
Valerianaceae	Valeriana
Línguas_da_Albânia	albanês/albanés/albanesa
África_do_Sul	Xhosa/sul-africano
Constelação_de_Boötes	Arcturus
sociedade	sistema_social/sócio_de_clube/sistemas_sociais/estrutura_social/associado
nogueira	nogueira-comum
Testemunhas_de_Jeová	Testemunhas_de_Jeova/Testemunhas_de_Jeóva
Troglodytidae	Campylorhynchus/carriça/Cistothorus
Burúndi	Hutus/Hútus/Tútsis/Tutsis
Sterculiaceae	Helicteres/Triplochiton/Firmiana/Theobroma/Fremontodendron/Pterospermum/Brachychiton/Heritiera
Baoba	embondeiro/baobá/adansônia/baobabe
República_Islâmica_do_Irão	Persa/iraniano
Grande_londres	londrino
cidadania	cidadã/cidadão
Muroidea	Muridae
Tyranni	Formicariidae/Pipridae
seguidores	amante
metazoários	Cnidarios/Cnidários/cnidários
União_Européia	Espanha/Luxemburgo/Grão-Ducado_do_Luxemburgo/Finlândia/República_da_Finlândia/República_Francesa/França/Reino_Unido_da_Grã-Bretanha_e_Irlanda_do_Norte/Reino_Unido/Grã-Bretanha/Reino-Unido/Holando/Países_baixos/Países_Baixos/PaísesBaixos/Holanda/Reino_dos_Países_Baixos/Neerlândia/Irlanda/Áustria/Austria/Suécia/Suecia/Itália/Italia/República_Italiana/Grécia/Listas_de_Portugal/Portugal/Alemanha/República_Federal_da_Alemanha/Reino_da_Dinamarca/Dinamarca/Bélgica/Poetas_da_Bélgica/Belgica
Colégio_dos_cardeais	cardeal
Império_Britânico	África_Oriental_Britânica/India/República_da_Índia/Índia/Austrália/Comunidade_da_Austrália/Guiana/Güiana/Guiana_Francesa/Nova_Zelândia/Canadá/Canada/Ilhas_britânicas/Ilhas_Britânicas
búfalo	Búfalo-asiático
Ipomoea	Morning_glory/Morning_Glory
Pica	gralha/pega/pega-rabuda
Tibete	xerpas
Schinus	Aroeira-brava/aroeira
Alauda	calhandra/cotovia/laverca/paspalhaça/calandra
República_da_Turquia	turco
Percidae	Percina
abeto	pinheiro
Irão	Persa/iraniano
Aix	pato-carolino
Placentários	Primatas/primatas/Proboscídeos/Proboscidea/Lagomorfos/lagomorfos/cetáceos/Cetáceos/carnívoros/Carnívoros/Carnivora/fissípedes/Insectívoros/mamífero/Sirenia
Formosa	taiwanesa/taiwanês/chinês/chinesa
Gentiana	Genciana-amarela/Genciana-de-turfeiras
coníferas	Araucariaceae/Pinaceae/Podocarpaceae/Cephalotaxaceae/Taxaceae/Cupressaceae
procionídeos	Quati/Procyon/Ailuropoda/Bassariscus
Elaeocarpaceae	Aristotelia/Muntingia_calabura/Sloanea/Elaeocarpus
enxame	Insectos/inseto/hemípteros/insetos/insecto
aglomeração	nécton/Plancton/plâncton
Trapaceae	Trapa
Casa_de_Lancaster	Henrique_IV_de_Inglaterra/Henrique_iv_de_inglaterra/Henrique_vi_de_inglaterra/Henrique_VI_de_Inglaterra/Henrique_V_de_Inglaterra/Henrique_v_de_inglaterra
Insectívoros	Erinaceomorpha/Tenrecidae/Toupeira/Talpidae/Chrysochloridae/insectívoros
Laguncularia	mangue-branco
Cetáceos	Monodontidae/cetáceos
Tatu_bola	Tatu-bola-da-caatinga
daràluz	operário/trabalhador/proletário/colarinho_azul
Catasetum	Catasetum_macrocarpum
dentição	dente/Dentes
Leontopodium	edelvais/Edelweiß
Congresso_dos_Estados_Unidos	Câmara_dos_Representantes_dos_Estados_Unidos_da_América/Senado_dos_Estados_Unidos_da_América/Senado_dos_estados_unidos/Senado_dos_Estados_Unidos
Cordylidae	Cordylus
Odonata	odonatos
Passifloraceae	Passiflora
Matricária	camomila-vulgar
Anatidae	Anserinae/gansa/ganso/pata/anás/pato/Merginae/Cisne/cisne/Anas/Aix/Aythya/Zarro/Branta/Anser/Tadorna
Nyctaginaceae	Allionia/Pisonia/Mirabilis/Abronia
Leporidae	Sylvilagus/Lepus
Moraceae	Maclura/Ficus/figueira/Artocarpus/Broussonetia/Morus
agregação	nécton/Plancton/plâncton
Coven	bruxo/bruxa
Maldivas	maldivo
Eugenia	pitanga/amarena/ginja
tribunal_de_justiça	júri/Júri
Gekkonidae	Coleonyx
organização	associação/associado/quórum/Quorum
Malvaceae	Sphaeralcea/Abutilon/Sidalcea/Callirhoe/Malacothamnus/malva/Malvaviscus/Alcea/Hoheria/algodoeiro/Gossypium/Sida/Malva/Abelmoschus/Thespesia/Napeia/Napéia/Lavatera
sistema_social	Regimes_políticos
carnívoros	procionídeos/Procionídeos/Felino/Felídeos/Felinos/Mustelídeos/mustelídeos/canídeos/Canídeos/Viverrinae
Jasmim	jasmim
Calycanthaceae	Calycanthus/Chimonanthus
Gêmeos	Pólux/Castor
arquipélago	ilha
Hymenoptera	Apoidea/Vespidae/himenópteros
Gentianaceae	Gentianella/Swertia/Exacum/Halenia/Eustoma/Centaurium/Gentianopsis/Gentiana/genciana
Musophagiformes	Musophaga
Diospyros	Caqui_americano/caquizeiro/ébano/caqui/Caqui/diospireiro
Passer	pardal
Commelinaceae	Tradescantia
Lutjanidae	Lutjanus
Tridacna	Tridacna_gigas
Perereca	Hyla
Vaccinium	Oxicoco/mirtilo
Syringa	lilás
Craniata	Channidae/Chondrichthyes/Agnatha/Gnatostomados/Osteichthyes/vertebrado/amniota
Constelação_de_Scorpius	Antares
Nepeta	erva-de-gato
Hydrangeaceae	Decumaria/Schizophragma
China	chinês/chinesa
República_das_Maldivas	maldivo
cedro-do-incenso	Cedro-do-incenso-da-califórnia/Cedro_do_incenso_da_Califórnia/Cedro_do_incenso_da_califórnia
Rosmarinus	alecrim
algodoeiro	algodão
Elapidae	Aspidelaps/Naja
Furnarius	Furnariidae/Furnariídeos
Acipenser	Esturjão-branco/Esturjão_branco
gado_bovino	vitelo/bezerro/terneiro
Grécia	heleno/grega/grego
Tabanidae	tavão/moscardo/mutuca
Ailuropoda	panda_gigante/panda/panda-gigante
Letônia	letão
Ebenaceae	Diospyros
Caprifoliaceae	Symphoricarpos/Leycesteria/Viburnum/Lonicera/Diervilla/Linnaea/sabugueiro
Comunidade_das_Nações	India/República_da_Índia/Índia/Austrália/Comunidade_da_Austrália/Papua-Nova_Guiné/Papua_Nova_Guiné/Nova_Zelândia/Canadá/Canada/Irlanda/África_do_Sul
Sarraceniaceae	Heliamphora/Sarracenia
Zingiberaceae	Alpinia/Zingiber/Elettaria/Curcuma
Helicidae	Helix
Lorisidae	Nycticebus
filo	espécies/classe
pariato	par/Lady
Commelinales	Rapateaceae/Eriocaulaceae/Bromeliaceae/Xyridaceae/Commelinaceae/Pontederiaceae
Prumnopitys	Prumnopitys_andina
Uruguai	uruguaio/uruguaia
Perseus	Beta_Persei/Beta_persei
Saxifragaceae	Darmera/Chrysosplenium/Tolmiea/Boykinia/Lithophragma/Heuchera/Mitella/Saxifraga
Equídeos	égua/Hyracotherium/Equus/equídeo/equino/ungulados
Sugador	Catostomus
Troia	troiano/troiana
Vitis	Vitis_labrusca/Vitis_vinifera/videira
dentadura	dente/Dentes
Sapotaceae	Chrysophyllum/Payena/Manilkara/Pouteria
Via_lactéa	Constelação_de_Crux/crux
Sulidae	alcatraz/Sula
Juniperus	zimbro
islamismo	muçulmano/Muçulmano/Muçulmanos/Islão_sunita
Lactuca	alface
Ranunculales	Nymphaeaceae/Myristicaceae/Lardizabalaceae/Winteraceae/Menispermaceae/Berberidaceae/Magnoliaceae/Ranunculaceae/Lauraceae/Calycanthaceae/Annonaceae
Burundi	Hutus/Hútus/Tútsis/Tutsis
casamento	dama_de_honor/marido/cónjuge/cônjuge/esposo/consorte/colega/homem/esposa/dama_de_honra/noiva/noivo/namorado
Lycosa	tarântula
Cottidae	Cottus
Macropodidae	Lagorchestes/Macropus/Thylogale/Dendrolagus/Hypsiprymnodon_moschatus/canguru
Dianthus	cravo
espécie_humana	gente/povo/pessoas/população
Holando	Holandês/holandês/neerlandês
Pteridófitas	Pteridophyta
Cyperaceae	Carex/Eleocharis/Scirpus/Eriophorum
Lentibulariaceae	Utricularia/Pinguicula
Australopithecus	Australopithecus_africanus/Australopithecus_afarensis/Lucy
Congridae	congro
Hinduismo	hindu/Movimento_hare_krishna/Movimento_Hare_Krishna
cetáceos	Monodontidae
Cnidarios	pólipo/Anthozoa/Hydrozoa/celenterados/medusa/aguá-viva/Medusa/Scyphozoa
corpo	Divisão/forças_armadas/exército/tropas/milícia
Chile	chileno
funcionário_público	servidor_público
clero	clérigo/sacerdote/pároco/pastor
alfabeto	caracter/letra/caractér/carácter
Macropus	Macropus_giganteus
Via_Lactea	Constelação_de_Crux/crux
Tchecoslováquia	tchecoslovaco/checoslovaco
Dinamarca	dinamarquês/danês
Atenas	Platão/Platao/ateniense
Roménia	romena/romeno
gendarmaria	gendarme
Xenarthra	tamanduá
República_da_Hungria	húngara/húngaro
Anacardiaceae	Astronium/Schinus/Anacardium/Cotinus/Spondias/Pistacia/Toxicodendron/Rhus
Carduelis	pintasilgo
República_árabe_unida	egípcio
biota	Fauna/fauna/vegetação/flora
Clubes_de_futebol	quarterback/guard/linebacker/center
Libocedrus	Libocedrus_bidwillii/Libocedrus_plumosa
Andorra	andorrense/andorrano
Psittacidae	Psittacula/Agapornis/Amazona/Cacatua
Ixodes	Ixodes_ricinus
Ardeidae	Ardea/airão/garça/Ixobrychus/Nycticorax/Botaurus/Egretta
Dalbergia	Jacarandá-da-bahia
Acanthopterygii	Perciformes
Dinornithidae	moa
Cyprinidae	Phoxinus/Tinca/Gobio/Notropis/Scardinius/Cyprinus/carpa/Rutilus
Centaurea	aciano/Centaurea_cyanus
Plumbaginaceae	Limonium/Armeria
Colômbia	colombiano
faia	Faia_europeia/Faia-europeia
Companhia_de_Jesus	jesuíta/Jesuítas
Nageia	Nageia_nagi
terópoda	Megalosauridae/Maniraptora
alfabeto_grego	Θ/φ/alfa/Ι/Χ/ni/lambda/quem/psi/Γ/sigma/épsilon/Ζ/pi/rô/capa/tau/delta/csi/beta/ômicron/omêga/eta/ipsilone/epsílon/Υ/α/Y/Σ/ípsilon/ómega/Ω/iota/β/Ιota/Ρ/mi/Κ/dzeta/Gama/Δ/teta/zeta/fi/cá/Η/xi/gama/Π/hipsilo/deltas/ipsilão/Μ
Hypericum	Erva-de-são-joão/Erva_de_São_João
Silurus	peixe-gato
Islã	muçulmano/Muçulmano/Muçulmanos/Islão_sunita
universo	nebulosa/galáxia/Via_Láctea
Ploceinae	Ploceus/Estrilda
Indonésia	indonésio
Styracaceae	Halesia
londrina	londrino
sulídeos	alcatraz/Sula
Parthenium	guaiúle
Carthamus	açafrão-bastardo
Comunidade_da_Austrália	australiano
América_do_Norte	norte-americano
Limacidae	Limax/lesma
Cichlidae	Tilapia
Liga_Hanseática	Dortmund/Klaipeda/Klaipėda/Hamburgo/Hamburg/Bergen/Tartu/Rīga/Riga/Hanóver/Hanôver/Colónia/Colônia/Lübeck/Lubeck/Bruges/Rostock/Bremen
Magnoliaceae	Liriodendron
Fucales	Fucaceae
dentama	dente/Dentes
academia	acadêmico
espermatófita	Angiosperma/Magnoliophyta
Ciconia	cegonha
Sri_Lanca	cingalês
Saururaceae	Anemopsis/Houttuynia
Oligochaeta	minhoca
Saurísquios	Sauropodomorfos
Lepidothamnus	Lepidothamnus_fonkii/Lepidothamnus_laxifolius
Liga_Árabe	Mauritânia/Mauritania/Arábia_Saudita/Emiratos_Árabes_Unidos/Emirados_Árabes_Unidos/Argelia/Algéria/Argélia/Iêmen/Iémen/Iemen/Sudão/Sudao/Jordânia/Jordania/Kuwait/Coveite/Cuaite/Estado_do_Kuwait/República_Árabe_do_Egipto/República_Árabe_Unida/Egipto/Egito/República_árabe_unida/República_Árabe_do_Egito/Iraque/República_do_Iraque/Estado_da_Líbia/Líbia/Barém/Bareine/Bahrein/Bahrain/Somalia/Somália/Libano/República_do_Líbano/Líbano/Tunisia/Tunísia/Jibuti/Djibuti/República_de_Djibuti/Djibouti/Qatar/Catar/Marrocos/Sultanato_do_Omã/Omã/Oman/Síria/Siria/República_Árabe_Síria
Polemoniaceae	Linanthus
Mimini	Mimus/Melanotis
Sultanato_do_Omã	omanense
Myrsinaceae	Ardisia/Myrsine
júri	jurado/juror
Constelação_de_Crux	Acrux/Becrux
Malva	queijo
Phalangium	gira_mundo/aranha-fedorenta/bodum/aranha-alho/aranha-bode/frade-fedorento/aranha-bailarina
Reino_dos_Países_Baixos	Holandês/holandês/neerlandês
Rinocerontes	rinoceronte
Discoglossidae	Bombina/Alytes
ácaro	Carrapato/tiquetaque/carrapato
Siluridae	Silurus
Dicentra	Dicentra_spectabilis
Kwazulu-Natal	zulu
Bivalvia	Unionidae/Tridacnidae/Vieira/Pectinidae
Marginocephalia	Ceratopsia
Troglodytinae	Campylorhynchus/carriça/Cistothorus
Poaceae	Panicum/Muhlenbergia/Chloris/Saccharum/aveia/Spartina/Sorghum/Agropyron/Cortaderia/Sporobolus/erva/ervas/gramíneas/gramínea/Agrostis/Hordeum/Dactylis/Cenchrus/Setaria/Pennisetum/Schizachyrium/Eragrostis/Dactyloctenium/Poa/Digitaria/Bouteloua/Bromus/Stenotaphrum/Echinochloa/Glyceria/Eleusine/Oryzopsis/Phleum/Aegilops/Festuca/Elymus/Arrhenatherum/Alopecurus/Andropogon/milho/milhete/Secale/Arundo/Cynodon/Holcus/Leymus/Oryza
bananeira	banana
cafeeiro	café/árvore_de_café
Salamandra	Salamandra_atra/salamandra-de-fogo/Salamandra_de_fogo
Cricetidae	Baiomys/Arvicola/Microtus/Mesocricetus/Reithrodontomys/Peromyscus/Oryzomys/lêmingue/Lemingue/Lêmingue
Aranhas	tarântula/Theraphosidae/aranha/Aranha-lobo/Lycosidae
Aceraceae	Dipteronia
Cyclostomata	Peixe-bruxa
Gemini	Pólux/Castor
Lepisosteidae	Lepisosteus
Peixe-porco	Monacanthidae
Passeridae	Pardal/Passer/pardal
equídeos	potro
Classe_Média	burguês/burguesa
Taiwan	taiwanesa/taiwanês/chinês/chinesa
Teiidae	teju/Cnemidophorus
Carya	Nogueira-pecã
trem	locomotivas/locomotiva/máquina/vagão/automotora/automóvel/comboio/carro/vagões
Phalangeridae	Phascolarctos/Acrobates_pygmaeus/Petaurus
Suazilandia	Suázis
nogueira-comum	nogueira
