postura	vertical
parcial	integridade
correto	honestidade/Honestidade
pleno	plenitude
basto	quantidade
modesto	pudor/modéstia
permanência	permanente/duradouro
maturo	maturidade/idade
liberal	generosidade
morto	vida/animação
são	saúde
posição	vertical/adventício/interno/traseiro/rabo/direita/direito/esquerdo/dominante/subordinado
antinatural	naturalidade
similar	similitude/semelhança
pureza	casta/casto
tímido	confiança
preciso	exactidão/exatidão/correção/precisão
luminoso	luminosidade
ser	existente
independente	independência/liberdade
baixo	grau/estatura/altura
saúde	saudável/são/salubre/doente/adoentado/doentio/insalubre
infeliz	aventurança
potencial	possível
seco	humidade
imoral	moralidade/moral/virtude/honestidade
tolerância	permissivo
distante	distância/Distância
simples	complexidade
Magnetismo	magnético/atrativo
varão	gênero/sexualidade/sexo
susceptibilidade	suscetível/susceptível
desconhecido	familiaridade
matiz	cromático/acromático
audaz	ousadia/audácia
longe	distância/Distância
denodo	bravo/valente/afoito/arrojado/brava/corajoso
radiante	luminosidade
dependente	independência/liberdade
fresco	frescura/calor
certeza	certo/inseguro/incerto
significação	significativo/significante/importante
senioridade	júnior/sênior
sarcástico	sarcasmo/sátira
imaturo	maturidade/idade
tonalidade	cromático/acromático
importante	magnitude/significado/significação
analfabeto	alfabetismo
criatividade	original/criativo/criador
acromático	tonalidade/matiz/tom
ineficaz	eficácia/potência
cobarde	cobardia/covardia
honestidade	imoral/corrupto/desonroso/correto/honrado
fino	espessura/grossura/textura
cromático	tom/matiz/tonalidade
heterossexual	sexo/transa
Honestidade	corrupto/correto
gay	sexo/transa
generalidade	específico/geral
regular	regularidade
santa	santidade
União	setentrional/boreal
saudável	saúde
potencialidade	incapaz/capaz
padrão	medida/quantidade/quantia/magnitude
mensurável	grandeza/magnitude
triste	aventurança
desonroso	honestidade
justiça	injusto
Nord	setentrional/boreal
extinção	apagado
desnivelado	invariabilidade
eficácia	efetivo/inútil/eficiente/impotente/ineficaz
altivez	certo/inseguro/incerto
êxito	próspero/bem-sucedido
medida	padrão/grande/pequeno
legal	legalidade
impróprio	utilidade
admissibilidade	inadmissível/lícito/aceitável
justo	correcção/exactidão/exatidão/correção/precisão
mercantilismo	comercial
similitude	similar/diferente/parecido/semelhante
moral	moralidade/virtude/imoral/puro
improdutivo	Fertilidade/fertilidade
corajoso	denodo/ousadia/audácia
profundo	profundeza/fundura/profundidade
recente	frescura
formal	formalidade
partido	integridade
possível	possibilidade/chance/potencial
amabilidade	amável
calor	fresco/quente/frio/caloroso
gritaria	suave/berrante/alto
Norte	setentrional/boreal
confortável	conforto
efectivo	realidade
ascendência	maior
cheio	plenitude
original	originalidade/criatividade/Criatividade
bravo	denodo/ousadia/audácia
infértil	Fertilidade/fertilidade
gênero	sexual/macho/varão/assexual
certo	pose/fé/altivez/desembaraço/segurança/certeza/correcção
luminosidade	radiante/brilhante/luminoso/escuro
moderação	moderado
estado	dominante/subordinado
conforto	confortável/incômodo/incómodo/desconfortável
precoce	cronometragem
molhado	humidade
vida	morto/vivo/vívido
incómodo	conforto
cronometragem	tardio/futuro/temporão/precoce/cedo/passado
suave	grau/gritaria
velho	idade
desobediente	obediência
exatidão	preciso/exato/acurado/justo/exacto
Criatividade	original/criativo/criador
distância	vizinho/perto/distante/longe/longínquo
tez	loiro/morena
transa	hetero/heterossexual/homo/gay
incapaz	habilidade/potencialidade/talento/capacidade
grandeza	mensurável
insalubre	saúde
significante	significado/significação
inodoro	cheiro/hálito
integralidade	incompleto/completo/integral
local	direita/direito/esquerdo
confiante	confiança
covarde	cobardia/covardia
castidade	casta/casto
profundidade	profundo/raso
incômodo	conforto
frio	calor
ciência	científica/científico
longínquo	distância/Distância
doente	saúde
prestes	preparação/prontidão
situação	adventício/interno/traseiro/rabo
realismo	existente
inteireza	incompleto/completo/integral
audível	audibilidade
calibre	inferior/superior
existente	ser/realismo/verdade/Realidade/realidade
futuro	cronometragem
indelicado	polidez/cortesia
mutável	mutabilidade
éxito	próspero/bem-sucedido
ativo	atividade
continuidade	contínuo
terror	receoso
oriental	Do_leste/Oriente/oriente/levante/nascente
júnior	senioridade
formoso	beleza/Belo
pose	certo/inseguro/incerto
perpendicular	orientação/Orientação
profundeza	profundo/raso
duradouro	permanência
lacônico	prolixidade
viscosidade	espesso
espesso	espessura/viscosidade/grossura
suficiente	quantidade
magnetismo	magnético/atrativo
subordinado	status/posição/classe/condição/estado
inseguro	confiança/desembaraço/altivez/fé/pose/segurança/certeza
moralidade	moral/imoral/puro
impotente	eficácia/potência/poder
caloroso	calor
contemporâneo	modernidade
lauto	quantidade
sênior	senioridade
bastante	quantidade
talento	incapaz/capaz
verdadeiro	realidade/verdade
sagrado	santidade
prolixidade	sucinto/lacônico/conciso/lacónico/prolixo
atrativo	magnetismo/Magnetismo
exactidão	preciso/exato/acurado/justo/exacto
regularidade	regular
provável	probabilidade
direita	posição/local/lugar
valente	denodo
altura	baixo/alto
macho	gênero/sexualidade/sexo
bonito	beleza/Belo
discordância	diferente
possibilidade	possível
preparação	preparado/pronto/disposto/prestes
excitação	emocionante/excitante
familiar	familiaridade
equanimidade	injusto
quente	calor
cheiro	inodoro
semelhante	similitude/semelhança
salubre	saúde
quantidade	padrão/insuficiente/lauto/farto/basto/copioso/abundante/bastante/suficiente
consternação	receoso/alarmante/inquietante
estéril	Fertilidade/fertilidade
ciente	consciência
rápido	velocidade
acurado	exactidão/exatidão/correção/precisão
moderno	modernidade
tardio	cronometragem
cobardia	covardemente/covarde/cobarde
novo	idade
colocação	adventício/interno/traseiro/rabo
Maldade	maléfico/má/ruim/malvado
santo	santidade
textura	fino
sabor	insípido
belo	beleza/Belo
confuso	transparência/lucidez
adequado	adequação
magnitude	padrão/mensurável/importante/grande/pequeno
aspiração	ambicioso
incerto	desembaraço/altivez/fé/pose/segurança/certeza
inadmissível	admissibilidade
lugar	direita/direito/esquerdo
ambicioso	aspiração
amplo	plenitude
normalidade	anormal/normal
originalidade	original
facilidade	fácil
vertical	orientação/Orientação/postura/posição
injusto	justiça/equanimidade
singelo	complexidade
verdade	existente/falso/errado/verdadeiro
farto	quantidade
afável	natureza/índole
prontidão	preparado/pronto/disposto/prestes
mesmo	semelhança
opacidade	opaco
sensatez	razoável
científica	ciência
setentrional	Norte/União/Nord/norte
movimento	imóvel/movente
acessibilidade	inacessível/disponível
disponível	disponibilidade/acessibilidade
hálito	inodoro
emocionante	excitação
generosidade	ávido/liberal
informal	formalidade
adventício	localização/colocação/posição/situação
limpo	asseio/limpeza
sucinto	prolixidade
poderoso	poder
dominante	status/posição/classe/condição/estado
comercial	mercantilismo/comercialismo/comércio
confiança	tímido/inseguro/confiante
fertilidade	fecundo/infértil/estéril/improdutivo
informado	consciência
lhano	natureza/índole
audacioso	ousadia/audácia
diferente	discordância/similitude/semelhança
plano	invariabilidade
natural	naturalidade
dimensão	grande/pequeno
permanente	permanência
lotado	plenitude
integridade	integral/inteiro/parcial/fracionário/partido
poder	impotente/poderoso
excitante	excitação
consciência	ciente/informado
sexo	hetero/sexual/macho/heterossexual/varão/homo/gay/assexual
Orientação	inclinado/perpendicular/fio_de_prumo/vertical/horizontal
rabo	localização/colocação/posição/situação
passado	cronometragem
abundante	quantidade
fecundo	fertilidade/Fertilidade
asseio	sujo/limpo
normal	normalidade
obediente	obediência
virgindade	casto/casta
exaustivo	plenitude
específico	generalidade
raso	profundeza/fundura/profundidade
Oriente	oriental
status	dominante/subordinado
vívido	vida
atividade	inativo/ativo
homo	sexo/transa
eficiente	Eficácia/eficácia
audácia	audacioso/audaz/bravo/corajoso
boreal	Norte/União/Nord/norte
correcção	correto/justo/certo/errado/incorreto
complexidade	intrincado/simples/singelo
comércio	comercial
velocidade	devagar/rápido/rápida
inadequado	adequação
potência	impotente/ineficaz
bem-sucedido	êxito/éxito
significativo	significado/significação
casto	virgindade/virtude/castidade/pureza
animação	vivo/morto
jovem	idade
propósito	funcional
conciso	prolixidade
funcional	função/propósito
maldade	maléfico/má/ruim/malvado
pronto	preparação/prontidão
improvável	probabilidade
lucidez	confuso
próspero	êxito/éxito
anormal	normalidade
completo	integralidade/plenitude/inteireza
intenso	grau
legalidade	legal/lícito/ilegal
independência	independente/dependente
índole	afável/amável/gentil/lhano
Eficácia	eficiente
intrincado	complexidade
transparência	confuso
alto	estatura/grau/altura/gritaria
intensivo	grau
inativo	atividade
traseiro	localização/colocação/posição/situação
cedo	cronometragem
grau	suave/intenso/intensivo/baixo/alto
fundura	profundo/raso
virtude	casta/casto/boa/moral/imoral/puro
sexualidade	sexual/macho/varão/assexual
covardemente	cobardia/covardia
vizinho	distância/Distância
insuficiente	quantidade
fracionário	integridade
alarmante	estupefação/consternação/medo
maioria	maior
contínuo	continuidade
Fertilidade	fecundo/infértil/estéril/improdutivo
errado	verdade/correcção
inacessível	disponibilidade/acessibilidade
localização	adventício/interno/traseiro/rabo
contente	aventurança
inclinado	orientação/Orientação
susto	receoso
puro	moralidade/moral/virtude
livre	liberdade/liberdades_civis
esquerdo	posição/local/lugar
imóvel	movimento
honrado	honestidade
classe	dominante/subordinado
maior	ascendência/maioridade/maioria
sarcasmo	sarcástico
tamanho	grande/pequeno
frescura	fresco/recente
efetivo	realidade/eficácia
lícito	legalidade/admissibilidade
formalidade	formal/informal
fio_de_prumo	orientação/Orientação
permissivo	tolerância
geral	generalidade
superior	qualidade/calibre
gentil	cortesia/polidez/natureza/índole
cortesia	cortês/gentil/indelicado
maduro	maturidade/idade
incompleto	integralidade/plenitude/inteireza
segurança	certo/inseguro/incerto
função	funcional
semelhança	similar/diferente/parecido/semelhante/mesmo
loiro	tez
espessura	fino/espesso/grosso
copioso	quantidade
quantia	padrão
audibilidade	audível
beleza	bonito/formoso/belo/feio
fé	certo/inseguro/incerto
preparado	preparação/prontidão
ousadia	audacioso/audaz/bravo/corajoso
bondade	boa
prolixo	prolixidade
horizontal	orientação/Orientação
integral	integridade/integralidade/plenitude/inteireza
nascente	oriental
capacidade	incapaz/capaz
maioridade	maior
nortista	norte
boa	qualidade/virtude/bondade
medo	receoso/alarmante/inquietante
habilidade	incapaz/capaz
liberdades_civis	livre
modernidade	contemporâneo/moderno
benevolência	benigno
criativo	criatividade/Criatividade
aventurança	infeliz/triste/contente
ruim	qualidade/Maldade/maldade
utilidade	inapto/inútil/impróprio
escuro	luminosidade
significado	significativo/significante/importante
alfabetismo	analfabeto
moderado	moderação
científico	ciência
orientação	inclinado/perpendicular/fio_de_prumo/vertical/horizontal
inferior	qualidade/calibre
mutabilidade	inalterável/mutável
natureza	afável/amável/gentil/lhano
berrante	gritaria
movente	movimento
sujo	asseio/limpeza
malvado	Maldade/maldade
convencional	convenção
má	Maldade/maldade
razoável	sensatez
familiaridade	familiar/desconhecido/estranho
vazio	plenitude
susceptível	susceptibilidade
Belo	bonito/formoso/belo/feio
real	realidade
maturidade	maduro/maturo/imaturo
rápida	velocidade
lacónico	prolixidade
modéstia	modesto
cortês	cortesia
estranho	familiaridade
ávido	generosidade
inapto	utilidade
perto	distância/Distância
aceitável	admissibilidade
ilegal	legalidade
receoso	terror/consternação/medo/susto
Do_leste	oriental
grossura	fino/grosso/espesso
pequeno	dimensão/medida/magnitude/tamanho
temporão	cronometragem
