apertado	tenso
decoroso	reto/justo/recto/boa/precioso/valioso/honrado
recto	nobre/decoroso/inocente/moral/boa
covardemente	timorato/receoso
paralelo	simétrico/comparável
acídulo	saboroso
privado	esotérico/pessoal
patriótico	fiel
indemne	intato/indene
presumido	insípido
comestível	digerível/tenro/macio
habilitado	eficiente/qualificado/talentoso/capaz/habilidoso
fracionário	incompleto
daninho	maligno/ofensivo/ofensiva/desvantajoso/nocivo/destrutivo/árduo/dolorido/doloroso/extenuante/doído/tóxico
varonil	macho
lerdo	retardado/imbecil/idiota/estúpido/sonso
errado	incorreto/desonroso/falso
brando	tenro/meigo
primeiro	original/dianteiro/temporão/precoce/cedo/primário
cautelosa	judicioso/sensato/cauto/cauteloso/atento/prudente/diligente
canhoto	esquerdo
hesitante	perplexo
inocente	reto/justo/recto
contente	satisfeito/animador/animado/eufórico/grato/alegre
exigente	Limpo/grácil/mimoso
inclinado	oblíquo
divergente	oblíquo
retórico	figurativo
puro	casta/casto
inconsciente	adormecido
conotativo	implícito
incorrecto	injusto/imoral/maléfico/má/ruim/malvado
eriçado	sujo
livre	independente
incônscio	adormecido
serviçal	prestável/cooperativo
pontudo	angular
tenaz	consciente
esquerdo	canhoto
honrado	sincera/honesto/sincero/decoroso/moral/nobre
esquerdista	liberal/socialista
atento	cautelosa/judicioso/sensato/cauto/cauteloso/prudente/diligente
cómodo	favorável/profícuo/propício
adormecido	desfalecido/desmaiado/inconsciente/incônscio/desacordado
tangível	concreto
amigável	congenial/social/cálido/sociável/amigo/amistoso/pacífico/amorável
idêntico	comparável/mesmo
efetivo	poderoso/eficiente
lícito	correto/legal
fio_de_prumo	reto/íngreme
geral	amplo/exaustivo/impreciso/comum
sólido	dificil/dura/duro
barulhento	berrante/alto
superior	melhor
tagarela	comunicativo/prolixo
gentil	amável/simpático
mortal	limitado/finito
sensível	consciente/suscetível/susceptível/ciente/informado
maduro	velho
desfalecido	adormecido
manipulável	obediente/complacente/submisso/tratável
tolo	desaconselhável/imprudente
incompleto	parcial/fracionário
ágil	astuto
inesperado	surpreendente
submisso	manipulável/obediente/tratável
decisivo	conclusivo/importante/crucial
letárgico	inativo
desejável	amorável
copioso	rico
incorrigível	desobediente
benfeitor	amável
consciente	sensível/acordado/informado/ciente/desperto
conveniente	apropriado/correto/justo/certo
protegido	invulnerável
resistente	experiente/experimentado/forte
religioso	nobre/sagrado/devoto/piedoso
animador	alegre/grato/contente
ocupado	diligente
oco	intrusivo/vazio
obstinado	inflexível/intratável/desobediente
genuíno	verdadeiro/existente/sincero/honesto/sincera
prolixo	tagarela
móvel	movente
integral	completo/amplo/exaustivo/inteiro
automático	mecânico
imprudente	negligente/descuidado/tolo
afirmativo	positivo/favorável
desprezível	indigno
prático	realístico/possível/concreto/prestativo
boa	favorável/obediente/melhor/respeitável/nobre/decoroso/moral/reto/justo/recto
criativo	original/produtor/produtivo
ruim	maléfico/má/malvado/desobediente/imoral/ofensivo/incorrecto
escuro	negro
moderado	suave
rugoso	áspero
ineficiente	inútil
inferior	subordinado/baixo
produtivo	próspero/bem-sucedido/fecundo/frutífero/original/criativo/criador/rendoso/lucrativo/proveitoso
apropriado	próprio/adequado/conveniente
desaconselhável	imprudente/tolo
berrante	audível/ruidoso/barulhento
surpreendente	imprevisto/inesperado
equitativo	imparcial
movente	móbil/móvel
sujo	indecente/eriçado/hirto
malvado	ruim/imoral/incorrecto/ofensivo/abominável
convencional	formal
má	ruim/imoral/ofensivo/incorrecto
razoável	racional/lógico
doméstica	nacional
susceptível	sensível
escorregadio	liso/macio
teimoso	inflexível/intratável/desobediente
rápida	apressado/abrupto/repentino
sonso	lerdo/estúpido
estável	constante/duradouro/permanente
lacónico	taciturno
indefinido	dúbio/ambíguo/confuso
perplexo	hesitante
apetitoso	saboroso
cortês	respeitoso
usual	comum
estranho	desajeitado/feio/estrangeiro/desconhecido
respeitoso	cortês
ávido	entusiástico/entusiasta
inapto	inútil
extraordinário	inusual/insólito/impressionante/superior/incomparável
aceitável	satisfatório
lógico	razoável/artificial/sintético/analítico/consequente/coerente/racional
côncavo	intrusivo
ilegal	corrupto/ilegítimo
ofensiva	prejudicial/nocivo/daninho/danoso/desrespeitoso
receoso	timorato/covardemente/covarde/cobarde
melhor	superior/boa/incomparável
temporão	primeiro
fiel	patriótico
socialista	esquerdista
antigo	passado
interno	central
indene	intato/indemne
enfermo	doente/adoentado/doentio/insalubre/inapropriado
informativo	noticioso
substituível	esgotável
produtor	próspero/bem-sucedido/fecundo/frutífero/original/criativo/criador/rendoso/lucrativo/proveitoso
finito	mortal
parelho	comparável/mesmo
desrespeitoso	ofensiva/ofensivo/sarcástico
feio	estranho/esquisito
adoentado	doente/enfermo/inapropriado
grosso	experiente/experimentado/forte/largo/amplo/gordo
insípido	presumido/deselegante
ilegítimo	nulo/inválido/ilegal
desesperado	desencorajante/pessimista
amável	brando/misericordioso/compassivo/benigno/afável/gentil/lhano/simpático
intratável	desafiador/teimoso/obstinado/silvestre/selvagem/desobediente
estreito	fino
passional	carinhoso/afectuoso/amoroso/esquentado/quente/entusiástico/entusiasta
nulo	ilegítimo
inquieto	inseguro/oscilante/entusiasmado/excitado/tenso
incompatível	diferente
entusiasta	passional
desgradável	saboroso
caro	precioso/valioso
corriqueiro	formal
exato	aprimorado/perfeito/literal/acurado/exacto/preciso/correcto/correto/justo/certo
casta	nobre/moral/puro
inválido	ilegítimo
afetado	sobrenatural/paranormal
constante	estável/inalterável
desafiador	intratável/desobediente
astuto	ágil/alerta/animado/hábil
comparável	paralelo/paralela/parelho/idêntico/análogo
arrojado	corajoso/bravo/audaz/audacioso/aventureiro
desagradável	ofensivo
prestável	lhano/serviçal/gentil/afável/amável/cooperativo
indispensável	necessário
débil	impotente
pacífico	quieto/calmo/amigável
talentoso	habilitado/competente/experiente/experimentado
heterogêneo	diferente/vário
positivo	afirmativo/optimista/otimista/construtivo
dolorido	prejudicial/nocivo/daninho/danoso/inumano/desumano
excitado	inquieto
deselegante	insípido
brava	corajoso/bravo/audaz/audacioso/aventureiro
social	sociável/gregário/amigo/amigável/amistoso
nocivo	maligno/ofensivo/danoso/daninho/ofensiva/desvantajoso/prejudicial/destrutivo/árduo/dolorido/doloroso/extenuante/doído/tóxico
suscetível	sensível
simpático	afável/amável/gentil/lhano/aprazível
direito	destro
inteiro	completo/integral
fácil	simples/singelo/brando
democrático	eleito
sangrento	impiedoso
inútil	impróprio/ineficiente/inapto/indigno/impotente
actual	contemporâneo/moderno/novo
maléfico	ruim/imoral/ofensivo/incorrecto
correto	próprio/adequado/conveniente/verdadeiro/preciso/exato/acurado/justo/exacto
quadrado	angular
cálido	amigo/amigável/amistoso
obrigatório	necessário
conclusivo	decisivo
afoito	corajoso/bravo/audaz/audacioso/aventureiro
opaco	confuso
elegante	gracioso/grácil/mimoso
sagrada	sagrado/dedicado
analítico	lógico
danificado	ferido/partido
intrínseco	inalienável
viril	macho
silvestre	desobediente/intratável
incorreto	falso/errado
colectivo	unido/solidário
afectuoso	passional/amorável/empenhado
incomparável	extraordinário/melhor
criador	original/produtor/produtivo
desconfortável	desassossegado
falso	errado/incorreto/desonroso
amigo	congenial/amigável/social/cálido/sociável
salvado	bendito
descendente	abaixo
aprazível	bonito/formoso/belo/humorístico/engraçado/simpático
capaz	apropriado/satisfatório/habilitado/competente
exacto	exato/preciso/correcto/correto/justo/certo
timorato	receoso/covardemente/covarde/cobarde
engraçado	aprazível
habilidoso	habilitado/competente/experiente/experimentado
indecente	sujo
artificial	lógico
oscilante	inquieto/precário/instável/desnivelado
inconsiderado	desatento
costumeiro	ordinário/genérico/geral/usual/habitual/comum
sortudo	afortunado
benigno	inofensivo/inócuo/amável
remanescente	existente
móbil	movente
insano	irracional
doentio	doente/enfermo/inapropriado
angular	pontudo/quadrado
aprimorado	utópico/exato/preciso/correcto/certo
esquisito	desajeitado/feio
análogo	comparável/mesmo
hábil	astuto
piedoso	nobre/sagrado/devoto/religioso
inconfundível	preciso/definitivo
inalterável	permanente/duradouro/constante
civilizado	grácil/mimoso
dúbio	indefinido/impreciso/ambíguo/confuso
doído	prejudicial/nocivo/daninho/danoso/inumano/desumano
dispensável	desnecessário
corrupto	imoral/ilegal/desonroso
parcial	injusto/incompleto
correto	lícito/sincera/honesto/sincero
habitual	comum
árduo	prejudicial/nocivo/daninho/danoso/inumano/desumano
basto	rico
terminado	liso/macio
tratável	manipulável/obediente/complacente/submisso/dócil
liso	fino/escorregadio/plano
internacional	estrangeiro/alienígena
estúpido	retardado/imbecil/idiota/sonso/lerdo
ambíguo	indefinido/impreciso/dúbio/confuso
humanitário	civilizado/misericordioso/compassivo/humano
maturo	velho
desassossegado	tenso/desconfortável
liberal	caridoso/esquerdista
explicável	compreensível/solúvel
gregário	social
solúvel	explicável
profícuo	rendoso/lucrativo/proveitoso/propício/oportuno/cómodo
são	saudável/racional
antinatural	sobrenatural/paranormal/afetado
esporádico	infrequente
otimista	positivo
extenuante	prejudicial/nocivo/daninho/danoso/inumano/desumano
similar	mesmo
instável	inseguro/oscilante
favorável	afirmativo/boa/rendoso/lucrativo/proveitoso/propício/oportuno/cómodo
preciso	específico/inconfundível/aprimorado/perfeito/literal/acurado/exacto/exato/correcto/correto/justo/certo
aconselhável	prudente/judicioso/sensato/sábio
independente	livre
rítmico	regular
baixo	inferior
raro	infrequente
composto	intrincado
compatível	congenial/harmonioso
ordinário	costumeiro/genérico/geral/usual/habitual/comum
infeliz	pesaroso/triste
inumano	árduo/dolorido/doloroso/extenuante/doído
imoral	maléfico/má/ruim/malvado/injusto/indigno/desonroso
apressado	rápida/rápido
imprevisível	incerto
abrupto	rápido/rápida
distante	longe/longínquo
simples	singelo/fácil
entusiástico	passional
varão	macho
sensato	atento/sábio/prudente/cautelosa/responsável
descuidado	imprudente
macio	fino/escorregadio/plano/comestível
animado	alegre/grato/contente/astuto
paralela	simétrico/comparável
desconhecido	estrangeiro/estranho
audaz	bravo/valente/afoito/arrojado/brava/corajoso/aventureiro
amorável	desejável/carinhoso/afectuoso/amoroso/amigável
pacato	pacífico
nacional	doméstica
airoso	gracioso/grácil/mimoso
dianteiro	progressivo/primeiro
implícito	conotativo
erudito	profundo/entranhado
frutífero	fecundo/produtor/produtivo
realístico	existente/possível/prático
fresco	novo/frio
precioso	caro/decoroso/importante
destrutivo	prejudicial/nocivo/daninho/danoso
grácil	civilizado/gracioso/garboso/airoso/elegante/exigente
sarcástico	desrespeitoso
previsível	certo
genérico	comum
respeitável	decoroso/boa
forte	resistente/grosso/poderoso
imaturo	jovem
importante	precioso/valioso/significante/decisivo/significativo
alegre	animador/animado/contente
ineficaz	infértil/estéril/improdutivo/impotente
cobarde	timorato/receoso
desperto	consciente/alerta/ciente/informado
desmaiado	adormecido
sincera	legítimo/honrado/genuíno/autêntico/correto/verdadeiro
fino	liso/macio/tênue/magro/estreito
indistinto	confuso
convergente	oblíquo
próprio	apropriado/correto/justo/certo
cromático	marrom/castanho
atípico	anormal
literal	exato/preciso/correcto/certo
proeminente	indiscreto/imprudente
doloroso	prejudicial/nocivo/daninho/danoso/inumano/desumano
comunicativo	tagarela
proveitoso	fecundo/produtor/produtivo/favorável/profícuo/propício
regular	sistemático/simétrico/rítmico
santa	sagrado/dedicado
saudável	são/salubre
industrial	progressivo
padrão	normal
sexy	excitante/emocionante
amoroso	passional/amorável/empenhado
triste	pesaroso/infeliz
feminina	feminino
desonroso	falso/errado/corrupto/imoral/injusto/indigno
satisfatório	aceitável/capaz/adequado
sabido	familiar
esquentado	passional
saliente	indiscreto/imprudente
desnivelado	inseguro/oscilante/áspero
inofensivo	indolor/benigno/inócuo
pessoal	privado
legal	lícito/legítimo
integrado	unido/solidário
sociável	social/amigo/amigável/amistoso
quieto	pacífico/suave
impróprio	inútil
desumano	árduo/dolorido/doloroso/extenuante/doído
desajeitado	estranho/esquisito
atual	contemporâneo/moderno/novo
rendoso	produtor/produtivo/favorável/profícuo/propício
competente	eficiente/qualificado/talentoso/capaz/habilidoso
definitivo	inconfundível
justo	imparcial/nobre/decoroso/inocente/moral/boa/próprio/adequado/conveniente/verdadeiro/acurado/exacto/exato/preciso/correcto/correto/certo
construtivo	positivo
empenhado	carinhoso/afectuoso/amoroso
sistemático	organizado/regular
moral	nobre/reto/justo/recto/boa/casta/casto/honrado
quiet	suave
oportuno	favorável/profícuo/propício
improdutivo	ineficaz/impotente
corajoso	audaz/audacioso/bravo/valente/afoito/arrojado/brava/aventureiro
dócil	obediente/tratável
profundo	intenso/intensivo/erudito
cooperativo	serviçal/prestável
casual	infrequente
recente	novo
formal	corriqueiro/convencional/retórico
partido	imperfeito/danificado/ferido
destro	direita/direito
ruidoso	berrante/alto
possível	realístico/provável/prático
autêntico	verdadeiro/existente/sincero/honesto/sincera
tóxico	prejudicial/nocivo/daninho/danoso
desacordado	adormecido
noticioso	informativo
calmo	pacífico
grato	animador/animado/contente
prudente	sábio/responsável/cautelosa/judicioso/sensato/cauto/cauteloso/atento/diligente
solto	lasso
original	primário/criador/primeiro/criativo/produtor/produtivo
bravo	audaz/audacioso/valente/afoito/arrojado/brava/corajoso/aventureiro
rico	privilegiado/lauto/farto/bastante/basto/copioso/abundante
infértil	ineficaz/impotente
devoto	religioso/piedoso
certo	previsível/aprimorado/perfeito/literal/próprio/adequado/conveniente/verdadeiro/preciso/exato/acurado/justo/exacto
perfeito	utópico/exato/preciso/correcto/certo
plausível	crível
qualificado	habilitado/competente
precoce	primeiro
inócuo	inofensivo/indolor/benigno
coerente	racional/lógico
alerta	astuto/vívido/desperto/acordado/cuidadoso/cauteloso
impressionante	comovente
corrente	contemporâneo/moderno/novo
suave	moderado/quieto/quiet
intato	indene/indemne
velho	sênior/experimentado/experiente/maturo/maduro/passado
desobediente	silvestre/selvagem/ruim/desafiador/incorrigível/teimoso/obstinado/intratável
leigo	profano
insalubre	doente/enfermo/inapropriado
significante	importante/significativo
típico	característico
incompreensível	inexplicável/confuso
oblíquo	divergente/convergente/inclinado
salgada	saboroso
covarde	timorato/receoso
frouxo	lasso
frio	gelado/congelado/fresco/frígido
correcto	aprimorado/perfeito/literal/preciso/exato/acurado/justo/exacto
doente	adoentado/doentio/insalubre/enfermo/inapropriado
considerável	grande
imperfeito	partido
audível	alto/berrante
primário	original/primeiro
inexorável	inconquistável
experiente	grosso/resistente/habilidoso/talentoso
humano	civilizado/misericordioso/compassivo
caridoso	liberal
satisfeito	contente
diligente	ocupado/cautelosa/prudente/atento
comilão	indulgente
existente	remanescente/autêntico/genuíno/legítimo/realístico/concreto
honesto	legítimo/honrado/genuíno/autêntico/correto/verdadeiro
repentino	rápido/rápida
monótono	incolor
ativo	vívido
característico	típico
eufórico	contente
júnior	jovem/subalterno
formoso	gracioso/aprazível
racional	lógico/sadio/são/razoável
lasso	solto/frouxo
perpendicular	reto/íngreme
crível	plausível
negligente	imprudente
duradouro	estável/inalterável
lacônico	taciturno
celeste	sagrado
negro	escuro
prejudicial	maligno/ofensivo/ofensiva/desvantajoso/nocivo/destrutivo/árduo/dolorido/doloroso/extenuante/doído/tóxico
espesso	largo/amplo/gordo
privilegiado	afortunado/rico
concreto	tangível/existente/prático
subordinado	subalterno/inferior
inseguro	inquieto/precário/instável/desnivelado/perigoso
legítimo	verdadeiro/existente/sincero/honesto/sincera/legal
impotente	infértil/estéril/improdutivo/débil/inútil/ineficaz
gelado	frio
caloroso	quente
contemporâneo	novo/tardio/corrente/actual/atual
ferido	danificado/partido
acordado	consciente/alerta/ciente/informado
lauto	rico
sênior	velho
abaixo	descendente
bastante	rico
Limpo	exigente/limpo
verdadeiro	autêntico/genuíno/legítimo/sincera/honesto/sincero/correto/justo/certo
progressivo	dianteiro/industrial
sagrado	religioso/piedoso/celeste/dedicado
garboso	gracioso/grácil/mimoso
congelado	frio
pesaroso	triste/infeliz
misericordioso	clemente/amável/humanitário/humano/brando
óbvio	aberto
sincrônico	síncrono
desatento	inconsiderado
inteligível	compreensível
provável	possível
direita	destro
doce	saboroso
valente	corajoso/bravo/audaz/audacioso/aventureiro
largo	amplo/exaustivo/espesso/grosso
cauto	cautelosa/prudente/atento
retardado	estúpido/lerdo
macho	varonil/viril/varão
bonito	gracioso/aprazível
figurativo	retórico
simétrico	paralelo/paralela/regular
infrequente	raro/casual/esporádico
familiar	sabido
rotineiro	ordinário/costumeiro/genérico/comum/geral/usual/habitual
determinável	calculável
frígido	frio
precário	inseguro/oscilante
quente	caloroso/passional
semelhante	mesmo
salubre	saudável
experimentado	grosso/resistente/habilidoso/talentoso
ciente	consciente/desperto/acordado/sensível
harmonioso	compatível
tenro	brando/comestível
compreensível	explicável/inteligível
rápido	apressado/abrupto/repentino
acurado	exato/preciso/correcto/correto/justo/certo
moderno	novo/tardio/corrente/actual/atual
sábio	prudente/judicioso/sensato/aconselhável
comum	solidário/rotineiro/normal/ordinário/costumeiro/genérico/geral/usual/habitual
novo	contemporâneo/moderno/fresco/recente/corrente/actual/atual
santo	sagrado/dedicado
íngreme	perpendicular/fio_de_prumo/vertical
hirto	sujo
feminino	feminina
belo	gracioso/aprazível
congenial	amigo/amigável/amistoso/compatível
confuso	indistinto/indefinido/impreciso/ambíguo/dúbio/opaco/incompreensível
adequado	apropriado/correto/justo/certo/satisfatório
salgado	saboroso
esgotável	substituível
taciturno	sucinto/lacônico/conciso/lacónico
incerto	imprevisível
inconquistável	inexorável/invulnerável
paranormal	afetado/antinatural
perigoso	inseguro
ambicioso	empreendedor
amplo	exaustivo/espesso/grosso/largo/geral/completo/integral
digerível	comestível
impreciso	geral/dúbio/ambíguo/confuso
lucrativo	produtor/produtivo/favorável/profícuo/propício
esotérico	privado
saboroso	desgradável/acídulo/doce/apetitoso/salgada/salgado
imbecil	lerdo/estúpido
auspicioso	propício
imprescindível	necessário
vertical	reto/íngreme
sintético	lógico
valioso	caro/decoroso/importante
injusto	incorrecto/desonroso/imoral/parcial
singelo	simples/fácil
idiota	lerdo/estúpido
ofensivo	prejudicial/nocivo/daninho/danoso/desrespeitoso/maléfico/má/ruim/malvado/abominável/desagradável
organizado	sistemático
farto	rico
magro	fino
dedicado	sagrada/santa/sagrado/santo
optimista	positivo
imprevisto	surpreendente
afável	amável/simpático
interessante	emocionante/excitante
mesmo	similar/semelhante/parelho/idêntico/análogo
sincero	legítimo/honrado/genuíno/autêntico/correto/verdadeiro
invulnerável	inconquistável/protegido
síncrono	sincrônico
limitado	mortal
necessário	indispensável/obrigatório/imprescindível
entusiasmado	inquieto
abominável	malvado/ofensivo
desvantajoso	prejudicial/nocivo/daninho/danoso
implacável	impiedoso
emocionante	interessante/sexy
áspero	rugoso/desnivelado
profano	leigo/secular
impiedoso	implacável/sangrento
limpo	Limpo
gordo	espesso/grosso
guloso	indulgente
sucinto	taciturno
inalienável	intrínseco
poderoso	efetivo/eficiente/forte
chato	incolor
estéril	ineficaz/impotente
aventureiro	valente/afoito/arrojado/brava/audacioso/audaz/bravo/corajoso
informado	consciente/desperto/acordado/sensível
lhano	amável/simpático
audacioso	bravo/valente/afoito/arrojado/brava/corajoso/aventureiro
diferente	vário/incompatível/desigual
plano	liso/macio
permanente	estável/inalterável
entranhado	intenso/intensivo/erudito
homogêneo	mesmo
conspícuo	indiscreto/imprudente
indulgente	comilão/guloso
prestativo	funcional/prático
excitante	interessante/sexy
inexplicável	incompreensível
empreendedor	aventureiro/ambicioso
responsável	prudente/judicioso/sensato
rabo	traseiro
clemente	misericordioso/compassivo
