apertado	tenso
em_forma	saudável/são/salubre/bem/digno_de_confiança
desinteressante	sem_cor/incolor
protegido	invulnerável
resistente	experiente/experimentado/forte
religioso	virtuoso/digno/nobre/sagrado/devoto/piedoso
honesta	legítimo/honrado/genuíno/autêntico/correto/verdadeiro
esbelto	digno/gracioso/grácil/mimoso/sofisticado/fino
ampla	extenso/detalhado/amplo/abrangente/exaustivo/espesso/grosso
animador	alegre/grato/feliz/contente
ocupado	diligente
válido	razoável/legítimo
oco	intrusivo/vazio
vago	dúbio/ambíguo/confuso
denotativo	explícito
obstinado	inflexível/intratável/não_governável/desobediente
individual	separado
genuíno	verdadeiro/existente/sincero/honesto/honesta/sincera
masculina	masculino/varonil/viril/varão/macho
prolixo	tagarela
móvel	movente
integral	completo/totalizado/extenso/detalhado/amplo/abrangente/exaustivo/inteiro
outro	separado
automático	mecânico
imprudente	negligente/descuidado/tolo
afirmativo	positivo/vantajoso/favorável
desprezível	indigno
prático	realístico/possível/concreto/prestativo
variável	inconsistente/inconstante
insustancial	imaterial
boa	favorável/obediente/melhor/respeitável/virtuoso/nobre/decoroso/digno/moral/reto/justo/eqüitativo/recto/bom
infortunoso	mal_sucedido/sem_sucesso
criativo	original/produtor/produtivo
fermentado	saboroso
ruim	desfavorável/pior/maléfico/mau/má/maléfica/malvado/desobediente/imoral/ofensivo/incorrecto/que_não_tem_razão/malvada/iniquo
violento	malvado
escuro	negro/preto/atro
moderado	suave
rugoso	áspero
iniquo	imoral/maléfico/mau/má/ruim/maléfica/malvado/incorrecto/que_não_tem_razão
ineficiente	inútil/vão/incompetente
inferior	pior/deprimido/subordinada/subordinado/baixo/baixa
produtivo	próspero/bem-sucedido/bem_sucedido/fértil/fecundo/frutífero/original/criativo/criador/rendoso/lucrativo/proveitoso
apropriado	próprio/adequado/conveniente
desaconselhável	imprudente/tolo
berrante	audível/ruidoso/barulhento
surpreendente	imprevisto/inesperado
equitativo	imparcial
paciente	tolerante/resignado
movente	móbil/móvel
sujo	indecente/eriçado/hirto
malvado	ruim/imoral/incorrecto/que_não_tem_razão/malvada/iniquo/agressivo/ofensivo/de_ataque/abominável/violento
prospectivo	futuro
convencional	ceremonioso/formal
má	ruim/imoral/ofensivo/incorrecto/que_não_tem_razão/malvada/iniquo
razoável	válido/racional/lógico
doméstica	nacional
susceptível	sensível/vulnerável
escorregadio	liso/macio
teimoso	inflexível/intratável/não_governável/desobediente
rápida	apressado/repentina/súbito/abrupto/repentino
sonso	lerdo/estúpido
estável	constante/imutável/duradouro/permanente
não_comunicativo	taciturno
lacónico	taciturno
indefinido	dúbio/ambíguo/confuso
perplexo	hesitante
apetitoso	saboroso
cortês	respeitoso
usual	comum
estranho	desajeitado/feio/feia/estrangeiro/desconhecido
respeitoso	cortês
ávido	entusiástico/entusiasta
inapto	inútil/vão
extraordinário	incomun/inusual/insólito/impressionante/superior/incomparável
aceitável	satisfatório
bem_acabado	específico/inconfundível/correcto/certo/preciso/exato/acurado/justo/exacto
lógico	razoável/artificial/sintético/analítico/consequente/coerente/conseqüente/racional
substancial	material
enérgico	ativo/empreendedor/dinâmico/vívido
côncavo	intrusivo
ilegal	corrupto/fora_da_lei/ilegítimo
ofensiva	prejudicial/nocivo/daninho/danoso/desrespeitoso
receoso	timorato/covardemente/covarde/cobarde
que_oferece_várias_aspectos	heterogênea/heterogêneo/diferente
bom	favorável/obediente/melhor/respeitável/virtuoso/nobre/decoroso/digno/moral/reto/justo/eqüitativo/recto/boa
melhor	superior/bom/boa/incomparável
temporão	primeiro
fiel	patriótico/leal
socialista	esquerdista
antigo	desgastado/passado
interno	central
indene	digno_de_confiança/intato/seguro/indemne
enfermo	doente/adoentado/doentio/insalubre/inapropriado
informativo	noticioso
substituível	esgotável/sacrificável
infinito	imortal
produtor	próspero/bem-sucedido/bem_sucedido/fértil/fecundo/frutífero/original/criativo/criador/rendoso/lucrativo/proveitoso
finito	mortal
físico	concreto
parelho	comparável/mesmo/o_mesmo
desrespeitoso	ofensiva/ofensivo/sarcástico
feio	estranho/esquisito
adoentado	doente/enfermo/inapropriado
energético	ativo/empreendedor/dinâmico/vívido
grosso	experiente/experimentado/forte/largo/ampla/amplo/gordo
insípido	presumido/deselegante
ilegítimo	nulo/inválido/ilegal
veloz	apressado/repentina/súbito/abrupto/repentino
miserável	mal_sucedido/sem_sucesso
desesperado	desencorajante/pessimista/impossível
amável	brando/misericordioso/compassivo/benigno/afável/gentil/lhano/simpático/agradável
imutável	permanente/duradouro/constante/estável/plano/no_mesmo_nível
intratável	desafiador/teimoso/obstinado/teimosa/silvestre/selvagem/desobediente
estreito	estreita/fino
passional	queama/carinhoso/afectuoso/amoroso/esquentado/quente/emocional/entusiástico/entusiasta
nulo	ilegítimo
vão	desempregado/impróprio/ineficiente/inapto/impotente/inútil
teimosa	inflexível/intratável/não_governável/desobediente
inquieto	impaciente/inseguro/oscilante/entusiasmado/excitada/excitado/tenso
interminado	áspero
incompatível	diferente
flexível	elástico
entusiasta	passional
desgradável	saboroso
caro	precioso/valioso
corriqueiro	ceremonioso/formal
exato	aprimorado/perfeito/textual/literal/acurado/exacto/bem_acabado/precisa/preciso/correcto/correto/justo/certo
casta	virtuoso/digno/nobre/moral/puro
inválido	ilegítimo
escasso	insuficiente/minimum/mínimo
afetado	emocional/trasladado/sobrenatural/sobrecomum/paranormal/Fenômenos_paranormais
afiado	pontudo
constante	estável/imutável/inalterável/invariável
desafiador	intratável/não_governável/desobediente
astuto	ágil/alerta/animado/bem_disposto/hábil
directo	reto
comparável	paralelo/paralela/parelho/idêntico/igual/análogo
mal_sucedido	infortunoso/infeliz/miserável
arrojado	corajoso/sem_medo/destemido/bravo/audaz/audacioso/aventureiro
constituído	digno
desagradável	horrível/antipático/ofensivo
incrível	inverossímil
despadronizado	inseguro/oscilante/áspero
prestável	lhano/serviçal/gentil/afável/amável/útil/cooperativo/encorajador
indispensável	essencial/necessário
complexo	árduo/difícil/foda/intrincado/composto
desuniforme	inseguro/oscilante/áspero
débil	impotente/delicado
pacífico	quieto/calmo/amigável
talentoso	habilitado/competente/experiente/experimentado
vulnerável	inseguro/suscetível/susceptível/perigoso
heterogêneo	diferente/que_oferece_várias_aspectos/vário
positivo	afirmativo/optimista/otimista/construtivo
dolorido	prejudicial/nocivo/daninho/danoso/inumano/desumano
igual	comparável/mesmo/o_mesmo
excitado	inquieto
deselegante	insípido
homogênea	invariável/uniforme/mesmo/o_mesmo
brava	corajoso/sem_medo/destemido/bravo/audaz/audacioso/aventureiro
social	sociável/gregário/amigo/amigável/amistoso
nocivo	maligno/ofensivo/danoso/desfavorável/daninho/ofensiva/desvantajoso/caluníe/prejudicial/destrutivo/árduo/dolorido/doloroso/extenuante/doído/tóxico
suscetível	sensível/vulnerável
simpático	boa!/afável/amável/gentil/lhano/aprazível
não_ético	incorrecto/que_não_tem_razão
direito	destro
explícito	unívoco/inequívoco/aberto/denotativo/definitivo
inteiro	completo/integral/totalizado
fácil	simples/singelo/brando
democrático	eleito
sangrento	imisericordioso/impiedoso
lento	gradual
inútil	desempregado/impróprio/ineficiente/inapto/indigno/impotente/vão
actual	contemporâneo/moderno/novo
maléfico	ruim/imoral/ofensivo/incorrecto/que_não_tem_razão/malvada/iniquo
devagar	gradual
correto	próprio/adequado/conveniente/verdadeiro/preciso/exato/acurado/justo/exacto
quadrado	angular/angulado
inconstante	volátil/infiel/instável/precário/variável/mutável
cálido	amigo/amigável/amistoso/emocional
obrigatório	necessário/essencial
f''	irreal/não_material
conclusivo	decisivo
malvada	imoral/maléfico/mau/má/ruim/maléfica/malvado/incorrecto/que_não_tem_razão
ortodoxo	conservador
abrangente	largo/ampla/amplo/geral/completo/integral/totalizado
afoito	corajoso/sem_medo/destemido/bravo/audaz/audacioso/aventureiro
útil	prestativo/efetivo/eficaz/eficiente/serviçal/prestável/rendoso/lucrativo/proveitoso/amigo/amigável/amistoso/simpática/compatível
opaco	confuso
segregado	separado
elegante	digno/gracioso/grácil/mimoso/sofisticado
domesticada	nacional
sagrada	sagrado/dedicado
desfavorável	ruim/crítico/malvado/prejudicial/nocivo/daninho/danoso
analítico	lógico
danificado	lesionado/atingido/deteriorado/destruído/ferido/partido/quebrado
intrínseco	inalienável/essencial
viril	macho/masculina/masculino
silvestre	desobediente/intratável/não_governável
unívoco	não_ambíguo
simpática	amável/útil/congenial
incorreto	falso/errado
colectivo	unido/solidário
afectuoso	passional/amorável/empenhado
incomparável	extraordinário/melhor
preventivo	proteccionista
glorioso	sabido
maléfica	ruim/imoral/ofensivo/incorrecto/que_não_tem_razão/malvada/iniquo
criador	original/produtor/produtivo
desconfortável	desassossegado
falso	errado/incorreto/desonroso
posterior	de_trás/traseiro/rabo
atingido	avariado/danificado/ferido
amigo	congenial/amigável/útil/social/cálido/sociável
desempregados	desempregado
salvado	bendito/encontrado
descendente	abaixo
aprazível	bonito/formoso/lindo/belo/atraente/humorístico/engraçado/simpático/agradável
capaz	apropriado/satisfatório/habilitado/competente
exacto	bem_acabado/precisa/exato/preciso/correcto/correto/justo/certo
timorato	receoso/covardemente/covarde/cobarde
engraçado	aprazível
habilidoso	habilitado/competente/experiente/experimentado
mentalmente_são	racional
indecente	suja/sujo
artificial	lógico/irreal/não_material
de_ataque	agressivo/malvado
forgoso	caloroso
não_material	sobrecomum/artificial/f''/sobrenatural
oscilante	inquieto/precário/despadronizado/instável/desuniforme/desnivelado
inconsiderado	desatento
precisa	específico/inconfundível/correcto/certo/preciso/exato/acurado/justo/exacto
costumeiro	ordinário/genérico/geral/usual/habitual/comum
sortudo	afortunado
benigno	inofensivo/inócuo/que_não_causa_danos/amável
remanescente	existente
inviável	impossível
móbil	movente
insano	irracional
doentio	doente/enfermo/inapropriado
angular	pontudo/quadrado
aprimorado	utópico/exato/preciso/correcto/certo
esquisito	desajeitado/feio/feia
análogo	comparável/mesmo/o_mesmo
hábil	astuto
piedoso	virtuoso/digno/nobre/sagrado/devoto/religioso
inconfundível	bem_acabado/preciso/precisa/definitivo
inalterável	permanente/duradouro/constante
civilizado	grácil/mimoso
dúbio	indefinido/impreciso/vago/ambíguo/confuso
doído	prejudicial/nocivo/daninho/danoso/inumano/desumano
encontrado	salvado
dispensável	desnecessário/desnecessária
corrupto	imoral/ilegal/fora_da_lei/desonroso
parcial	injusto/incompleto
correto	lícito/sincera/honesta/honesto/sincero
habitual	comum
árduo	prejudicial/nocivo/daninho/danoso/inumano/desumano
impaciente	inquieto
basto	rica/rico
terminado	liso/macio
domesticado	nacional
tratável	manipulável/obediente/complacente/submisso/dócil/manso
lesionado	avariado/danificado/ferido
detalhista	Limpo/grácil/mimoso
liso	fino/escorregadio/plano/no_mesmo_nível
branco	claro
internacional	extrangeiro/estrangeiro/alienígena
estúpido	retardado/imbecil/idiota/sonso/lerdo
ambíguo	indefinido/impreciso/vago/dúbio/confuso
essencial	intrínseco/intrínseca/crítico/importante/crucial/primário/necessário/que_não_pode_ser_dispensado/indispensável/obrigatório/imprescindível
heterogênea	diferente/que_oferece_várias_aspectos/vário
humanitário	civilizado/misericordioso/compassivo/humano
maturo	velho
desassossegado	tenso/desconfortável
liberal	caridoso/esquerdista
finalizado	liso/macio
conservador	ortodoxo
explicável	compreensível/solúvel
gregário	social
solúvel	explicável
profícuo	rendoso/lucrativo/proveitoso/propício/oportuno/cómodo
são	bem/em_forma/saudável/racional
antinatural	sobrenatural/sobrecomum/paranormal/Fenômenos_paranormais/afetado
esporádico	infrequënte/infrequente/infreqüente
otimista	vantajoso/positivo
extenuante	prejudicial/nocivo/daninho/danoso/inumano/desumano
similar	mesmo/o_mesmo
instável	inseguro/oscilante/inconstante/temporário
caluníe	prejudicial/nocivo/daninho/danoso
favorável	afirmativo/gratís/bom/boa/rendoso/lucrativo/proveitoso/propício/oportuno/cómodo
preciso	específico/inconfundível/aprimorado/perfeito/textual/literal/acurado/exacto/bem_acabado/precisa/exato/correcto/correto/justo/certo
trasladado	afetado/emocional
aconselhável	prudente/judicioso/sensato/sábio
independente	livre/gratís/separado
rítmico	regular
infrequënte	raro/casual/esporádico
baixo	inferior/deprimido
raro	infrequënte/infrequente/infreqüente
composto	complexo/intrincado
compatível	útil/congenial/harmonioso
ordinário	costumeiro/genérico/geral/usual/habitual/comum
separado	outro/independente/segregado/individual
infeliz	pesaroso/destestável/discontente/triste/mal_sucedido/sem_sucesso
inumano	árduo/dolorido/doloroso/extenuante/doído
imoral	maléfico/mau/má/ruim/maléfica/malvado/malvada/iniquo/injusto/mal_afamado/indigno/desonroso
extrovertido	passado
apressado	veloz/rápida/rápido
imprevisível	incerto
abrupto	rápido/rápida/veloz
distante	longe/longínquo
simples	singelo/fácil
entusiástico	passional
agressivo	assertivo/peremptório/ofensivo/de_ataque/malvado
varão	masculino/masculina/macho
sensato	atento/sábio/prudente/cautelosa/cuidadosa/responsável
descuidado	imprudente/superficial/sem_cuidado/desatencioso
macio	fino/escorregadio/plano/no_mesmo_nível/comestível
boa!	agradável/simpático
animado	alegre/grato/feliz/contente/astuto
paralela	simétrico/comparável
desconhecido	estrangeiro/pouco_familiar/estranho
mau	ruim/imoral/ofensivo/incorrecto/que_não_tem_razão/malvada/iniquo
audaz	bravo/valoroso/valente/afoito/arrojado/brava/corajoso/destemido/sem_medo/aventureiro
amorável	desejável/queama/carinhoso/afectuoso/amoroso/amigável
pacato	pacífico
nacional	doméstica/domesticado/domesticada
airoso	digno/gracioso/grácil/mimoso/sofisticado
sem_sucesso	infortunoso/infeliz/miserável
dianteiro	progressivo/primeiro
implícito	conotativo/conotativa
erudito	crítico/profundo/entranhado/intelectual
frutífero	fecundo/fértil/produtor/produtivo
realístico	existente/possível/prático
que_não_pode_ser_dispensado	essencial/necessário
fresco	novo/frio
precioso	caro/decoroso/digno/importante
destrutivo	prejudicial/nocivo/daninho/danoso
grácil	civilizado/gracioso/esbelto/garboso/airoso/elegante/detalhista/exigente
encorajador	serviçal/prestável
no_mesmo_nível	imutável/liso/macio
sarcástico	crítico/desrespeitoso
previsível	seguro/inevitável/certo
genérico	comum
estreita	fino/estreito
respeitável	decoroso/digno/bom/boa
forte	resistente/grosso/poderoso
imaturo	prematuro/prematura/jovem
fértil	potente/frutífero/proveitoso/fecundo/produtor/produtivo
involuntária	desfalecido/esmaecido/desmaiado/inconsciente/incônscio/desacordado
importante	precioso/valioso/significante/essencial/decisivo/crítico/significativo
ritmado	regular
alegre	animador/animado/contente
ineficaz	infértil/estéril/improdutivo/impotente
falta_de_esperança	desencorajante/pessimista/impossível
cobarde	timorato/receoso
desperto	consciente/alerta/ciente/informado
desmaiado	involuntária/adormecido
sincera	legítimo/honrado/genuíno/autêntico/correto/verdadeiro
fino	liso/macio/tênue/esbelto/magro/estreita/estreito
indistinto	confuso
convergente	oblíquo
próprio	apropriado/correto/justo/certo
cromático	colorido/marrom/castanho
atípico	anormal
literal	exato/preciso/correcto/certo
proeminente	indiscreto/imprudente
doloroso	prejudicial/nocivo/daninho/danoso/inumano/desumano
comunicativo	tagarela
proveitoso	fecundo/fértil/útil/produtor/produtivo/favorável/profícuo/vantajoso/propício
regular	sistémico/sistemático/simétrico/ritmado/rítmico
santa	sagrado/dedicado
saudável	em_forma/são/salubre/bem/digno_de_confiança
sofisticado	gracioso/esbelto/garboso/airoso/elegante/letrado/alfabetizado/leigo/secular/cosmopolita
industrial	progressivo
padrão	normal
sem_medo	valoroso/valente/afoito/arrojado/brava/audacioso/audaz/bravo/destemido/corajoso
suja	indecente/eriçado/hirto
sexy	excitante/emocionante
amoroso	passional/amorável/empenhado
triste	pesaroso/destestável/discontente/infeliz
feminina	feminino
desonroso	falso/errado/corrupto/imoral/injusto/mal_afamado/indigno
satisfatório	aceitável/capaz/adequado
sabido	glorioso/familiar
esquentado	passional
envergonhado	penitente
saliente	indiscreto/imprudente
intelectual	mental/erudito
desnivelado	inseguro/oscilante/áspero
desempregado	desempregados/inútil/vão
persuasivo	convincente
inofensivo	indolor/benigno/inócuo/seguro
pessoal	privado
legal	lícito/legítimo
integrado	unido/solidário
sociável	social/amigo/amigável/amistoso
quieto	pacífico/suave
impróprio	inútil/vão
desumano	árduo/dolorido/doloroso/extenuante/doído
perecível	destrutível
desajeitado	estranho/esquisito
atual	contemporâneo/moderno/novo
aberto	explícito/público
rendoso	útil/produtor/produtivo/favorável/profícuo/vantajoso/propício
competente	eficiente/qualificado/talentoso/capaz/habilidoso
definitivo	inconfundível/explícito
justo	imparcial/virtuoso/nobre/decoroso/digno/inocente/moral/bom/boa/próprio/adequado/conveniente/verdadeiro/acurado/exacto/bem_acabado/precisa/exato/preciso/correcto/correto/certo
construtivo	vantajoso/positivo
feia	estranho/esquisito
empenhado	queama/carinhoso/afectuoso/amoroso
sistemático	organizado/regular
moral	nobre/digno/virtuoso/reto/justo/eqüitativo/recto/bom/boa/casta/casto/honrado
quiet	suave
inconsistente	variável
oportuno	favorável/profícuo/vantajoso/propício
improdutivo	ineficaz/impotente
corajoso	audaz/audacioso/bravo/valoroso/valente/afoito/arrojado/brava/destemido/sem_medo/aventureiro
dócil	obediente/tratável
profundo	intenso/intensivo/erudito
cooperativo	serviçal/prestável
casual	infrequënte/infrequente/infreqüente
recente	novo
formal	corriqueiro/convencional/retórico/ceremonioso
partido	imperfeito/avariado/danificado/ferido/imcompleto/com_imperfeições
destro	direita/direito
ruidoso	cacofônico/estrepitante/alta/berrante/alto
possível	realístico/provável/prático
autêntico	verdadeiro/existente/sincero/honesto/honesta/sincera
tóxico	prejudicial/nocivo/daninho/danoso
desacordado	involuntária/adormecido
noticioso	informativo
calmo	pacífico
grato	animador/animado/contente
que_pode_ser_dispensado	desnecessário/desnecessária
prudente	sábio/cuidadosa/responsável/cautelosa/judicioso/sensato/cauto/cauteloso/atento/diligente
emocional	passional/afetado/trasladado/comovente/cálido
valoroso	corajoso/sem_medo/destemido/bravo/audaz/audacioso/aventureiro
superficial	frívolo/fútil/descuidado/negligente
solto	lasso
original	primário/não_usual/criador/primeiro/criativo/produtor/produtivo
esperto	inteligente
totalizado	extenso/detalhado/amplo/abrangente/exaustivo/integral/inteiro
bravo	audaz/audacioso/valoroso/valente/afoito/arrojado/brava/corajoso/destemido/sem_medo/aventureiro
rico	privilegiado/lauto/farto/bastante/basto/copioso/abundante
infértil	ineficaz/impotente
sã	racional
devoto	religioso/piedoso
certo	previsível/que_se_pode_prever/aprimorado/perfeito/bem_acabado/precisa/textual/literal/próprio/adequado/conveniente/verdadeiro/preciso/exato/acurado/justo/exacto
partilhado	solidário
perfeito	utópico/exato/preciso/correcto/certo
plausível	crível/acreditável
qualificado	habilitado/competente/elegível
bem_disposto	astuto
precoce	inteligente/primeiro
inócuo	inofensivo/indolor/benigno/seguro/que_não_causa_danos
coerente	racional/lógico
alerta	astuto/vívido/desperto/acordado/cuidadoso/cauteloso
impressionante	comovente
convincente	persuasivo
corrente	contemporâneo/moderno/novo
angulado	pontudo/quadrado
suave	moderado/silencioso/quieto/quiet
intato	indene/indemne
velho	sênior/experimentado/experiente/maturo/maduro/desgastado/passado
desobediente	silvestre/selvagem/ruim/desafiador/incorrigível/teimoso/obstinado/teimosa/intratável/não_governável
digno_de_confiança	são/salubre/saudável/em_forma/indene/intato/indemne
peremptório	agressivo
de_trás	traseiro/posterior/rabo
leigo	profano/sofisticado
incapaz	incompetente
insalubre	doente/enfermo/inapropriado
significante	importante/significativo
típico	característico/caraterístico
incompreensível	inexplicável/confuso
eqüitativo	virtuoso/nobre/decoroso/digno/inocente/moral/bom/boa
oblíquo	divergente/convergente/inclinado
temporário	instável/precário
salgada	saboroso
covarde	timorato/receoso
frouxo	lasso
acabado	liso/macio
gratís	favorável/independente
frio	gelado/congelado/fresco/frígido
