meloeiro	fruta
agressão	contenda/ação/luta/batalha/combate/atividade
Automobilismo	carreira/corrida
lantejoula	decoração/ornamento
nazista	fascista
extinção	atividade/morte/aniquilação/desintegração/conclusão/aniquilamento
ramificar	crescer/mudar/aumentar/alterar
gesto	Gesto/presságio/Comunicação_Visual/comunicação_visual/indício/agouro/indicação/sinal/mudança
afro-americana	estado-unidense
sinistro	demanda/procura
preferência	handicap/afeição/predisposição/direito/intercorrência/escolha/eleição/alternativa/lucro/utilidade/vantagem
Lixívia	agente
drive-in	instalação/infra-estrutura/serviço
Presidente	presidência
vulgaridade	comentário/profanação/Palavrão/observação
reconfirmar	confirmar
exatidão	correção/qualidade/precisão/exactidão
naturalista	filósofo/biólogo/biologista
etiquetar	anexar
Criatividade	capacidade/talento/faculdade/habilidade
piratear	roubar/furtar
entalhe	impressão
ilusionista	intérprete
Wishful_thinking	ilusão
riacho	córrego
mobiliário	equipamento/jogo/grupo/móvel/mobília
regurgitar	expelir/fluir/alimentar
chibata	instrumento/aparelho/ferramenta
melhorar	aperfeiçoar/alterar/mudar/modificar/tornar/revoltar-se/revoltar
federação	constituição/união/organização/estabelecimento
topo	Torres/face/lado/área/região/extremo/torre/roque
submundo	estrato/classe
ressurgir	provir/originar
Insider_trading	comércio
cingir	rodear/prender
betume	hidrocarboneto/mineral
ponto_final	traseiro/conclusão/área/região/término/fim/cabo
canonizar	declarar/julgar
exonerar	desculpar/perdoar
alteridade	discordância
oligopólio	mercado
neurotoxina	toxina
neutralização	devastação
consumismo	causa/campanha
trompete	metais/Metais
circular	deslocar/formar/mover/manar/fluir/andar/caminhar/viajar
indignar	repelir
distância	região/dimensão/medida/magnitude/tamanho/Distância/espaçamento
latência	tempo/potencial/intervalo
defesa_nacional	justificativa/justificação
calcanhar	esqueleto
ovo	produtos_alimentares/óvulo/alimento
esposar	unificar/reunir
sacudir	atirar/agitar/menear/mexer/deslocar/mover/oscilar/empurrar/forçar/tremer
tez	produtos_alimentares/alimento/cor
mostruário	continente/contentor/caixa/jarro/vaso/vasilha
gesticulação	Gesto/gesto
bê	himenópteros
leigo	plebeu
benedictine	licor
animador	técnico
vela	pano/luz/lâmpada
aquiescer	consentir/concordar
ornitologia	Zoologia/zoologia
desfavorecer	discriminar
ouvir	perceber/aperceber/aperceber-se
Jazz	música_popular/Música_Popular
germicida	agente
planetário	modelo/prédio/edifício
radiografia	ilustração/figura/desenho/foto
desregular	dispensar/liberar
clofibrato	remédio/medicamento/produtos_farmacêuticos
clarinete_baixo	clarinete
sorvedouro	fenda/fluxo/corrente
nártex	sala/saguão/antecâmara/átrio/vestíbulo
proclamação	descrição/declaração/Descrição
turnover	proporção/Taxa
fatia	parte/tomo/pedaço/porção/secção
favorita	desafiante/escolha/concorrente/adversário/contendor/competidor/opositor/selecção
Soleira	pedra
gazela	antílope
George_F._Kennan	diplomata/embaixador
abater	desabar/dividir/minguar/diminuir/decrescer
beluga	boto/golfinho
mortificar	limitar/refrear/magoar/ofender/provocar
numerador	dividendo
cagar	expelir
equalização	acção/ação
galego	línguas_românicas
átrio	quarto/aposento/sala
eterizar	tornar/revoltar-se/revoltar
oásis	refúgio/asilo/região/extensão
especializado	habilidade
modernização	melhoramento/melhoria
caixa	recipiente/banqueiro/tímpano/tambor/equipamento/continente/contentor/jarro/vaso/vasilha
Endotoxina	toxina
bugalho	galha
abotoadura	joalharia/Joalheria
abençoar	conceder/outorgar
grandeza	proporção/extensão/magnitude/atributo/Taxa
Lazer	repouso
Bracelete	joalharia/Joalheria
assentimento	acordo/aliança/aprovação/consenso/conformidade
permanecer	albergar/ficar/restar/atuar/agir/estar/ser
Defense_Advanced_Research_Projects_Agency	Governo/agência
ONG	organização
permitir	conceder/acordar/concordar/deixar/consentir/outorgar/entregar
persuasão	comunicação/comunicado
Knesset	parlamento
irmandade	estrato/classe
correspondência	compatibilidade/semelhança
adquirir	localizar/mudar/alterar/situar/achar/comprar/atingir/atuar/agir/comportar-se/parecer
bebida	oceano/água/porção/nutriente/comida/alimento/ingestão
por	utilizar/usar/empregar
cauterização	cirurgia/operação
backup	duplicação
cálculo_integral	cálculo/Cálculo/Calculo
indústria_cinematográfica	mídia/meios_de_comunicação
circunstância	estado/Ambiente/Estado/situação/condição/informação/ambiente
b	caractér/carácter
ceder	esticar/transferir/acordar/concordar/consentir/entregar/oferecer/regalar
detective	polícia/agente/guarda
empinar	endireitar
lavabo	bacia/pia/tigela
secção	corpo/coisa
ilusão	dissimulação/apresentação/mal-entendido/erro
preterir	desatender/ignorar/negligenciar/eliminar
construtor	creador/contratador/criador
tetraciclina	Bactericida
invulnerabilidade	segurança
errar	andar/caminhar/viajar
pulôver	vestuário/roupa/agasalho
aspergir	molhar
triunfar	derrotar/exultar/ostentar/vangloriar-se/bater/vencer/superar/ultrapassar
recordação	objeto
Afro-americanos	estado-unidense
lista_negra	lista/listagem
escalope	rodela
argumentar	apresentar/clamar/declarar
trituração	esmagamento/compactação
Glasnost	política_social
exceder	sobressair/almejar/aspirar/utilizar/usar/empregar
quantificação	medida/mensuração/medição
copyright	documentação/documentos
adoração	ocupação/atividade
liquidificador	batedeira
qualificar-se	bastar
Flauta	Madeiras
condescender	interagir/atuar/agir
concentrar	tornar/alterar/refletir/pensar/revoltar-se/revoltar/mudar/modificar
tartufo	trapaceiro
dissidente	ser_humano/alguém
Crimes_de_guerra	ofensa/crime
maquinar	planejar
representar	atuar/personificar/igualar/exercer/simbolizar/equivaler/estar/indicar/significar/querer_dizer/ser/incorporar/encarnar/expressar/proferir/recriar/desempenhar/apresentar/figurar
ducado	classe/hierarquia/posição/posto/moeda/prata
redemoinho	fluxo/corrente
tímpano	membrana
salinidade	sabor/atributo
psicanalista	psiquiatra
compensar	equilibrar/dispor/alienar/alterar/mudar/modificar/combinar/pagar
pepino	legume/verdura/hortaliça
Moshav	povoado
Dor	emoção/impressão
anelo	nostalgia/anseio/apetite/pretensão
pomo	fruta/fruto
empossar	instalar
agronomia	ciência
peru	galinha
lustro	período/etapa/tempo
gavião	aves_de_rapina
hostilidade	ação/inimizade/repulsa/ressentimento/condição/estado/situação/aversão/atividade
acompanhamento	ocupação/inspecionar/proteção/prato/atividade/trabalho/examinar/protecção
garrafa	botelha/frasco/biberão/Garrafa/vasilhame/vasilha/vaso
castigar	censurar/reprovar/condenar/repreender/verberar/descompor/penalizar
insurreição	rebelião/luta/conflito
Usina	estação/posto
equipamento_militar	equipamento
depoimento	asserção
salmonete	peixe
Hora-de-ponta	hora
lousa	placa/chapa/produto/utensílio/artefato
limpar	livrar/desaparecer/esvaziar/esvair/esfregar/remover/desimpedir/alterar/mudar/modificar/tirar/cuidar-se
endereçar	utilizar/iniciar/abordar/encetar/usar/empregar
alga	protoctista
reproduzir	repetir/eco/ecoar/produzir/provocar/criar/construir/causar
colonização	estabelecimento/organização/constituição
mercadoria	utensílio/artefato/produto/fazenda
aguilhoar	provocar/esfaquear/apunhalar/incitar
local	posição/lugar
manter	cativar/registrar/achar/direcionar/mirar/apontar/insistir/registar/segurar/ter/afirmar/entregar/pensar/encantar/deliciar/deleitar/fascinar/conservar/reter/adoptar/estar/ser
Thompson	pistola-metralhadora
videocassete	gaveta/Video/vídeo/Vídeo
flamejar	intensificar
debitar	contabilizar/pagar/contar
municipalidade	reunião
algaravia	tolice/insensatez/disparate/besteira
angústia	sofrimento/dor/emoção/impressão
covarde	ser_humano/alguém
mandado	mandato
retor	alto-falante/locutor/palestrante
dona	mulher
regressão	anormalidade
teletransportar	transportar
secretaria	Governo/agência/posto/cargo/posição
dívida_pública	Débito/dívida/Dívida
Natureza_morta	pintura
mascarar	disfarçar/omitir/esconder/encobrir/tapar/acobertar/ocultar/tampar
faceta	qualidade/característica
assalariado	trabalhador
via	produto/utensílio/artefato/estrada/caminho
Espeleologia	hobby/Passa-tempo
mação	artífice
dique	Terrapleno/obstáculo/barreira
alusão	comentário/observação
vestir-se	mudar/alterar
analisador	instrumento/aparelho/ferramenta
hidrocefalia	anormalidade
gracejo	humor
Anglo-Normando	francês
adivinhação	questão/problema/agouro/augúrio/presságio
Papoila	papoula/papoila/dormideira
inalação	respiração
espirro	reflexo
profundidade	profundeza/fundura/alcance/extensão
escarnecer	menosprezar/ironizar
Morte_Cerebral	morte
ulemá	comunidade/grupo
petróleo	hidrocarboneto/carburante/combustível
apaixonar	impressionar/comover/afetar/provocar/incitar/estimular/concitar
orelhão	cabine/quiosque
Cachê	buffer
cadastrar	indicar/assinalar
pregação	discurso
Fungicida	agente
Íris	membrana
línguas_românicas	latim
Clava	vara
remoinho	fluxo/corrente
ratificar	formalizar/confirmar/validar
Fenotipo	constituição/composição
Psicoterapia	terapia
epítome	sumário/resumo/sinopse
seguidor	caçador/advogado/representante/proponente/entusiasta/ser_humano/alguém
erradicação	desolação/demolição
paganismo	religião/fé
plagiador	ladrão
asana	postura/posição
Ás	baralho
admissibilidade	aceitabilidade
Flatulência	prolixidade
Ddt	inseticida
epígrafe	inscrição
gasto	avaria
coreana	asiática/asiático
historial	crônica/crónica
florilégio	selecta
protocolar	registrar
reger	acompanhar/executar/desempenhar/apresentar/governar
filosofar	refletir/pensar
transplantação_de_órgãos	cirurgia/operação
Teísmo	religião/fé
T-bone	bife
mumificar	preservar/murchar/embalsamar/manter/continuar/enrugar
touca	barrete
caril	prato
coerção	causalidade
Pedigree	animal/bicho/ser/besta
aprumar	ajustar
psicologia	ciência
incômodo	moléstia/contrariedade
ponderar	questionar/refletir/pensar/perguntar/interrogar
pinho	madeira
perversão	Maldade/maldade
dito	marco/ponto
anedota	relato/relatório
artéria	estrada
notícias	emissão/programa/informação
freira	religioso
frio	calor
incursão	esforço/tentativa
baloiço	brinquedo
altear	acrescentar/crescer/aumentar
queixar	indiciar/acusar/denunciar
androginia	gênero/sexualidade/sexo
emanação	emergência
dúvida	precariedade/incerteza
ama-seca	médico
incipiência	começo/princípio/início
intimidação	terror/desalento/desânimo/consternação/medo/susto
atuário	estimador/computador
Aqüífero	formação
super-homem	líder/chefe
Tronco	caule/tronco
imprensa	maquinaria/máquina
tojal	moita
principiar	estar/ser
mugir	gritar/berrar/emitir/soltar
avermelhar	colorizar/descolorir/colorir
Neutron	nucleão
pelotão	corpo
desembolsar	pagar
calibrar	ajustar/mensurar
superintendência	gestão/administração
similitude	semelhança
Armas_químicas	guerra
cipó	videira/parreira
sarja	pano/têxteis/fazenda/tecido
congelador	geladeira/refrigerador
estradiol	estrogénio/Estrogénio
franja	penteado/corte_de_cabelo
Tenor	voz
tomilho	maconha
disputar	contestar/impugnar/debater/discutir/arguir
duque	Lorde/par/Lady/nobre
ecoar	ressoar/soar/emitir/soltar
Dínamo	gerador
Catering	função/emprego/profissão/lugar/ofício/ocupação/trabalho/serviço
ansiolítico	barbitúrico
galopar	caminhar/andar
O.K.	aprovação/sanção/consentimento
musselina	pano/têxteis/fazenda/tecido
vagabundear	andar/caminhar/viajar
gatinhar	andar/caminhar/viajar
alojar	povoar/habitar
Ballerina	bailarina
impostora	trapaceiro
pretendente	ser_humano/alguém/candidato/solicitante
tradução	paráfrase
divorciar	separar/separar-se/partir
deusa	Deus/deus/divindade
boicote	protesto
contra-ordem	ordem
impelir	induzir/aconselhar/assessorar/opinar/causar/avisar/provocar
disquete	disco
balaclava	barrete
transcender	sobressair/exceder
ditongo	vogal
groselha	fruta/fruto/baga
Oceanografia	ciências_da_terra
alicate	ferramenta/aparelho/aparato/mecanismo/instrumento/equipamento
recobrir	cobrir/tampar
Carabina	espingarda/rifle/fuzil
mialgia	dor
ppm	velocidade
atingir	perfurar/afetar/solucionar/tocar/bater/suceder/conseguir/adquirir/efectuar/impactar/terminar/acabar/finalizar/encerrar/efetuar/ocasionar/produzir/provocar/comprar/penetrar
sagacidade	feição/peculiaridade
minerar	minar/escavar/explorar
mangueira	cano/canal/duto/conduto/tubo/pipeline/cachimbo
plantígrado	mamífero
sobreexploração	exploração
brocado	pano/têxteis/fazenda/tecido
magistrado	jurista/juiz/árbitro/serventuário/funcionário
listar	enumerar/nomear/identificar/registrar
dados	montão/colecção/ruma/chusma/coleção/grupo/aglomeração
mastigação	converter
frei	religioso
3D	película/filme/cinema/produção
pluviômetro	bitola
sabotar	desobedecer
carinho	emoção/impressão
infringir	violar/desrespeitar/ofender/pecar/quebrar/transgredir
Páscoa	tempo/Pascoa/estação
complicar	alterar/mudar/modificar
Organização_dos_Estados_Americanos	Organização_internacional/Organizações_internacionais
tormenta	intempérie/tempestade/vendaval/borrasca
tiragem	estoque
momento	segundo/medida/quantidade/quantia/magnitude/instante/etapa/tempo/época/período/era
vácuo	região
benzina	hidrocarboneto/carburante/combustível
feriado	dia
arrebatar	tomar/adoptar
esburacar	escavar
guerra_mundial	guerra
Legislador	legislador
luz	ferramenta/aparelho/aparato/mecanismo/instrumento/equipamento/lâmpada
fogão	aquecedor/estância/fornalha
cidade-estado	união/república/país
decolar	partir/sair
confessor	sacerdote/pastor/presbítero/clérigo/padre
forma	estilo/propriedade/característica/predicado/atributo
Sublime_porta	Cortes/corte/palácio
travar	superar/deixar/impossibilitar/impedir/estorvar/evitar/obstar/parar
rubricar	assinar/subscrever
intéprete	intercessor/mediador
inflação	expansão/ampliação/aumento
siciliano	italiano/itálico
situação	Estado/posição/local/lugar/conexão/condição/estado/propriedade/característica/predicado/atributo
tripé	prateleira
sintonizar	ajustar
segundo	classe/desafiante/instante/concorrente/adversário/contendor/competidor/opositor/tempo/época/período/momento/era/hierarquia/posição/posto
Barcarola	canção/cantiga
Norfolk_Terrier	Terrier
venerar	prezar/ver/achar/considerar
Lápide	monumentos
tubo_de_ensaio	cano/canal/duto/conduto/tubo/pipeline/cachimbo
armário	mobiliário/movéis/mobília/móvel
redistribuir	espalhar/disseminar
remarcar	dizer/contar/falar
ordenar	investir/infligir/pedir/entronar/organizar/decretar/requerer/requisitar/dispor/mandar/intimar/impor/ditar
engasgo	doença/bagunça/transtorno/distúrbio
fliscorne	Metais/metais
ETA	trabalho/laboratório/locais_de_trabalho/oficina/emprego
cremalheira	engrenagem
modernizar	mudar/alterar
aleijar	mutilar/indispor
restante	porção/parte
peneirar	selecionar/andar/escolher/caminhar/viajar
Hidrocefalia	anormalidade
alcalinidade	pH/Ph
matreiro	canídeo/cão
calcular	predizer/balizar/julgar/avaliar/prognosticar/adivinhar/pressentir/raciocinar
anestesiar	dopar/narcotizar/drogar
omissão	ausência/falha/erro/perda/derrota
realismo	realidade
lubrificar	alterar/cobrir/tampar/mudar/modificar
albergue	casa
Código_de_estrada	código
jurista	juiz/árbitro/serventuário/funcionário
mangar	ironizar/menosprezar
desgrudar	separar/dividir
suspeitar	pensar/aventurar/adivinhar/pretender/esperar/supor/achar
teletransporte	transferência/transporte
Organização_dos_estados_americanos	Organização_internacional/Organizações_internacionais
pinça	ferramenta
Trânsito	montão/colecção/ruma/chusma/coleção/grupo/aglomeração
Pimenta-da-jamaica	tempero/condimento/especiaria
álbum	mídia/produção/meios_de_comunicação/produto
elasticidade	adaptabilidade
sucesso	triunfo/sorte/obtenção/êxito
vistoria	reunião/encontro
ictiologia	Zoologia/zoologia
naufragar	sujeitar
contendor	ser_humano/alguém
lésbica	gay/ser_humano/alguém/homo/bicha
buxo	moita
consumidor	comprador/ser_humano/alguém/usuário/utilizador/cliente/freguês
entrevistar	conversar
limiar	peitoril/soleira
influir	afetar/impactar
rabugento	idoso/velho
maltês	europeu
desastre	adversidade/acidente/azar/má_sorte/infortúnio/devastação
legitimação	acção/ação
gritar	bramir/reclamar/brado/chamada/esganiçar/verbalizar/falar/dizer/conversar/lamentar/expressar/proferir/emitir/soltar/urrar/vociferar/mugir/berrar/ulular
subgrupo	grupo
microcefalia	anormalidade
penetrar	introduzir/impressionar/perfurar/associar-se/juntar-se/filiar-se/comover/afetar/inserir/entrar
combater	debater-se/brigar
Crómio	metal/Metais/metais
aprazer	agradar
monocarril	caminho-de-ferro/ferrovia/caminhos_de_ferro/caminho_de_ferro
iniciar	discutir/reviver/ressuscitar/estar/ser/provocar/causar
regozijar-se	sentir
xarope	adoçante
constitucionalista	advogado/representante/proponente
troposfera	camada/estrato
ateniense	heleno/grega
Mcintosh	maçã
conclave	reunião/Reunião
cachimbo	cano/canal/duto/conduto/tubo/pipeline
Impérios_Centrais	coalizão/aliança
tempos_modernos	era/período
renome	bisbilhotice/fama/reputação/fofoca/honra
reconstituir	organizar/estruturar
profeta	adivinhador/adivinho/adivinha
motor	maquinaria/causador/máquina
hemotórax	congestão
tempos_difíceis	era/momento/período/época/tempo
nuvem_de_Oort	montão/colecção/ruma/chusma/coleção/grupo/aglomeração
alimentar-se	satifazer/suprir/tomar/consumir
fim_de_tarde	jornada/dia/período/etapa/tempo
confabulação	memória
cólera	ira/zanga/emoção/abalo/comoção
Karl_popper	filósofo
penico	recipiente
terapia	remédio/medicamento/produtos_farmacêuticos
batedor	implemento/instrumento/ferramenta
silo	Torres/torre/roque
roda	máquina
destacar-se	surgir/aparecer
mamute	elefanta
quarterback	zagueiro/beque
calibre	diâmetro/grau
alforje	sacola
dificultar	desfavorecer/prejudicar
Cibercultura	cultura
supervisão	gestão/administração
Gandula	menino/infante/garoto/rapaz/moço/criança
sublinha	traço
lesbianismo	homossexualidade
chiqueiro	Curral
saraiva	precipitação
Dia_de_São_Patrício	dia
enfocar	adaptar-se/adequar-se/ajustar
pergunta	inquérito/oração/sentença/questão/solicitação/requerimento/petição/requisição/pedido/apelo
coqueluche	Doenças_respiratórias/doenças_respiratórias
protoctista	microorganismo/microrganismo
peia	algema/grilhão/cadeia
esticar-se	estar
tório	metal/Metais/metais
Alta-tecnologia	tecnologia/engenharia
reaquecer	esquentar/aquecer
malaio	asiático/asiática
claustrófobo	neurótico
afiar	deformar/amolar/intensificar/alterar/mudar/modificar/aumentar/acirrar
ouvinte	estudante/pupilo/aluno/chance
laico	plebeu
oitava	classe/intervalo/hierarquia/posição/posto
bainhar	bordar/emitir/soltar
Bandeira_nacional	pendão/Bandeira/bandeira/pavilhão/estandarte
interpretador	programa
escudo	proteção/protecção/armadura
ninar	segurar
construção_civil	empresa_industrial/indústria
premissa	locação/lugar/sítio
futuro	produto/tempo/mercadoria/fazenda/porvir/vindouro
Recidiva	erro/fracasso/falha
seriar	dispor
assentamento	comunidade/grupo
votação	selecção/escolha/seleção
Cálculo	matemática_pura
Orientalismo	ciências_humanas
Ferro	metal/Metais/metais
mínimo	máximo/fragmento/pedaço
pião	brinquedo
embaixatriz	embaixador
Bioquimica	química_orgânica
alagar	completar/encher
tacada	manobra/esforço/tentativa
esmerilar	deteriorar
eloquência	estilo/língua/discurso/linguagem
eliminação	acção/ação
índigo	corante/tintura/cor
repulsa	abominação/repugnância/aversão
cereja	fruta/vermelhidão/escarlate/encarnado
Esteiro	córrego
pincel	brocha/escova_de_dentes/escova/cotonete/implemento/instrumento/ferramenta
braçada	locomoção
falsificação	delito/ofensa/contrafação/crime/transgressão
gaseificar	mudar
amansar	alterar/mudar/modificar
White_trash	caucasiano/caucasiana/branco
radiofrequência	frequência
ribeira	córrego
tratadista	autor/escritor
pelagem	Pêlo/pêlo
facilitador	ajudante/assistente/adjunto/criado
eslavo	ser_humano/alguém
bebê	filha/criança/menino/filho
embreagem	acoplamento
beatificar	declarar/julgar
Norfolk_terrier	Terrier
valsar	dançar
proferir	transmitir/comunicar
lassidão	Astenia/debilidade
rachadura	fenda/racha/fresta/greta
comércio_electrónico	mercantilismo/comercialismo/comércio
festividade	período/efeméride/feriado/Efeméride/etapa/tempo/diversão
galope	andar
dístico	descrição
lembrar	legar/associar/informar/pensar/entregar/relacionar/conectar
cola	cimento/refrigerante/refresco/soda
lince	gato-bravo
cavalgada	romaria/procissão
engomar	enrijecer/endurecer
espondilite	inflamação
Genética_molecular	Genética/genética
primeiro_de_maio	dia
segurador	intermediário/Broker/corretor
anfitriã	anfitrião/hospedeiro
serializar	dispor
destro	ser_humano/alguém
cambalear	vibrar
alteração	ocorrência/acontecimento/mudança
serenidade	paz/calma/equanimidade/silêncio
termodinâmica	Fisica/Física/física
buscador	ser_humano/alguém
catequese	ensino/educação/pedagogia
instante	segundo/medida/quantidade/quantia/magnitude/tempo/época/período/momento/era
adenocarcinoma	carcinoma
contrabandear	importar
serraria	usina/fábrica
monção	vento
bravura	emoção/impressão
zigoto	célula
morais	intenção/motivação
cátedra	tablado
charia	lei/jurisprudência/ciências_jurídicas
exceção	omissão/exemplo/objeção
gratinar	cozinhar
bajular	manipular/louvar/elogiar/adular/gabar
cefaléia	dor
deterioração	diminuição/atividade
ausentar-se	partir/deixar/sair
tema	melodia/assunto/matéria/tópico/toada/pensamento/idéia
Dia_das_bruxas	dia
cidadão	ser_humano/alguém
posicionar	selecionar/colocar/carregar/escolher
Lei_de_Murphy	gnomo
pólen	esporo
constituir	empreender/representar/iniciar
ancião	terceira_idade/adulto
poliuretano	polímero
ajustar	adequar/decidir/compatibilizar/reconciliar/conciliar/harmonizar/concluir/alterar/mudar/modificar
povoar	preencher/estar/completar/encher
saxofone	tocador/instrumentista/instrumentalista/músico
fraqueza	impotência
desfrutar	utilizar/usar/empregar
grelhado	cozinha/preparação
Unção	revestimento
sicário	homicida/assassina
abolicionista	reformador
Concerto	Música_Erudita/Música_Clássica
ocidentalização	assimilação
impulsão	acção/ação
incompreensibilidade	qualidade
Física_de_Partículas	Fisica/Física/física
apuro	problema
esquizofrenia	psicose
aerodinâmica	Mecânica/mecânica
desvirginar	copular/acasalar
agourento	desventurado
abreviar	resumir/encolher/diminuir/condensar/encurtar
incivilizado	primata
serviço_social	serviços_sociais
depurar	purificar/apurar/destilar
continuidade	durabilidade/coesão/ligação/coerência/período/etapa/tempo
coabitar	habitar/povoar
Instrumentos_de_sopro	instrumento
aproximação	cálculo
carburante	substância
papoila	papoula/dormideira
caucus	reunião/Reunião
verba	plano/intenção/projecto/programa/traçado/projeto/concepção
alvejar	colorir/descolorir
permear	perfurar/penetrar
confessar	reconhecer/admitir/declarar/julgar
origem	ascendência/instalação/infra-estrutura/serviço/princípio/início/começo/procedência/nascente/manancial/raiz
calor	energia
andarilho	calçado
flexionar	amenizar/contrair-se/encolher/contrair/murchar
lentidão	passo
preponderar	predominar/mandar/reinar
pisotear	lesionar/lesar/machucar/ferir/caminhar/andar
queixo	traço
interação	ação/atividade
respigar	coletar/reunir/coligir/recolher
amortalhar	cobrir/embrulhar/embalar
Plano	formato/forma
canela	casca/especiaria/condimento/tempero
tiritar	estremecer/agitar/sacudir/tremer
dedução	Inferência/inferência
consolidar-se	unificar/fundir-se/intercalar
açucareiro	prato/louça
melancolia	depressão/tristeza/pesar
rosar	colorir/descolorir
hemólise	lise
amolar	incomodar/desgostar/desagradar/alterar/mudar/modificar/crucificar/retalhar
respiração	expiração/ar
Pederastia	parafilia/Parafilia/homossexualidade
coexistir	existir/ser
resfriar	tornar/mudar/modificar/revoltar-se/revoltar/alterar
conotação	significado/intenção
invocação	Magia/ilusionismo/magia/mágica/execução
pestana	pêlo/Pêlo
á	caractér/carácter
Sublime_Porta	Cortes/corte/palácio
solecismo	bobagem/gafe/fiasco
melancia	meloeiro
flip-flop	circuito
sobre-aquecimento	aquecimento/esquentamento
impotência	qualidade
atrito	conflito/abatimento/recontro
pose	certeza/segurança
ensurdecer	suavizar/enfraquecer
sobrancelha	Pêlo/pêlo
contraponto	polifonia
descontinuação	conclusão
Fauna	montão/colecção/ruma/chusma/coleção/grupo/aglomeração
minimizar	informar/diminuir/criticar
hepatomegalia	anormalidade
casa_de_campo	habitação/casa
nacionalizar	alterar/mudar/modificar
animal	ser
lauda	folha
recipiente	garrafa/continente/contentor/caixa/jarro/vaso/vasilha
substituto	dobro/agente/acontecimento/ajudante/assistente/adjunto/criado/equivalente
reduplicar	replicar
