Mesopotâmia	Tiamat/acadiano/Babilónia
França	Somme/Revolução_Francesa/Poitiers/Frente_de_Libertação_Nacional_da_Córsega/Soissons/tricolor/Orleães/distrito/patrão/francês/deputado/legionário
Filipinas	Corregidor/Leyte/Baía_de_Manila/Abu_Sayyaf
Sudoeste	ribeiro
Portugal	português
Sicília	Siracusa
Grã-Bretanha	pia/Sir/melaço/pudim/mod/anglo-saxão/vale/merenda/maçaneta/ministro/pancadaria/avaliador/bicicleta/anoraque/Guido/pai-nosso/cientista/presídio/salão/macacão/farinha/Macintosh/preceptor/Onda_Média/cadeia/prisão/sobremesa/sala/parca/lavabo/charneca/estrada/stone/residente/estagiária/estagiário/trilhão/deputado/Lady/fedor/gafe/Magna_Carta/chá/parlamento/Serviço_Aéreo_Especial/escritório/bolacha/biscoito/cookie/Condestável/râguebi/skiffle/par/almirantado/condado/fisionomia/rosto/face/barra/colega/pintado/maquiado/MI6/botequim/bar/taberna/pub/boteco/estaminé/reitor/chanceler/bilhão/bilião/Grã_Bretanha/sesta/alfândega/polegada
Camboja	Khmer_Vermelho
EUA	cara-pálida/perdiz/Philip_Marlowe/xamanismo/Groundhog_Day/totem/Totem/trilhão/Ilhas_Marshall/República_das_Ilhas_Marshall/bandido/tribo/trapézio/mestiço/condado/bilhão/ianque/gringo/cola/coca/bocal/focinho/União/Norte/alfândega/polegada/dólar/Guerra_de_Secessão/Guerra_Civil_Americana/Mel_Gibson
Assíria	Ishtar
Índia	subcontinente/ashram/hinduísmo
Estados_Unidos	cara-pálida/perdiz/Philip_Marlowe/xamanismo/Groundhog_Day/totem/Totem/trilhão/Ilhas_Marshall/República_das_Ilhas_Marshall/bandido/tribo/trapézio/mestiço/condado/bilhão/ianque/gringo/cola/coca/bocal/focinho/União/Norte/alfândega/polegada/dólar/Guerra_de_Secessão/Guerra_Civil_Americana/Mel_Gibson
Babilónia	Niña/Adapa/Anu/Ishtar
África	Guerra_dos_Boers/Corno_de_África/Namibia/Namíbia/emir/negro/negra/Safari
Havaí	Luau/golfinho/havaiano/ukulele
Escocia	pouquinho/musculoso/pãozinho/Curling/criança/ravina/recatado/tímido
União_das_Repúblicas_Socialistas_Soviéticas	Revolução_de_Outubro/russo/estepe/Revolução_de_Fevereiro/kolkhoz/Isaac_Stern
Peru	Sendero_Luminoso/Movimento_Revolucionário_Tupac_Amaru
Israel	moshav/kibutz/Haganah/Fatah/Mossad/Sayeret_Matkal
Arábia	emir
Polinésia	tabú/tabu
E.U.A.	cara-pálida/perdiz/Philip_Marlowe/xamanismo/Groundhog_Day/totem/Totem/trilhão/Ilhas_Marshall/República_das_Ilhas_Marshall/bandido/tribo/trapézio/mestiço/condado/bilhão/ianque/gringo/cola/coca/bocal/focinho/União/Norte/alfândega/polegada/dólar/Guerra_de_Secessão/Guerra_Civil_Americana/Mel_Gibson
Africa	Guerra_dos_Boers/Corno_de_África/Namibia/Namíbia/emir/negro/negra/Safari
Reino_Unido	pia/Sir/melaço/pudim/mod/anglo-saxão/vale/merenda/maçaneta/ministro/pancadaria/avaliador/bicicleta/anoraque/Guido/pai-nosso/cientista/presídio/salão/macacão/farinha/Macintosh/preceptor/Onda_Média/cadeia/prisão/sobremesa/sala/parca/lavabo/charneca/estrada/stone/residente/estagiária/estagiário/trilhão/deputado/Lady/fedor/gafe/Magna_Carta/chá/parlamento/Serviço_Aéreo_Especial/escritório/bolacha/biscoito/cookie/Condestável/râguebi/skiffle/par/almirantado/condado/fisionomia/rosto/face/barra/colega/pintado/maquiado/MI6/botequim/bar/taberna/pub/boteco/estaminé/reitor/chanceler/bilhão/bilião/Grã-Bretanha/Grã_Bretanha/sesta/alfândega/polegada
Bulgária	Pleven
Bangladesh	hinduísmo
Sri_Lanka	hinduísmo
Coreia	Guerra_da_Coreia
Austrália	colega/Rupert_Murdoch/australiano
Ceilão	hinduísmo
Europa	mercantilismo/escravo/servo
Bélgica	Ypres
Havai	Luau/golfinho/havaiano/ukulele
Roma	centurião/Baco/romano/solicitador/panteão/cruzamento/catacumba/gladiador
Reino_do_Camboja	Khmer_Vermelho
Vietname	Guerra_do_Vietnam/Dien_Bien_Phu
Turquia	Partido_dos_Trabalhadores_do_Curdistão
Espanha	Grapo/catalão/conquistador/sangria/Guerra_Civil_Espanhola/paelha/ETA/paella/Euskadi_Ta_Askatasuna/galego/castelhano/espanhol
Crimeia	Guerra_da_Crimeia
Médio-Oriente	Guerra_dos_Seis_Dias/Pita
Groenlândia	subcontinente
Libano	Hizbollah
Grécia	Midas/panteão/Sísifo/grego/ditirambo/Baco/Termópilas
Palestina	Fatah/Jihad_Islâmica/FPLP
América_do_Norte	canhão/desfiladeiro/América_Latina
República_da_Turquia	Partido_dos_Trabalhadores_do_Curdistão
Sul	Ku_Klux_Klan
China	qui/Ieoh_Ming_Pei/Revolução_Cultural_Chinesa/ki/Hangzhou/Língua_Chinesa/chinês/acupuntura
Irlanda	Danu/Lug/Peter_O'Toole/irlandês/gaélico/banshee/patronímico
Inglaterra	proxeneta/Sherwood/saxão/puritanismo/chulo/saxônio/Guerra_das_Rosas/safado/proxenetismo/Guerra_Civil_Inglesa
