Mesopotâmia	Tiamat/acadiano/Babilónia
EUA	cara-pálida/Xamanismo/perdiz/Philip_Marlowe/xamanismo/Groundhog_Day/totem/Totem/trilhão/Ilhas_Marshall/República_das_Ilhas_Marshall/Ilhas_marshall/bandido/tribo/trapézio/condado/bilhão/ianque/gringo/cola/coca/União/Norte/alfândega/polegada/dólar/Guerra_de_Secessão/Guerra_de_secessão/Guerra_Civil_Americana/Mel_Gibson/Mel_gibson
Assíria	Ishtar
Índia	subcontinente/Hinduismo/hinduísmo
Estados_Unidos	cara-pálida/Xamanismo/perdiz/Philip_Marlowe/xamanismo/Groundhog_Day/totem/Totem/trilhão/Ilhas_Marshall/República_das_Ilhas_Marshall/Ilhas_marshall/bandido/tribo/trapézio/condado/bilhão/ianque/gringo/cola/coca/União/Norte/alfândega/polegada/dólar/Guerra_de_Secessão/Guerra_de_secessão/Guerra_Civil_Americana/Mel_Gibson/Mel_gibson
Babilónia	Niña/Ishtar
África	Guerra_dos_boers/Guerra_dos_Boers/Corno_de_áfrica/Corno_de_África/Namibia/Namíbia/emir/negro/negra/Safari/Safári
Havaí	Luau/golfinho/havaiano/ukulele
Fenícia	Dagon/fenício
Escocia	pouquinho/musculoso/pãozinho/Curling/criança/ravina/recatado/tímido
União_das_Repúblicas_Socialistas_Soviéticas	Revolução_de_Outubro/russo/estepe/Revolução_de_Fevereiro/Kolkhoz/kolkhoz/Revolução_de_outubro/Isaac_Stern/Isaac_stern
Peru	Movimento_Revolucionário_Tupac_Amaru
Israel	moshav/Moshav/kibutz/Kibutz/Haganah/Sayeret_matkal/Sayeret_Matkal
Arábia	emir
E.U.A.	cara-pálida/Xamanismo/perdiz/Philip_Marlowe/xamanismo/Groundhog_Day/totem/Totem/trilhão/Ilhas_Marshall/República_das_Ilhas_Marshall/Ilhas_marshall/bandido/tribo/trapézio/condado/bilhão/ianque/gringo/cola/coca/União/Norte/alfândega/polegada/dólar/Guerra_de_Secessão/Guerra_de_secessão/Guerra_Civil_Americana/Mel_Gibson/Mel_gibson
Africa	Guerra_dos_boers/Guerra_dos_Boers/Corno_de_áfrica/Corno_de_África/Namibia/Namíbia/emir/negro/negra/Safari/Safári
Reino_Unido	pia/melaço/pudim/mod/anglo-saxão/vale/merenda/Código_de_estrada/maçaneta/ministro/pancadaria/avaliador/bicicleta/anoraque/primeira_linha/Guido/pai-nosso/cientista/salão/macacão/farinha/Macintosh/preceptor/nous/cadeia/prisão/sobremesa/sala/parca/lavabo/charneca/Preceptor/sala_de_estar/estrada/stone/residente/estagiária/estagiário/trilhão/deputado/Lady/gafe/Magna_Carta/Magna_carta/parlamento/Serviço_Aéreo_Especial/rod/bolacha/cookie/Condestável/râguebi/skiffle/par/almirantado/condado/fisionomia/face/barra/pintado/maquiado/bar/taberna/pub/boteco/estaminé/reitor/chanceler/bilhão/bilião/autoridades_locais/Grã-Bretanha/Grã_Bretanha/sesta/alfândega/polegada/mil_milhões
Bulgária	Pleven
Sri_Lanka	Hinduismo/hinduísmo
Coreia	Guerra_da_Coreia
Austrália	Rupert_murdoch/Rupert_Murdoch
Ceilão	Hinduismo/hinduísmo
Coréia	Guerra_da_Coreia
Europa	mercantilismo/Mercantilismo/escravo
Bélgica	Ypres
Havai	Luau/golfinho/havaiano/ukulele
Roma	centurião/Baco/romano/solicitador/cruzamento/catacumba/gladiador
Reino_do_Camboja	Khmer_Vermelho/Khmer_vermelho
Turquia	Partido_dos_trabalhadores_do_curdistão/Partido_dos_Trabalhadores_do_Curdistão
Espanha	Grapo/catalão/conquistador/sangria/Guerra_Civil_Espanhola/paelha/ETA/paella/Euskadi_Ta_Askatasuna/GRAPO/galego/Euskadi_ta_askatasuna/língua_castelhana/espanhol
Crimeia	Guerra_da_Crimeia
Médio-Oriente	Guerra_dos_Seis_Dias/Guerra_dos_seis_dias/Pita
Groenlândia	subcontinente
Libano	Hizbollah
Grécia	Midas/ditirambo/trojan/Baco/Termópilas
Palestina	Jihad_Islâmica
América_do_Norte	canhão/desfiladeiro/América_Latina
República_da_Turquia	Partido_dos_trabalhadores_do_curdistão/Partido_dos_Trabalhadores_do_Curdistão
Estado_da_palestina	Jihad_Islâmica
China	qui/Ieoh_Ming_Pei/Revolução_cultural_chinesa/revolução_cultural/Ieoh_ming_pei/Revolução_Cultural_Chinesa/Hangzhou/Língua_Chinesa/língua_chinesa/chinês/Acupuntura/acupuntura
Irlanda	Banshee/Peter_o'toole/Danu/Lug/Peter_O'Toole/gaélico/banshee/patronímico
Inglaterra	proxeneta/Sherwood/saxão/Guerra_das_rosas/puritanismo/chulo/saxônio/Guerra_das_Rosas/safado/proxenetismo/Guerra_civil_inglesa/Guerra_Civil_Inglesa
